date,county,state,fips,cases,deaths
2020-03-20,Dickson,Tennessee,47043.0,2,0.0
2020-03-21,Dickson,Tennessee,47043.0,3,0.0
2020-03-22,Dickson,Tennessee,47043.0,4,0.0
2020-03-23,Dickson,Tennessee,47043.0,4,0.0
2020-03-24,Dickson,Tennessee,47043.0,5,0.0
2020-03-25,Dickson,Tennessee,47043.0,5,0.0
2020-03-26,Dickson,Tennessee,47043.0,7,0.0
2020-03-27,Dickson,Tennessee,47043.0,9,0.0
2020-03-28,Dickson,Tennessee,47043.0,11,0.0
2020-03-29,Dickson,Tennessee,47043.0,11,0.0
2020-03-30,Dickson,Tennessee,47043.0,12,0.0
2020-03-31,Dickson,Tennessee,47043.0,17,0.0
2020-04-01,Dickson,Tennessee,47043.0,18,0.0
2020-04-02,Dickson,Tennessee,47043.0,20,0.0
2020-04-03,Dickson,Tennessee,47043.0,21,0.0
2020-04-04,Dickson,Tennessee,47043.0,22,0.0
2020-04-05,Dickson,Tennessee,47043.0,23,0.0
2020-04-06,Dickson,Tennessee,47043.0,24,0.0
2020-04-07,Dickson,Tennessee,47043.0,27,0.0
2020-04-08,Dickson,Tennessee,47043.0,27,0.0
2020-04-09,Dickson,Tennessee,47043.0,28,0.0
2020-04-10,Dickson,Tennessee,47043.0,29,0.0
2020-04-11,Dickson,Tennessee,47043.0,30,0.0
2020-04-12,Dickson,Tennessee,47043.0,30,0.0
2020-04-13,Dickson,Tennessee,47043.0,30,0.0
2020-04-14,Dickson,Tennessee,47043.0,33,0.0
2020-04-15,Dickson,Tennessee,47043.0,37,0.0
2020-04-16,Dickson,Tennessee,47043.0,39,0.0
2020-04-17,Dickson,Tennessee,47043.0,42,0.0
2020-04-18,Dickson,Tennessee,47043.0,43,0.0
2020-04-19,Dickson,Tennessee,47043.0,45,0.0
2020-04-20,Dickson,Tennessee,47043.0,46,0.0
2020-04-21,Dickson,Tennessee,47043.0,46,0.0
2020-04-22,Dickson,Tennessee,47043.0,50,0.0
2020-04-23,Dickson,Tennessee,47043.0,56,0.0
2020-04-24,Dickson,Tennessee,47043.0,63,0.0
2020-04-25,Dickson,Tennessee,47043.0,64,0.0
2020-04-26,Dickson,Tennessee,47043.0,66,0.0
