,date,county,state,fips,cases,deaths
369719,2020-07-25,Doddridge,West Virginia,54017.0,1,0.0
372931,2020-07-26,Doddridge,West Virginia,54017.0,2,0.0
376145,2020-07-27,Doddridge,West Virginia,54017.0,2,0.0
379361,2020-07-28,Doddridge,West Virginia,54017.0,2,0.0
382578,2020-07-29,Doddridge,West Virginia,54017.0,4,0.0
385796,2020-07-30,Doddridge,West Virginia,54017.0,4,0.0
389013,2020-07-31,Doddridge,West Virginia,54017.0,4,0.0
392230,2020-08-01,Doddridge,West Virginia,54017.0,4,0.0
395446,2020-08-02,Doddridge,West Virginia,54017.0,4,0.0
398662,2020-08-03,Doddridge,West Virginia,54017.0,4,0.0
401878,2020-08-04,Doddridge,West Virginia,54017.0,4,0.0
405096,2020-08-05,Doddridge,West Virginia,54017.0,4,0.0
408316,2020-08-06,Doddridge,West Virginia,54017.0,5,0.0
411535,2020-08-07,Doddridge,West Virginia,54017.0,5,0.0
414755,2020-08-08,Doddridge,West Virginia,54017.0,6,0.0
417976,2020-08-09,Doddridge,West Virginia,54017.0,6,0.0
421197,2020-08-10,Doddridge,West Virginia,54017.0,6,0.0
424418,2020-08-11,Doddridge,West Virginia,54017.0,6,0.0
427642,2020-08-12,Doddridge,West Virginia,54017.0,6,0.0
430870,2020-08-13,Doddridge,West Virginia,54017.0,6,0.0
434095,2020-08-14,Doddridge,West Virginia,54017.0,6,0.0
437321,2020-08-15,Doddridge,West Virginia,54017.0,6,0.0
440547,2020-08-16,Doddridge,West Virginia,54017.0,6,0.0
443773,2020-08-17,Doddridge,West Virginia,54017.0,6,0.0
447000,2020-08-18,Doddridge,West Virginia,54017.0,6,0.0
450228,2020-08-19,Doddridge,West Virginia,54017.0,6,0.0
453456,2020-08-20,Doddridge,West Virginia,54017.0,6,0.0
456684,2020-08-21,Doddridge,West Virginia,54017.0,6,0.0
459911,2020-08-22,Doddridge,West Virginia,54017.0,6,0.0
463140,2020-08-23,Doddridge,West Virginia,54017.0,6,0.0
466369,2020-08-24,Doddridge,West Virginia,54017.0,6,0.0
469598,2020-08-25,Doddridge,West Virginia,54017.0,6,0.0
472830,2020-08-26,Doddridge,West Virginia,54017.0,6,0.0
476063,2020-08-27,Doddridge,West Virginia,54017.0,6,0.0
479296,2020-08-28,Doddridge,West Virginia,54017.0,6,0.0
482530,2020-08-29,Doddridge,West Virginia,54017.0,6,0.0
485765,2020-08-30,Doddridge,West Virginia,54017.0,6,0.0
488998,2020-08-31,Doddridge,West Virginia,54017.0,6,0.0
492231,2020-09-01,Doddridge,West Virginia,54017.0,6,0.0
495465,2020-09-02,Doddridge,West Virginia,54017.0,6,0.0
498698,2020-09-03,Doddridge,West Virginia,54017.0,7,0.0
501932,2020-09-04,Doddridge,West Virginia,54017.0,9,0.0
505166,2020-09-05,Doddridge,West Virginia,54017.0,11,0.0
508398,2020-09-06,Doddridge,West Virginia,54017.0,11,0.0
511631,2020-09-07,Doddridge,West Virginia,54017.0,13,0.0
