,date,county,state,fips,cases,deaths
28022,2020-04-02,Donley,Texas,48129.0,1,0.0
30357,2020-04-03,Donley,Texas,48129.0,5,0.0
32750,2020-04-04,Donley,Texas,48129.0,5,0.0
35188,2020-04-05,Donley,Texas,48129.0,7,0.0
37664,2020-04-06,Donley,Texas,48129.0,7,0.0
40189,2020-04-07,Donley,Texas,48129.0,7,0.0
42754,2020-04-08,Donley,Texas,48129.0,7,0.0
45343,2020-04-09,Donley,Texas,48129.0,14,0.0
47963,2020-04-10,Donley,Texas,48129.0,21,0.0
50621,2020-04-11,Donley,Texas,48129.0,23,0.0
53296,2020-04-12,Donley,Texas,48129.0,23,0.0
55984,2020-04-13,Donley,Texas,48129.0,23,0.0
58688,2020-04-14,Donley,Texas,48129.0,23,0.0
61405,2020-04-15,Donley,Texas,48129.0,23,0.0
64132,2020-04-16,Donley,Texas,48129.0,23,0.0
66879,2020-04-17,Donley,Texas,48129.0,23,0.0
69639,2020-04-18,Donley,Texas,48129.0,23,0.0
72407,2020-04-19,Donley,Texas,48129.0,23,0.0
75182,2020-04-20,Donley,Texas,48129.0,23,0.0
77964,2020-04-21,Donley,Texas,48129.0,24,0.0
80755,2020-04-22,Donley,Texas,48129.0,24,0.0
83555,2020-04-23,Donley,Texas,48129.0,24,0.0
86360,2020-04-24,Donley,Texas,48129.0,24,0.0
89175,2020-04-25,Donley,Texas,48129.0,24,0.0
91992,2020-04-26,Donley,Texas,48129.0,24,0.0
94821,2020-04-27,Donley,Texas,48129.0,24,0.0
97661,2020-04-28,Donley,Texas,48129.0,24,0.0
100511,2020-04-29,Donley,Texas,48129.0,24,0.0
103364,2020-04-30,Donley,Texas,48129.0,24,0.0
106228,2020-05-01,Donley,Texas,48129.0,24,0.0
109097,2020-05-02,Donley,Texas,48129.0,25,0.0
111971,2020-05-03,Donley,Texas,48129.0,25,0.0
114853,2020-05-04,Donley,Texas,48129.0,25,0.0
117812,2020-05-05,Donley,Texas,48129.0,25,0.0
120776,2020-05-06,Donley,Texas,48129.0,25,0.0
123755,2020-05-07,Donley,Texas,48129.0,25,0.0
126738,2020-05-08,Donley,Texas,48129.0,25,0.0
129727,2020-05-09,Donley,Texas,48129.0,25,0.0
132717,2020-05-10,Donley,Texas,48129.0,26,0.0
135708,2020-05-11,Donley,Texas,48129.0,26,0.0
138698,2020-05-12,Donley,Texas,48129.0,26,0.0
141694,2020-05-13,Donley,Texas,48129.0,26,0.0
144691,2020-05-14,Donley,Texas,48129.0,26,0.0
147693,2020-05-15,Donley,Texas,48129.0,26,0.0
150701,2020-05-16,Donley,Texas,48129.0,26,0.0
153712,2020-05-17,Donley,Texas,48129.0,26,0.0
156729,2020-05-18,Donley,Texas,48129.0,26,0.0
159751,2020-05-19,Donley,Texas,48129.0,27,0.0
162778,2020-05-20,Donley,Texas,48129.0,26,0.0
165807,2020-05-21,Donley,Texas,48129.0,26,0.0
168843,2020-05-22,Donley,Texas,48129.0,26,0.0
171882,2020-05-23,Donley,Texas,48129.0,26,0.0
174925,2020-05-24,Donley,Texas,48129.0,26,0.0
177969,2020-05-25,Donley,Texas,48129.0,26,0.0
181012,2020-05-26,Donley,Texas,48129.0,26,0.0
184062,2020-05-27,Donley,Texas,48129.0,26,0.0
187119,2020-05-28,Donley,Texas,48129.0,26,0.0
190183,2020-05-29,Donley,Texas,48129.0,26,0.0
193248,2020-05-30,Donley,Texas,48129.0,26,0.0
196318,2020-05-31,Donley,Texas,48129.0,26,0.0
199391,2020-06-01,Donley,Texas,48129.0,26,0.0
202466,2020-06-02,Donley,Texas,48129.0,26,0.0
205545,2020-06-03,Donley,Texas,48129.0,26,0.0
208627,2020-06-04,Donley,Texas,48129.0,27,0.0
211711,2020-06-05,Donley,Texas,48129.0,27,0.0
214798,2020-06-06,Donley,Texas,48129.0,27,0.0
217888,2020-06-07,Donley,Texas,48129.0,27,0.0
220980,2020-06-08,Donley,Texas,48129.0,27,0.0
224075,2020-06-09,Donley,Texas,48129.0,27,0.0
227175,2020-06-10,Donley,Texas,48129.0,27,0.0
230279,2020-06-11,Donley,Texas,48129.0,27,0.0
233383,2020-06-12,Donley,Texas,48129.0,28,0.0
236489,2020-06-13,Donley,Texas,48129.0,28,0.0
239597,2020-06-14,Donley,Texas,48129.0,28,0.0
242707,2020-06-15,Donley,Texas,48129.0,28,0.0
245819,2020-06-16,Donley,Texas,48129.0,28,0.0
248932,2020-06-17,Donley,Texas,48129.0,27,0.0
252047,2020-06-18,Donley,Texas,48129.0,27,0.0
255162,2020-06-19,Donley,Texas,48129.0,27,0.0
258289,2020-06-20,Donley,Texas,48129.0,27,0.0
261416,2020-06-21,Donley,Texas,48129.0,27,0.0
264544,2020-06-22,Donley,Texas,48129.0,27,0.0
267672,2020-06-23,Donley,Texas,48129.0,27,0.0
270806,2020-06-24,Donley,Texas,48129.0,27,0.0
273945,2020-06-25,Donley,Texas,48129.0,27,0.0
277092,2020-06-26,Donley,Texas,48129.0,27,0.0
280240,2020-06-27,Donley,Texas,48129.0,27,0.0
283386,2020-06-28,Donley,Texas,48129.0,27,0.0
286532,2020-06-29,Donley,Texas,48129.0,27,0.0
289682,2020-06-30,Donley,Texas,48129.0,27,0.0
292835,2020-07-01,Donley,Texas,48129.0,27,0.0
295990,2020-07-02,Donley,Texas,48129.0,27,0.0
299150,2020-07-03,Donley,Texas,48129.0,27,0.0
302314,2020-07-04,Donley,Texas,48129.0,27,0.0
305478,2020-07-05,Donley,Texas,48129.0,27,0.0
308646,2020-07-06,Donley,Texas,48129.0,27,0.0
311815,2020-07-07,Donley,Texas,48129.0,28,0.0
314989,2020-07-08,Donley,Texas,48129.0,28,0.0
318162,2020-07-09,Donley,Texas,48129.0,28,0.0
