,date,county,state,fips,cases,deaths
2041,2020-03-14,DuPage,Illinois,17043.0,1,0.0
2432,2020-03-15,DuPage,Illinois,17043.0,1,0.0
2873,2020-03-16,DuPage,Illinois,17043.0,5,0.0
3362,2020-03-17,DuPage,Illinois,17043.0,26,0.0
3925,2020-03-18,DuPage,Illinois,17043.0,45,0.0
4601,2020-03-19,DuPage,Illinois,17043.0,54,0.0
5406,2020-03-20,DuPage,Illinois,17043.0,57,0.0
6341,2020-03-21,DuPage,Illinois,17043.0,68,0.0
7391,2020-03-22,DuPage,Illinois,17043.0,79,0.0
8546,2020-03-23,DuPage,Illinois,17043.0,95,0.0
9809,2020-03-24,DuPage,Illinois,17043.0,103,1.0
11200,2020-03-25,DuPage,Illinois,17043.0,131,1.0
12755,2020-03-26,DuPage,Illinois,17043.0,182,1.0
14431,2020-03-27,DuPage,Illinois,17043.0,199,6.0
16225,2020-03-28,DuPage,Illinois,17043.0,202,6.0
18124,2020-03-29,DuPage,Illinois,17043.0,274,7.0
20126,2020-03-30,DuPage,Illinois,17043.0,320,8.0
22217,2020-03-31,DuPage,Illinois,17043.0,356,10.0
24385,2020-04-01,DuPage,Illinois,17043.0,392,12.0
26618,2020-04-02,DuPage,Illinois,17043.0,448,14.0
28926,2020-04-03,DuPage,Illinois,17043.0,500,16.0
31288,2020-04-04,DuPage,Illinois,17043.0,590,18.0
33697,2020-04-05,DuPage,Illinois,17043.0,656,22.0
36148,2020-04-06,DuPage,Illinois,17043.0,715,22.0
38643,2020-04-07,DuPage,Illinois,17043.0,795,26.0
41187,2020-04-08,DuPage,Illinois,17043.0,875,30.0
43761,2020-04-09,DuPage,Illinois,17043.0,943,36.0
46363,2020-04-10,DuPage,Illinois,17043.0,1008,42.0
48994,2020-04-11,DuPage,Illinois,17043.0,1048,48.0
51656,2020-04-12,DuPage,Illinois,17043.0,1162,50.0
54336,2020-04-13,DuPage,Illinois,17043.0,1223,56.0
57029,2020-04-14,DuPage,Illinois,17043.0,1312,61.0
59736,2020-04-15,DuPage,Illinois,17043.0,1386,66.0
62457,2020-04-16,DuPage,Illinois,17043.0,1463,69.0
65189,2020-04-17,DuPage,Illinois,17043.0,1560,77.0
67937,2020-04-18,DuPage,Illinois,17043.0,1642,83.0
70699,2020-04-19,DuPage,Illinois,17043.0,1695,85.0
73469,2020-04-20,DuPage,Illinois,17043.0,1761,90.0
76245,2020-04-21,DuPage,Illinois,17043.0,1864,98.0
79029,2020-04-22,DuPage,Illinois,17043.0,1947,103.0
81822,2020-04-23,DuPage,Illinois,17043.0,2047,118.0
84622,2020-04-24,DuPage,Illinois,17043.0,2219,125.0
87432,2020-04-25,DuPage,Illinois,17043.0,2311,127.0
90248,2020-04-26,DuPage,Illinois,17043.0,2443,131.0
93067,2020-04-27,DuPage,Illinois,17043.0,2628,133.0
95899,2020-04-28,DuPage,Illinois,17043.0,2736,139.0
98743,2020-04-29,DuPage,Illinois,17043.0,2870,142.0
101594,2020-04-30,DuPage,Illinois,17043.0,3081,163.0
104450,2020-05-01,DuPage,Illinois,17043.0,3256,174.0
107315,2020-05-02,DuPage,Illinois,17043.0,3432,189.0
110185,2020-05-03,DuPage,Illinois,17043.0,3611,192.0
113060,2020-05-04,DuPage,Illinois,17043.0,3803,196.0
115943,2020-05-05,DuPage,Illinois,17043.0,3918,207.0
118903,2020-05-06,DuPage,Illinois,17043.0,4056,220.0
121873,2020-05-07,DuPage,Illinois,17043.0,4213,228.0
124852,2020-05-08,DuPage,Illinois,17043.0,4374,236.0
127839,2020-05-09,DuPage,Illinois,17043.0,4493,247.0
130830,2020-05-10,DuPage,Illinois,17043.0,4603,248.0
133821,2020-05-11,DuPage,Illinois,17043.0,4745,251.0
136810,2020-05-12,DuPage,Illinois,17043.0,5121,258.0
139801,2020-05-13,DuPage,Illinois,17043.0,5244,271.0
142797,2020-05-14,DuPage,Illinois,17043.0,5453,279.0
145797,2020-05-15,DuPage,Illinois,17043.0,5634,287.0
148800,2020-05-16,DuPage,Illinois,17043.0,5780,293.0
151809,2020-05-17,DuPage,Illinois,17043.0,5904,298.0
154821,2020-05-18,DuPage,Illinois,17043.0,6076,300.0
157837,2020-05-19,DuPage,Illinois,17043.0,6171,315.0
160863,2020-05-20,DuPage,Illinois,17043.0,6308,326.0
163891,2020-05-21,DuPage,Illinois,17043.0,6471,332.0
166924,2020-05-22,DuPage,Illinois,17043.0,6744,337.0
169961,2020-05-23,DuPage,Illinois,17043.0,6891,339.0
173002,2020-05-24,DuPage,Illinois,17043.0,7063,340.0
176046,2020-05-25,DuPage,Illinois,17043.0,7207,339.0
179090,2020-05-26,DuPage,Illinois,17043.0,7305,341.0
182134,2020-05-27,DuPage,Illinois,17043.0,7369,347.0
185188,2020-05-28,DuPage,Illinois,17043.0,7479,351.0
188245,2020-05-29,DuPage,Illinois,17043.0,7564,362.0
191310,2020-05-30,DuPage,Illinois,17043.0,7640,368.0
194377,2020-05-31,DuPage,Illinois,17043.0,7717,373.0
197447,2020-06-01,DuPage,Illinois,17043.0,7773,374.0
200520,2020-06-02,DuPage,Illinois,17043.0,7838,380.0
203596,2020-06-03,DuPage,Illinois,17043.0,7915,384.0
206676,2020-06-04,DuPage,Illinois,17043.0,7947,392.0
209757,2020-06-05,DuPage,Illinois,17043.0,8003,394.0
212842,2020-06-06,DuPage,Illinois,17043.0,8070,400.0
215929,2020-06-07,DuPage,Illinois,17043.0,8120,404.0
219020,2020-06-08,DuPage,Illinois,17043.0,8157,406.0
222115,2020-06-09,DuPage,Illinois,17043.0,8223,411.0
225210,2020-06-10,DuPage,Illinois,17043.0,8263,418.0
228312,2020-06-11,DuPage,Illinois,17043.0,8318,425.0
