,date,county,state,fips,cases,deaths
34734,2020-04-05,Emmons,North Dakota,38029.0,1,0.0
37203,2020-04-06,Emmons,North Dakota,38029.0,1,0.0
39720,2020-04-07,Emmons,North Dakota,38029.0,1,1.0
42277,2020-04-08,Emmons,North Dakota,38029.0,1,1.0
44861,2020-04-09,Emmons,North Dakota,38029.0,1,1.0
47474,2020-04-10,Emmons,North Dakota,38029.0,1,1.0
50129,2020-04-11,Emmons,North Dakota,38029.0,1,1.0
52802,2020-04-12,Emmons,North Dakota,38029.0,1,1.0
55486,2020-04-13,Emmons,North Dakota,38029.0,1,1.0
58187,2020-04-14,Emmons,North Dakota,38029.0,1,1.0
60901,2020-04-15,Emmons,North Dakota,38029.0,1,1.0
63627,2020-04-16,Emmons,North Dakota,38029.0,1,1.0
66370,2020-04-17,Emmons,North Dakota,38029.0,1,1.0
69127,2020-04-18,Emmons,North Dakota,38029.0,1,1.0
71893,2020-04-19,Emmons,North Dakota,38029.0,1,1.0
74668,2020-04-20,Emmons,North Dakota,38029.0,1,1.0
77449,2020-04-21,Emmons,North Dakota,38029.0,1,1.0
80238,2020-04-22,Emmons,North Dakota,38029.0,1,1.0
83037,2020-04-23,Emmons,North Dakota,38029.0,1,1.0
85841,2020-04-24,Emmons,North Dakota,38029.0,1,1.0
88654,2020-04-25,Emmons,North Dakota,38029.0,1,1.0
91469,2020-04-26,Emmons,North Dakota,38029.0,1,1.0
94295,2020-04-27,Emmons,North Dakota,38029.0,1,1.0
97132,2020-04-28,Emmons,North Dakota,38029.0,1,1.0
99981,2020-04-29,Emmons,North Dakota,38029.0,1,1.0
102834,2020-04-30,Emmons,North Dakota,38029.0,1,1.0
105696,2020-05-01,Emmons,North Dakota,38029.0,1,1.0
108563,2020-05-02,Emmons,North Dakota,38029.0,1,1.0
111437,2020-05-03,Emmons,North Dakota,38029.0,1,1.0
114318,2020-05-04,Emmons,North Dakota,38029.0,1,1.0
117198,2020-05-05,Emmons,North Dakota,38029.0,1,1.0
120159,2020-05-06,Emmons,North Dakota,38029.0,1,1.0
123135,2020-05-07,Emmons,North Dakota,38029.0,1,1.0
126118,2020-05-08,Emmons,North Dakota,38029.0,1,1.0
129107,2020-05-09,Emmons,North Dakota,38029.0,1,1.0
132096,2020-05-10,Emmons,North Dakota,38029.0,1,1.0
135087,2020-05-11,Emmons,North Dakota,38029.0,1,1.0
138077,2020-05-12,Emmons,North Dakota,38029.0,1,1.0
141073,2020-05-13,Emmons,North Dakota,38029.0,1,1.0
144068,2020-05-14,Emmons,North Dakota,38029.0,1,1.0
147069,2020-05-15,Emmons,North Dakota,38029.0,1,1.0
150076,2020-05-16,Emmons,North Dakota,38029.0,1,1.0
153086,2020-05-17,Emmons,North Dakota,38029.0,1,1.0
156103,2020-05-18,Emmons,North Dakota,38029.0,1,1.0
159123,2020-05-19,Emmons,North Dakota,38029.0,1,1.0
162150,2020-05-20,Emmons,North Dakota,38029.0,1,1.0
165179,2020-05-21,Emmons,North Dakota,38029.0,5,1.0
168214,2020-05-22,Emmons,North Dakota,38029.0,6,1.0
171253,2020-05-23,Emmons,North Dakota,38029.0,6,1.0
174295,2020-05-24,Emmons,North Dakota,38029.0,6,1.0
177339,2020-05-25,Emmons,North Dakota,38029.0,6,1.0
180382,2020-05-26,Emmons,North Dakota,38029.0,4,1.0
183430,2020-05-27,Emmons,North Dakota,38029.0,4,1.0
186487,2020-05-28,Emmons,North Dakota,38029.0,4,1.0
189547,2020-05-29,Emmons,North Dakota,38029.0,4,1.0
192611,2020-05-30,Emmons,North Dakota,38029.0,4,1.0
195681,2020-05-31,Emmons,North Dakota,38029.0,4,1.0
198754,2020-06-01,Emmons,North Dakota,38029.0,4,1.0
201829,2020-06-02,Emmons,North Dakota,38029.0,4,1.0
204906,2020-06-03,Emmons,North Dakota,38029.0,4,1.0
207987,2020-06-04,Emmons,North Dakota,38029.0,4,1.0
211069,2020-06-05,Emmons,North Dakota,38029.0,4,1.0
214153,2020-06-06,Emmons,North Dakota,38029.0,4,1.0
217243,2020-06-07,Emmons,North Dakota,38029.0,4,1.0
220335,2020-06-08,Emmons,North Dakota,38029.0,4,1.0
223429,2020-06-09,Emmons,North Dakota,38029.0,4,1.0
226529,2020-06-10,Emmons,North Dakota,38029.0,4,1.0
229633,2020-06-11,Emmons,North Dakota,38029.0,4,1.0
232738,2020-06-12,Emmons,North Dakota,38029.0,4,1.0
235843,2020-06-13,Emmons,North Dakota,38029.0,4,1.0
238951,2020-06-14,Emmons,North Dakota,38029.0,4,1.0
242060,2020-06-15,Emmons,North Dakota,38029.0,4,1.0
245172,2020-06-16,Emmons,North Dakota,38029.0,4,1.0
248285,2020-06-17,Emmons,North Dakota,38029.0,4,1.0
251400,2020-06-18,Emmons,North Dakota,38029.0,4,1.0
254515,2020-06-19,Emmons,North Dakota,38029.0,4,1.0
257640,2020-06-20,Emmons,North Dakota,38029.0,4,1.0
260767,2020-06-21,Emmons,North Dakota,38029.0,4,1.0
263895,2020-06-22,Emmons,North Dakota,38029.0,4,1.0
267023,2020-06-23,Emmons,North Dakota,38029.0,4,1.0
270157,2020-06-24,Emmons,North Dakota,38029.0,4,1.0
273296,2020-06-25,Emmons,North Dakota,38029.0,4,1.0
276442,2020-06-26,Emmons,North Dakota,38029.0,4,1.0
279590,2020-06-27,Emmons,North Dakota,38029.0,4,1.0
282736,2020-06-28,Emmons,North Dakota,38029.0,4,1.0
285881,2020-06-29,Emmons,North Dakota,38029.0,4,1.0
289031,2020-06-30,Emmons,North Dakota,38029.0,4,1.0
292183,2020-07-01,Emmons,North Dakota,38029.0,4,1.0
295338,2020-07-02,Emmons,North Dakota,38029.0,4,1.0
298498,2020-07-03,Emmons,North Dakota,38029.0,4,1.0
301661,2020-07-04,Emmons,North Dakota,38029.0,4,1.0
304824,2020-07-05,Emmons,North Dakota,38029.0,4,1.0
307991,2020-07-06,Emmons,North Dakota,38029.0,4,1.0
311159,2020-07-07,Emmons,North Dakota,38029.0,4,1.0
314330,2020-07-08,Emmons,North Dakota,38029.0,4,1.0
317504,2020-07-09,Emmons,North Dakota,38029.0,4,1.0
320681,2020-07-10,Emmons,North Dakota,38029.0,4,1.0
323861,2020-07-11,Emmons,North Dakota,38029.0,4,1.0
327045,2020-07-12,Emmons,North Dakota,38029.0,4,1.0
330232,2020-07-13,Emmons,North Dakota,38029.0,4,1.0
333422,2020-07-14,Emmons,North Dakota,38029.0,5,1.0
336616,2020-07-15,Emmons,North Dakota,38029.0,5,1.0
339812,2020-07-16,Emmons,North Dakota,38029.0,7,1.0
343010,2020-07-17,Emmons,North Dakota,38029.0,7,1.0
346209,2020-07-18,Emmons,North Dakota,38029.0,7,1.0
349410,2020-07-19,Emmons,North Dakota,38029.0,8,1.0
352613,2020-07-20,Emmons,North Dakota,38029.0,9,1.0
355816,2020-07-21,Emmons,North Dakota,38029.0,9,1.0
359020,2020-07-22,Emmons,North Dakota,38029.0,10,1.0
362226,2020-07-23,Emmons,North Dakota,38029.0,10,1.0
365432,2020-07-24,Emmons,North Dakota,38029.0,11,1.0
368641,2020-07-25,Emmons,North Dakota,38029.0,12,1.0
371853,2020-07-26,Emmons,North Dakota,38029.0,14,1.0
375065,2020-07-27,Emmons,North Dakota,38029.0,14,1.0
378282,2020-07-28,Emmons,North Dakota,38029.0,14,1.0
381499,2020-07-29,Emmons,North Dakota,38029.0,14,1.0
384717,2020-07-30,Emmons,North Dakota,38029.0,15,1.0
387934,2020-07-31,Emmons,North Dakota,38029.0,15,1.0
391151,2020-08-01,Emmons,North Dakota,38029.0,15,1.0
394367,2020-08-02,Emmons,North Dakota,38029.0,15,1.0
397584,2020-08-03,Emmons,North Dakota,38029.0,16,1.0
400799,2020-08-04,Emmons,North Dakota,38029.0,17,1.0
404017,2020-08-05,Emmons,North Dakota,38029.0,17,1.0
407236,2020-08-06,Emmons,North Dakota,38029.0,17,1.0
410456,2020-08-07,Emmons,North Dakota,38029.0,17,1.0
413676,2020-08-08,Emmons,North Dakota,38029.0,17,1.0
416897,2020-08-09,Emmons,North Dakota,38029.0,17,1.0
420117,2020-08-10,Emmons,North Dakota,38029.0,17,1.0
423340,2020-08-11,Emmons,North Dakota,38029.0,17,1.0
426563,2020-08-12,Emmons,North Dakota,38029.0,18,1.0
429788,2020-08-13,Emmons,North Dakota,38029.0,18,1.0
433014,2020-08-14,Emmons,North Dakota,38029.0,19,1.0
436240,2020-08-15,Emmons,North Dakota,38029.0,23,1.0
439465,2020-08-16,Emmons,North Dakota,38029.0,23,1.0
442692,2020-08-17,Emmons,North Dakota,38029.0,23,1.0
445918,2020-08-18,Emmons,North Dakota,38029.0,23,1.0
449146,2020-08-19,Emmons,North Dakota,38029.0,23,1.0
452374,2020-08-20,Emmons,North Dakota,38029.0,24,1.0
455602,2020-08-21,Emmons,North Dakota,38029.0,24,1.0
458830,2020-08-22,Emmons,North Dakota,38029.0,24,1.0
462058,2020-08-23,Emmons,North Dakota,38029.0,24,1.0
465287,2020-08-24,Emmons,North Dakota,38029.0,24,1.0
468515,2020-08-25,Emmons,North Dakota,38029.0,24,1.0
471747,2020-08-26,Emmons,North Dakota,38029.0,25,1.0
474981,2020-08-27,Emmons,North Dakota,38029.0,25,1.0
478214,2020-08-28,Emmons,North Dakota,38029.0,25,1.0
481447,2020-08-29,Emmons,North Dakota,38029.0,26,1.0
484682,2020-08-30,Emmons,North Dakota,38029.0,26,1.0
487915,2020-08-31,Emmons,North Dakota,38029.0,27,1.0
491148,2020-09-01,Emmons,North Dakota,38029.0,27,1.0
494382,2020-09-02,Emmons,North Dakota,38029.0,27,1.0
497615,2020-09-03,Emmons,North Dakota,38029.0,27,1.0
500849,2020-09-04,Emmons,North Dakota,38029.0,27,1.0
504083,2020-09-05,Emmons,North Dakota,38029.0,32,1.0
507315,2020-09-06,Emmons,North Dakota,38029.0,32,1.0
510548,2020-09-07,Emmons,North Dakota,38029.0,33,1.0
513781,2020-09-08,Emmons,North Dakota,38029.0,34,1.0
517016,2020-09-09,Emmons,North Dakota,38029.0,35,1.0
520252,2020-09-10,Emmons,North Dakota,38029.0,35,1.0
523488,2020-09-11,Emmons,North Dakota,38029.0,35,1.0
526724,2020-09-12,Emmons,North Dakota,38029.0,40,1.0
529961,2020-09-13,Emmons,North Dakota,38029.0,50,1.0
533196,2020-09-14,Emmons,North Dakota,38029.0,52,1.0
536432,2020-09-15,Emmons,North Dakota,38029.0,55,1.0
539669,2020-09-16,Emmons,North Dakota,38029.0,63,1.0
542905,2020-09-17,Emmons,North Dakota,38029.0,81,1.0
546142,2020-09-18,Emmons,North Dakota,38029.0,84,1.0
549381,2020-09-19,Emmons,North Dakota,38029.0,108,1.0
