,date,county,state,fips,cases,deaths
2568,2020-03-15,Erie,New York,36029.0,3,0.0
3027,2020-03-16,Erie,New York,36029.0,6,0.0
3543,2020-03-17,Erie,New York,36029.0,7,0.0
4140,2020-03-18,Erie,New York,36029.0,7,0.0
4869,2020-03-19,Erie,New York,36029.0,28,0.0
5716,2020-03-20,Erie,New York,36029.0,31,0.0
5854,2020-03-20,Erie,Pennsylvania,42049.0,1,0.0
6710,2020-03-21,Erie,New York,36029.0,38,0.0
6795,2020-03-21,Erie,Ohio,39043.0,1,1.0
6857,2020-03-21,Erie,Pennsylvania,42049.0,1,0.0
7804,2020-03-22,Erie,New York,36029.0,54,0.0
7903,2020-03-22,Erie,Ohio,39043.0,1,1.0
7974,2020-03-22,Erie,Pennsylvania,42049.0,2,0.0
9002,2020-03-23,Erie,New York,36029.0,87,0.0
9106,2020-03-23,Erie,Ohio,39043.0,1,1.0
9185,2020-03-23,Erie,Pennsylvania,42049.0,3,0.0
10309,2020-03-24,Erie,New York,36029.0,107,0.0
10420,2020-03-24,Erie,Ohio,39043.0,1,1.0
10508,2020-03-24,Erie,Pennsylvania,42049.0,4,0.0
11744,2020-03-25,Erie,New York,36029.0,122,0.0
11867,2020-03-25,Erie,Ohio,39043.0,2,1.0
11970,2020-03-25,Erie,Pennsylvania,42049.0,4,0.0
13347,2020-03-26,Erie,New York,36029.0,134,2.0
13474,2020-03-26,Erie,Ohio,39043.0,3,1.0
13590,2020-03-26,Erie,Pennsylvania,42049.0,4,0.0
15081,2020-03-27,Erie,New York,36029.0,219,6.0
15211,2020-03-27,Erie,Ohio,39043.0,3,1.0
15336,2020-03-27,Erie,Pennsylvania,42049.0,7,0.0
16911,2020-03-28,Erie,New York,36029.0,354,6.0
17053,2020-03-28,Erie,Ohio,39043.0,5,1.0
17185,2020-03-28,Erie,Pennsylvania,42049.0,7,0.0
18835,2020-03-29,Erie,New York,36029.0,380,6.0
18987,2020-03-29,Erie,Ohio,39043.0,5,1.0
19123,2020-03-29,Erie,Pennsylvania,42049.0,7,0.0
20874,2020-03-30,Erie,New York,36029.0,443,8.0
21031,2020-03-30,Erie,Ohio,39043.0,5,1.0
21173,2020-03-30,Erie,Pennsylvania,42049.0,13,0.0
22997,2020-03-31,Erie,New York,36029.0,438,8.0
23163,2020-03-31,Erie,Ohio,39043.0,5,1.0
23309,2020-03-31,Erie,Pennsylvania,42049.0,14,0.0
25191,2020-04-01,Erie,New York,36029.0,553,12.0
25358,2020-04-01,Erie,Ohio,39043.0,5,1.0
25507,2020-04-01,Erie,Pennsylvania,42049.0,15,0.0
27451,2020-04-02,Erie,New York,36029.0,734,19.0
27624,2020-04-02,Erie,Ohio,39043.0,5,1.0
27779,2020-04-02,Erie,Pennsylvania,42049.0,16,0.0
29775,2020-04-03,Erie,New York,36029.0,802,22.0
29953,2020-04-03,Erie,Ohio,39043.0,6,1.0
30113,2020-04-03,Erie,Pennsylvania,42049.0,17,0.0
32161,2020-04-04,Erie,New York,36029.0,945,26.0
32342,2020-04-04,Erie,Ohio,39043.0,6,1.0
32503,2020-04-04,Erie,Pennsylvania,42049.0,19,1.0
34592,2020-04-05,Erie,New York,36029.0,1059,27.0
34775,2020-04-05,Erie,Ohio,39043.0,8,1.0
34938,2020-04-05,Erie,Pennsylvania,42049.0,19,1.0
37062,2020-04-06,Erie,New York,36029.0,1163,30.0
37244,2020-04-06,Erie,Ohio,39043.0,10,1.0
37413,2020-04-06,Erie,Pennsylvania,42049.0,20,1.0
39577,2020-04-07,Erie,New York,36029.0,1163,36.0
39761,2020-04-07,Erie,Ohio,39043.0,10,1.0
39935,2020-04-07,Erie,Pennsylvania,42049.0,28,1.0
42134,2020-04-08,Erie,New York,36029.0,1205,38.0
42319,2020-04-08,Erie,Ohio,39043.0,10,1.0
42495,2020-04-08,Erie,Pennsylvania,42049.0,29,1.0
44717,2020-04-09,Erie,New York,36029.0,1362,46.0
44904,2020-04-09,Erie,Ohio,39043.0,10,1.0
45081,2020-04-09,Erie,Pennsylvania,42049.0,32,1.0
47330,2020-04-10,Erie,New York,36029.0,1409,58.0
47519,2020-04-10,Erie,Ohio,39043.0,10,1.0
47698,2020-04-10,Erie,Pennsylvania,42049.0,36,1.0
49985,2020-04-11,Erie,New York,36029.0,1472,62.0
50174,2020-04-11,Erie,Ohio,39043.0,10,1.0
50355,2020-04-11,Erie,Pennsylvania,42049.0,39,1.0
52658,2020-04-12,Erie,New York,36029.0,1571,75.0
52847,2020-04-12,Erie,Ohio,39043.0,10,1.0
53028,2020-04-12,Erie,Pennsylvania,42049.0,39,1.0
55341,2020-04-13,Erie,New York,36029.0,1624,86.0
55531,2020-04-13,Erie,Ohio,39043.0,12,1.0
55713,2020-04-13,Erie,Pennsylvania,42049.0,39,1.0
58041,2020-04-14,Erie,New York,36029.0,1668,99.0
58232,2020-04-14,Erie,Ohio,39043.0,14,1.0
58416,2020-04-14,Erie,Pennsylvania,42049.0,41,1.0
60755,2020-04-15,Erie,New York,36029.0,1751,110.0
60946,2020-04-15,Erie,Ohio,39043.0,16,1.0
61131,2020-04-15,Erie,Pennsylvania,42049.0,42,1.0
63481,2020-04-16,Erie,New York,36029.0,1850,115.0
63672,2020-04-16,Erie,Ohio,39043.0,19,1.0
63857,2020-04-16,Erie,Pennsylvania,42049.0,46,1.0
66223,2020-04-17,Erie,New York,36029.0,1929,115.0
66415,2020-04-17,Erie,Ohio,39043.0,23,1.0
66603,2020-04-17,Erie,Pennsylvania,42049.0,49,1.0
68980,2020-04-18,Erie,New York,36029.0,1997,115.0
69172,2020-04-18,Erie,Ohio,39043.0,27,1.0
69361,2020-04-18,Erie,Pennsylvania,42049.0,58,1.0
71747,2020-04-19,Erie,New York,36029.0,2070,146.0
71939,2020-04-19,Erie,Ohio,39043.0,33,2.0
72128,2020-04-19,Erie,Pennsylvania,42049.0,58,1.0
74522,2020-04-20,Erie,New York,36029.0,2109,153.0
74714,2020-04-20,Erie,Ohio,39043.0,37,2.0
74903,2020-04-20,Erie,Pennsylvania,42049.0,60,1.0
77303,2020-04-21,Erie,New York,36029.0,2147,161.0
77495,2020-04-21,Erie,Ohio,39043.0,37,3.0
77685,2020-04-21,Erie,Pennsylvania,42049.0,60,1.0
