date,county,state,fips,cases,deaths
2020-03-27,Faulk,South Dakota,46049.0,1,0.0
2020-03-28,Faulk,South Dakota,46049.0,1,0.0
2020-03-29,Faulk,South Dakota,46049.0,1,0.0
2020-03-30,Faulk,South Dakota,46049.0,1,0.0
2020-03-31,Faulk,South Dakota,46049.0,1,0.0
2020-04-01,Faulk,South Dakota,46049.0,1,0.0
2020-04-02,Faulk,South Dakota,46049.0,1,0.0
2020-04-03,Faulk,South Dakota,46049.0,1,0.0
2020-04-04,Faulk,South Dakota,46049.0,1,0.0
2020-04-05,Faulk,South Dakota,46049.0,1,0.0
2020-04-06,Faulk,South Dakota,46049.0,1,0.0
2020-04-07,Faulk,South Dakota,46049.0,1,0.0
2020-04-08,Faulk,South Dakota,46049.0,1,0.0
2020-04-09,Faulk,South Dakota,46049.0,1,0.0
2020-04-10,Faulk,South Dakota,46049.0,1,0.0
2020-04-11,Faulk,South Dakota,46049.0,1,0.0
2020-04-12,Faulk,South Dakota,46049.0,1,0.0
2020-04-13,Faulk,South Dakota,46049.0,1,0.0
2020-04-14,Faulk,South Dakota,46049.0,1,0.0
2020-04-15,Faulk,South Dakota,46049.0,1,0.0
2020-04-16,Faulk,South Dakota,46049.0,1,0.0
2020-04-17,Faulk,South Dakota,46049.0,1,0.0
2020-04-18,Faulk,South Dakota,46049.0,1,0.0
2020-04-19,Faulk,South Dakota,46049.0,1,0.0
2020-04-20,Faulk,South Dakota,46049.0,1,0.0
2020-04-21,Faulk,South Dakota,46049.0,1,0.0
2020-04-22,Faulk,South Dakota,46049.0,1,0.0
2020-04-23,Faulk,South Dakota,46049.0,1,0.0
2020-04-24,Faulk,South Dakota,46049.0,1,0.0
2020-04-25,Faulk,South Dakota,46049.0,1,0.0
2020-04-26,Faulk,South Dakota,46049.0,1,0.0
2020-04-27,Faulk,South Dakota,46049.0,1,0.0
2020-04-28,Faulk,South Dakota,46049.0,1,0.0
2020-04-29,Faulk,South Dakota,46049.0,1,0.0
2020-04-30,Faulk,South Dakota,46049.0,1,0.0
2020-05-01,Faulk,South Dakota,46049.0,1,0.0
2020-05-02,Faulk,South Dakota,46049.0,1,0.0
2020-05-03,Faulk,South Dakota,46049.0,1,0.0
2020-05-04,Faulk,South Dakota,46049.0,1,0.0
2020-05-05,Faulk,South Dakota,46049.0,1,0.0
2020-05-06,Faulk,South Dakota,46049.0,1,0.0
2020-05-07,Faulk,South Dakota,46049.0,1,0.0
2020-05-08,Faulk,South Dakota,46049.0,1,0.0
2020-05-09,Faulk,South Dakota,46049.0,1,0.0
2020-05-10,Faulk,South Dakota,46049.0,1,0.0
2020-05-11,Faulk,South Dakota,46049.0,1,0.0
2020-05-12,Faulk,South Dakota,46049.0,1,0.0
2020-05-13,Faulk,South Dakota,46049.0,1,0.0
2020-05-14,Faulk,South Dakota,46049.0,1,0.0
2020-05-15,Faulk,South Dakota,46049.0,1,0.0
2020-05-16,Faulk,South Dakota,46049.0,1,0.0
2020-05-17,Faulk,South Dakota,46049.0,1,0.0
2020-05-18,Faulk,South Dakota,46049.0,1,0.0
