,date,county,state,fips,cases,deaths
21309,2020-03-30,Fentress,Tennessee,47049.0,1,0.0
23447,2020-03-31,Fentress,Tennessee,47049.0,1,0.0
25646,2020-04-01,Fentress,Tennessee,47049.0,1,0.0
27924,2020-04-02,Fentress,Tennessee,47049.0,1,0.0
30259,2020-04-03,Fentress,Tennessee,47049.0,1,0.0
32650,2020-04-04,Fentress,Tennessee,47049.0,1,0.0
35086,2020-04-05,Fentress,Tennessee,47049.0,2,0.0
37562,2020-04-06,Fentress,Tennessee,47049.0,2,0.0
40085,2020-04-07,Fentress,Tennessee,47049.0,2,0.0
42647,2020-04-08,Fentress,Tennessee,47049.0,2,0.0
45234,2020-04-09,Fentress,Tennessee,47049.0,2,0.0
47852,2020-04-10,Fentress,Tennessee,47049.0,2,0.0
50510,2020-04-11,Fentress,Tennessee,47049.0,2,0.0
53185,2020-04-12,Fentress,Tennessee,47049.0,2,0.0
55871,2020-04-13,Fentress,Tennessee,47049.0,2,0.0
58574,2020-04-14,Fentress,Tennessee,47049.0,3,0.0
61289,2020-04-15,Fentress,Tennessee,47049.0,3,0.0
64016,2020-04-16,Fentress,Tennessee,47049.0,4,0.0
66762,2020-04-17,Fentress,Tennessee,47049.0,4,0.0
69521,2020-04-18,Fentress,Tennessee,47049.0,4,0.0
72288,2020-04-19,Fentress,Tennessee,47049.0,4,0.0
75063,2020-04-20,Fentress,Tennessee,47049.0,4,0.0
77845,2020-04-21,Fentress,Tennessee,47049.0,4,0.0
80635,2020-04-22,Fentress,Tennessee,47049.0,4,0.0
83434,2020-04-23,Fentress,Tennessee,47049.0,4,0.0
86239,2020-04-24,Fentress,Tennessee,47049.0,4,0.0
89054,2020-04-25,Fentress,Tennessee,47049.0,4,0.0
91871,2020-04-26,Fentress,Tennessee,47049.0,4,0.0
94699,2020-04-27,Fentress,Tennessee,47049.0,4,0.0
97539,2020-04-28,Fentress,Tennessee,47049.0,4,0.0
100389,2020-04-29,Fentress,Tennessee,47049.0,4,0.0
103242,2020-04-30,Fentress,Tennessee,47049.0,4,0.0
106105,2020-05-01,Fentress,Tennessee,47049.0,4,0.0
108972,2020-05-02,Fentress,Tennessee,47049.0,4,0.0
111846,2020-05-03,Fentress,Tennessee,47049.0,4,0.0
114728,2020-05-04,Fentress,Tennessee,47049.0,5,0.0
117684,2020-05-05,Fentress,Tennessee,47049.0,5,0.0
120648,2020-05-06,Fentress,Tennessee,47049.0,5,0.0
123626,2020-05-07,Fentress,Tennessee,47049.0,5,0.0
126609,2020-05-08,Fentress,Tennessee,47049.0,5,0.0
129598,2020-05-09,Fentress,Tennessee,47049.0,6,0.0
132587,2020-05-10,Fentress,Tennessee,47049.0,6,0.0
135578,2020-05-11,Fentress,Tennessee,47049.0,6,0.0
138568,2020-05-12,Fentress,Tennessee,47049.0,6,0.0
141564,2020-05-13,Fentress,Tennessee,47049.0,6,0.0
144561,2020-05-14,Fentress,Tennessee,47049.0,6,0.0
147562,2020-05-15,Fentress,Tennessee,47049.0,6,0.0
150570,2020-05-16,Fentress,Tennessee,47049.0,6,0.0
153581,2020-05-17,Fentress,Tennessee,47049.0,6,0.0
156598,2020-05-18,Fentress,Tennessee,47049.0,6,0.0
159619,2020-05-19,Fentress,Tennessee,47049.0,9,0.0
162646,2020-05-20,Fentress,Tennessee,47049.0,9,0.0
165675,2020-05-21,Fentress,Tennessee,47049.0,9,0.0
168711,2020-05-22,Fentress,Tennessee,47049.0,9,0.0
171750,2020-05-23,Fentress,Tennessee,47049.0,9,0.0
174793,2020-05-24,Fentress,Tennessee,47049.0,10,0.0
177837,2020-05-25,Fentress,Tennessee,47049.0,11,0.0
180880,2020-05-26,Fentress,Tennessee,47049.0,12,0.0
183930,2020-05-27,Fentress,Tennessee,47049.0,12,0.0
186987,2020-05-28,Fentress,Tennessee,47049.0,12,0.0
190051,2020-05-29,Fentress,Tennessee,47049.0,12,0.0
193116,2020-05-30,Fentress,Tennessee,47049.0,12,0.0
196186,2020-05-31,Fentress,Tennessee,47049.0,12,0.0
199259,2020-06-01,Fentress,Tennessee,47049.0,12,0.0
202334,2020-06-02,Fentress,Tennessee,47049.0,12,0.0
205413,2020-06-03,Fentress,Tennessee,47049.0,12,0.0
208495,2020-06-04,Fentress,Tennessee,47049.0,12,0.0
211577,2020-06-05,Fentress,Tennessee,47049.0,12,0.0
214664,2020-06-06,Fentress,Tennessee,47049.0,12,0.0
217754,2020-06-07,Fentress,Tennessee,47049.0,12,0.0
220846,2020-06-08,Fentress,Tennessee,47049.0,12,0.0
223941,2020-06-09,Fentress,Tennessee,47049.0,13,0.0
227041,2020-06-10,Fentress,Tennessee,47049.0,13,0.0
230145,2020-06-11,Fentress,Tennessee,47049.0,13,0.0
233250,2020-06-12,Fentress,Tennessee,47049.0,14,0.0
236356,2020-06-13,Fentress,Tennessee,47049.0,14,0.0
239464,2020-06-14,Fentress,Tennessee,47049.0,14,0.0
242574,2020-06-15,Fentress,Tennessee,47049.0,14,0.0
245686,2020-06-16,Fentress,Tennessee,47049.0,15,0.0
248799,2020-06-17,Fentress,Tennessee,47049.0,15,0.0
251914,2020-06-18,Fentress,Tennessee,47049.0,15,0.0
255029,2020-06-19,Fentress,Tennessee,47049.0,15,0.0
258155,2020-06-20,Fentress,Tennessee,47049.0,15,0.0
261282,2020-06-21,Fentress,Tennessee,47049.0,15,0.0
264410,2020-06-22,Fentress,Tennessee,47049.0,15,0.0
267538,2020-06-23,Fentress,Tennessee,47049.0,15,0.0
270672,2020-06-24,Fentress,Tennessee,47049.0,15,0.0
273811,2020-06-25,Fentress,Tennessee,47049.0,15,0.0
276958,2020-06-26,Fentress,Tennessee,47049.0,15,0.0
280106,2020-06-27,Fentress,Tennessee,47049.0,16,0.0
283252,2020-06-28,Fentress,Tennessee,47049.0,16,0.0
286397,2020-06-29,Fentress,Tennessee,47049.0,17,0.0
289548,2020-06-30,Fentress,Tennessee,47049.0,17,0.0
292700,2020-07-01,Fentress,Tennessee,47049.0,18,0.0
295856,2020-07-02,Fentress,Tennessee,47049.0,19,0.0
299016,2020-07-03,Fentress,Tennessee,47049.0,22,0.0
302180,2020-07-04,Fentress,Tennessee,47049.0,22,0.0
305343,2020-07-05,Fentress,Tennessee,47049.0,22,0.0
308511,2020-07-06,Fentress,Tennessee,47049.0,23,0.0
311680,2020-07-07,Fentress,Tennessee,47049.0,24,0.0
314854,2020-07-08,Fentress,Tennessee,47049.0,25,0.0
318027,2020-07-09,Fentress,Tennessee,47049.0,25,0.0
321205,2020-07-10,Fentress,Tennessee,47049.0,27,0.0
324386,2020-07-11,Fentress,Tennessee,47049.0,26,0.0
327571,2020-07-12,Fentress,Tennessee,47049.0,27,0.0
330757,2020-07-13,Fentress,Tennessee,47049.0,29,0.0
333949,2020-07-14,Fentress,Tennessee,47049.0,29,0.0
337143,2020-07-15,Fentress,Tennessee,47049.0,35,0.0
340340,2020-07-16,Fentress,Tennessee,47049.0,36,0.0
343538,2020-07-17,Fentress,Tennessee,47049.0,38,0.0
346738,2020-07-18,Fentress,Tennessee,47049.0,40,0.0
349938,2020-07-19,Fentress,Tennessee,47049.0,40,0.0
353141,2020-07-20,Fentress,Tennessee,47049.0,41,0.0
356344,2020-07-21,Fentress,Tennessee,47049.0,45,0.0
359548,2020-07-22,Fentress,Tennessee,47049.0,46,0.0
362755,2020-07-23,Fentress,Tennessee,47049.0,48,0.0
365961,2020-07-24,Fentress,Tennessee,47049.0,48,0.0
369170,2020-07-25,Fentress,Tennessee,47049.0,49,0.0
372382,2020-07-26,Fentress,Tennessee,47049.0,50,0.0
375595,2020-07-27,Fentress,Tennessee,47049.0,56,0.0
378811,2020-07-28,Fentress,Tennessee,47049.0,61,0.0
382028,2020-07-29,Fentress,Tennessee,47049.0,63,0.0
385246,2020-07-30,Fentress,Tennessee,47049.0,66,0.0
388463,2020-07-31,Fentress,Tennessee,47049.0,71,0.0
391680,2020-08-01,Fentress,Tennessee,47049.0,73,0.0
394896,2020-08-02,Fentress,Tennessee,47049.0,74,0.0
398113,2020-08-03,Fentress,Tennessee,47049.0,74,0.0
401328,2020-08-04,Fentress,Tennessee,47049.0,76,0.0
404546,2020-08-05,Fentress,Tennessee,47049.0,76,0.0
407766,2020-08-06,Fentress,Tennessee,47049.0,79,0.0
410985,2020-08-07,Fentress,Tennessee,47049.0,88,0.0
