date,county,state,fips,cases,deaths
2020-03-20,Fillmore,Minnesota,27045.0,2,0.0
2020-03-21,Fillmore,Minnesota,27045.0,2,0.0
2020-03-22,Fillmore,Minnesota,27045.0,2,0.0
2020-03-23,Fillmore,Minnesota,27045.0,3,0.0
2020-03-24,Fillmore,Minnesota,27045.0,3,0.0
2020-03-25,Fillmore,Minnesota,27045.0,3,0.0
2020-03-26,Fillmore,Minnesota,27045.0,3,0.0
2020-03-27,Fillmore,Minnesota,27045.0,3,0.0
2020-03-28,Fillmore,Minnesota,27045.0,5,0.0
2020-03-29,Fillmore,Minnesota,27045.0,6,0.0
2020-03-30,Fillmore,Minnesota,27045.0,7,0.0
2020-03-31,Fillmore,Minnesota,27045.0,8,0.0
2020-04-01,Fillmore,Minnesota,27045.0,8,0.0
2020-04-02,Fillmore,Minnesota,27045.0,9,0.0
2020-04-03,Fillmore,Minnesota,27045.0,9,0.0
2020-04-04,Fillmore,Minnesota,27045.0,9,0.0
2020-04-05,Fillmore,Minnesota,27045.0,10,0.0
2020-04-06,Fillmore,Minnesota,27045.0,10,0.0
2020-04-07,Fillmore,Minnesota,27045.0,10,0.0
2020-04-08,Fillmore,Minnesota,27045.0,10,0.0
2020-04-09,Fillmore,Minnesota,27045.0,10,0.0
2020-04-10,Fillmore,Minnesota,27045.0,10,0.0
2020-04-11,Fillmore,Minnesota,27045.0,10,0.0
2020-04-12,Fillmore,Minnesota,27045.0,10,0.0
2020-04-13,Fillmore,Minnesota,27045.0,10,0.0
2020-04-14,Fillmore,Minnesota,27045.0,10,0.0
2020-04-15,Fillmore,Minnesota,27045.0,10,0.0
2020-04-16,Fillmore,Minnesota,27045.0,10,0.0
2020-04-17,Fillmore,Minnesota,27045.0,10,0.0
2020-04-18,Fillmore,Minnesota,27045.0,11,0.0
2020-04-19,Fillmore,Minnesota,27045.0,10,0.0
2020-04-20,Fillmore,Minnesota,27045.0,11,0.0
2020-04-21,Fillmore,Minnesota,27045.0,11,0.0
2020-04-22,Fillmore,Minnesota,27045.0,11,0.0
2020-04-22,Fillmore,Nebraska,31059.0,1,0.0
2020-04-23,Fillmore,Minnesota,27045.0,12,1.0
2020-04-23,Fillmore,Nebraska,31059.0,1,0.0
2020-04-24,Fillmore,Minnesota,27045.0,12,1.0
2020-04-24,Fillmore,Nebraska,31059.0,1,0.0
2020-04-25,Fillmore,Minnesota,27045.0,12,1.0
2020-04-25,Fillmore,Nebraska,31059.0,1,0.0
2020-04-26,Fillmore,Minnesota,27045.0,12,1.0
2020-04-26,Fillmore,Nebraska,31059.0,1,0.0
2020-04-27,Fillmore,Minnesota,27045.0,12,1.0
2020-04-27,Fillmore,Nebraska,31059.0,1,0.0
2020-04-28,Fillmore,Minnesota,27045.0,12,1.0
2020-04-28,Fillmore,Nebraska,31059.0,1,0.0
2020-04-29,Fillmore,Minnesota,27045.0,12,1.0
2020-04-29,Fillmore,Nebraska,31059.0,1,0.0
2020-04-30,Fillmore,Minnesota,27045.0,12,1.0
2020-04-30,Fillmore,Nebraska,31059.0,1,0.0
2020-05-01,Fillmore,Minnesota,27045.0,12,1.0
2020-05-01,Fillmore,Nebraska,31059.0,1,0.0
2020-05-02,Fillmore,Minnesota,27045.0,13,1.0
2020-05-02,Fillmore,Nebraska,31059.0,2,0.0
2020-05-03,Fillmore,Minnesota,27045.0,13,1.0
2020-05-03,Fillmore,Nebraska,31059.0,2,0.0
2020-05-04,Fillmore,Minnesota,27045.0,13,1.0
2020-05-04,Fillmore,Nebraska,31059.0,2,0.0
2020-05-05,Fillmore,Minnesota,27045.0,12,1.0
2020-05-05,Fillmore,Nebraska,31059.0,3,0.0
2020-05-06,Fillmore,Minnesota,27045.0,12,1.0
2020-05-06,Fillmore,Nebraska,31059.0,3,0.0
2020-05-07,Fillmore,Minnesota,27045.0,12,1.0
2020-05-07,Fillmore,Nebraska,31059.0,3,0.0
2020-05-08,Fillmore,Minnesota,27045.0,12,1.0
2020-05-08,Fillmore,Nebraska,31059.0,3,0.0
2020-05-09,Fillmore,Minnesota,27045.0,12,1.0
2020-05-09,Fillmore,Nebraska,31059.0,3,0.0
2020-05-10,Fillmore,Minnesota,27045.0,13,1.0
2020-05-10,Fillmore,Nebraska,31059.0,3,0.0
2020-05-11,Fillmore,Minnesota,27045.0,13,1.0
2020-05-11,Fillmore,Nebraska,31059.0,3,0.0
2020-05-12,Fillmore,Minnesota,27045.0,14,1.0
2020-05-12,Fillmore,Nebraska,31059.0,3,0.0
2020-05-13,Fillmore,Minnesota,27045.0,14,1.0
2020-05-13,Fillmore,Nebraska,31059.0,3,0.0
2020-05-14,Fillmore,Minnesota,27045.0,16,1.0
2020-05-14,Fillmore,Nebraska,31059.0,4,0.0
2020-05-15,Fillmore,Minnesota,27045.0,17,1.0
2020-05-15,Fillmore,Nebraska,31059.0,4,0.0
2020-05-16,Fillmore,Minnesota,27045.0,17,1.0
2020-05-16,Fillmore,Nebraska,31059.0,4,0.0
2020-05-17,Fillmore,Minnesota,27045.0,17,1.0
2020-05-17,Fillmore,Nebraska,31059.0,4,0.0
2020-05-18,Fillmore,Minnesota,27045.0,17,1.0
2020-05-18,Fillmore,Nebraska,31059.0,4,0.0
2020-05-19,Fillmore,Minnesota,27045.0,17,1.0
2020-05-19,Fillmore,Nebraska,31059.0,4,0.0
2020-05-20,Fillmore,Minnesota,27045.0,17,1.0
2020-05-20,Fillmore,Nebraska,31059.0,5,0.0
2020-05-21,Fillmore,Minnesota,27045.0,17,1.0
2020-05-21,Fillmore,Nebraska,31059.0,5,0.0
2020-05-22,Fillmore,Minnesota,27045.0,17,1.0
2020-05-22,Fillmore,Nebraska,31059.0,5,0.0
2020-05-23,Fillmore,Minnesota,27045.0,17,1.0
2020-05-23,Fillmore,Nebraska,31059.0,5,0.0
2020-05-24,Fillmore,Minnesota,27045.0,17,1.0
2020-05-24,Fillmore,Nebraska,31059.0,5,0.0
2020-05-25,Fillmore,Minnesota,27045.0,17,1.0
2020-05-25,Fillmore,Nebraska,31059.0,5,0.0
