,date,county,state,fips,cases,deaths
27358,2020-04-02,Gage,Nebraska,31067.0,1,1.0
29681,2020-04-03,Gage,Nebraska,31067.0,2,1.0
32064,2020-04-04,Gage,Nebraska,31067.0,2,1.0
34492,2020-04-05,Gage,Nebraska,31067.0,9,1.0
36961,2020-04-06,Gage,Nebraska,31067.0,9,1.0
39477,2020-04-07,Gage,Nebraska,31067.0,23,1.0
42033,2020-04-08,Gage,Nebraska,31067.0,23,1.0
44614,2020-04-09,Gage,Nebraska,31067.0,24,1.0
47226,2020-04-10,Gage,Nebraska,31067.0,25,1.0
49876,2020-04-11,Gage,Nebraska,31067.0,25,1.0
52550,2020-04-12,Gage,Nebraska,31067.0,26,1.0
55231,2020-04-13,Gage,Nebraska,31067.0,26,1.0
57930,2020-04-14,Gage,Nebraska,31067.0,26,1.0
60644,2020-04-15,Gage,Nebraska,31067.0,26,1.0
63367,2020-04-16,Gage,Nebraska,31067.0,26,2.0
66108,2020-04-17,Gage,Nebraska,31067.0,27,2.0
68863,2020-04-18,Gage,Nebraska,31067.0,28,2.0
71630,2020-04-19,Gage,Nebraska,31067.0,28,2.0
74404,2020-04-20,Gage,Nebraska,31067.0,28,2.0
77184,2020-04-21,Gage,Nebraska,31067.0,28,2.0
79973,2020-04-22,Gage,Nebraska,31067.0,28,2.0
82769,2020-04-23,Gage,Nebraska,31067.0,28,2.0
85574,2020-04-24,Gage,Nebraska,31067.0,29,2.0
88384,2020-04-25,Gage,Nebraska,31067.0,29,2.0
91199,2020-04-26,Gage,Nebraska,31067.0,29,2.0
94021,2020-04-27,Gage,Nebraska,31067.0,33,2.0
96857,2020-04-28,Gage,Nebraska,31067.0,33,2.0
99704,2020-04-29,Gage,Nebraska,31067.0,35,2.0
102556,2020-04-30,Gage,Nebraska,31067.0,36,2.0
105417,2020-05-01,Gage,Nebraska,31067.0,38,2.0
108283,2020-05-02,Gage,Nebraska,31067.0,38,2.0
111155,2020-05-03,Gage,Nebraska,31067.0,38,2.0
114035,2020-05-04,Gage,Nebraska,31067.0,39,2.0
116917,2020-05-05,Gage,Nebraska,31067.0,39,2.0
119877,2020-05-06,Gage,Nebraska,31067.0,39,2.0
122851,2020-05-07,Gage,Nebraska,31067.0,40,3.0
125833,2020-05-08,Gage,Nebraska,31067.0,40,3.0
128822,2020-05-09,Gage,Nebraska,31067.0,40,3.0
131812,2020-05-10,Gage,Nebraska,31067.0,41,3.0
134803,2020-05-11,Gage,Nebraska,31067.0,41,3.0
137793,2020-05-12,Gage,Nebraska,31067.0,41,4.0
140787,2020-05-13,Gage,Nebraska,31067.0,41,4.0
143782,2020-05-14,Gage,Nebraska,31067.0,41,4.0
146783,2020-05-15,Gage,Nebraska,31067.0,42,4.0
149789,2020-05-16,Gage,Nebraska,31067.0,42,4.0
152800,2020-05-17,Gage,Nebraska,31067.0,41,4.0
155814,2020-05-18,Gage,Nebraska,31067.0,42,4.0
158832,2020-05-19,Gage,Nebraska,31067.0,43,4.0
161858,2020-05-20,Gage,Nebraska,31067.0,43,4.0
164887,2020-05-21,Gage,Nebraska,31067.0,44,4.0
167923,2020-05-22,Gage,Nebraska,31067.0,44,4.0
