,date,county,state,fips,cases,deaths
1782,2020-03-13,Gallatin,Montana,30031.0,1,0.0
2127,2020-03-14,Gallatin,Montana,30031.0,1,0.0
2534,2020-03-15,Gallatin,Montana,30031.0,1,0.0
2989,2020-03-16,Gallatin,Montana,30031.0,1,0.0
3499,2020-03-17,Gallatin,Montana,30031.0,1,0.0
4090,2020-03-18,Gallatin,Montana,30031.0,2,0.0
4811,2020-03-19,Gallatin,Montana,30031.0,2,0.0
5650,2020-03-20,Gallatin,Montana,30031.0,2,0.0
6641,2020-03-21,Gallatin,Montana,30031.0,7,0.0
7730,2020-03-22,Gallatin,Montana,30031.0,10,0.0
8923,2020-03-23,Gallatin,Montana,30031.0,16,0.0
10225,2020-03-24,Gallatin,Montana,30031.0,19,0.0
11654,2020-03-25,Gallatin,Montana,30031.0,24,0.0
13252,2020-03-26,Gallatin,Montana,30031.0,38,0.0
14982,2020-03-27,Gallatin,Montana,30031.0,42,0.0
16808,2020-03-28,Gallatin,Montana,30031.0,57,0.0
18731,2020-03-29,Gallatin,Montana,30031.0,62,0.0
20766,2020-03-30,Gallatin,Montana,30031.0,69,0.0
22886,2020-03-31,Gallatin,Montana,30031.0,74,0.0
25075,2020-04-01,Gallatin,Montana,30031.0,79,0.0
27332,2020-04-02,Gallatin,Montana,30031.0,93,0.0
29654,2020-04-03,Gallatin,Montana,30031.0,101,0.0
32036,2020-04-04,Gallatin,Montana,30031.0,109,0.0
33702,2020-04-05,Gallatin,Illinois,17059.0,1,0.0
34464,2020-04-05,Gallatin,Montana,30031.0,115,0.0
36153,2020-04-06,Gallatin,Illinois,17059.0,1,0.0
36931,2020-04-06,Gallatin,Montana,30031.0,118,0.0
38648,2020-04-07,Gallatin,Illinois,17059.0,1,0.0
39447,2020-04-07,Gallatin,Montana,30031.0,118,0.0
41192,2020-04-08,Gallatin,Illinois,17059.0,1,0.0
42002,2020-04-08,Gallatin,Montana,30031.0,119,0.0
43766,2020-04-09,Gallatin,Illinois,17059.0,1,0.0
44581,2020-04-09,Gallatin,Montana,30031.0,128,0.0
46369,2020-04-10,Gallatin,Illinois,17059.0,1,0.0
47191,2020-04-10,Gallatin,Montana,30031.0,134,0.0
49000,2020-04-11,Gallatin,Illinois,17059.0,1,0.0
49327,2020-04-11,Gallatin,Kentucky,21077.0,1,0.0
49839,2020-04-11,Gallatin,Montana,30031.0,135,0.0
51662,2020-04-12,Gallatin,Illinois,17059.0,1,0.0
51993,2020-04-12,Gallatin,Kentucky,21077.0,1,0.0
52512,2020-04-12,Gallatin,Montana,30031.0,138,0.0
54342,2020-04-13,Gallatin,Illinois,17059.0,1,0.0
54674,2020-04-13,Gallatin,Kentucky,21077.0,1,0.0
55193,2020-04-13,Gallatin,Montana,30031.0,138,0.0
57035,2020-04-14,Gallatin,Illinois,17059.0,2,0.0
57370,2020-04-14,Gallatin,Kentucky,21077.0,1,0.0
57892,2020-04-14,Gallatin,Montana,30031.0,138,0.0
59742,2020-04-15,Gallatin,Illinois,17059.0,2,0.0
60079,2020-04-15,Gallatin,Kentucky,21077.0,1,0.0
60605,2020-04-15,Gallatin,Montana,30031.0,139,0.0
62463,2020-04-16,Gallatin,Illinois,17059.0,2,0.0
62799,2020-04-16,Gallatin,Kentucky,21077.0,1,0.0
63328,2020-04-16,Gallatin,Montana,30031.0,141,0.0
65195,2020-04-17,Gallatin,Illinois,17059.0,2,0.0
65538,2020-04-17,Gallatin,Kentucky,21077.0,1,0.0
66068,2020-04-17,Gallatin,Montana,30031.0,142,0.0
67943,2020-04-18,Gallatin,Illinois,17059.0,2,0.0
68287,2020-04-18,Gallatin,Kentucky,21077.0,1,0.0
68822,2020-04-18,Gallatin,Montana,30031.0,142,0.0
70705,2020-04-19,Gallatin,Illinois,17059.0,2,0.0
71050,2020-04-19,Gallatin,Kentucky,21077.0,1,0.0
71589,2020-04-19,Gallatin,Montana,30031.0,143,0.0
73475,2020-04-20,Gallatin,Illinois,17059.0,2,0.0
73822,2020-04-20,Gallatin,Kentucky,21077.0,1,0.0
74362,2020-04-20,Gallatin,Montana,30031.0,143,0.0
76251,2020-04-21,Gallatin,Illinois,17059.0,2,0.0
76602,2020-04-21,Gallatin,Kentucky,21077.0,1,0.0
77142,2020-04-21,Gallatin,Montana,30031.0,145,0.0
79035,2020-04-22,Gallatin,Illinois,17059.0,2,0.0
79387,2020-04-22,Gallatin,Kentucky,21077.0,1,0.0
79930,2020-04-22,Gallatin,Montana,30031.0,145,0.0
81828,2020-04-23,Gallatin,Illinois,17059.0,2,0.0
82184,2020-04-23,Gallatin,Kentucky,21077.0,1,0.0
82726,2020-04-23,Gallatin,Montana,30031.0,146,0.0
84628,2020-04-24,Gallatin,Illinois,17059.0,2,0.0
84987,2020-04-24,Gallatin,Kentucky,21077.0,1,0.0
85530,2020-04-24,Gallatin,Montana,30031.0,146,0.0
87438,2020-04-25,Gallatin,Illinois,17059.0,2,0.0
87796,2020-04-25,Gallatin,Kentucky,21077.0,1,0.0
88340,2020-04-25,Gallatin,Montana,30031.0,146,0.0
90254,2020-04-26,Gallatin,Illinois,17059.0,2,0.0
90612,2020-04-26,Gallatin,Kentucky,21077.0,1,0.0
91155,2020-04-26,Gallatin,Montana,30031.0,146,0.0
93073,2020-04-27,Gallatin,Illinois,17059.0,2,0.0
93433,2020-04-27,Gallatin,Kentucky,21077.0,1,0.0
93976,2020-04-27,Gallatin,Montana,30031.0,146,0.0
95905,2020-04-28,Gallatin,Illinois,17059.0,2,0.0
96266,2020-04-28,Gallatin,Kentucky,21077.0,1,0.0
96812,2020-04-28,Gallatin,Montana,30031.0,146,1.0
98749,2020-04-29,Gallatin,Illinois,17059.0,2,0.0
99112,2020-04-29,Gallatin,Kentucky,21077.0,1,0.0
99658,2020-04-29,Gallatin,Montana,30031.0,146,1.0
101600,2020-04-30,Gallatin,Illinois,17059.0,2,0.0
101964,2020-04-30,Gallatin,Kentucky,21077.0,1,0.0
102510,2020-04-30,Gallatin,Montana,30031.0,146,1.0
104456,2020-05-01,Gallatin,Illinois,17059.0,2,0.0
104825,2020-05-01,Gallatin,Kentucky,21077.0,1,0.0
105371,2020-05-01,Gallatin,Montana,30031.0,146,1.0
107321,2020-05-02,Gallatin,Illinois,17059.0,2,0.0
107690,2020-05-02,Gallatin,Kentucky,21077.0,1,0.0
108237,2020-05-02,Gallatin,Montana,30031.0,146,1.0
110191,2020-05-03,Gallatin,Illinois,17059.0,2,0.0
110561,2020-05-03,Gallatin,Kentucky,21077.0,1,0.0
111109,2020-05-03,Gallatin,Montana,30031.0,146,1.0
113066,2020-05-04,Gallatin,Illinois,17059.0,2,0.0
113438,2020-05-04,Gallatin,Kentucky,21077.0,1,0.0
113988,2020-05-04,Gallatin,Montana,30031.0,146,1.0
115949,2020-05-05,Gallatin,Illinois,17059.0,2,0.0
116320,2020-05-05,Gallatin,Kentucky,21077.0,1,0.0
116870,2020-05-05,Gallatin,Montana,30031.0,146,1.0
118909,2020-05-06,Gallatin,Illinois,17059.0,2,0.0
119281,2020-05-06,Gallatin,Kentucky,21077.0,1,0.0
119830,2020-05-06,Gallatin,Montana,30031.0,146,1.0
121879,2020-05-07,Gallatin,Illinois,17059.0,2,0.0
122251,2020-05-07,Gallatin,Kentucky,21077.0,1,0.0
122804,2020-05-07,Gallatin,Montana,30031.0,146,1.0
124858,2020-05-08,Gallatin,Illinois,17059.0,2,0.0
125233,2020-05-08,Gallatin,Kentucky,21077.0,1,0.0
125786,2020-05-08,Gallatin,Montana,30031.0,148,1.0
127845,2020-05-09,Gallatin,Illinois,17059.0,2,0.0
128221,2020-05-09,Gallatin,Kentucky,21077.0,1,0.0
128774,2020-05-09,Gallatin,Montana,30031.0,149,1.0
130836,2020-05-10,Gallatin,Illinois,17059.0,2,0.0
131211,2020-05-10,Gallatin,Kentucky,21077.0,1,0.0
131764,2020-05-10,Gallatin,Montana,30031.0,149,1.0
133827,2020-05-11,Gallatin,Illinois,17059.0,2,0.0
134202,2020-05-11,Gallatin,Kentucky,21077.0,1,0.0
134755,2020-05-11,Gallatin,Montana,30031.0,149,1.0
