,date,county,state,fips,cases,deaths
57371,2020-04-14,Garrard,Kentucky,21079.0,1,0.0
60080,2020-04-15,Garrard,Kentucky,21079.0,3,0.0
62800,2020-04-16,Garrard,Kentucky,21079.0,3,0.0
65539,2020-04-17,Garrard,Kentucky,21079.0,3,0.0
68288,2020-04-18,Garrard,Kentucky,21079.0,1,0.0
71051,2020-04-19,Garrard,Kentucky,21079.0,1,0.0
73823,2020-04-20,Garrard,Kentucky,21079.0,1,0.0
76603,2020-04-21,Garrard,Kentucky,21079.0,1,0.0
79388,2020-04-22,Garrard,Kentucky,21079.0,1,0.0
82185,2020-04-23,Garrard,Kentucky,21079.0,1,0.0
84988,2020-04-24,Garrard,Kentucky,21079.0,1,0.0
87797,2020-04-25,Garrard,Kentucky,21079.0,2,0.0
90613,2020-04-26,Garrard,Kentucky,21079.0,2,0.0
93434,2020-04-27,Garrard,Kentucky,21079.0,2,0.0
96267,2020-04-28,Garrard,Kentucky,21079.0,2,0.0
99113,2020-04-29,Garrard,Kentucky,21079.0,2,0.0
101965,2020-04-30,Garrard,Kentucky,21079.0,2,0.0
104826,2020-05-01,Garrard,Kentucky,21079.0,2,0.0
107691,2020-05-02,Garrard,Kentucky,21079.0,2,0.0
110562,2020-05-03,Garrard,Kentucky,21079.0,2,0.0
113439,2020-05-04,Garrard,Kentucky,21079.0,2,0.0
116321,2020-05-05,Garrard,Kentucky,21079.0,2,0.0
119282,2020-05-06,Garrard,Kentucky,21079.0,2,0.0
122252,2020-05-07,Garrard,Kentucky,21079.0,2,0.0
125234,2020-05-08,Garrard,Kentucky,21079.0,3,0.0
128222,2020-05-09,Garrard,Kentucky,21079.0,3,0.0
131212,2020-05-10,Garrard,Kentucky,21079.0,3,0.0
134203,2020-05-11,Garrard,Kentucky,21079.0,3,0.0
137193,2020-05-12,Garrard,Kentucky,21079.0,4,0.0
140186,2020-05-13,Garrard,Kentucky,21079.0,4,0.0
143182,2020-05-14,Garrard,Kentucky,21079.0,4,0.0
146182,2020-05-15,Garrard,Kentucky,21079.0,4,0.0
149186,2020-05-16,Garrard,Kentucky,21079.0,4,0.0
152197,2020-05-17,Garrard,Kentucky,21079.0,4,0.0
155211,2020-05-18,Garrard,Kentucky,21079.0,4,0.0
158228,2020-05-19,Garrard,Kentucky,21079.0,4,0.0
161254,2020-05-20,Garrard,Kentucky,21079.0,4,0.0
164283,2020-05-21,Garrard,Kentucky,21079.0,4,0.0
167319,2020-05-22,Garrard,Kentucky,21079.0,4,0.0
170357,2020-05-23,Garrard,Kentucky,21079.0,4,0.0
173398,2020-05-24,Garrard,Kentucky,21079.0,4,0.0
176442,2020-05-25,Garrard,Kentucky,21079.0,4,0.0
179486,2020-05-26,Garrard,Kentucky,21079.0,5,0.0
182531,2020-05-27,Garrard,Kentucky,21079.0,5,0.0
185585,2020-05-28,Garrard,Kentucky,21079.0,5,0.0
188643,2020-05-29,Garrard,Kentucky,21079.0,5,0.0
191707,2020-05-30,Garrard,Kentucky,21079.0,5,0.0
194775,2020-05-31,Garrard,Kentucky,21079.0,5,0.0
197846,2020-06-01,Garrard,Kentucky,21079.0,5,0.0
200918,2020-06-02,Garrard,Kentucky,21079.0,5,0.0
203995,2020-06-03,Garrard,Kentucky,21079.0,5,0.0
207076,2020-06-04,Garrard,Kentucky,21079.0,5,0.0
210157,2020-06-05,Garrard,Kentucky,21079.0,5,0.0
213242,2020-06-06,Garrard,Kentucky,21079.0,5,0.0
216329,2020-06-07,Garrard,Kentucky,21079.0,5,0.0
219421,2020-06-08,Garrard,Kentucky,21079.0,5,0.0
222516,2020-06-09,Garrard,Kentucky,21079.0,6,0.0
225612,2020-06-10,Garrard,Kentucky,21079.0,6,0.0
228714,2020-06-11,Garrard,Kentucky,21079.0,9,0.0
231818,2020-06-12,Garrard,Kentucky,21079.0,9,0.0
234923,2020-06-13,Garrard,Kentucky,21079.0,10,0.0
238030,2020-06-14,Garrard,Kentucky,21079.0,10,0.0
241139,2020-06-15,Garrard,Kentucky,21079.0,11,0.0
244250,2020-06-16,Garrard,Kentucky,21079.0,11,0.0
247363,2020-06-17,Garrard,Kentucky,21079.0,13,0.0
250475,2020-06-18,Garrard,Kentucky,21079.0,14,0.0
253590,2020-06-19,Garrard,Kentucky,21079.0,16,0.0
256710,2020-06-20,Garrard,Kentucky,21079.0,16,0.0
259836,2020-06-21,Garrard,Kentucky,21079.0,16,0.0
262965,2020-06-22,Garrard,Kentucky,21079.0,16,0.0
266092,2020-06-23,Garrard,Kentucky,21079.0,16,0.0
269225,2020-06-24,Garrard,Kentucky,21079.0,16,0.0
272361,2020-06-25,Garrard,Kentucky,21079.0,17,0.0
275504,2020-06-26,Garrard,Kentucky,21079.0,17,0.0
278652,2020-06-27,Garrard,Kentucky,21079.0,19,0.0
281800,2020-06-28,Garrard,Kentucky,21079.0,20,0.0
