date,county,state,fips,cases,deaths
2020-03-23,Garrett,Maryland,24023.0,3,0.0
2020-03-24,Garrett,Maryland,24023.0,3,0.0
2020-03-25,Garrett,Maryland,24023.0,3,0.0
2020-03-26,Garrett,Maryland,24023.0,3,0.0
2020-03-27,Garrett,Maryland,24023.0,3,0.0
2020-03-28,Garrett,Maryland,24023.0,3,0.0
2020-03-29,Garrett,Maryland,24023.0,3,0.0
2020-03-30,Garrett,Maryland,24023.0,3,0.0
2020-03-31,Garrett,Maryland,24023.0,3,0.0
2020-04-01,Garrett,Maryland,24023.0,3,0.0
2020-04-02,Garrett,Maryland,24023.0,3,0.0
2020-04-03,Garrett,Maryland,24023.0,3,0.0
2020-04-04,Garrett,Maryland,24023.0,3,0.0
2020-04-05,Garrett,Maryland,24023.0,3,0.0
2020-04-06,Garrett,Maryland,24023.0,3,0.0
2020-04-07,Garrett,Maryland,24023.0,3,0.0
2020-04-08,Garrett,Maryland,24023.0,5,0.0
2020-04-09,Garrett,Maryland,24023.0,5,0.0
2020-04-10,Garrett,Maryland,24023.0,4,0.0
2020-04-11,Garrett,Maryland,24023.0,4,0.0
2020-04-12,Garrett,Maryland,24023.0,4,0.0
2020-04-13,Garrett,Maryland,24023.0,4,0.0
2020-04-14,Garrett,Maryland,24023.0,4,0.0
2020-04-15,Garrett,Maryland,24023.0,4,0.0
2020-04-16,Garrett,Maryland,24023.0,4,0.0
2020-04-17,Garrett,Maryland,24023.0,4,0.0
2020-04-18,Garrett,Maryland,24023.0,4,0.0
2020-04-19,Garrett,Maryland,24023.0,4,0.0
2020-04-20,Garrett,Maryland,24023.0,4,0.0
2020-04-21,Garrett,Maryland,24023.0,4,0.0
2020-04-22,Garrett,Maryland,24023.0,4,0.0
2020-04-23,Garrett,Maryland,24023.0,4,0.0
2020-04-24,Garrett,Maryland,24023.0,4,0.0
2020-04-25,Garrett,Maryland,24023.0,4,0.0
2020-04-26,Garrett,Maryland,24023.0,4,0.0
2020-04-27,Garrett,Maryland,24023.0,4,0.0
2020-04-28,Garrett,Maryland,24023.0,4,0.0
2020-04-29,Garrett,Maryland,24023.0,4,0.0
2020-04-30,Garrett,Maryland,24023.0,4,0.0
2020-05-01,Garrett,Maryland,24023.0,4,0.0
2020-05-02,Garrett,Maryland,24023.0,4,0.0
2020-05-03,Garrett,Maryland,24023.0,4,0.0
2020-05-04,Garrett,Maryland,24023.0,4,0.0
2020-05-05,Garrett,Maryland,24023.0,4,0.0
2020-05-06,Garrett,Maryland,24023.0,4,0.0
2020-05-07,Garrett,Maryland,24023.0,4,0.0
2020-05-08,Garrett,Maryland,24023.0,5,0.0
2020-05-09,Garrett,Maryland,24023.0,6,0.0
2020-05-10,Garrett,Maryland,24023.0,6,0.0
2020-05-11,Garrett,Maryland,24023.0,6,0.0
2020-05-12,Garrett,Maryland,24023.0,6,0.0
2020-05-13,Garrett,Maryland,24023.0,6,0.0
2020-05-14,Garrett,Maryland,24023.0,6,0.0
2020-05-15,Garrett,Maryland,24023.0,6,0.0
2020-05-16,Garrett,Maryland,24023.0,7,0.0
2020-05-17,Garrett,Maryland,24023.0,6,0.0
2020-05-18,Garrett,Maryland,24023.0,7,0.0
2020-05-19,Garrett,Maryland,24023.0,7,0.0
2020-05-20,Garrett,Maryland,24023.0,7,0.0
2020-05-21,Garrett,Maryland,24023.0,7,0.0
2020-05-22,Garrett,Maryland,24023.0,7,0.0
2020-05-23,Garrett,Maryland,24023.0,7,0.0
2020-05-24,Garrett,Maryland,24023.0,7,0.0
2020-05-25,Garrett,Maryland,24023.0,10,0.0
2020-05-26,Garrett,Maryland,24023.0,10,0.0
2020-05-27,Garrett,Maryland,24023.0,10,0.0
2020-05-28,Garrett,Maryland,24023.0,10,0.0
2020-05-29,Garrett,Maryland,24023.0,10,0.0
2020-05-30,Garrett,Maryland,24023.0,10,0.0
2020-05-31,Garrett,Maryland,24023.0,10,0.0
2020-06-01,Garrett,Maryland,24023.0,10,0.0
2020-06-02,Garrett,Maryland,24023.0,10,0.0
2020-06-03,Garrett,Maryland,24023.0,10,0.0
2020-06-04,Garrett,Maryland,24023.0,10,0.0
2020-06-05,Garrett,Maryland,24023.0,10,0.0
2020-06-06,Garrett,Maryland,24023.0,10,0.0
2020-06-07,Garrett,Maryland,24023.0,10,0.0
2020-06-08,Garrett,Maryland,24023.0,10,0.0
2020-06-09,Garrett,Maryland,24023.0,10,0.0
2020-06-10,Garrett,Maryland,24023.0,10,0.0
2020-06-11,Garrett,Maryland,24023.0,10,0.0
2020-06-12,Garrett,Maryland,24023.0,10,0.0
2020-06-13,Garrett,Maryland,24023.0,10,0.0
2020-06-14,Garrett,Maryland,24023.0,10,0.0
2020-06-15,Garrett,Maryland,24023.0,10,0.0
2020-06-16,Garrett,Maryland,24023.0,10,0.0
2020-06-17,Garrett,Maryland,24023.0,10,0.0
2020-06-18,Garrett,Maryland,24023.0,10,0.0
2020-06-19,Garrett,Maryland,24023.0,10,0.0
2020-06-20,Garrett,Maryland,24023.0,10,0.0
2020-06-21,Garrett,Maryland,24023.0,10,0.0
2020-06-22,Garrett,Maryland,24023.0,10,0.0
2020-06-23,Garrett,Maryland,24023.0,10,0.0
2020-06-24,Garrett,Maryland,24023.0,10,1.0
2020-06-25,Garrett,Maryland,24023.0,10,1.0
2020-06-26,Garrett,Maryland,24023.0,10,0.0
2020-06-27,Garrett,Maryland,24023.0,10,0.0
2020-06-28,Garrett,Maryland,24023.0,11,0.0
2020-06-29,Garrett,Maryland,24023.0,11,0.0
2020-06-30,Garrett,Maryland,24023.0,11,0.0
2020-07-01,Garrett,Maryland,24023.0,11,0.0
2020-07-02,Garrett,Maryland,24023.0,11,0.0
2020-07-03,Garrett,Maryland,24023.0,11,0.0
2020-07-04,Garrett,Maryland,24023.0,13,0.0
2020-07-05,Garrett,Maryland,24023.0,14,0.0
2020-07-06,Garrett,Maryland,24023.0,15,0.0
2020-07-07,Garrett,Maryland,24023.0,15,0.0
2020-07-08,Garrett,Maryland,24023.0,16,0.0
2020-07-09,Garrett,Maryland,24023.0,17,0.0
2020-07-10,Garrett,Maryland,24023.0,19,0.0
2020-07-11,Garrett,Maryland,24023.0,22,0.0
2020-07-12,Garrett,Maryland,24023.0,26,0.0
2020-07-13,Garrett,Maryland,24023.0,27,0.0
2020-07-14,Garrett,Maryland,24023.0,27,0.0
2020-07-15,Garrett,Maryland,24023.0,28,0.0
2020-07-16,Garrett,Maryland,24023.0,29,0.0
2020-07-17,Garrett,Maryland,24023.0,30,0.0
2020-07-18,Garrett,Maryland,24023.0,33,0.0
2020-07-19,Garrett,Maryland,24023.0,34,0.0
2020-07-20,Garrett,Maryland,24023.0,34,0.0
2020-07-21,Garrett,Maryland,24023.0,34,0.0
2020-07-22,Garrett,Maryland,24023.0,37,0.0
2020-07-23,Garrett,Maryland,24023.0,38,0.0
2020-07-24,Garrett,Maryland,24023.0,41,0.0
2020-07-25,Garrett,Maryland,24023.0,42,0.0
2020-07-26,Garrett,Maryland,24023.0,42,0.0
2020-07-27,Garrett,Maryland,24023.0,43,0.0
2020-07-28,Garrett,Maryland,24023.0,48,0.0
2020-07-29,Garrett,Maryland,24023.0,45,0.0
2020-07-30,Garrett,Maryland,24023.0,45,0.0
2020-07-31,Garrett,Maryland,24023.0,45,0.0
2020-08-01,Garrett,Maryland,24023.0,43,0.0
2020-08-02,Garrett,Maryland,24023.0,43,0.0
2020-08-03,Garrett,Maryland,24023.0,43,0.0
2020-08-04,Garrett,Maryland,24023.0,44,0.0
2020-08-05,Garrett,Maryland,24023.0,45,0.0
2020-08-06,Garrett,Maryland,24023.0,45,0.0
2020-08-07,Garrett,Maryland,24023.0,46,0.0
2020-08-08,Garrett,Maryland,24023.0,49,0.0
2020-08-09,Garrett,Maryland,24023.0,49,0.0
2020-08-10,Garrett,Maryland,24023.0,49,0.0
2020-08-11,Garrett,Maryland,24023.0,51,0.0
2020-08-12,Garrett,Maryland,24023.0,53,0.0
2020-08-13,Garrett,Maryland,24023.0,54,0.0
2020-08-14,Garrett,Maryland,24023.0,54,0.0
2020-08-15,Garrett,Maryland,24023.0,58,0.0
2020-08-16,Garrett,Maryland,24023.0,58,0.0
2020-08-17,Garrett,Maryland,24023.0,58,0.0
2020-08-18,Garrett,Maryland,24023.0,58,0.0
2020-08-19,Garrett,Maryland,24023.0,59,0.0
2020-08-20,Garrett,Maryland,24023.0,60,0.0
2020-08-21,Garrett,Maryland,24023.0,61,0.0
2020-08-22,Garrett,Maryland,24023.0,61,0.0
2020-08-23,Garrett,Maryland,24023.0,61,0.0
2020-08-24,Garrett,Maryland,24023.0,61,0.0
2020-08-25,Garrett,Maryland,24023.0,63,0.0
2020-08-26,Garrett,Maryland,24023.0,63,0.0
2020-08-27,Garrett,Maryland,24023.0,62,0.0
2020-08-28,Garrett,Maryland,24023.0,63,0.0
2020-08-29,Garrett,Maryland,24023.0,63,0.0
2020-08-30,Garrett,Maryland,24023.0,63,0.0
2020-08-31,Garrett,Maryland,24023.0,63,0.0
2020-09-01,Garrett,Maryland,24023.0,63,0.0
2020-09-02,Garrett,Maryland,24023.0,63,0.0
2020-09-03,Garrett,Maryland,24023.0,63,0.0
2020-09-04,Garrett,Maryland,24023.0,64,0.0
2020-09-05,Garrett,Maryland,24023.0,64,0.0
