,date,county,state,fips,cases,deaths
43433,2020-04-09,Gilpin,Colorado,8047.0,1,0.0
46033,2020-04-10,Gilpin,Colorado,8047.0,1,0.0
48663,2020-04-11,Gilpin,Colorado,8047.0,1,0.0
51325,2020-04-12,Gilpin,Colorado,8047.0,1,0.0
54004,2020-04-13,Gilpin,Colorado,8047.0,1,0.0
56696,2020-04-14,Gilpin,Colorado,8047.0,1,0.0
59404,2020-04-15,Gilpin,Colorado,8047.0,1,0.0
62123,2020-04-16,Gilpin,Colorado,8047.0,1,0.0
64856,2020-04-17,Gilpin,Colorado,8047.0,1,0.0
67604,2020-04-18,Gilpin,Colorado,8047.0,1,0.0
70366,2020-04-19,Gilpin,Colorado,8047.0,1,0.0
73135,2020-04-20,Gilpin,Colorado,8047.0,1,0.0
75911,2020-04-21,Gilpin,Colorado,8047.0,1,0.0
78695,2020-04-22,Gilpin,Colorado,8047.0,1,0.0
81489,2020-04-23,Gilpin,Colorado,8047.0,1,0.0
84289,2020-04-24,Gilpin,Colorado,8047.0,1,0.0
87097,2020-04-25,Gilpin,Colorado,8047.0,1,0.0
89914,2020-04-26,Gilpin,Colorado,8047.0,1,0.0
92732,2020-04-27,Gilpin,Colorado,8047.0,1,0.0
95564,2020-04-28,Gilpin,Colorado,8047.0,1,0.0
98409,2020-04-29,Gilpin,Colorado,8047.0,1,0.0
101259,2020-04-30,Gilpin,Colorado,8047.0,1,0.0
104114,2020-05-01,Gilpin,Colorado,8047.0,1,0.0
106979,2020-05-02,Gilpin,Colorado,8047.0,1,0.0
109848,2020-05-03,Gilpin,Colorado,8047.0,1,0.0
112723,2020-05-04,Gilpin,Colorado,8047.0,1,0.0
115606,2020-05-05,Gilpin,Colorado,8047.0,1,0.0
118565,2020-05-06,Gilpin,Colorado,8047.0,1,0.0
121534,2020-05-07,Gilpin,Colorado,8047.0,1,0.0
124514,2020-05-08,Gilpin,Colorado,8047.0,1,0.0
127500,2020-05-09,Gilpin,Colorado,8047.0,3,0.0
130491,2020-05-10,Gilpin,Colorado,8047.0,3,0.0
133482,2020-05-11,Gilpin,Colorado,8047.0,1,0.0
136471,2020-05-12,Gilpin,Colorado,8047.0,1,0.0
139462,2020-05-13,Gilpin,Colorado,8047.0,1,0.0
142458,2020-05-14,Gilpin,Colorado,8047.0,2,0.0
145458,2020-05-15,Gilpin,Colorado,8047.0,3,0.0
148461,2020-05-16,Gilpin,Colorado,8047.0,4,0.0
151470,2020-05-17,Gilpin,Colorado,8047.0,4,0.0
154482,2020-05-18,Gilpin,Colorado,8047.0,4,0.0
157498,2020-05-19,Gilpin,Colorado,8047.0,4,0.0
160524,2020-05-20,Gilpin,Colorado,8047.0,3,0.0
163552,2020-05-21,Gilpin,Colorado,8047.0,3,0.0
166585,2020-05-22,Gilpin,Colorado,8047.0,3,0.0
169622,2020-05-23,Gilpin,Colorado,8047.0,3,0.0
172663,2020-05-24,Gilpin,Colorado,8047.0,3,0.0
175707,2020-05-25,Gilpin,Colorado,8047.0,3,0.0
178751,2020-05-26,Gilpin,Colorado,8047.0,3,0.0
181795,2020-05-27,Gilpin,Colorado,8047.0,3,0.0
184849,2020-05-28,Gilpin,Colorado,8047.0,3,0.0
187905,2020-05-29,Gilpin,Colorado,8047.0,3,0.0
190970,2020-05-30,Gilpin,Colorado,8047.0,3,0.0
194037,2020-05-31,Gilpin,Colorado,8047.0,3,0.0
197107,2020-06-01,Gilpin,Colorado,8047.0,3,0.0
200180,2020-06-02,Gilpin,Colorado,8047.0,3,0.0
203256,2020-06-03,Gilpin,Colorado,8047.0,4,0.0
206336,2020-06-04,Gilpin,Colorado,8047.0,4,0.0
209417,2020-06-05,Gilpin,Colorado,8047.0,4,0.0
212502,2020-06-06,Gilpin,Colorado,8047.0,5,0.0
215589,2020-06-07,Gilpin,Colorado,8047.0,5,0.0
218680,2020-06-08,Gilpin,Colorado,8047.0,5,0.0
221775,2020-06-09,Gilpin,Colorado,8047.0,5,0.0
224870,2020-06-10,Gilpin,Colorado,8047.0,5,0.0
227972,2020-06-11,Gilpin,Colorado,8047.0,5,0.0
231075,2020-06-12,Gilpin,Colorado,8047.0,6,0.0
234181,2020-06-13,Gilpin,Colorado,8047.0,6,0.0
237288,2020-06-14,Gilpin,Colorado,8047.0,6,0.0
240396,2020-06-15,Gilpin,Colorado,8047.0,6,0.0
243507,2020-06-16,Gilpin,Colorado,8047.0,6,0.0
246620,2020-06-17,Gilpin,Colorado,8047.0,6,0.0
249732,2020-06-18,Gilpin,Colorado,8047.0,6,0.0
252847,2020-06-19,Gilpin,Colorado,8047.0,6,0.0
