,date,county,state,fips,cases,deaths
28036,2020-04-02,Goliad,Texas,48175.0,1,0.0
30371,2020-04-03,Goliad,Texas,48175.0,1,0.0
32764,2020-04-04,Goliad,Texas,48175.0,1,0.0
35202,2020-04-05,Goliad,Texas,48175.0,1,0.0
37678,2020-04-06,Goliad,Texas,48175.0,1,0.0
40203,2020-04-07,Goliad,Texas,48175.0,3,0.0
42770,2020-04-08,Goliad,Texas,48175.0,3,0.0
45359,2020-04-09,Goliad,Texas,48175.0,3,0.0
47979,2020-04-10,Goliad,Texas,48175.0,4,0.0
50637,2020-04-11,Goliad,Texas,48175.0,4,0.0
53312,2020-04-12,Goliad,Texas,48175.0,4,0.0
56000,2020-04-13,Goliad,Texas,48175.0,4,0.0
58705,2020-04-14,Goliad,Texas,48175.0,4,0.0
61423,2020-04-15,Goliad,Texas,48175.0,5,0.0
64150,2020-04-16,Goliad,Texas,48175.0,5,0.0
66897,2020-04-17,Goliad,Texas,48175.0,5,0.0
69657,2020-04-18,Goliad,Texas,48175.0,5,0.0
72425,2020-04-19,Goliad,Texas,48175.0,5,0.0
75200,2020-04-20,Goliad,Texas,48175.0,5,0.0
77982,2020-04-21,Goliad,Texas,48175.0,6,0.0
80773,2020-04-22,Goliad,Texas,48175.0,6,0.0
83573,2020-04-23,Goliad,Texas,48175.0,6,0.0
86378,2020-04-24,Goliad,Texas,48175.0,6,0.0
89193,2020-04-25,Goliad,Texas,48175.0,6,0.0
92010,2020-04-26,Goliad,Texas,48175.0,7,0.0
94839,2020-04-27,Goliad,Texas,48175.0,7,0.0
97679,2020-04-28,Goliad,Texas,48175.0,7,0.0
100529,2020-04-29,Goliad,Texas,48175.0,7,0.0
103384,2020-04-30,Goliad,Texas,48175.0,7,0.0
106248,2020-05-01,Goliad,Texas,48175.0,7,0.0
109117,2020-05-02,Goliad,Texas,48175.0,7,0.0
111991,2020-05-03,Goliad,Texas,48175.0,7,0.0
114873,2020-05-04,Goliad,Texas,48175.0,7,0.0
117832,2020-05-05,Goliad,Texas,48175.0,7,0.0
120796,2020-05-06,Goliad,Texas,48175.0,7,0.0
123775,2020-05-07,Goliad,Texas,48175.0,7,0.0
126758,2020-05-08,Goliad,Texas,48175.0,7,0.0
129747,2020-05-09,Goliad,Texas,48175.0,7,0.0
132737,2020-05-10,Goliad,Texas,48175.0,7,0.0
135728,2020-05-11,Goliad,Texas,48175.0,7,0.0
138718,2020-05-12,Goliad,Texas,48175.0,7,0.0
141714,2020-05-13,Goliad,Texas,48175.0,7,0.0
144711,2020-05-14,Goliad,Texas,48175.0,7,0.0
147714,2020-05-15,Goliad,Texas,48175.0,7,0.0
150722,2020-05-16,Goliad,Texas,48175.0,7,0.0
153733,2020-05-17,Goliad,Texas,48175.0,7,0.0
156750,2020-05-18,Goliad,Texas,48175.0,7,0.0
159772,2020-05-19,Goliad,Texas,48175.0,7,0.0
162799,2020-05-20,Goliad,Texas,48175.0,7,0.0
165828,2020-05-21,Goliad,Texas,48175.0,7,0.0
168864,2020-05-22,Goliad,Texas,48175.0,7,0.0
171903,2020-05-23,Goliad,Texas,48175.0,7,0.0
174946,2020-05-24,Goliad,Texas,48175.0,7,0.0
177990,2020-05-25,Goliad,Texas,48175.0,7,0.0
181033,2020-05-26,Goliad,Texas,48175.0,7,0.0
184083,2020-05-27,Goliad,Texas,48175.0,7,0.0
187140,2020-05-28,Goliad,Texas,48175.0,7,0.0
190204,2020-05-29,Goliad,Texas,48175.0,7,0.0
193269,2020-05-30,Goliad,Texas,48175.0,7,0.0
196339,2020-05-31,Goliad,Texas,48175.0,7,0.0
199412,2020-06-01,Goliad,Texas,48175.0,7,0.0
202487,2020-06-02,Goliad,Texas,48175.0,7,0.0
205566,2020-06-03,Goliad,Texas,48175.0,7,0.0
