,date,county,state,fips,cases,deaths
24357,2020-04-01,Gooding,Idaho,16047.0,1,0.0
26589,2020-04-02,Gooding,Idaho,16047.0,1,0.0
28896,2020-04-03,Gooding,Idaho,16047.0,1,0.0
31258,2020-04-04,Gooding,Idaho,16047.0,1,0.0
33665,2020-04-05,Gooding,Idaho,16047.0,1,0.0
36116,2020-04-06,Gooding,Idaho,16047.0,3,0.0
38609,2020-04-07,Gooding,Idaho,16047.0,3,0.0
41153,2020-04-08,Gooding,Idaho,16047.0,4,0.0
43727,2020-04-09,Gooding,Idaho,16047.0,5,0.0
46329,2020-04-10,Gooding,Idaho,16047.0,5,0.0
48960,2020-04-11,Gooding,Idaho,16047.0,5,0.0
51622,2020-04-12,Gooding,Idaho,16047.0,5,0.0
54302,2020-04-13,Gooding,Idaho,16047.0,5,0.0
56994,2020-04-14,Gooding,Idaho,16047.0,5,0.0
59701,2020-04-15,Gooding,Idaho,16047.0,7,0.0
62421,2020-04-16,Gooding,Idaho,16047.0,7,0.0
65153,2020-04-17,Gooding,Idaho,16047.0,7,0.0
67901,2020-04-18,Gooding,Idaho,16047.0,8,0.0
70663,2020-04-19,Gooding,Idaho,16047.0,8,0.0
73432,2020-04-20,Gooding,Idaho,16047.0,8,0.0
76208,2020-04-21,Gooding,Idaho,16047.0,8,0.0
78992,2020-04-22,Gooding,Idaho,16047.0,8,0.0
81785,2020-04-23,Gooding,Idaho,16047.0,9,0.0
84585,2020-04-24,Gooding,Idaho,16047.0,9,0.0
87394,2020-04-25,Gooding,Idaho,16047.0,9,0.0
90210,2020-04-26,Gooding,Idaho,16047.0,9,0.0
93029,2020-04-27,Gooding,Idaho,16047.0,9,0.0
95861,2020-04-28,Gooding,Idaho,16047.0,9,0.0
98705,2020-04-29,Gooding,Idaho,16047.0,11,0.0
101556,2020-04-30,Gooding,Idaho,16047.0,12,0.0
104411,2020-05-01,Gooding,Idaho,16047.0,11,0.0
107276,2020-05-02,Gooding,Idaho,16047.0,12,0.0
110146,2020-05-03,Gooding,Idaho,16047.0,11,0.0
113021,2020-05-04,Gooding,Idaho,16047.0,13,0.0
115904,2020-05-05,Gooding,Idaho,16047.0,13,0.0
118864,2020-05-06,Gooding,Idaho,16047.0,14,0.0
121834,2020-05-07,Gooding,Idaho,16047.0,16,0.0
124813,2020-05-08,Gooding,Idaho,16047.0,16,0.0
127800,2020-05-09,Gooding,Idaho,16047.0,17,0.0
130791,2020-05-10,Gooding,Idaho,16047.0,17,0.0
133782,2020-05-11,Gooding,Idaho,16047.0,18,0.0
136771,2020-05-12,Gooding,Idaho,16047.0,20,0.0
139762,2020-05-13,Gooding,Idaho,16047.0,21,0.0
142758,2020-05-14,Gooding,Idaho,16047.0,22,0.0
145758,2020-05-15,Gooding,Idaho,16047.0,24,0.0
148761,2020-05-16,Gooding,Idaho,16047.0,25,0.0
151770,2020-05-17,Gooding,Idaho,16047.0,25,0.0
154782,2020-05-18,Gooding,Idaho,16047.0,26,0.0
157798,2020-05-19,Gooding,Idaho,16047.0,27,0.0
160824,2020-05-20,Gooding,Idaho,16047.0,29,0.0
163852,2020-05-21,Gooding,Idaho,16047.0,32,0.0
166885,2020-05-22,Gooding,Idaho,16047.0,35,0.0
169922,2020-05-23,Gooding,Idaho,16047.0,39,0.0
172963,2020-05-24,Gooding,Idaho,16047.0,39,0.0
176007,2020-05-25,Gooding,Idaho,16047.0,39,0.0
179051,2020-05-26,Gooding,Idaho,16047.0,40,0.0
182095,2020-05-27,Gooding,Idaho,16047.0,44,0.0
185149,2020-05-28,Gooding,Idaho,16047.0,46,0.0
188206,2020-05-29,Gooding,Idaho,16047.0,47,0.0
191271,2020-05-30,Gooding,Idaho,16047.0,47,0.0
194338,2020-05-31,Gooding,Idaho,16047.0,48,0.0
197408,2020-06-01,Gooding,Idaho,16047.0,49,0.0
200481,2020-06-02,Gooding,Idaho,16047.0,49,0.0
203557,2020-06-03,Gooding,Idaho,16047.0,50,0.0
206637,2020-06-04,Gooding,Idaho,16047.0,53,0.0
209718,2020-06-05,Gooding,Idaho,16047.0,55,0.0
212803,2020-06-06,Gooding,Idaho,16047.0,56,0.0
215890,2020-06-07,Gooding,Idaho,16047.0,56,0.0
218981,2020-06-08,Gooding,Idaho,16047.0,57,0.0
222076,2020-06-09,Gooding,Idaho,16047.0,57,0.0
225171,2020-06-10,Gooding,Idaho,16047.0,57,0.0
228273,2020-06-11,Gooding,Idaho,16047.0,58,0.0
231376,2020-06-12,Gooding,Idaho,16047.0,58,0.0
234482,2020-06-13,Gooding,Idaho,16047.0,59,0.0
237589,2020-06-14,Gooding,Idaho,16047.0,59,0.0
240697,2020-06-15,Gooding,Idaho,16047.0,59,1.0
243808,2020-06-16,Gooding,Idaho,16047.0,60,1.0
246921,2020-06-17,Gooding,Idaho,16047.0,60,1.0
250033,2020-06-18,Gooding,Idaho,16047.0,60,1.0
253148,2020-06-19,Gooding,Idaho,16047.0,60,1.0
256267,2020-06-20,Gooding,Idaho,16047.0,61,1.0
259394,2020-06-21,Gooding,Idaho,16047.0,61,1.0
262521,2020-06-22,Gooding,Idaho,16047.0,61,1.0
265649,2020-06-23,Gooding,Idaho,16047.0,61,1.0
268779,2020-06-24,Gooding,Idaho,16047.0,61,1.0
271916,2020-06-25,Gooding,Idaho,16047.0,62,1.0
275058,2020-06-26,Gooding,Idaho,16047.0,62,1.0
278206,2020-06-27,Gooding,Idaho,16047.0,62,1.0
281353,2020-06-28,Gooding,Idaho,16047.0,62,1.0
284499,2020-06-29,Gooding,Idaho,16047.0,64,0.0
287647,2020-06-30,Gooding,Idaho,16047.0,65,0.0
290797,2020-07-01,Gooding,Idaho,16047.0,65,0.0
293951,2020-07-02,Gooding,Idaho,16047.0,65,0.0
