,date,county,state,fips,cases,deaths
7856,2020-03-22,Granville,North Carolina,37077.0,1,0.0
9057,2020-03-23,Granville,North Carolina,37077.0,1,0.0
10365,2020-03-24,Granville,North Carolina,37077.0,1,0.0
11806,2020-03-25,Granville,North Carolina,37077.0,1,0.0
13410,2020-03-26,Granville,North Carolina,37077.0,1,0.0
15144,2020-03-27,Granville,North Carolina,37077.0,3,0.0
16976,2020-03-28,Granville,North Carolina,37077.0,4,0.0
18906,2020-03-29,Granville,North Carolina,37077.0,6,0.0
20946,2020-03-30,Granville,North Carolina,37077.0,7,0.0
23072,2020-03-31,Granville,North Carolina,37077.0,9,0.0
25266,2020-04-01,Granville,North Carolina,37077.0,9,0.0
27529,2020-04-02,Granville,North Carolina,37077.0,20,0.0
29855,2020-04-03,Granville,North Carolina,37077.0,22,0.0
32242,2020-04-04,Granville,North Carolina,37077.0,24,0.0
34673,2020-04-05,Granville,North Carolina,37077.0,37,0.0
37142,2020-04-06,Granville,North Carolina,37077.0,70,0.0
39657,2020-04-07,Granville,North Carolina,37077.0,76,0.0
42214,2020-04-08,Granville,North Carolina,37077.0,83,0.0
44797,2020-04-09,Granville,North Carolina,37077.0,83,0.0
47410,2020-04-10,Granville,North Carolina,37077.0,87,0.0
50065,2020-04-11,Granville,North Carolina,37077.0,88,0.0
52738,2020-04-12,Granville,North Carolina,37077.0,89,0.0
55421,2020-04-13,Granville,North Carolina,37077.0,92,0.0
58121,2020-04-14,Granville,North Carolina,37077.0,97,4.0
60835,2020-04-15,Granville,North Carolina,37077.0,98,4.0
63561,2020-04-16,Granville,North Carolina,37077.0,104,4.0
66304,2020-04-17,Granville,North Carolina,37077.0,108,4.0
69061,2020-04-18,Granville,North Carolina,37077.0,109,5.0
71827,2020-04-19,Granville,North Carolina,37077.0,110,5.0
74602,2020-04-20,Granville,North Carolina,37077.0,112,5.0
77383,2020-04-21,Granville,North Carolina,37077.0,114,5.0
80172,2020-04-22,Granville,North Carolina,37077.0,118,5.0
82971,2020-04-23,Granville,North Carolina,37077.0,123,5.0
85775,2020-04-24,Granville,North Carolina,37077.0,121,5.0
88587,2020-04-25,Granville,North Carolina,37077.0,126,5.0
91402,2020-04-26,Granville,North Carolina,37077.0,133,5.0
94228,2020-04-27,Granville,North Carolina,37077.0,133,5.0
97065,2020-04-28,Granville,North Carolina,37077.0,133,5.0
99912,2020-04-29,Granville,North Carolina,37077.0,136,5.0
102765,2020-04-30,Granville,North Carolina,37077.0,136,5.0
105627,2020-05-01,Granville,North Carolina,37077.0,137,5.0
