,date,county,state,fips,cases,deaths
14776,2020-03-27,Gratiot,Michigan,26057.0,1,0.0
16596,2020-03-28,Gratiot,Michigan,26057.0,2,0.0
18512,2020-03-29,Gratiot,Michigan,26057.0,3,0.0
20530,2020-03-30,Gratiot,Michigan,26057.0,3,0.0
22641,2020-03-31,Gratiot,Michigan,26057.0,3,0.0
24820,2020-04-01,Gratiot,Michigan,26057.0,3,0.0
27073,2020-04-02,Gratiot,Michigan,26057.0,5,0.0
29391,2020-04-03,Gratiot,Michigan,26057.0,5,0.0
31769,2020-04-04,Gratiot,Michigan,26057.0,5,0.0
34194,2020-04-05,Gratiot,Michigan,26057.0,4,0.0
36653,2020-04-06,Gratiot,Michigan,26057.0,5,0.0
39161,2020-04-07,Gratiot,Michigan,26057.0,6,0.0
41713,2020-04-08,Gratiot,Michigan,26057.0,5,0.0
44289,2020-04-09,Gratiot,Michigan,26057.0,6,0.0
46897,2020-04-10,Gratiot,Michigan,26057.0,6,0.0
49540,2020-04-11,Gratiot,Michigan,26057.0,7,0.0
52210,2020-04-12,Gratiot,Michigan,26057.0,7,0.0
54891,2020-04-13,Gratiot,Michigan,26057.0,7,0.0
57589,2020-04-14,Gratiot,Michigan,26057.0,7,0.0
60299,2020-04-15,Gratiot,Michigan,26057.0,7,0.0
63021,2020-04-16,Gratiot,Michigan,26057.0,7,0.0
65759,2020-04-17,Gratiot,Michigan,26057.0,7,0.0
68510,2020-04-18,Gratiot,Michigan,26057.0,7,0.0
71274,2020-04-19,Gratiot,Michigan,26057.0,8,1.0
74046,2020-04-20,Gratiot,Michigan,26057.0,8,1.0
76826,2020-04-21,Gratiot,Michigan,26057.0,8,1.0
79612,2020-04-22,Gratiot,Michigan,26057.0,8,1.0
82407,2020-04-23,Gratiot,Michigan,26057.0,8,1.0
85211,2020-04-24,Gratiot,Michigan,26057.0,8,1.0
88021,2020-04-25,Gratiot,Michigan,26057.0,8,1.0
90837,2020-04-26,Gratiot,Michigan,26057.0,8,1.0
93658,2020-04-27,Gratiot,Michigan,26057.0,10,1.0
96493,2020-04-28,Gratiot,Michigan,26057.0,10,1.0
99339,2020-04-29,Gratiot,Michigan,26057.0,13,1.0
102191,2020-04-30,Gratiot,Michigan,26057.0,13,1.0
105051,2020-05-01,Gratiot,Michigan,26057.0,21,1.0
107915,2020-05-02,Gratiot,Michigan,26057.0,23,1.0
110787,2020-05-03,Gratiot,Michigan,26057.0,26,2.0
113665,2020-05-04,Gratiot,Michigan,26057.0,25,2.0
116546,2020-05-05,Gratiot,Michigan,26057.0,26,2.0
119507,2020-05-06,Gratiot,Michigan,26057.0,26,2.0
122479,2020-05-07,Gratiot,Michigan,26057.0,27,2.0
125461,2020-05-08,Gratiot,Michigan,26057.0,27,2.0
128448,2020-05-09,Gratiot,Michigan,26057.0,29,3.0
131438,2020-05-10,Gratiot,Michigan,26057.0,36,3.0
134429,2020-05-11,Gratiot,Michigan,26057.0,38,4.0
137419,2020-05-12,Gratiot,Michigan,26057.0,38,4.0
140413,2020-05-13,Gratiot,Michigan,26057.0,39,4.0
143408,2020-05-14,Gratiot,Michigan,26057.0,40,4.0
146408,2020-05-15,Gratiot,Michigan,26057.0,40,4.0
149413,2020-05-16,Gratiot,Michigan,26057.0,47,4.0
152424,2020-05-17,Gratiot,Michigan,26057.0,47,4.0
155438,2020-05-18,Gratiot,Michigan,26057.0,54,4.0
158456,2020-05-19,Gratiot,Michigan,26057.0,55,4.0
161482,2020-05-20,Gratiot,Michigan,26057.0,61,4.0
164511,2020-05-21,Gratiot,Michigan,26057.0,62,4.0
167547,2020-05-22,Gratiot,Michigan,26057.0,68,5.0
170584,2020-05-23,Gratiot,Michigan,26057.0,72,5.0
173626,2020-05-24,Gratiot,Michigan,26057.0,75,6.0
176669,2020-05-25,Gratiot,Michigan,26057.0,77,6.0
179713,2020-05-26,Gratiot,Michigan,26057.0,77,6.0
182759,2020-05-27,Gratiot,Michigan,26057.0,80,8.0
185814,2020-05-28,Gratiot,Michigan,26057.0,80,8.0
188872,2020-05-29,Gratiot,Michigan,26057.0,80,8.0
191936,2020-05-30,Gratiot,Michigan,26057.0,80,9.0
195004,2020-05-31,Gratiot,Michigan,26057.0,80,10.0
198075,2020-06-01,Gratiot,Michigan,26057.0,80,11.0
201147,2020-06-02,Gratiot,Michigan,26057.0,82,11.0
204224,2020-06-03,Gratiot,Michigan,26057.0,82,11.0
207305,2020-06-04,Gratiot,Michigan,26057.0,82,11.0
210386,2020-06-05,Gratiot,Michigan,26057.0,92,11.0
213470,2020-06-06,Gratiot,Michigan,26057.0,94,11.0
216558,2020-06-07,Gratiot,Michigan,26057.0,94,11.0
219650,2020-06-08,Gratiot,Michigan,26057.0,94,11.0
222745,2020-06-09,Gratiot,Michigan,26057.0,94,11.0
225842,2020-06-10,Gratiot,Michigan,26057.0,94,11.0
228944,2020-06-11,Gratiot,Michigan,26057.0,95,11.0
232048,2020-06-12,Gratiot,Michigan,26057.0,94,12.0
235153,2020-06-13,Gratiot,Michigan,26057.0,97,12.0
238260,2020-06-14,Gratiot,Michigan,26057.0,97,12.0
241369,2020-06-15,Gratiot,Michigan,26057.0,97,12.0
244480,2020-06-16,Gratiot,Michigan,26057.0,97,12.0
247593,2020-06-17,Gratiot,Michigan,26057.0,97,12.0
250705,2020-06-18,Gratiot,Michigan,26057.0,98,12.0
253820,2020-06-19,Gratiot,Michigan,26057.0,98,13.0
256940,2020-06-20,Gratiot,Michigan,26057.0,99,13.0
260066,2020-06-21,Gratiot,Michigan,26057.0,99,13.0
263195,2020-06-22,Gratiot,Michigan,26057.0,99,13.0
266321,2020-06-23,Gratiot,Michigan,26057.0,99,13.0
269454,2020-06-24,Gratiot,Michigan,26057.0,99,13.0
272591,2020-06-25,Gratiot,Michigan,26057.0,98,13.0
275734,2020-06-26,Gratiot,Michigan,26057.0,98,13.0
278882,2020-06-27,Gratiot,Michigan,26057.0,98,13.0
282030,2020-06-28,Gratiot,Michigan,26057.0,98,13.0
285175,2020-06-29,Gratiot,Michigan,26057.0,98,13.0
288325,2020-06-30,Gratiot,Michigan,26057.0,98,13.0
291476,2020-07-01,Gratiot,Michigan,26057.0,98,13.0
294630,2020-07-02,Gratiot,Michigan,26057.0,98,13.0
297788,2020-07-03,Gratiot,Michigan,26057.0,99,13.0
300950,2020-07-04,Gratiot,Michigan,26057.0,99,13.0
304114,2020-07-05,Gratiot,Michigan,26057.0,100,13.0
307281,2020-07-06,Gratiot,Michigan,26057.0,101,13.0
310449,2020-07-07,Gratiot,Michigan,26057.0,102,13.0
313619,2020-07-08,Gratiot,Michigan,26057.0,106,14.0
316793,2020-07-09,Gratiot,Michigan,26057.0,111,14.0
319968,2020-07-10,Gratiot,Michigan,26057.0,111,14.0
323147,2020-07-11,Gratiot,Michigan,26057.0,111,14.0
326330,2020-07-12,Gratiot,Michigan,26057.0,111,14.0
329516,2020-07-13,Gratiot,Michigan,26057.0,113,14.0
332703,2020-07-14,Gratiot,Michigan,26057.0,113,14.0
335896,2020-07-15,Gratiot,Michigan,26057.0,113,14.0
339092,2020-07-16,Gratiot,Michigan,26057.0,116,14.0
342288,2020-07-17,Gratiot,Michigan,26057.0,120,14.0
345488,2020-07-18,Gratiot,Michigan,26057.0,121,14.0
348689,2020-07-19,Gratiot,Michigan,26057.0,121,14.0
351889,2020-07-20,Gratiot,Michigan,26057.0,125,14.0
355091,2020-07-21,Gratiot,Michigan,26057.0,126,15.0
358294,2020-07-22,Gratiot,Michigan,26057.0,124,15.0
361499,2020-07-23,Gratiot,Michigan,26057.0,126,15.0
364706,2020-07-24,Gratiot,Michigan,26057.0,130,15.0
367913,2020-07-25,Gratiot,Michigan,26057.0,130,15.0
371123,2020-07-26,Gratiot,Michigan,26057.0,134,15.0
374335,2020-07-27,Gratiot,Michigan,26057.0,140,15.0
377550,2020-07-28,Gratiot,Michigan,26057.0,140,15.0
380767,2020-07-29,Gratiot,Michigan,26057.0,141,15.0
383984,2020-07-30,Gratiot,Michigan,26057.0,148,15.0
387202,2020-07-31,Gratiot,Michigan,26057.0,149,15.0
390419,2020-08-01,Gratiot,Michigan,26057.0,150,15.0
393636,2020-08-02,Gratiot,Michigan,26057.0,150,15.0
396852,2020-08-03,Gratiot,Michigan,26057.0,151,15.0
400066,2020-08-04,Gratiot,Michigan,26057.0,152,15.0
403283,2020-08-05,Gratiot,Michigan,26057.0,152,15.0
406501,2020-08-06,Gratiot,Michigan,26057.0,157,15.0
409721,2020-08-07,Gratiot,Michigan,26057.0,160,15.0
412941,2020-08-08,Gratiot,Michigan,26057.0,161,15.0
416161,2020-08-09,Gratiot,Michigan,26057.0,162,15.0
419382,2020-08-10,Gratiot,Michigan,26057.0,162,15.0
422604,2020-08-11,Gratiot,Michigan,26057.0,163,15.0
425826,2020-08-12,Gratiot,Michigan,26057.0,163,15.0
429050,2020-08-13,Gratiot,Michigan,26057.0,167,15.0
432277,2020-08-14,Gratiot,Michigan,26057.0,168,15.0
435503,2020-08-15,Gratiot,Michigan,26057.0,171,15.0
438728,2020-08-16,Gratiot,Michigan,26057.0,172,15.0
441955,2020-08-17,Gratiot,Michigan,26057.0,172,15.0
445181,2020-08-18,Gratiot,Michigan,26057.0,174,15.0
448407,2020-08-19,Gratiot,Michigan,26057.0,174,15.0
451635,2020-08-20,Gratiot,Michigan,26057.0,174,15.0
454863,2020-08-21,Gratiot,Michigan,26057.0,174,15.0
458091,2020-08-22,Gratiot,Michigan,26057.0,177,15.0
461318,2020-08-23,Gratiot,Michigan,26057.0,179,15.0
464549,2020-08-24,Gratiot,Michigan,26057.0,183,15.0
467778,2020-08-25,Gratiot,Michigan,26057.0,187,15.0
471008,2020-08-26,Gratiot,Michigan,26057.0,189,15.0
474240,2020-08-27,Gratiot,Michigan,26057.0,188,15.0
477473,2020-08-28,Gratiot,Michigan,26057.0,189,15.0
480705,2020-08-29,Gratiot,Michigan,26057.0,190,15.0
483940,2020-08-30,Gratiot,Michigan,26057.0,191,15.0
487174,2020-08-31,Gratiot,Michigan,26057.0,194,15.0
490407,2020-09-01,Gratiot,Michigan,26057.0,195,15.0
493641,2020-09-02,Gratiot,Michigan,26057.0,196,15.0
496874,2020-09-03,Gratiot,Michigan,26057.0,198,15.0
500108,2020-09-04,Gratiot,Michigan,26057.0,199,15.0
503342,2020-09-05,Gratiot,Michigan,26057.0,200,15.0
