date,county,state,fips,cases,deaths
2020-03-31,Graves,Kentucky,21083.0,1,0.0
2020-04-01,Graves,Kentucky,21083.0,1,0.0
2020-04-02,Graves,Kentucky,21083.0,1,0.0
2020-04-03,Graves,Kentucky,21083.0,1,0.0
2020-04-04,Graves,Kentucky,21083.0,1,0.0
2020-04-05,Graves,Kentucky,21083.0,2,0.0
2020-04-06,Graves,Kentucky,21083.0,2,0.0
2020-04-07,Graves,Kentucky,21083.0,3,0.0
2020-04-08,Graves,Kentucky,21083.0,5,0.0
2020-04-09,Graves,Kentucky,21083.0,5,0.0
2020-04-10,Graves,Kentucky,21083.0,5,0.0
2020-04-11,Graves,Kentucky,21083.0,9,0.0
2020-04-12,Graves,Kentucky,21083.0,10,0.0
2020-04-13,Graves,Kentucky,21083.0,13,0.0
2020-04-14,Graves,Kentucky,21083.0,16,0.0
2020-04-15,Graves,Kentucky,21083.0,19,0.0
2020-04-16,Graves,Kentucky,21083.0,24,1.0
2020-04-17,Graves,Kentucky,21083.0,28,2.0
2020-04-18,Graves,Kentucky,21083.0,41,2.0
2020-04-19,Graves,Kentucky,21083.0,51,3.0
2020-04-20,Graves,Kentucky,21083.0,63,3.0
2020-04-21,Graves,Kentucky,21083.0,68,6.0
2020-04-22,Graves,Kentucky,21083.0,84,7.0
2020-04-23,Graves,Kentucky,21083.0,84,7.0
2020-04-24,Graves,Kentucky,21083.0,89,10.0
2020-04-25,Graves,Kentucky,21083.0,109,11.0
2020-04-26,Graves,Kentucky,21083.0,114,11.0
2020-04-27,Graves,Kentucky,21083.0,119,11.0
2020-04-28,Graves,Kentucky,21083.0,122,13.0
2020-04-29,Graves,Kentucky,21083.0,124,13.0
2020-04-30,Graves,Kentucky,21083.0,131,13.0
2020-05-01,Graves,Kentucky,21083.0,137,14.0
2020-05-02,Graves,Kentucky,21083.0,137,14.0
2020-05-03,Graves,Kentucky,21083.0,138,14.0
2020-05-04,Graves,Kentucky,21083.0,141,14.0
2020-05-05,Graves,Kentucky,21083.0,143,14.0
2020-05-06,Graves,Kentucky,21083.0,142,14.0
2020-05-07,Graves,Kentucky,21083.0,145,14.0
2020-05-08,Graves,Kentucky,21083.0,146,14.0
2020-05-09,Graves,Kentucky,21083.0,148,18.0
2020-05-10,Graves,Kentucky,21083.0,148,18.0
2020-05-11,Graves,Kentucky,21083.0,149,18.0
2020-05-12,Graves,Kentucky,21083.0,149,18.0
2020-05-13,Graves,Kentucky,21083.0,149,18.0
2020-05-14,Graves,Kentucky,21083.0,152,18.0
2020-05-15,Graves,Kentucky,21083.0,152,18.0
2020-05-16,Graves,Kentucky,21083.0,152,18.0
2020-05-17,Graves,Kentucky,21083.0,152,18.0
2020-05-18,Graves,Kentucky,21083.0,154,18.0
2020-05-19,Graves,Kentucky,21083.0,154,18.0
2020-05-20,Graves,Kentucky,21083.0,152,19.0
2020-05-21,Graves,Kentucky,21083.0,152,19.0
2020-05-22,Graves,Kentucky,21083.0,152,19.0
2020-05-23,Graves,Kentucky,21083.0,157,19.0
2020-05-24,Graves,Kentucky,21083.0,157,19.0
2020-05-25,Graves,Kentucky,21083.0,157,19.0
2020-05-26,Graves,Kentucky,21083.0,157,19.0
2020-05-27,Graves,Kentucky,21083.0,159,19.0
2020-05-28,Graves,Kentucky,21083.0,159,19.0
2020-05-29,Graves,Kentucky,21083.0,162,19.0
2020-05-30,Graves,Kentucky,21083.0,165,19.0
2020-05-31,Graves,Kentucky,21083.0,165,19.0
2020-06-01,Graves,Kentucky,21083.0,166,19.0
2020-06-02,Graves,Kentucky,21083.0,167,19.0
2020-06-03,Graves,Kentucky,21083.0,166,19.0
2020-06-04,Graves,Kentucky,21083.0,166,19.0
2020-06-05,Graves,Kentucky,21083.0,166,20.0
2020-06-06,Graves,Kentucky,21083.0,166,20.0
2020-06-07,Graves,Kentucky,21083.0,166,20.0
2020-06-08,Graves,Kentucky,21083.0,166,20.0
2020-06-09,Graves,Kentucky,21083.0,167,20.0
2020-06-10,Graves,Kentucky,21083.0,167,20.0
2020-06-11,Graves,Kentucky,21083.0,167,20.0
2020-06-12,Graves,Kentucky,21083.0,168,20.0
2020-06-13,Graves,Kentucky,21083.0,173,20.0
2020-06-14,Graves,Kentucky,21083.0,173,20.0
2020-06-15,Graves,Kentucky,21083.0,175,20.0
2020-06-16,Graves,Kentucky,21083.0,175,20.0
2020-06-17,Graves,Kentucky,21083.0,176,20.0
2020-06-18,Graves,Kentucky,21083.0,180,20.0
