,date,county,state,fips,cases,deaths
6056,2020-03-20,Green,Wisconsin,55045.0,1,0.0
7089,2020-03-21,Green,Wisconsin,55045.0,1,0.0
8227,2020-03-22,Green,Wisconsin,55045.0,1,0.0
9453,2020-03-23,Green,Wisconsin,55045.0,1,0.0
10807,2020-03-24,Green,Wisconsin,55045.0,1,0.0
12335,2020-03-25,Green,Wisconsin,55045.0,1,0.0
13989,2020-03-26,Green,Wisconsin,55045.0,1,0.0
15761,2020-03-27,Green,Wisconsin,55045.0,3,0.0
17641,2020-03-28,Green,Wisconsin,55045.0,4,0.0
19610,2020-03-29,Green,Wisconsin,55045.0,4,0.0
21680,2020-03-30,Green,Wisconsin,55045.0,5,0.0
23832,2020-03-31,Green,Wisconsin,55045.0,6,0.0
26052,2020-04-01,Green,Wisconsin,55045.0,7,0.0
28345,2020-04-02,Green,Wisconsin,55045.0,7,0.0
30700,2020-04-03,Green,Wisconsin,55045.0,8,0.0
33101,2020-04-04,Green,Wisconsin,55045.0,8,0.0
35540,2020-04-05,Green,Wisconsin,55045.0,9,0.0
38026,2020-04-06,Green,Wisconsin,55045.0,9,0.0
38960,2020-04-07,Green,Kentucky,21087.0,1,0.0
40567,2020-04-07,Green,Wisconsin,55045.0,9,0.0
41509,2020-04-08,Green,Kentucky,21087.0,2,0.0
43139,2020-04-08,Green,Wisconsin,55045.0,9,0.0
44084,2020-04-09,Green,Kentucky,21087.0,2,0.0
45736,2020-04-09,Green,Wisconsin,55045.0,9,0.0
46692,2020-04-10,Green,Kentucky,21087.0,2,0.0
48364,2020-04-10,Green,Wisconsin,55045.0,9,0.0
49331,2020-04-11,Green,Kentucky,21087.0,2,0.0
51024,2020-04-11,Green,Wisconsin,55045.0,9,0.0
51997,2020-04-12,Green,Kentucky,21087.0,1,0.0
53701,2020-04-12,Green,Wisconsin,55045.0,9,0.0
54678,2020-04-13,Green,Kentucky,21087.0,1,0.0
56391,2020-04-13,Green,Wisconsin,55045.0,9,0.0
57375,2020-04-14,Green,Kentucky,21087.0,1,0.0
59098,2020-04-14,Green,Wisconsin,55045.0,9,0.0
60084,2020-04-15,Green,Kentucky,21087.0,1,0.0
61817,2020-04-15,Green,Wisconsin,55045.0,9,0.0
62804,2020-04-16,Green,Kentucky,21087.0,1,0.0
64550,2020-04-16,Green,Wisconsin,55045.0,9,0.0
65543,2020-04-17,Green,Kentucky,21087.0,1,0.0
67298,2020-04-17,Green,Wisconsin,55045.0,9,0.0
68292,2020-04-18,Green,Kentucky,21087.0,1,0.0
70060,2020-04-18,Green,Wisconsin,55045.0,9,0.0
71055,2020-04-19,Green,Kentucky,21087.0,1,0.0
72829,2020-04-19,Green,Wisconsin,55045.0,9,0.0
73827,2020-04-20,Green,Kentucky,21087.0,1,0.0
75605,2020-04-20,Green,Wisconsin,55045.0,9,0.0
76607,2020-04-21,Green,Kentucky,21087.0,1,0.0
78388,2020-04-21,Green,Wisconsin,55045.0,9,0.0
79392,2020-04-22,Green,Kentucky,21087.0,1,0.0
81181,2020-04-22,Green,Wisconsin,55045.0,9,0.0
82189,2020-04-23,Green,Kentucky,21087.0,1,0.0
83982,2020-04-23,Green,Wisconsin,55045.0,10,0.0
84992,2020-04-24,Green,Kentucky,21087.0,1,0.0
86789,2020-04-24,Green,Wisconsin,55045.0,10,0.0
87801,2020-04-25,Green,Kentucky,21087.0,1,0.0
89605,2020-04-25,Green,Wisconsin,55045.0,11,0.0
90617,2020-04-26,Green,Kentucky,21087.0,1,0.0
92423,2020-04-26,Green,Wisconsin,55045.0,11,0.0
93438,2020-04-27,Green,Kentucky,21087.0,1,0.0
