date,county,state,fips,cases,deaths
2020-06-09,Haines Borough,Alaska,2100.0,1,0.0
2020-06-10,Haines Borough,Alaska,2100.0,1,0.0
2020-06-11,Haines Borough,Alaska,2100.0,1,0.0
2020-06-12,Haines Borough,Alaska,2100.0,1,0.0
2020-06-13,Haines Borough,Alaska,2100.0,1,0.0
2020-06-14,Haines Borough,Alaska,2100.0,1,0.0
2020-06-15,Haines Borough,Alaska,2100.0,1,0.0
2020-06-16,Haines Borough,Alaska,2100.0,1,0.0
2020-06-17,Haines Borough,Alaska,2100.0,1,0.0
2020-06-18,Haines Borough,Alaska,2100.0,1,0.0
2020-06-19,Haines Borough,Alaska,2100.0,2,0.0
2020-06-20,Haines Borough,Alaska,2100.0,2,0.0
2020-06-21,Haines Borough,Alaska,2100.0,2,0.0
2020-06-22,Haines Borough,Alaska,2100.0,5,0.0
2020-06-23,Haines Borough,Alaska,2100.0,5,0.0
2020-06-24,Haines Borough,Alaska,2100.0,5,0.0
2020-06-25,Haines Borough,Alaska,2100.0,5,0.0
2020-06-26,Haines Borough,Alaska,2100.0,5,0.0
2020-06-27,Haines Borough,Alaska,2100.0,5,0.0
2020-06-28,Haines Borough,Alaska,2100.0,5,0.0
2020-06-29,Haines Borough,Alaska,2100.0,5,0.0
2020-06-30,Haines Borough,Alaska,2100.0,5,0.0
2020-07-01,Haines Borough,Alaska,2100.0,5,0.0
2020-07-02,Haines Borough,Alaska,2100.0,6,0.0
2020-07-03,Haines Borough,Alaska,2100.0,6,0.0
2020-07-04,Haines Borough,Alaska,2100.0,6,0.0
2020-07-05,Haines Borough,Alaska,2100.0,6,0.0
2020-07-06,Haines Borough,Alaska,2100.0,6,0.0
2020-07-07,Haines Borough,Alaska,2100.0,6,0.0
2020-07-08,Haines Borough,Alaska,2100.0,6,0.0
2020-07-09,Haines Borough,Alaska,2100.0,6,0.0
2020-07-10,Haines Borough,Alaska,2100.0,6,0.0
2020-07-11,Haines Borough,Alaska,2100.0,6,0.0
2020-07-12,Haines Borough,Alaska,2100.0,6,0.0
2020-07-13,Haines Borough,Alaska,2100.0,6,0.0
2020-07-14,Haines Borough,Alaska,2100.0,6,0.0
2020-07-15,Haines Borough,Alaska,2100.0,6,0.0
2020-07-16,Haines Borough,Alaska,2100.0,7,0.0
2020-07-17,Haines Borough,Alaska,2100.0,7,0.0
2020-07-18,Haines Borough,Alaska,2100.0,7,0.0
2020-07-19,Haines Borough,Alaska,2100.0,7,0.0
2020-07-20,Haines Borough,Alaska,2100.0,7,0.0
2020-07-21,Haines Borough,Alaska,2100.0,7,0.0
2020-07-22,Haines Borough,Alaska,2100.0,7,0.0
2020-07-23,Haines Borough,Alaska,2100.0,7,0.0
2020-07-24,Haines Borough,Alaska,2100.0,7,0.0
2020-07-25,Haines Borough,Alaska,2100.0,8,0.0
2020-07-26,Haines Borough,Alaska,2100.0,8,0.0
2020-07-27,Haines Borough,Alaska,2100.0,8,0.0
2020-07-28,Haines Borough,Alaska,2100.0,8,0.0
2020-07-29,Haines Borough,Alaska,2100.0,8,0.0
2020-07-30,Haines Borough,Alaska,2100.0,8,0.0
2020-07-31,Haines Borough,Alaska,2100.0,8,0.0
2020-08-01,Haines Borough,Alaska,2100.0,8,0.0
2020-08-02,Haines Borough,Alaska,2100.0,8,0.0
2020-08-03,Haines Borough,Alaska,2100.0,8,0.0
2020-08-04,Haines Borough,Alaska,2100.0,8,0.0
2020-08-05,Haines Borough,Alaska,2100.0,8,0.0
2020-08-06,Haines Borough,Alaska,2100.0,8,0.0
2020-08-07,Haines Borough,Alaska,2100.0,8,0.0
2020-08-08,Haines Borough,Alaska,2100.0,8,0.0
2020-08-09,Haines Borough,Alaska,2100.0,8,0.0
2020-08-10,Haines Borough,Alaska,2100.0,8,0.0
2020-08-11,Haines Borough,Alaska,2100.0,8,0.0
2020-08-12,Haines Borough,Alaska,2100.0,9,0.0
2020-08-13,Haines Borough,Alaska,2100.0,9,0.0
2020-08-14,Haines Borough,Alaska,2100.0,10,0.0
2020-08-15,Haines Borough,Alaska,2100.0,10,0.0
2020-08-16,Haines Borough,Alaska,2100.0,10,0.0
2020-08-17,Haines Borough,Alaska,2100.0,10,0.0
2020-08-18,Haines Borough,Alaska,2100.0,10,0.0
2020-08-19,Haines Borough,Alaska,2100.0,10,0.0
2020-08-20,Haines Borough,Alaska,2100.0,10,0.0
2020-08-21,Haines Borough,Alaska,2100.0,10,0.0
2020-08-22,Haines Borough,Alaska,2100.0,10,0.0
2020-08-23,Haines Borough,Alaska,2100.0,10,0.0
2020-08-24,Haines Borough,Alaska,2100.0,10,0.0
2020-08-25,Haines Borough,Alaska,2100.0,10,0.0
2020-08-26,Haines Borough,Alaska,2100.0,10,0.0
2020-08-27,Haines Borough,Alaska,2100.0,10,0.0
2020-08-28,Haines Borough,Alaska,2100.0,10,0.0
2020-08-29,Haines Borough,Alaska,2100.0,10,0.0
2020-08-30,Haines Borough,Alaska,2100.0,10,0.0
2020-08-31,Haines Borough,Alaska,2100.0,10,0.0
2020-09-01,Haines Borough,Alaska,2100.0,10,0.0
2020-09-02,Haines Borough,Alaska,2100.0,9,0.0
2020-09-03,Haines Borough,Alaska,2100.0,9,0.0
2020-09-04,Haines Borough,Alaska,2100.0,9,0.0
2020-09-05,Haines Borough,Alaska,2100.0,9,0.0
2020-09-06,Haines Borough,Alaska,2100.0,9,0.0
2020-09-07,Haines Borough,Alaska,2100.0,9,0.0
2020-09-08,Haines Borough,Alaska,2100.0,9,0.0
2020-09-09,Haines Borough,Alaska,2100.0,9,0.0
2020-09-10,Haines Borough,Alaska,2100.0,9,0.0
2020-09-11,Haines Borough,Alaska,2100.0,9,0.0
2020-09-12,Haines Borough,Alaska,2100.0,9,0.0
2020-09-13,Haines Borough,Alaska,2100.0,9,0.0
2020-09-14,Haines Borough,Alaska,2100.0,9,0.0
2020-09-15,Haines Borough,Alaska,2100.0,9,0.0
2020-09-16,Haines Borough,Alaska,2100.0,9,0.0
2020-09-17,Haines Borough,Alaska,2100.0,10,0.0
2020-09-18,Haines Borough,Alaska,2100.0,10,0.0
2020-09-19,Haines Borough,Alaska,2100.0,10,0.0
2020-09-20,Haines Borough,Alaska,2100.0,10,0.0
2020-09-21,Haines Borough,Alaska,2100.0,10,0.0
2020-09-22,Haines Borough,Alaska,2100.0,10,0.0
2020-09-23,Haines Borough,Alaska,2100.0,10,0.0
2020-09-24,Haines Borough,Alaska,2100.0,10,0.0
2020-09-25,Haines Borough,Alaska,2100.0,10,0.0
2020-09-26,Haines Borough,Alaska,2100.0,10,0.0
2020-09-27,Haines Borough,Alaska,2100.0,10,0.0
2020-09-28,Haines Borough,Alaska,2100.0,10,0.0
2020-09-29,Haines Borough,Alaska,2100.0,10,0.0
2020-09-30,Haines Borough,Alaska,2100.0,10,0.0
2020-10-01,Haines Borough,Alaska,2100.0,10,0.0
2020-10-02,Haines Borough,Alaska,2100.0,10,0.0
2020-10-03,Haines Borough,Alaska,2100.0,10,0.0
2020-10-04,Haines Borough,Alaska,2100.0,10,0.0
2020-10-05,Haines Borough,Alaska,2100.0,10,0.0
2020-10-06,Haines Borough,Alaska,2100.0,10,0.0
2020-10-07,Haines Borough,Alaska,2100.0,10,0.0
2020-10-08,Haines Borough,Alaska,2100.0,10,0.0
2020-10-09,Haines Borough,Alaska,2100.0,10,0.0
2020-10-10,Haines Borough,Alaska,2100.0,10,0.0
2020-10-11,Haines Borough,Alaska,2100.0,10,0.0
2020-10-12,Haines Borough,Alaska,2100.0,11,0.0
2020-10-13,Haines Borough,Alaska,2100.0,12,0.0
2020-10-14,Haines Borough,Alaska,2100.0,12,0.0
2020-10-15,Haines Borough,Alaska,2100.0,12,0.0
2020-10-16,Haines Borough,Alaska,2100.0,12,0.0
2020-10-17,Haines Borough,Alaska,2100.0,12,0.0
2020-10-18,Haines Borough,Alaska,2100.0,12,0.0
2020-10-19,Haines Borough,Alaska,2100.0,12,0.0
2020-10-20,Haines Borough,Alaska,2100.0,11,0.0
2020-10-21,Haines Borough,Alaska,2100.0,11,0.0
2020-10-22,Haines Borough,Alaska,2100.0,11,0.0
2020-10-23,Haines Borough,Alaska,2100.0,11,0.0
2020-10-24,Haines Borough,Alaska,2100.0,12,0.0
2020-10-25,Haines Borough,Alaska,2100.0,12,0.0
2020-10-26,Haines Borough,Alaska,2100.0,12,0.0
2020-10-27,Haines Borough,Alaska,2100.0,12,0.0
2020-10-28,Haines Borough,Alaska,2100.0,12,0.0
2020-10-29,Haines Borough,Alaska,2100.0,12,0.0
2020-10-30,Haines Borough,Alaska,2100.0,13,0.0
2020-10-31,Haines Borough,Alaska,2100.0,13,0.0
2020-11-01,Haines Borough,Alaska,2100.0,13,0.0
2020-11-02,Haines Borough,Alaska,2100.0,13,0.0
2020-11-03,Haines Borough,Alaska,2100.0,14,0.0
2020-11-04,Haines Borough,Alaska,2100.0,14,0.0
2020-11-05,Haines Borough,Alaska,2100.0,14,0.0
2020-11-06,Haines Borough,Alaska,2100.0,15,0.0
2020-11-07,Haines Borough,Alaska,2100.0,15,0.0
2020-11-08,Haines Borough,Alaska,2100.0,15,0.0
2020-11-09,Haines Borough,Alaska,2100.0,15,0.0
2020-11-10,Haines Borough,Alaska,2100.0,15,0.0
2020-11-11,Haines Borough,Alaska,2100.0,15,0.0
2020-11-12,Haines Borough,Alaska,2100.0,16,0.0
2020-11-13,Haines Borough,Alaska,2100.0,16,0.0
2020-11-14,Haines Borough,Alaska,2100.0,16,0.0
2020-11-15,Haines Borough,Alaska,2100.0,16,0.0
2020-11-16,Haines Borough,Alaska,2100.0,16,0.0
2020-11-17,Haines Borough,Alaska,2100.0,16,0.0
2020-11-18,Haines Borough,Alaska,2100.0,16,0.0
2020-11-19,Haines Borough,Alaska,2100.0,16,0.0
2020-11-20,Haines Borough,Alaska,2100.0,16,0.0
2020-11-21,Haines Borough,Alaska,2100.0,16,0.0
