,date,county,state,fips,cases,deaths
14341,2020-03-27,Hart,Georgia,13147.0,1,0.0
16127,2020-03-28,Hart,Georgia,13147.0,1,0.0
18024,2020-03-29,Hart,Georgia,13147.0,1,0.0
20014,2020-03-30,Hart,Georgia,13147.0,2,0.0
22095,2020-03-31,Hart,Georgia,13147.0,4,0.0
24258,2020-04-01,Hart,Georgia,13147.0,4,0.0
26489,2020-04-02,Hart,Georgia,13147.0,3,0.0
28793,2020-04-03,Hart,Georgia,13147.0,3,0.0
31153,2020-04-04,Hart,Georgia,13147.0,3,0.0
33560,2020-04-05,Hart,Georgia,13147.0,3,0.0
36009,2020-04-06,Hart,Georgia,13147.0,3,0.0
38502,2020-04-07,Hart,Georgia,13147.0,3,0.0
38965,2020-04-07,Hart,Kentucky,21099.0,1,0.0
41046,2020-04-08,Hart,Georgia,13147.0,3,0.0
41514,2020-04-08,Hart,Kentucky,21099.0,1,0.0
43620,2020-04-09,Hart,Georgia,13147.0,3,0.0
44089,2020-04-09,Hart,Kentucky,21099.0,1,0.0
46222,2020-04-10,Hart,Georgia,13147.0,3,0.0
46697,2020-04-10,Hart,Kentucky,21099.0,1,0.0
48852,2020-04-11,Hart,Georgia,13147.0,3,0.0
49336,2020-04-11,Hart,Kentucky,21099.0,1,0.0
51514,2020-04-12,Hart,Georgia,13147.0,3,0.0
52002,2020-04-12,Hart,Kentucky,21099.0,1,0.0
54194,2020-04-13,Hart,Georgia,13147.0,5,0.0
54683,2020-04-13,Hart,Kentucky,21099.0,1,0.0
56886,2020-04-14,Hart,Georgia,13147.0,5,0.0
57380,2020-04-14,Hart,Kentucky,21099.0,1,0.0
59593,2020-04-15,Hart,Georgia,13147.0,5,0.0
60089,2020-04-15,Hart,Kentucky,21099.0,1,0.0
62313,2020-04-16,Hart,Georgia,13147.0,5,0.0
62809,2020-04-16,Hart,Kentucky,21099.0,1,0.0
65046,2020-04-17,Hart,Georgia,13147.0,5,0.0
65548,2020-04-17,Hart,Kentucky,21099.0,2,0.0
67794,2020-04-18,Hart,Georgia,13147.0,5,0.0
68297,2020-04-18,Hart,Kentucky,21099.0,2,0.0
70556,2020-04-19,Hart,Georgia,13147.0,6,0.0
71060,2020-04-19,Hart,Kentucky,21099.0,2,0.0
73325,2020-04-20,Hart,Georgia,13147.0,6,0.0
73832,2020-04-20,Hart,Kentucky,21099.0,2,0.0
76101,2020-04-21,Hart,Georgia,13147.0,6,0.0
76612,2020-04-21,Hart,Kentucky,21099.0,3,0.0
78885,2020-04-22,Hart,Georgia,13147.0,6,0.0
79397,2020-04-22,Hart,Kentucky,21099.0,3,0.0
81678,2020-04-23,Hart,Georgia,13147.0,6,0.0
82194,2020-04-23,Hart,Kentucky,21099.0,3,0.0
84478,2020-04-24,Hart,Georgia,13147.0,6,0.0
84997,2020-04-24,Hart,Kentucky,21099.0,3,0.0
87287,2020-04-25,Hart,Georgia,13147.0,6,0.0
87806,2020-04-25,Hart,Kentucky,21099.0,3,0.0
90103,2020-04-26,Hart,Georgia,13147.0,6,0.0
90622,2020-04-26,Hart,Kentucky,21099.0,3,0.0
92922,2020-04-27,Hart,Georgia,13147.0,9,0.0
93443,2020-04-27,Hart,Kentucky,21099.0,3,0.0
95754,2020-04-28,Hart,Georgia,13147.0,9,0.0
96276,2020-04-28,Hart,Kentucky,21099.0,5,0.0
98599,2020-04-29,Hart,Georgia,13147.0,10,0.0
99122,2020-04-29,Hart,Kentucky,21099.0,5,0.0
101449,2020-04-30,Hart,Georgia,13147.0,10,0.0
101974,2020-04-30,Hart,Kentucky,21099.0,5,0.0
104304,2020-05-01,Hart,Georgia,13147.0,11,0.0
104835,2020-05-01,Hart,Kentucky,21099.0,5,0.0
107169,2020-05-02,Hart,Georgia,13147.0,11,0.0
107700,2020-05-02,Hart,Kentucky,21099.0,8,0.0
110038,2020-05-03,Hart,Georgia,13147.0,11,0.0
110571,2020-05-03,Hart,Kentucky,21099.0,8,0.0
112913,2020-05-04,Hart,Georgia,13147.0,12,0.0
113448,2020-05-04,Hart,Kentucky,21099.0,8,0.0
115796,2020-05-05,Hart,Georgia,13147.0,13,0.0
116330,2020-05-05,Hart,Kentucky,21099.0,8,0.0
118756,2020-05-06,Hart,Georgia,13147.0,15,0.0
119291,2020-05-06,Hart,Kentucky,21099.0,8,0.0
121726,2020-05-07,Hart,Georgia,13147.0,15,0.0
122262,2020-05-07,Hart,Kentucky,21099.0,11,0.0
124705,2020-05-08,Hart,Georgia,13147.0,15,0.0
125244,2020-05-08,Hart,Kentucky,21099.0,8,0.0
127692,2020-05-09,Hart,Georgia,13147.0,16,0.0
128232,2020-05-09,Hart,Kentucky,21099.0,8,0.0
130683,2020-05-10,Hart,Georgia,13147.0,17,0.0
131222,2020-05-10,Hart,Kentucky,21099.0,8,0.0
133674,2020-05-11,Hart,Georgia,13147.0,18,0.0
134213,2020-05-11,Hart,Kentucky,21099.0,8,0.0
136663,2020-05-12,Hart,Georgia,13147.0,18,0.0
137203,2020-05-12,Hart,Kentucky,21099.0,16,0.0
139654,2020-05-13,Hart,Georgia,13147.0,19,0.0
140196,2020-05-13,Hart,Kentucky,21099.0,16,0.0
142650,2020-05-14,Hart,Georgia,13147.0,19,0.0
143192,2020-05-14,Hart,Kentucky,21099.0,19,0.0
145650,2020-05-15,Hart,Georgia,13147.0,19,0.0
146192,2020-05-15,Hart,Kentucky,21099.0,19,0.0
148653,2020-05-16,Hart,Georgia,13147.0,19,0.0
149196,2020-05-16,Hart,Kentucky,21099.0,19,0.0
151662,2020-05-17,Hart,Georgia,13147.0,20,0.0
152207,2020-05-17,Hart,Kentucky,21099.0,19,0.0
154674,2020-05-18,Hart,Georgia,13147.0,22,0.0
155221,2020-05-18,Hart,Kentucky,21099.0,19,0.0
157690,2020-05-19,Hart,Georgia,13147.0,24,0.0
158238,2020-05-19,Hart,Kentucky,21099.0,20,0.0
160716,2020-05-20,Hart,Georgia,13147.0,26,0.0
161264,2020-05-20,Hart,Kentucky,21099.0,20,0.0
163744,2020-05-21,Hart,Georgia,13147.0,26,0.0
164293,2020-05-21,Hart,Kentucky,21099.0,20,0.0
166777,2020-05-22,Hart,Georgia,13147.0,26,0.0
167329,2020-05-22,Hart,Kentucky,21099.0,21,0.0
169814,2020-05-23,Hart,Georgia,13147.0,26,0.0
170367,2020-05-23,Hart,Kentucky,21099.0,21,0.0
172855,2020-05-24,Hart,Georgia,13147.0,26,0.0
173408,2020-05-24,Hart,Kentucky,21099.0,21,0.0
175898,2020-05-25,Hart,Georgia,13147.0,26,0.0
176452,2020-05-25,Hart,Kentucky,21099.0,21,0.0
178942,2020-05-26,Hart,Georgia,13147.0,26,0.0
179496,2020-05-26,Hart,Kentucky,21099.0,24,0.0
181986,2020-05-27,Hart,Georgia,13147.0,26,0.0
182541,2020-05-27,Hart,Kentucky,21099.0,24,0.0
185040,2020-05-28,Hart,Georgia,13147.0,28,0.0
185595,2020-05-28,Hart,Kentucky,21099.0,26,0.0
188096,2020-05-29,Hart,Georgia,13147.0,28,0.0
188653,2020-05-29,Hart,Kentucky,21099.0,26,0.0
191161,2020-05-30,Hart,Georgia,13147.0,30,0.0
191717,2020-05-30,Hart,Kentucky,21099.0,26,0.0
194228,2020-05-31,Hart,Georgia,13147.0,30,0.0
194785,2020-05-31,Hart,Kentucky,21099.0,26,0.0
197298,2020-06-01,Hart,Georgia,13147.0,33,0.0
197856,2020-06-01,Hart,Kentucky,21099.0,28,0.0
200371,2020-06-02,Hart,Georgia,13147.0,33,0.0
200928,2020-06-02,Hart,Kentucky,21099.0,28,0.0
203447,2020-06-03,Hart,Georgia,13147.0,34,0.0
204005,2020-06-03,Hart,Kentucky,21099.0,28,0.0
206527,2020-06-04,Hart,Georgia,13147.0,36,0.0
207086,2020-06-04,Hart,Kentucky,21099.0,29,0.0
209608,2020-06-05,Hart,Georgia,13147.0,39,0.0
210167,2020-06-05,Hart,Kentucky,21099.0,31,0.0
212693,2020-06-06,Hart,Georgia,13147.0,39,0.0
213252,2020-06-06,Hart,Kentucky,21099.0,31,0.0
215780,2020-06-07,Hart,Georgia,13147.0,39,0.0
216339,2020-06-07,Hart,Kentucky,21099.0,31,0.0
218871,2020-06-08,Hart,Georgia,13147.0,40,0.0
219431,2020-06-08,Hart,Kentucky,21099.0,31,0.0
221966,2020-06-09,Hart,Georgia,13147.0,39,0.0
222526,2020-06-09,Hart,Kentucky,21099.0,31,0.0
225061,2020-06-10,Hart,Georgia,13147.0,39,0.0
225622,2020-06-10,Hart,Kentucky,21099.0,32,0.0
228163,2020-06-11,Hart,Georgia,13147.0,39,0.0
228724,2020-06-11,Hart,Kentucky,21099.0,36,0.0
231266,2020-06-12,Hart,Georgia,13147.0,41,0.0
231828,2020-06-12,Hart,Kentucky,21099.0,36,0.0
234372,2020-06-13,Hart,Georgia,13147.0,41,0.0
234933,2020-06-13,Hart,Kentucky,21099.0,36,0.0
237479,2020-06-14,Hart,Georgia,13147.0,43,0.0
238040,2020-06-14,Hart,Kentucky,21099.0,36,0.0
240587,2020-06-15,Hart,Georgia,13147.0,44,0.0
241149,2020-06-15,Hart,Kentucky,21099.0,36,0.0
243698,2020-06-16,Hart,Georgia,13147.0,44,0.0
244260,2020-06-16,Hart,Kentucky,21099.0,36,0.0
246811,2020-06-17,Hart,Georgia,13147.0,44,0.0
247373,2020-06-17,Hart,Kentucky,21099.0,37,0.0
249923,2020-06-18,Hart,Georgia,13147.0,46,0.0
250485,2020-06-18,Hart,Kentucky,21099.0,39,0.0
253038,2020-06-19,Hart,Georgia,13147.0,47,0.0
253600,2020-06-19,Hart,Kentucky,21099.0,42,0.0
256157,2020-06-20,Hart,Georgia,13147.0,48,0.0
256720,2020-06-20,Hart,Kentucky,21099.0,42,0.0
259284,2020-06-21,Hart,Georgia,13147.0,48,0.0
259846,2020-06-21,Hart,Kentucky,21099.0,42,0.0
262411,2020-06-22,Hart,Georgia,13147.0,50,0.0
262975,2020-06-22,Hart,Kentucky,21099.0,43,0.0
265539,2020-06-23,Hart,Georgia,13147.0,50,0.0
266102,2020-06-23,Hart,Kentucky,21099.0,44,0.0
268669,2020-06-24,Hart,Georgia,13147.0,52,0.0
269235,2020-06-24,Hart,Kentucky,21099.0,46,0.0
271805,2020-06-25,Hart,Georgia,13147.0,52,0.0
272371,2020-06-25,Hart,Kentucky,21099.0,46,0.0
274945,2020-06-26,Hart,Georgia,13147.0,53,0.0
275514,2020-06-26,Hart,Kentucky,21099.0,46,0.0
278093,2020-06-27,Hart,Georgia,13147.0,55,0.0
278662,2020-06-27,Hart,Kentucky,21099.0,46,0.0
281240,2020-06-28,Hart,Georgia,13147.0,56,0.0
281810,2020-06-28,Hart,Kentucky,21099.0,46,0.0
284386,2020-06-29,Hart,Georgia,13147.0,56,0.0
284956,2020-06-29,Hart,Kentucky,21099.0,47,0.0
287532,2020-06-30,Hart,Georgia,13147.0,59,0.0
288105,2020-06-30,Hart,Kentucky,21099.0,47,0.0
290683,2020-07-01,Hart,Georgia,13147.0,60,0.0
291255,2020-07-01,Hart,Kentucky,21099.0,48,0.0
293837,2020-07-02,Hart,Georgia,13147.0,67,0.0
294409,2020-07-02,Hart,Kentucky,21099.0,49,0.0
296993,2020-07-03,Hart,Georgia,13147.0,69,0.0
297567,2020-07-03,Hart,Kentucky,21099.0,49,0.0
300155,2020-07-04,Hart,Georgia,13147.0,80,0.0
300729,2020-07-04,Hart,Kentucky,21099.0,49,0.0
303319,2020-07-05,Hart,Georgia,13147.0,83,0.0
303893,2020-07-05,Hart,Kentucky,21099.0,49,0.0
306483,2020-07-06,Hart,Georgia,13147.0,87,0.0
307060,2020-07-06,Hart,Kentucky,21099.0,49,0.0
309651,2020-07-07,Hart,Georgia,13147.0,88,0.0
310228,2020-07-07,Hart,Kentucky,21099.0,49,0.0
312821,2020-07-08,Hart,Georgia,13147.0,91,0.0
313398,2020-07-08,Hart,Kentucky,21099.0,50,0.0
315996,2020-07-09,Hart,Georgia,13147.0,92,0.0
316572,2020-07-09,Hart,Kentucky,21099.0,50,0.0
319169,2020-07-10,Hart,Georgia,13147.0,101,0.0
319747,2020-07-10,Hart,Kentucky,21099.0,50,0.0
322348,2020-07-11,Hart,Georgia,13147.0,109,0.0
322926,2020-07-11,Hart,Kentucky,21099.0,50,0.0
325529,2020-07-12,Hart,Georgia,13147.0,113,0.0
326109,2020-07-12,Hart,Kentucky,21099.0,50,0.0
328715,2020-07-13,Hart,Georgia,13147.0,117,0.0
329295,2020-07-13,Hart,Kentucky,21099.0,51,0.0
331902,2020-07-14,Hart,Georgia,13147.0,121,0.0
332482,2020-07-14,Hart,Kentucky,21099.0,51,0.0
335095,2020-07-15,Hart,Georgia,13147.0,125,0.0
335675,2020-07-15,Hart,Kentucky,21099.0,52,0.0
338290,2020-07-16,Hart,Georgia,13147.0,131,0.0
338871,2020-07-16,Hart,Kentucky,21099.0,54,0.0
341487,2020-07-17,Hart,Georgia,13147.0,136,0.0
342067,2020-07-17,Hart,Kentucky,21099.0,57,0.0
344686,2020-07-18,Hart,Georgia,13147.0,143,0.0
345267,2020-07-18,Hart,Kentucky,21099.0,57,0.0
347886,2020-07-19,Hart,Georgia,13147.0,152,0.0
348468,2020-07-19,Hart,Kentucky,21099.0,57,0.0
351087,2020-07-20,Hart,Georgia,13147.0,158,0.0
351668,2020-07-20,Hart,Kentucky,21099.0,62,0.0
354289,2020-07-21,Hart,Georgia,13147.0,165,0.0
