,date,county,state,fips,cases,deaths
1992,2020-03-14,Hartford,Connecticut,9003.0,1,0.0
2374,2020-03-15,Hartford,Connecticut,9003.0,3,0.0
2809,2020-03-16,Hartford,Connecticut,9003.0,4,0.0
3291,2020-03-17,Hartford,Connecticut,9003.0,7,0.0
3846,2020-03-18,Hartford,Connecticut,9003.0,11,0.0
4509,2020-03-19,Hartford,Connecticut,9003.0,18,0.0
5287,2020-03-20,Hartford,Connecticut,9003.0,29,0.0
6214,2020-03-21,Hartford,Connecticut,9003.0,35,0.0
7250,2020-03-22,Hartford,Connecticut,9003.0,54,1.0
8396,2020-03-23,Hartford,Connecticut,9003.0,61,2.0
9641,2020-03-24,Hartford,Connecticut,9003.0,88,2.0
11015,2020-03-25,Hartford,Connecticut,9003.0,116,2.0
12563,2020-03-26,Hartford,Connecticut,9003.0,138,2.0
14232,2020-03-27,Hartford,Connecticut,9003.0,189,2.0
16016,2020-03-28,Hartford,Connecticut,9003.0,228,2.0
17908,2020-03-29,Hartford,Connecticut,9003.0,276,2.0
19887,2020-03-30,Hartford,Connecticut,9003.0,330,3.0
21964,2020-03-31,Hartford,Connecticut,9003.0,393,7.0
24123,2020-04-01,Hartford,Connecticut,9003.0,469,11.0
26353,2020-04-02,Hartford,Connecticut,9003.0,539,13.0
28655,2020-04-03,Hartford,Connecticut,9003.0,679,18.0
31013,2020-04-04,Hartford,Connecticut,9003.0,726,26.0
33419,2020-04-05,Hartford,Connecticut,9003.0,751,29.0
35864,2020-04-06,Hartford,Connecticut,9003.0,882,31.0
38354,2020-04-07,Hartford,Connecticut,9003.0,1045,48.0
40897,2020-04-08,Hartford,Connecticut,9003.0,1290,68.0
43471,2020-04-09,Hartford,Connecticut,9003.0,1471,75.0
46071,2020-04-10,Hartford,Connecticut,9003.0,1615,88.0
48701,2020-04-11,Hartford,Connecticut,9003.0,1832,101.0
51363,2020-04-12,Hartford,Connecticut,9003.0,1914,116.0
54042,2020-04-13,Hartford,Connecticut,9003.0,2243,133.0
56734,2020-04-14,Hartford,Connecticut,9003.0,2370,153.0
59442,2020-04-15,Hartford,Connecticut,9003.0,2570,213.0
62161,2020-04-16,Hartford,Connecticut,9003.0,2859,243.0
64894,2020-04-17,Hartford,Connecticut,9003.0,3015,266.0
67642,2020-04-18,Hartford,Connecticut,9003.0,3196,289.0
70404,2020-04-19,Hartford,Connecticut,9003.0,3351,295.0
73173,2020-04-20,Hartford,Connecticut,9003.0,3823,369.0
75949,2020-04-21,Hartford,Connecticut,9003.0,3951,402.0
78733,2020-04-22,Hartford,Connecticut,9003.0,4128,442.0
81527,2020-04-23,Hartford,Connecticut,9003.0,4303,469.0
84327,2020-04-24,Hartford,Connecticut,9003.0,4570,511.0
87135,2020-04-25,Hartford,Connecticut,9003.0,4761,553.0
89952,2020-04-26,Hartford,Connecticut,9003.0,4989,579.0
92770,2020-04-27,Hartford,Connecticut,9003.0,5157,612.0
95602,2020-04-28,Hartford,Connecticut,9003.0,5224,643.0
98447,2020-04-29,Hartford,Connecticut,9003.0,5388,670.0
101297,2020-04-30,Hartford,Connecticut,9003.0,5601,698.0
104152,2020-05-01,Hartford,Connecticut,9003.0,5931,715.0
107017,2020-05-02,Hartford,Connecticut,9003.0,6112,741.0
109886,2020-05-03,Hartford,Connecticut,9003.0,6112,741.0
112761,2020-05-04,Hartford,Connecticut,9003.0,6173,773.0
115644,2020-05-05,Hartford,Connecticut,9003.0,6351,804.0
118604,2020-05-06,Hartford,Connecticut,9003.0,6530,842.0
121573,2020-05-07,Hartford,Connecticut,9003.0,6750,867.0
124553,2020-05-08,Hartford,Connecticut,9003.0,6904,884.0
127539,2020-05-09,Hartford,Connecticut,9003.0,7105,901.0
130530,2020-05-10,Hartford,Connecticut,9003.0,7263,909.0
133521,2020-05-11,Hartford,Connecticut,9003.0,7358,921.0
136510,2020-05-12,Hartford,Connecticut,9003.0,7528,931.0
139501,2020-05-13,Hartford,Connecticut,9003.0,7732,963.0
142497,2020-05-14,Hartford,Connecticut,9003.0,7935,999.0
145497,2020-05-15,Hartford,Connecticut,9003.0,8126,1025.0
148500,2020-05-16,Hartford,Connecticut,9003.0,8299,1044.0
151509,2020-05-17,Hartford,Connecticut,9003.0,8723,1069.0
154521,2020-05-18,Hartford,Connecticut,9003.0,8957,1084.0
157537,2020-05-19,Hartford,Connecticut,9003.0,9050,1090.0
160563,2020-05-20,Hartford,Connecticut,9003.0,9234,1116.0
163591,2020-05-21,Hartford,Connecticut,9003.0,9299,1133.0
166624,2020-05-22,Hartford,Connecticut,9003.0,9463,1155.0
169661,2020-05-23,Hartford,Connecticut,9003.0,9545,1169.0
172702,2020-05-24,Hartford,Connecticut,9003.0,9686,1175.0
175745,2020-05-25,Hartford,Connecticut,9003.0,9841,1187.0
178789,2020-05-26,Hartford,Connecticut,9003.0,9917,1193.0
181833,2020-05-27,Hartford,Connecticut,9003.0,9962,1203.0
184887,2020-05-28,Hartford,Connecticut,9003.0,10078,1208.0
187943,2020-05-29,Hartford,Connecticut,9003.0,10146,1222.0
191008,2020-05-30,Hartford,Connecticut,9003.0,10207,1238.0
194075,2020-05-31,Hartford,Connecticut,9003.0,10296,1250.0
197145,2020-06-01,Hartford,Connecticut,9003.0,10445,1254.0
200218,2020-06-02,Hartford,Connecticut,9003.0,10536,1253.0
203294,2020-06-03,Hartford,Connecticut,9003.0,10593,1259.0
206374,2020-06-04,Hartford,Connecticut,9003.0,10636,1266.0
209455,2020-06-05,Hartford,Connecticut,9003.0,10677,1277.0
212540,2020-06-06,Hartford,Connecticut,9003.0,10747,1279.0
215627,2020-06-07,Hartford,Connecticut,9003.0,10809,1287.0
218718,2020-06-08,Hartford,Connecticut,9003.0,10844,1291.0
221813,2020-06-09,Hartford,Connecticut,9003.0,10859,1291.0
224908,2020-06-10,Hartford,Connecticut,9003.0,10924,1303.0
228010,2020-06-11,Hartford,Connecticut,9003.0,10967,1308.0
231113,2020-06-12,Hartford,Connecticut,9003.0,11103,1313.0
234219,2020-06-13,Hartford,Connecticut,9003.0,11189,1321.0
237326,2020-06-14,Hartford,Connecticut,9003.0,11218,1327.0
240434,2020-06-15,Hartford,Connecticut,9003.0,11231,1328.0
243545,2020-06-16,Hartford,Connecticut,9003.0,11261,1330.0
246658,2020-06-17,Hartford,Connecticut,9003.0,11284,1331.0
249770,2020-06-18,Hartford,Connecticut,9003.0,11322,1336.0
252885,2020-06-19,Hartford,Connecticut,9003.0,11358,1341.0
256004,2020-06-20,Hartford,Connecticut,9003.0,11392,1344.0
259131,2020-06-21,Hartford,Connecticut,9003.0,11405,1350.0
262258,2020-06-22,Hartford,Connecticut,9003.0,11414,1350.0
265386,2020-06-23,Hartford,Connecticut,9003.0,11443,1352.0
268516,2020-06-24,Hartford,Connecticut,9003.0,11450,1356.0
271652,2020-06-25,Hartford,Connecticut,9003.0,11483,1362.0
274792,2020-06-26,Hartford,Connecticut,9003.0,11511,1365.0
277940,2020-06-27,Hartford,Connecticut,9003.0,11558,1369.0
281087,2020-06-28,Hartford,Connecticut,9003.0,11587,1369.0
284233,2020-06-29,Hartford,Connecticut,9003.0,11623,1370.0
287379,2020-06-30,Hartford,Connecticut,9003.0,11662,1370.0
290530,2020-07-01,Hartford,Connecticut,9003.0,11691,1373.0
293684,2020-07-02,Hartford,Connecticut,9003.0,11716,1374.0
296840,2020-07-03,Hartford,Connecticut,9003.0,11728,1378.0
300002,2020-07-04,Hartford,Connecticut,9003.0,11728,1378.0
303166,2020-07-05,Hartford,Connecticut,9003.0,11728,1378.0
306330,2020-07-06,Hartford,Connecticut,9003.0,11794,1380.0
309498,2020-07-07,Hartford,Connecticut,9003.0,11812,1380.0
312668,2020-07-08,Hartford,Connecticut,9003.0,11835,1382.0
315843,2020-07-09,Hartford,Connecticut,9003.0,11866,1385.0
319016,2020-07-10,Hartford,Connecticut,9003.0,11892,1385.0
322195,2020-07-11,Hartford,Connecticut,9003.0,11892,1385.0
325376,2020-07-12,Hartford,Connecticut,9003.0,11892,1385.0
328562,2020-07-13,Hartford,Connecticut,9003.0,11949,1391.0
331749,2020-07-14,Hartford,Connecticut,9003.0,11950,1394.0
334942,2020-07-15,Hartford,Connecticut,9003.0,11980,1398.0
338137,2020-07-16,Hartford,Connecticut,9003.0,12016,1402.0
341334,2020-07-17,Hartford,Connecticut,9003.0,12046,1403.0
344533,2020-07-18,Hartford,Connecticut,9003.0,12046,1403.0
347733,2020-07-19,Hartford,Connecticut,9003.0,12046,1403.0
350934,2020-07-20,Hartford,Connecticut,9003.0,12082,1406.0
354136,2020-07-21,Hartford,Connecticut,9003.0,12101,1406.0
357339,2020-07-22,Hartford,Connecticut,9003.0,12147,1407.0
360544,2020-07-23,Hartford,Connecticut,9003.0,12145,1408.0
363751,2020-07-24,Hartford,Connecticut,9003.0,12340,1408.0
366958,2020-07-25,Hartford,Connecticut,9003.0,12340,1408.0
370168,2020-07-26,Hartford,Connecticut,9003.0,12340,1408.0
373380,2020-07-27,Hartford,Connecticut,9003.0,12390,1410.0
376594,2020-07-28,Hartford,Connecticut,9003.0,12401,1411.0
379811,2020-07-29,Hartford,Connecticut,9003.0,12542,1411.0
383028,2020-07-30,Hartford,Connecticut,9003.0,12561,1411.0
386246,2020-07-31,Hartford,Connecticut,9003.0,12645,1412.0
389463,2020-08-01,Hartford,Connecticut,9003.0,12645,1412.0
392680,2020-08-02,Hartford,Connecticut,9003.0,12645,1412.0
395896,2020-08-03,Hartford,Connecticut,9003.0,12701,1412.0
399112,2020-08-04,Hartford,Connecticut,9003.0,12711,1412.0
402328,2020-08-05,Hartford,Connecticut,9003.0,12733,1412.0
405546,2020-08-06,Hartford,Connecticut,9003.0,12745,1414.0
408766,2020-08-07,Hartford,Connecticut,9003.0,12761,1415.0
411985,2020-08-08,Hartford,Connecticut,9003.0,12761,1415.0
415205,2020-08-09,Hartford,Connecticut,9003.0,12761,1415.0
418426,2020-08-10,Hartford,Connecticut,9003.0,12800,1415.0
421647,2020-08-11,Hartford,Connecticut,9003.0,12826,1415.0
424868,2020-08-12,Hartford,Connecticut,9003.0,12830,1416.0
428092,2020-08-13,Hartford,Connecticut,9003.0,12855,1416.0
431320,2020-08-14,Hartford,Connecticut,9003.0,12871,1419.0
434545,2020-08-15,Hartford,Connecticut,9003.0,12871,1419.0
437771,2020-08-16,Hartford,Connecticut,9003.0,12871,1419.0
440997,2020-08-17,Hartford,Connecticut,9003.0,12956,1420.0
444223,2020-08-18,Hartford,Connecticut,9003.0,12949,1420.0
447450,2020-08-19,Hartford,Connecticut,9003.0,12956,1419.0
450678,2020-08-20,Hartford,Connecticut,9003.0,12978,1420.0
453906,2020-08-21,Hartford,Connecticut,9003.0,13002,1422.0
457134,2020-08-22,Hartford,Connecticut,9003.0,13002,1422.0
460361,2020-08-23,Hartford,Connecticut,9003.0,13002,1422.0
463590,2020-08-24,Hartford,Connecticut,9003.0,13180,1422.0
466819,2020-08-25,Hartford,Connecticut,9003.0,13184,1424.0
470048,2020-08-26,Hartford,Connecticut,9003.0,13273,1424.0
473280,2020-08-27,Hartford,Connecticut,9003.0,13307,1426.0
476513,2020-08-28,Hartford,Connecticut,9003.0,13392,1426.0
479746,2020-08-29,Hartford,Connecticut,9003.0,13392,1426.0
482980,2020-08-30,Hartford,Connecticut,9003.0,13392,1426.0
486215,2020-08-31,Hartford,Connecticut,9003.0,13504,1425.0
489448,2020-09-01,Hartford,Connecticut,9003.0,13529,1425.0
492681,2020-09-02,Hartford,Connecticut,9003.0,13561,1426.0
495915,2020-09-03,Hartford,Connecticut,9003.0,13598,1426.0
499148,2020-09-04,Hartford,Connecticut,9003.0,13635,1426.0
502382,2020-09-05,Hartford,Connecticut,9003.0,13635,1426.0
505616,2020-09-06,Hartford,Connecticut,9003.0,13635,1426.0
508848,2020-09-07,Hartford,Connecticut,9003.0,13635,1426.0
512081,2020-09-08,Hartford,Connecticut,9003.0,13771,1428.0
515314,2020-09-09,Hartford,Connecticut,9003.0,13796,1428.0
518549,2020-09-10,Hartford,Connecticut,9003.0,13853,1430.0
521786,2020-09-11,Hartford,Connecticut,9003.0,13886,1430.0
525022,2020-09-12,Hartford,Connecticut,9003.0,13886,1430.0
528258,2020-09-13,Hartford,Connecticut,9003.0,13886,1430.0
531495,2020-09-14,Hartford,Connecticut,9003.0,14060,1431.0
534730,2020-09-15,Hartford,Connecticut,9003.0,14099,1431.0
537966,2020-09-16,Hartford,Connecticut,9003.0,14130,1433.0
541203,2020-09-17,Hartford,Connecticut,9003.0,14205,1434.0
544439,2020-09-18,Hartford,Connecticut,9003.0,14253,1434.0
547677,2020-09-19,Hartford,Connecticut,9003.0,14253,1434.0
550916,2020-09-20,Hartford,Connecticut,9003.0,14253,1434.0
554155,2020-09-21,Hartford,Connecticut,9003.0,14370,1434.0
557392,2020-09-22,Hartford,Connecticut,9003.0,14414,1434.0
560628,2020-09-23,Hartford,Connecticut,9003.0,14456,1434.0
563868,2020-09-24,Hartford,Connecticut,9003.0,14506,1434.0
567108,2020-09-25,Hartford,Connecticut,9003.0,14539,1434.0
570350,2020-09-26,Hartford,Connecticut,9003.0,14539,1434.0
573592,2020-09-27,Hartford,Connecticut,9003.0,14539,1434.0
576835,2020-09-28,Hartford,Connecticut,9003.0,14670,1434.0
580076,2020-09-29,Hartford,Connecticut,9003.0,14737,1436.0
583315,2020-09-30,Hartford,Connecticut,9003.0,14801,1437.0
586555,2020-10-01,Hartford,Connecticut,9003.0,14874,1439.0
589796,2020-10-02,Hartford,Connecticut,9003.0,14989,1439.0
593036,2020-10-03,Hartford,Connecticut,9003.0,14989,1439.0
