,date,county,state,fips,cases,deaths
19265,2020-03-29,Haywood,Tennessee,47075.0,2,0.0
21320,2020-03-30,Haywood,Tennessee,47075.0,2,0.0
23458,2020-03-31,Haywood,Tennessee,47075.0,2,0.0
25658,2020-04-01,Haywood,Tennessee,47075.0,2,0.0
27936,2020-04-02,Haywood,Tennessee,47075.0,2,0.0
29860,2020-04-03,Haywood,North Carolina,37087.0,1,0.0
30271,2020-04-03,Haywood,Tennessee,47075.0,2,0.0
32247,2020-04-04,Haywood,North Carolina,37087.0,2,0.0
32662,2020-04-04,Haywood,Tennessee,47075.0,2,0.0
34678,2020-04-05,Haywood,North Carolina,37087.0,2,0.0
35098,2020-04-05,Haywood,Tennessee,47075.0,3,0.0
37147,2020-04-06,Haywood,North Carolina,37087.0,3,0.0
37574,2020-04-06,Haywood,Tennessee,47075.0,5,0.0
39662,2020-04-07,Haywood,North Carolina,37087.0,3,0.0
40097,2020-04-07,Haywood,Tennessee,47075.0,6,0.0
42219,2020-04-08,Haywood,North Carolina,37087.0,3,0.0
42659,2020-04-08,Haywood,Tennessee,47075.0,7,0.0
44802,2020-04-09,Haywood,North Carolina,37087.0,3,0.0
45246,2020-04-09,Haywood,Tennessee,47075.0,9,0.0
47415,2020-04-10,Haywood,North Carolina,37087.0,3,0.0
47864,2020-04-10,Haywood,Tennessee,47075.0,13,1.0
50070,2020-04-11,Haywood,North Carolina,37087.0,3,0.0
50522,2020-04-11,Haywood,Tennessee,47075.0,13,1.0
52743,2020-04-12,Haywood,North Carolina,37087.0,3,0.0
53197,2020-04-12,Haywood,Tennessee,47075.0,13,1.0
55426,2020-04-13,Haywood,North Carolina,37087.0,3,0.0
55883,2020-04-13,Haywood,Tennessee,47075.0,12,1.0
58126,2020-04-14,Haywood,North Carolina,37087.0,3,0.0
58586,2020-04-14,Haywood,Tennessee,47075.0,12,1.0
60840,2020-04-15,Haywood,North Carolina,37087.0,3,0.0
61301,2020-04-15,Haywood,Tennessee,47075.0,12,1.0
63566,2020-04-16,Haywood,North Carolina,37087.0,4,0.0
64028,2020-04-16,Haywood,Tennessee,47075.0,12,1.0
66309,2020-04-17,Haywood,North Carolina,37087.0,4,0.0
66774,2020-04-17,Haywood,Tennessee,47075.0,12,1.0
69066,2020-04-18,Haywood,North Carolina,37087.0,5,0.0
69533,2020-04-18,Haywood,Tennessee,47075.0,13,1.0
71832,2020-04-19,Haywood,North Carolina,37087.0,5,0.0
72300,2020-04-19,Haywood,Tennessee,47075.0,13,1.0
74607,2020-04-20,Haywood,North Carolina,37087.0,5,0.0
75075,2020-04-20,Haywood,Tennessee,47075.0,13,1.0
77388,2020-04-21,Haywood,North Carolina,37087.0,5,0.0
77857,2020-04-21,Haywood,Tennessee,47075.0,13,1.0
80177,2020-04-22,Haywood,North Carolina,37087.0,5,0.0
80647,2020-04-22,Haywood,Tennessee,47075.0,14,1.0
82976,2020-04-23,Haywood,North Carolina,37087.0,5,0.0
83446,2020-04-23,Haywood,Tennessee,47075.0,14,1.0
85780,2020-04-24,Haywood,North Carolina,37087.0,5,0.0
86251,2020-04-24,Haywood,Tennessee,47075.0,15,1.0
88592,2020-04-25,Haywood,North Carolina,37087.0,5,0.0
89066,2020-04-25,Haywood,Tennessee,47075.0,17,1.0
91407,2020-04-26,Haywood,North Carolina,37087.0,5,0.0
91883,2020-04-26,Haywood,Tennessee,47075.0,18,1.0
