date,county,state,fips,cases,deaths
2020-03-29,Hempstead,Arkansas,5057.0,1,0.0
2020-03-30,Hempstead,Arkansas,5057.0,1,0.0
2020-03-31,Hempstead,Arkansas,5057.0,1,0.0
2020-04-01,Hempstead,Arkansas,5057.0,1,0.0
2020-04-02,Hempstead,Arkansas,5057.0,2,0.0
2020-04-03,Hempstead,Arkansas,5057.0,3,0.0
2020-04-04,Hempstead,Arkansas,5057.0,3,0.0
2020-04-05,Hempstead,Arkansas,5057.0,3,0.0
2020-04-06,Hempstead,Arkansas,5057.0,3,0.0
2020-04-07,Hempstead,Arkansas,5057.0,3,0.0
2020-04-08,Hempstead,Arkansas,5057.0,3,0.0
2020-04-09,Hempstead,Arkansas,5057.0,3,1.0
2020-04-10,Hempstead,Arkansas,5057.0,3,1.0
2020-04-11,Hempstead,Arkansas,5057.0,4,1.0
2020-04-12,Hempstead,Arkansas,5057.0,5,1.0
2020-04-13,Hempstead,Arkansas,5057.0,4,1.0
2020-04-14,Hempstead,Arkansas,5057.0,4,1.0
2020-04-15,Hempstead,Arkansas,5057.0,4,1.0
2020-04-16,Hempstead,Arkansas,5057.0,4,1.0
2020-04-17,Hempstead,Arkansas,5057.0,4,1.0
2020-04-18,Hempstead,Arkansas,5057.0,5,1.0
2020-04-19,Hempstead,Arkansas,5057.0,5,1.0
2020-04-20,Hempstead,Arkansas,5057.0,5,1.0
2020-04-21,Hempstead,Arkansas,5057.0,5,1.0
2020-04-22,Hempstead,Arkansas,5057.0,5,1.0
2020-04-23,Hempstead,Arkansas,5057.0,5,1.0
2020-04-24,Hempstead,Arkansas,5057.0,5,1.0
2020-04-25,Hempstead,Arkansas,5057.0,5,1.0
2020-04-26,Hempstead,Arkansas,5057.0,5,1.0
2020-04-27,Hempstead,Arkansas,5057.0,5,1.0
2020-04-28,Hempstead,Arkansas,5057.0,6,1.0
2020-04-29,Hempstead,Arkansas,5057.0,6,1.0
2020-04-30,Hempstead,Arkansas,5057.0,6,1.0
2020-05-01,Hempstead,Arkansas,5057.0,5,1.0
2020-05-02,Hempstead,Arkansas,5057.0,6,1.0
2020-05-03,Hempstead,Arkansas,5057.0,6,1.0
2020-05-04,Hempstead,Arkansas,5057.0,7,1.0
2020-05-05,Hempstead,Arkansas,5057.0,7,1.0
2020-05-06,Hempstead,Arkansas,5057.0,7,1.0
2020-05-07,Hempstead,Arkansas,5057.0,7,1.0
2020-05-08,Hempstead,Arkansas,5057.0,7,1.0
2020-05-09,Hempstead,Arkansas,5057.0,7,1.0
2020-05-10,Hempstead,Arkansas,5057.0,7,1.0
2020-05-11,Hempstead,Arkansas,5057.0,7,1.0
2020-05-12,Hempstead,Arkansas,5057.0,7,1.0
2020-05-13,Hempstead,Arkansas,5057.0,7,1.0
2020-05-14,Hempstead,Arkansas,5057.0,7,1.0
2020-05-15,Hempstead,Arkansas,5057.0,9,1.0
2020-05-16,Hempstead,Arkansas,5057.0,9,1.0
2020-05-17,Hempstead,Arkansas,5057.0,9,1.0
2020-05-18,Hempstead,Arkansas,5057.0,9,1.0
2020-05-19,Hempstead,Arkansas,5057.0,9,1.0
2020-05-20,Hempstead,Arkansas,5057.0,10,1.0
2020-05-21,Hempstead,Arkansas,5057.0,12,1.0
2020-05-22,Hempstead,Arkansas,5057.0,11,1.0
2020-05-23,Hempstead,Arkansas,5057.0,13,1.0
2020-05-24,Hempstead,Arkansas,5057.0,13,1.0
2020-05-25,Hempstead,Arkansas,5057.0,13,1.0
2020-05-26,Hempstead,Arkansas,5057.0,14,1.0
2020-05-27,Hempstead,Arkansas,5057.0,14,1.0
2020-05-28,Hempstead,Arkansas,5057.0,14,1.0
2020-05-29,Hempstead,Arkansas,5057.0,15,1.0
2020-05-30,Hempstead,Arkansas,5057.0,16,1.0
2020-05-31,Hempstead,Arkansas,5057.0,18,1.0
2020-06-01,Hempstead,Arkansas,5057.0,18,1.0
2020-06-02,Hempstead,Arkansas,5057.0,21,1.0
2020-06-03,Hempstead,Arkansas,5057.0,20,1.0
2020-06-04,Hempstead,Arkansas,5057.0,21,1.0
