,date,county,state,fips,cases,deaths
1707,2020-03-13,Henry,Georgia,13151.0,1,0.0
1780,2020-03-13,Henry,Missouri,29083.0,1,0.0
2030,2020-03-14,Henry,Georgia,13151.0,1,0.0
2125,2020-03-14,Henry,Missouri,29083.0,1,0.0
2417,2020-03-15,Henry,Georgia,13151.0,1,0.0
2532,2020-03-15,Henry,Missouri,29083.0,1,0.0
2856,2020-03-16,Henry,Georgia,13151.0,2,0.0
2987,2020-03-16,Henry,Missouri,29083.0,1,0.0
3341,2020-03-17,Henry,Georgia,13151.0,2,0.0
3496,2020-03-17,Henry,Missouri,29083.0,1,0.0
3902,2020-03-18,Henry,Georgia,13151.0,2,0.0
4085,2020-03-18,Henry,Missouri,29083.0,1,0.0
4575,2020-03-19,Henry,Georgia,13151.0,3,0.0
4804,2020-03-19,Henry,Missouri,29083.0,1,0.0
5360,2020-03-20,Henry,Georgia,13151.0,6,0.0
5639,2020-03-20,Henry,Missouri,29083.0,1,0.0
6293,2020-03-21,Henry,Georgia,13151.0,7,1.0
6401,2020-03-21,Henry,Iowa,19087.0,1,0.0
6627,2020-03-21,Henry,Missouri,29083.0,1,0.0
7339,2020-03-22,Henry,Georgia,13151.0,7,1.0
7462,2020-03-22,Henry,Iowa,19087.0,1,0.0
7716,2020-03-22,Henry,Missouri,29083.0,1,0.0
8488,2020-03-23,Henry,Georgia,13151.0,9,1.0
8621,2020-03-23,Henry,Iowa,19087.0,1,0.0
8904,2020-03-23,Henry,Missouri,29083.0,1,0.0
9741,2020-03-24,Henry,Georgia,13151.0,13,1.0
9899,2020-03-24,Henry,Iowa,19087.0,1,0.0
10204,2020-03-24,Henry,Missouri,29083.0,1,0.0
11118,2020-03-25,Henry,Georgia,13151.0,20,1.0
11296,2020-03-25,Henry,Iowa,19087.0,1,0.0
11626,2020-03-25,Henry,Missouri,29083.0,1,0.0
12669,2020-03-26,Henry,Georgia,13151.0,29,1.0
12860,2020-03-26,Henry,Iowa,19087.0,1,0.0
13224,2020-03-26,Henry,Missouri,29083.0,1,0.0
14343,2020-03-27,Henry,Georgia,13151.0,44,1.0
14434,2020-03-27,Henry,Illinois,17073.0,1,0.0
14487,2020-03-27,Henry,Indiana,18065.0,1,0.0
14551,2020-03-27,Henry,Iowa,19087.0,2,0.0
14949,2020-03-27,Henry,Missouri,29083.0,1,0.0
16129,2020-03-28,Henry,Georgia,13151.0,50,1.0
16229,2020-03-28,Henry,Illinois,17073.0,2,0.0
16285,2020-03-28,Henry,Indiana,18065.0,1,0.0
16355,2020-03-28,Henry,Iowa,19087.0,2,0.0
16773,2020-03-28,Henry,Missouri,29083.0,1,0.0
18026,2020-03-29,Henry,Georgia,13151.0,56,2.0
18128,2020-03-29,Henry,Illinois,17073.0,2,0.0
18188,2020-03-29,Henry,Indiana,18065.0,2,0.0
18260,2020-03-29,Henry,Iowa,19087.0,3,0.0
18695,2020-03-29,Henry,Missouri,29083.0,1,1.0
19266,2020-03-29,Henry,Tennessee,47079.0,1,0.0
20016,2020-03-30,Henry,Georgia,13151.0,68,2.0
20130,2020-03-30,Henry,Illinois,17073.0,2,0.0
20194,2020-03-30,Henry,Indiana,18065.0,2,0.0
20269,2020-03-30,Henry,Iowa,19087.0,3,0.0
20721,2020-03-30,Henry,Missouri,29083.0,1,1.0
21321,2020-03-30,Henry,Tennessee,47079.0,1,0.0
21551,2020-03-30,Henry,Virginia,51089.0,1,0.0
22097,2020-03-31,Henry,Georgia,13151.0,86,2.0
22222,2020-03-31,Henry,Illinois,17073.0,2,0.0
22288,2020-03-31,Henry,Indiana,18065.0,1,0.0
22365,2020-03-31,Henry,Iowa,19087.0,3,0.0
22468,2020-03-31,Henry,Kentucky,21103.0,1,0.0
22840,2020-03-31,Henry,Missouri,29083.0,1,1.0
23459,2020-03-31,Henry,Tennessee,47079.0,1,0.0
23696,2020-03-31,Henry,Virginia,51089.0,1,0.0
24260,2020-04-01,Henry,Georgia,13151.0,95,2.0
24390,2020-04-01,Henry,Illinois,17073.0,3,0.0
24458,2020-04-01,Henry,Indiana,18065.0,4,0.0
24537,2020-04-01,Henry,Iowa,19087.0,5,0.0
24644,2020-04-01,Henry,Kentucky,21103.0,1,0.0
25028,2020-04-01,Henry,Missouri,29083.0,1,1.0
25659,2020-04-01,Henry,Tennessee,47079.0,1,0.0
25912,2020-04-01,Henry,Virginia,51089.0,2,0.0
26491,2020-04-02,Henry,Georgia,13151.0,115,2.0
26623,2020-04-02,Henry,Illinois,17073.0,4,0.0
26697,2020-04-02,Henry,Indiana,18065.0,6,0.0
26778,2020-04-02,Henry,Iowa,19087.0,5,0.0
26891,2020-04-02,Henry,Kentucky,21103.0,1,0.0
27283,2020-04-02,Henry,Missouri,29083.0,1,1.0
27937,2020-04-02,Henry,Tennessee,47079.0,4,0.0
28202,2020-04-02,Henry,Virginia,51089.0,2,0.0
28428,2020-04-03,Henry,Alabama,1067.0,2,0.0
28795,2020-04-03,Henry,Georgia,13151.0,143,3.0
28932,2020-04-03,Henry,Illinois,17073.0,7,0.0
29007,2020-04-03,Henry,Indiana,18065.0,7,0.0
29089,2020-04-03,Henry,Iowa,19087.0,6,0.0
29207,2020-04-03,Henry,Kentucky,21103.0,1,0.0
29603,2020-04-03,Henry,Missouri,29083.0,1,1.0
30272,2020-04-03,Henry,Tennessee,47079.0,4,0.0
30548,2020-04-03,Henry,Virginia,51089.0,3,0.0
30785,2020-04-04,Henry,Alabama,1067.0,2,0.0
31155,2020-04-04,Henry,Georgia,13151.0,167,3.0
31294,2020-04-04,Henry,Illinois,17073.0,7,0.0
31373,2020-04-04,Henry,Indiana,18065.0,8,0.0
31458,2020-04-04,Henry,Iowa,19087.0,6,0.0
31583,2020-04-04,Henry,Kentucky,21103.0,1,0.0
31983,2020-04-04,Henry,Missouri,29083.0,1,1.0
32663,2020-04-04,Henry,Tennessee,47079.0,4,0.0
32947,2020-04-04,Henry,Virginia,51089.0,3,0.0
33189,2020-04-05,Henry,Alabama,1067.0,3,0.0
33562,2020-04-05,Henry,Georgia,13151.0,168,3.0
33704,2020-04-05,Henry,Illinois,17073.0,8,0.0
33784,2020-04-05,Henry,Indiana,18065.0,11,0.0
33871,2020-04-05,Henry,Iowa,19087.0,8,1.0
34002,2020-04-05,Henry,Kentucky,21103.0,2,0.0
34411,2020-04-05,Henry,Missouri,29083.0,2,1.0
35100,2020-04-05,Henry,Tennessee,47079.0,4,0.0
35385,2020-04-05,Henry,Virginia,51089.0,3,0.0
35628,2020-04-06,Henry,Alabama,1067.0,4,0.0
36011,2020-04-06,Henry,Georgia,13151.0,181,3.0
36155,2020-04-06,Henry,Illinois,17073.0,10,0.0
36237,2020-04-06,Henry,Indiana,18065.0,13,0.0
36326,2020-04-06,Henry,Iowa,19087.0,9,1.0
36460,2020-04-06,Henry,Kentucky,21103.0,2,0.0
36875,2020-04-06,Henry,Missouri,29083.0,2,1.0
37576,2020-04-06,Henry,Tennessee,47079.0,5,0.0
37868,2020-04-06,Henry,Virginia,51089.0,3,0.0
