,date,county,state,fips,cases,deaths
2528,2020-03-15,Hinds,Mississippi,28049.0,2,0.0
2981,2020-03-16,Hinds,Mississippi,28049.0,2,0.0
3487,2020-03-17,Hinds,Mississippi,28049.0,6,0.0
4074,2020-03-18,Hinds,Mississippi,28049.0,6,0.0
4786,2020-03-19,Hinds,Mississippi,28049.0,6,0.0
5610,2020-03-20,Hinds,Mississippi,28049.0,7,0.0
6588,2020-03-21,Hinds,Mississippi,28049.0,14,0.0
7671,2020-03-22,Hinds,Mississippi,28049.0,20,0.0
8851,2020-03-23,Hinds,Mississippi,28049.0,24,0.0
10147,2020-03-24,Hinds,Mississippi,28049.0,31,0.0
11567,2020-03-25,Hinds,Mississippi,28049.0,38,0.0
13159,2020-03-26,Hinds,Mississippi,28049.0,43,0.0
14875,2020-03-27,Hinds,Mississippi,28049.0,50,0.0
16699,2020-03-28,Hinds,Mississippi,28049.0,58,0.0
18621,2020-03-29,Hinds,Mississippi,28049.0,66,0.0
20645,2020-03-30,Hinds,Mississippi,28049.0,74,0.0
22762,2020-03-31,Hinds,Mississippi,28049.0,90,0.0
24945,2020-04-01,Hinds,Mississippi,28049.0,109,0.0
27199,2020-04-02,Hinds,Mississippi,28049.0,118,0.0
29518,2020-04-03,Hinds,Mississippi,28049.0,139,0.0
31898,2020-04-04,Hinds,Mississippi,28049.0,140,0.0
34325,2020-04-05,Hinds,Mississippi,28049.0,154,0.0
36788,2020-04-06,Hinds,Mississippi,28049.0,158,0.0
39299,2020-04-07,Hinds,Mississippi,28049.0,169,0.0
41853,2020-04-08,Hinds,Mississippi,28049.0,178,1.0
44429,2020-04-09,Hinds,Mississippi,28049.0,203,2.0
47038,2020-04-10,Hinds,Mississippi,28049.0,219,2.0
49684,2020-04-11,Hinds,Mississippi,28049.0,234,2.0
52357,2020-04-12,Hinds,Mississippi,28049.0,247,2.0
55039,2020-04-13,Hinds,Mississippi,28049.0,259,2.0
57737,2020-04-14,Hinds,Mississippi,28049.0,263,2.0
60448,2020-04-15,Hinds,Mississippi,28049.0,280,4.0
63170,2020-04-16,Hinds,Mississippi,28049.0,301,4.0
65910,2020-04-17,Hinds,Mississippi,28049.0,314,5.0
68662,2020-04-18,Hinds,Mississippi,28049.0,325,5.0
71428,2020-04-19,Hinds,Mississippi,28049.0,337,5.0
74201,2020-04-20,Hinds,Mississippi,28049.0,347,5.0
76982,2020-04-21,Hinds,Mississippi,28049.0,357,6.0
79767,2020-04-22,Hinds,Mississippi,28049.0,377,6.0
82563,2020-04-23,Hinds,Mississippi,28049.0,383,6.0
85367,2020-04-24,Hinds,Mississippi,28049.0,401,6.0
88177,2020-04-25,Hinds,Mississippi,28049.0,412,7.0
90993,2020-04-26,Hinds,Mississippi,28049.0,415,7.0
93814,2020-04-27,Hinds,Mississippi,28049.0,421,7.0
96650,2020-04-28,Hinds,Mississippi,28049.0,435,7.0
99496,2020-04-29,Hinds,Mississippi,28049.0,450,7.0
102348,2020-04-30,Hinds,Mississippi,28049.0,470,8.0
105209,2020-05-01,Hinds,Mississippi,28049.0,496,8.0
108074,2020-05-02,Hinds,Mississippi,28049.0,505,8.0
110945,2020-05-03,Hinds,Mississippi,28049.0,507,8.0
113824,2020-05-04,Hinds,Mississippi,28049.0,542,9.0
116706,2020-05-05,Hinds,Mississippi,28049.0,565,9.0
119666,2020-05-06,Hinds,Mississippi,28049.0,588,11.0
122640,2020-05-07,Hinds,Mississippi,28049.0,600,11.0
125622,2020-05-08,Hinds,Mississippi,28049.0,657,11.0
128609,2020-05-09,Hinds,Mississippi,28049.0,663,15.0
131599,2020-05-10,Hinds,Mississippi,28049.0,670,15.0
134590,2020-05-11,Hinds,Mississippi,28049.0,675,15.0
137580,2020-05-12,Hinds,Mississippi,28049.0,681,17.0
140574,2020-05-13,Hinds,Mississippi,28049.0,698,17.0
143569,2020-05-14,Hinds,Mississippi,28049.0,717,18.0
146569,2020-05-15,Hinds,Mississippi,28049.0,745,20.0
149574,2020-05-16,Hinds,Mississippi,28049.0,768,22.0
152585,2020-05-17,Hinds,Mississippi,28049.0,773,22.0
155599,2020-05-18,Hinds,Mississippi,28049.0,772,22.0
158617,2020-05-19,Hinds,Mississippi,28049.0,786,22.0
161643,2020-05-20,Hinds,Mississippi,28049.0,800,23.0
164672,2020-05-21,Hinds,Mississippi,28049.0,825,24.0
167708,2020-05-22,Hinds,Mississippi,28049.0,855,24.0
170746,2020-05-23,Hinds,Mississippi,28049.0,877,24.0
173788,2020-05-24,Hinds,Mississippi,28049.0,893,24.0
176831,2020-05-25,Hinds,Mississippi,28049.0,898,24.0
179875,2020-05-26,Hinds,Mississippi,28049.0,904,24.0
182921,2020-05-27,Hinds,Mississippi,28049.0,920,24.0
185977,2020-05-28,Hinds,Mississippi,28049.0,959,24.0
189035,2020-05-29,Hinds,Mississippi,28049.0,971,25.0
192099,2020-05-30,Hinds,Mississippi,28049.0,999,25.0
195167,2020-05-31,Hinds,Mississippi,28049.0,1006,25.0
198238,2020-06-01,Hinds,Mississippi,28049.0,1028,26.0
201311,2020-06-02,Hinds,Mississippi,28049.0,1035,26.0
204388,2020-06-03,Hinds,Mississippi,28049.0,1066,26.0
207469,2020-06-04,Hinds,Mississippi,28049.0,1074,26.0
210550,2020-06-05,Hinds,Mississippi,28049.0,1104,26.0
213634,2020-06-06,Hinds,Mississippi,28049.0,1111,26.0
216722,2020-06-07,Hinds,Mississippi,28049.0,1137,26.0
219814,2020-06-08,Hinds,Mississippi,28049.0,1164,26.0
222909,2020-06-09,Hinds,Mississippi,28049.0,1186,26.0
226007,2020-06-10,Hinds,Mississippi,28049.0,1206,26.0
229109,2020-06-11,Hinds,Mississippi,28049.0,1206,26.0
232213,2020-06-12,Hinds,Mississippi,28049.0,1245,27.0
235319,2020-06-13,Hinds,Mississippi,28049.0,1263,27.0
238426,2020-06-14,Hinds,Mississippi,28049.0,1274,27.0
241535,2020-06-15,Hinds,Mississippi,28049.0,1308,27.0
244646,2020-06-16,Hinds,Mississippi,28049.0,1349,28.0
247759,2020-06-17,Hinds,Mississippi,28049.0,1390,29.0
250871,2020-06-18,Hinds,Mississippi,28049.0,1390,29.0
253986,2020-06-19,Hinds,Mississippi,28049.0,1390,29.0
257106,2020-06-20,Hinds,Mississippi,28049.0,1390,29.0
260232,2020-06-21,Hinds,Mississippi,28049.0,1390,29.0
263361,2020-06-22,Hinds,Mississippi,28049.0,1536,33.0
266487,2020-06-23,Hinds,Mississippi,28049.0,1589,33.0
269620,2020-06-24,Hinds,Mississippi,28049.0,1646,34.0
272757,2020-06-25,Hinds,Mississippi,28049.0,1772,34.0
275900,2020-06-26,Hinds,Mississippi,28049.0,1853,34.0
279048,2020-06-27,Hinds,Mississippi,28049.0,1893,36.0
282196,2020-06-28,Hinds,Mississippi,28049.0,1957,36.0
285341,2020-06-29,Hinds,Mississippi,28049.0,2048,38.0
288491,2020-06-30,Hinds,Mississippi,28049.0,2111,39.0
291642,2020-07-01,Hinds,Mississippi,28049.0,2152,39.0
294796,2020-07-02,Hinds,Mississippi,28049.0,2247,39.0
297954,2020-07-03,Hinds,Mississippi,28049.0,2382,39.0
301117,2020-07-04,Hinds,Mississippi,28049.0,2480,39.0
304281,2020-07-05,Hinds,Mississippi,28049.0,2498,40.0
307448,2020-07-06,Hinds,Mississippi,28049.0,2536,40.0
310616,2020-07-07,Hinds,Mississippi,28049.0,2591,41.0
313786,2020-07-08,Hinds,Mississippi,28049.0,2642,46.0
316960,2020-07-09,Hinds,Mississippi,28049.0,2697,48.0
320135,2020-07-10,Hinds,Mississippi,28049.0,2824,49.0
323314,2020-07-11,Hinds,Mississippi,28049.0,2908,51.0
326497,2020-07-12,Hinds,Mississippi,28049.0,2992,54.0
329683,2020-07-13,Hinds,Mississippi,28049.0,3041,54.0
332870,2020-07-14,Hinds,Mississippi,28049.0,3102,58.0
336063,2020-07-15,Hinds,Mississippi,28049.0,3188,59.0
339259,2020-07-16,Hinds,Mississippi,28049.0,3317,63.0
342455,2020-07-17,Hinds,Mississippi,28049.0,3418,66.0
