date,county,state,fips,cases,deaths
2020-03-24,Hot Spring,Arkansas,5059.0,1,0.0
2020-03-25,Hot Spring,Arkansas,5059.0,1,0.0
2020-03-26,Hot Spring,Arkansas,5059.0,1,0.0
2020-03-27,Hot Spring,Arkansas,5059.0,2,0.0
2020-03-28,Hot Spring,Arkansas,5059.0,1,0.0
2020-03-29,Hot Spring,Arkansas,5059.0,3,0.0
2020-03-30,Hot Spring,Arkansas,5059.0,4,0.0
2020-03-31,Hot Spring,Arkansas,5059.0,4,0.0
2020-04-01,Hot Spring,Arkansas,5059.0,4,0.0
2020-04-02,Hot Spring,Arkansas,5059.0,5,0.0
2020-04-03,Hot Spring,Arkansas,5059.0,5,0.0
2020-04-04,Hot Spring,Arkansas,5059.0,5,0.0
2020-04-05,Hot Spring,Arkansas,5059.0,7,0.0
2020-04-06,Hot Spring,Arkansas,5059.0,7,0.0
2020-04-07,Hot Spring,Arkansas,5059.0,7,0.0
2020-04-08,Hot Spring,Arkansas,5059.0,7,0.0
2020-04-09,Hot Spring,Arkansas,5059.0,8,0.0
2020-04-10,Hot Spring,Arkansas,5059.0,8,0.0
2020-04-11,Hot Spring,Arkansas,5059.0,8,0.0
2020-04-12,Hot Spring,Arkansas,5059.0,8,0.0
2020-04-13,Hot Spring,Arkansas,5059.0,8,0.0
2020-04-14,Hot Spring,Arkansas,5059.0,8,0.0
2020-04-15,Hot Spring,Arkansas,5059.0,8,0.0
2020-04-16,Hot Spring,Arkansas,5059.0,8,0.0
2020-04-17,Hot Spring,Arkansas,5059.0,8,0.0
2020-04-18,Hot Spring,Arkansas,5059.0,8,0.0
2020-04-19,Hot Spring,Arkansas,5059.0,8,0.0
2020-04-20,Hot Spring,Arkansas,5059.0,8,0.0
2020-04-21,Hot Spring,Arkansas,5059.0,8,0.0
2020-04-22,Hot Spring,Arkansas,5059.0,8,0.0
2020-04-23,Hot Spring,Arkansas,5059.0,9,0.0
2020-04-24,Hot Spring,Arkansas,5059.0,9,0.0
2020-04-25,Hot Spring,Arkansas,5059.0,9,0.0
2020-04-26,Hot Spring,Arkansas,5059.0,10,0.0
2020-04-27,Hot Spring,Arkansas,5059.0,10,0.0
2020-04-28,Hot Spring,Arkansas,5059.0,15,0.0
2020-04-29,Hot Spring,Arkansas,5059.0,17,0.0
2020-04-30,Hot Spring,Arkansas,5059.0,19,0.0
