,date,county,state,fips,cases,deaths
20532,2020-03-30,Houghton,Michigan,26061.0,1,0.0
22643,2020-03-31,Houghton,Michigan,26061.0,1,0.0
24822,2020-04-01,Houghton,Michigan,26061.0,1,0.0
27075,2020-04-02,Houghton,Michigan,26061.0,1,0.0
29393,2020-04-03,Houghton,Michigan,26061.0,1,0.0
31771,2020-04-04,Houghton,Michigan,26061.0,2,0.0
34196,2020-04-05,Houghton,Michigan,26061.0,1,0.0
36655,2020-04-06,Houghton,Michigan,26061.0,1,0.0
39163,2020-04-07,Houghton,Michigan,26061.0,1,0.0
41715,2020-04-08,Houghton,Michigan,26061.0,1,0.0
44291,2020-04-09,Houghton,Michigan,26061.0,1,0.0
46899,2020-04-10,Houghton,Michigan,26061.0,1,0.0
49542,2020-04-11,Houghton,Michigan,26061.0,1,0.0
52212,2020-04-12,Houghton,Michigan,26061.0,1,0.0
54893,2020-04-13,Houghton,Michigan,26061.0,1,0.0
57591,2020-04-14,Houghton,Michigan,26061.0,2,0.0
60301,2020-04-15,Houghton,Michigan,26061.0,2,0.0
63023,2020-04-16,Houghton,Michigan,26061.0,2,0.0
65761,2020-04-17,Houghton,Michigan,26061.0,2,0.0
68512,2020-04-18,Houghton,Michigan,26061.0,2,0.0
71276,2020-04-19,Houghton,Michigan,26061.0,2,0.0
74048,2020-04-20,Houghton,Michigan,26061.0,2,0.0
76828,2020-04-21,Houghton,Michigan,26061.0,2,0.0
79614,2020-04-22,Houghton,Michigan,26061.0,2,0.0
82409,2020-04-23,Houghton,Michigan,26061.0,2,0.0
85213,2020-04-24,Houghton,Michigan,26061.0,2,0.0
88023,2020-04-25,Houghton,Michigan,26061.0,2,0.0
90839,2020-04-26,Houghton,Michigan,26061.0,2,0.0
93660,2020-04-27,Houghton,Michigan,26061.0,2,0.0
96495,2020-04-28,Houghton,Michigan,26061.0,2,0.0
99341,2020-04-29,Houghton,Michigan,26061.0,2,0.0
102193,2020-04-30,Houghton,Michigan,26061.0,2,0.0
105053,2020-05-01,Houghton,Michigan,26061.0,2,0.0
107917,2020-05-02,Houghton,Michigan,26061.0,2,0.0
110789,2020-05-03,Houghton,Michigan,26061.0,2,0.0
113667,2020-05-04,Houghton,Michigan,26061.0,2,0.0
116548,2020-05-05,Houghton,Michigan,26061.0,2,0.0
119509,2020-05-06,Houghton,Michigan,26061.0,2,0.0
122481,2020-05-07,Houghton,Michigan,26061.0,2,0.0
125463,2020-05-08,Houghton,Michigan,26061.0,2,0.0
128450,2020-05-09,Houghton,Michigan,26061.0,2,0.0
131440,2020-05-10,Houghton,Michigan,26061.0,2,0.0
134431,2020-05-11,Houghton,Michigan,26061.0,2,0.0
137421,2020-05-12,Houghton,Michigan,26061.0,2,0.0
140415,2020-05-13,Houghton,Michigan,26061.0,2,0.0
143410,2020-05-14,Houghton,Michigan,26061.0,2,0.0
146410,2020-05-15,Houghton,Michigan,26061.0,2,0.0
149415,2020-05-16,Houghton,Michigan,26061.0,2,0.0
152426,2020-05-17,Houghton,Michigan,26061.0,2,0.0
155440,2020-05-18,Houghton,Michigan,26061.0,2,0.0
158458,2020-05-19,Houghton,Michigan,26061.0,2,0.0
161484,2020-05-20,Houghton,Michigan,26061.0,2,0.0
164513,2020-05-21,Houghton,Michigan,26061.0,2,0.0
167549,2020-05-22,Houghton,Michigan,26061.0,2,0.0
170586,2020-05-23,Houghton,Michigan,26061.0,2,0.0
173628,2020-05-24,Houghton,Michigan,26061.0,2,0.0
176671,2020-05-25,Houghton,Michigan,26061.0,2,0.0
179715,2020-05-26,Houghton,Michigan,26061.0,3,0.0
182761,2020-05-27,Houghton,Michigan,26061.0,4,0.0
185816,2020-05-28,Houghton,Michigan,26061.0,5,0.0
188874,2020-05-29,Houghton,Michigan,26061.0,5,0.0
191938,2020-05-30,Houghton,Michigan,26061.0,6,0.0
