,date,county,state,fips,cases,deaths
170664,2020-05-23,Hubbard,Minnesota,27057.0,1,0.0
173706,2020-05-24,Hubbard,Minnesota,27057.0,1,0.0
176749,2020-05-25,Hubbard,Minnesota,27057.0,1,0.0
179793,2020-05-26,Hubbard,Minnesota,27057.0,1,0.0
182839,2020-05-27,Hubbard,Minnesota,27057.0,1,0.0
185894,2020-05-28,Hubbard,Minnesota,27057.0,1,0.0
188952,2020-05-29,Hubbard,Minnesota,27057.0,2,0.0
192016,2020-05-30,Hubbard,Minnesota,27057.0,3,0.0
195084,2020-05-31,Hubbard,Minnesota,27057.0,2,0.0
198155,2020-06-01,Hubbard,Minnesota,27057.0,2,0.0
201228,2020-06-02,Hubbard,Minnesota,27057.0,3,0.0
204305,2020-06-03,Hubbard,Minnesota,27057.0,3,0.0
207386,2020-06-04,Hubbard,Minnesota,27057.0,3,0.0
210467,2020-06-05,Hubbard,Minnesota,27057.0,3,0.0
213551,2020-06-06,Hubbard,Minnesota,27057.0,3,0.0
216639,2020-06-07,Hubbard,Minnesota,27057.0,4,0.0
219731,2020-06-08,Hubbard,Minnesota,27057.0,5,0.0
222826,2020-06-09,Hubbard,Minnesota,27057.0,5,0.0
225924,2020-06-10,Hubbard,Minnesota,27057.0,5,0.0
229026,2020-06-11,Hubbard,Minnesota,27057.0,5,0.0
232130,2020-06-12,Hubbard,Minnesota,27057.0,5,0.0
235236,2020-06-13,Hubbard,Minnesota,27057.0,5,0.0
238343,2020-06-14,Hubbard,Minnesota,27057.0,5,0.0
241452,2020-06-15,Hubbard,Minnesota,27057.0,5,0.0
244563,2020-06-16,Hubbard,Minnesota,27057.0,5,0.0
247676,2020-06-17,Hubbard,Minnesota,27057.0,5,0.0
250788,2020-06-18,Hubbard,Minnesota,27057.0,5,0.0
253903,2020-06-19,Hubbard,Minnesota,27057.0,5,0.0
257023,2020-06-20,Hubbard,Minnesota,27057.0,5,0.0
260149,2020-06-21,Hubbard,Minnesota,27057.0,5,0.0
263278,2020-06-22,Hubbard,Minnesota,27057.0,5,0.0
266404,2020-06-23,Hubbard,Minnesota,27057.0,5,0.0
269537,2020-06-24,Hubbard,Minnesota,27057.0,5,0.0
272674,2020-06-25,Hubbard,Minnesota,27057.0,5,0.0
275817,2020-06-26,Hubbard,Minnesota,27057.0,5,0.0
278965,2020-06-27,Hubbard,Minnesota,27057.0,5,0.0
282113,2020-06-28,Hubbard,Minnesota,27057.0,5,0.0
285258,2020-06-29,Hubbard,Minnesota,27057.0,5,0.0
288408,2020-06-30,Hubbard,Minnesota,27057.0,5,0.0
291559,2020-07-01,Hubbard,Minnesota,27057.0,5,0.0
294713,2020-07-02,Hubbard,Minnesota,27057.0,5,0.0
297871,2020-07-03,Hubbard,Minnesota,27057.0,6,0.0
301034,2020-07-04,Hubbard,Minnesota,27057.0,6,0.0
304198,2020-07-05,Hubbard,Minnesota,27057.0,6,0.0
307365,2020-07-06,Hubbard,Minnesota,27057.0,7,0.0
310533,2020-07-07,Hubbard,Minnesota,27057.0,8,0.0
313703,2020-07-08,Hubbard,Minnesota,27057.0,8,0.0
316877,2020-07-09,Hubbard,Minnesota,27057.0,8,0.0
320052,2020-07-10,Hubbard,Minnesota,27057.0,8,0.0
323231,2020-07-11,Hubbard,Minnesota,27057.0,10,0.0
326414,2020-07-12,Hubbard,Minnesota,27057.0,10,0.0
329600,2020-07-13,Hubbard,Minnesota,27057.0,10,0.0
332787,2020-07-14,Hubbard,Minnesota,27057.0,11,0.0
335980,2020-07-15,Hubbard,Minnesota,27057.0,12,0.0
339176,2020-07-16,Hubbard,Minnesota,27057.0,12,0.0
342372,2020-07-17,Hubbard,Minnesota,27057.0,12,0.0
345572,2020-07-18,Hubbard,Minnesota,27057.0,12,0.0
348773,2020-07-19,Hubbard,Minnesota,27057.0,12,0.0
351973,2020-07-20,Hubbard,Minnesota,27057.0,12,0.0
355175,2020-07-21,Hubbard,Minnesota,27057.0,12,0.0
358378,2020-07-22,Hubbard,Minnesota,27057.0,12,0.0
361583,2020-07-23,Hubbard,Minnesota,27057.0,13,0.0
364790,2020-07-24,Hubbard,Minnesota,27057.0,13,0.0
367997,2020-07-25,Hubbard,Minnesota,27057.0,18,0.0
371207,2020-07-26,Hubbard,Minnesota,27057.0,19,0.0
374419,2020-07-27,Hubbard,Minnesota,27057.0,20,0.0
377634,2020-07-28,Hubbard,Minnesota,27057.0,21,0.0
380851,2020-07-29,Hubbard,Minnesota,27057.0,22,0.0
384068,2020-07-30,Hubbard,Minnesota,27057.0,25,0.0
387286,2020-07-31,Hubbard,Minnesota,27057.0,27,0.0
390503,2020-08-01,Hubbard,Minnesota,27057.0,27,0.0
393720,2020-08-02,Hubbard,Minnesota,27057.0,28,0.0
396936,2020-08-03,Hubbard,Minnesota,27057.0,28,0.0
400150,2020-08-04,Hubbard,Minnesota,27057.0,32,0.0
403367,2020-08-05,Hubbard,Minnesota,27057.0,30,0.0
406585,2020-08-06,Hubbard,Minnesota,27057.0,30,0.0
409805,2020-08-07,Hubbard,Minnesota,27057.0,32,0.0
413025,2020-08-08,Hubbard,Minnesota,27057.0,33,0.0
416245,2020-08-09,Hubbard,Minnesota,27057.0,33,0.0
419466,2020-08-10,Hubbard,Minnesota,27057.0,34,0.0
