,date,county,state,fips,cases,deaths
117520,2020-05-05,Humacao,Puerto Rico,72069.0,23,
120482,2020-05-06,Humacao,Puerto Rico,72069.0,23,
123459,2020-05-07,Humacao,Puerto Rico,72069.0,23,
126442,2020-05-08,Humacao,Puerto Rico,72069.0,27,
129431,2020-05-09,Humacao,Puerto Rico,72069.0,27,
132420,2020-05-10,Humacao,Puerto Rico,72069.0,27,
135411,2020-05-11,Humacao,Puerto Rico,72069.0,27,
138401,2020-05-12,Humacao,Puerto Rico,72069.0,27,
141397,2020-05-13,Humacao,Puerto Rico,72069.0,27,
144393,2020-05-14,Humacao,Puerto Rico,72069.0,27,
147394,2020-05-15,Humacao,Puerto Rico,72069.0,28,
150401,2020-05-16,Humacao,Puerto Rico,72069.0,28,
153412,2020-05-17,Humacao,Puerto Rico,72069.0,29,
156429,2020-05-18,Humacao,Puerto Rico,72069.0,30,
159450,2020-05-19,Humacao,Puerto Rico,72069.0,30,
162477,2020-05-20,Humacao,Puerto Rico,72069.0,32,
165506,2020-05-21,Humacao,Puerto Rico,72069.0,37,
168542,2020-05-22,Humacao,Puerto Rico,72069.0,38,
171581,2020-05-23,Humacao,Puerto Rico,72069.0,38,
174623,2020-05-24,Humacao,Puerto Rico,72069.0,39,
177667,2020-05-25,Humacao,Puerto Rico,72069.0,39,
180710,2020-05-26,Humacao,Puerto Rico,72069.0,42,
183760,2020-05-27,Humacao,Puerto Rico,72069.0,43,
186817,2020-05-28,Humacao,Puerto Rico,72069.0,43,
189879,2020-05-29,Humacao,Puerto Rico,72069.0,43,
192944,2020-05-30,Humacao,Puerto Rico,72069.0,43,
196013,2020-05-31,Humacao,Puerto Rico,72069.0,44,
199086,2020-06-01,Humacao,Puerto Rico,72069.0,44,
202161,2020-06-02,Humacao,Puerto Rico,72069.0,44,
205238,2020-06-03,Humacao,Puerto Rico,72069.0,44,
208319,2020-06-04,Humacao,Puerto Rico,72069.0,49,
211401,2020-06-05,Humacao,Puerto Rico,72069.0,49,
214487,2020-06-06,Humacao,Puerto Rico,72069.0,50,
217577,2020-06-07,Humacao,Puerto Rico,72069.0,51,
220669,2020-06-08,Humacao,Puerto Rico,72069.0,51,
223764,2020-06-09,Humacao,Puerto Rico,72069.0,54,
226864,2020-06-10,Humacao,Puerto Rico,72069.0,56,
229968,2020-06-11,Humacao,Puerto Rico,72069.0,56,
233073,2020-06-12,Humacao,Puerto Rico,72069.0,57,
236178,2020-06-13,Humacao,Puerto Rico,72069.0,59,
239286,2020-06-14,Humacao,Puerto Rico,72069.0,67,
242395,2020-06-15,Humacao,Puerto Rico,72069.0,68,
245507,2020-06-16,Humacao,Puerto Rico,72069.0,68,
248620,2020-06-17,Humacao,Puerto Rico,72069.0,69,
251735,2020-06-18,Humacao,Puerto Rico,72069.0,70,
254850,2020-06-19,Humacao,Puerto Rico,72069.0,72,
257976,2020-06-20,Humacao,Puerto Rico,72069.0,77,
261103,2020-06-21,Humacao,Puerto Rico,72069.0,77,
264231,2020-06-22,Humacao,Puerto Rico,72069.0,79,
267359,2020-06-23,Humacao,Puerto Rico,72069.0,79,
270493,2020-06-24,Humacao,Puerto Rico,72069.0,80,
273632,2020-06-25,Humacao,Puerto Rico,72069.0,81,
276779,2020-06-26,Humacao,Puerto Rico,72069.0,82,
279927,2020-06-27,Humacao,Puerto Rico,72069.0,85,
283073,2020-06-28,Humacao,Puerto Rico,72069.0,86,
286218,2020-06-29,Humacao,Puerto Rico,72069.0,86,
289369,2020-06-30,Humacao,Puerto Rico,72069.0,87,
292521,2020-07-01,Humacao,Puerto Rico,72069.0,91,
295677,2020-07-02,Humacao,Puerto Rico,72069.0,92,
298836,2020-07-03,Humacao,Puerto Rico,72069.0,93,
302000,2020-07-04,Humacao,Puerto Rico,72069.0,94,
305163,2020-07-05,Humacao,Puerto Rico,72069.0,96,
308330,2020-07-06,Humacao,Puerto Rico,72069.0,105,
311499,2020-07-07,Humacao,Puerto Rico,72069.0,105,
314671,2020-07-08,Humacao,Puerto Rico,72069.0,105,
317844,2020-07-09,Humacao,Puerto Rico,72069.0,106,
321022,2020-07-10,Humacao,Puerto Rico,72069.0,107,
324202,2020-07-11,Humacao,Puerto Rico,72069.0,110,
327387,2020-07-12,Humacao,Puerto Rico,72069.0,113,
330573,2020-07-13,Humacao,Puerto Rico,72069.0,115,
333765,2020-07-14,Humacao,Puerto Rico,72069.0,116,
336959,2020-07-15,Humacao,Puerto Rico,72069.0,116,
340156,2020-07-16,Humacao,Puerto Rico,72069.0,117,
343354,2020-07-17,Humacao,Puerto Rico,72069.0,121,
346554,2020-07-18,Humacao,Puerto Rico,72069.0,119,
349754,2020-07-19,Humacao,Puerto Rico,72069.0,121,
352957,2020-07-20,Humacao,Puerto Rico,72069.0,121,
356160,2020-07-21,Humacao,Puerto Rico,72069.0,123,
359364,2020-07-22,Humacao,Puerto Rico,72069.0,125,
362570,2020-07-23,Humacao,Puerto Rico,72069.0,128,
365776,2020-07-24,Humacao,Puerto Rico,72069.0,130,
368985,2020-07-25,Humacao,Puerto Rico,72069.0,136,
372197,2020-07-26,Humacao,Puerto Rico,72069.0,141,
375410,2020-07-27,Humacao,Puerto Rico,72069.0,143,
378626,2020-07-28,Humacao,Puerto Rico,72069.0,147,
381843,2020-07-29,Humacao,Puerto Rico,72069.0,148,
385061,2020-07-30,Humacao,Puerto Rico,72069.0,150,
388278,2020-07-31,Humacao,Puerto Rico,72069.0,152,
391495,2020-08-01,Humacao,Puerto Rico,72069.0,163,
394711,2020-08-02,Humacao,Puerto Rico,72069.0,170,
