,date,county,state,fips,cases,deaths
5612,2020-03-20,Humphreys,Mississippi,28053.0,1,0.0
6590,2020-03-21,Humphreys,Mississippi,28053.0,1,0.0
7673,2020-03-22,Humphreys,Mississippi,28053.0,1,0.0
8853,2020-03-23,Humphreys,Mississippi,28053.0,1,0.0
10149,2020-03-24,Humphreys,Mississippi,28053.0,1,0.0
11569,2020-03-25,Humphreys,Mississippi,28053.0,1,0.0
13161,2020-03-26,Humphreys,Mississippi,28053.0,1,0.0
14877,2020-03-27,Humphreys,Mississippi,28053.0,1,0.0
16701,2020-03-28,Humphreys,Mississippi,28053.0,2,0.0
18623,2020-03-29,Humphreys,Mississippi,28053.0,2,0.0
20647,2020-03-30,Humphreys,Mississippi,28053.0,2,0.0
22764,2020-03-31,Humphreys,Mississippi,28053.0,3,0.0
23461,2020-03-31,Humphreys,Tennessee,47085.0,2,0.0
24947,2020-04-01,Humphreys,Mississippi,28053.0,4,1.0
25662,2020-04-01,Humphreys,Tennessee,47085.0,2,0.0
27201,2020-04-02,Humphreys,Mississippi,28053.0,4,1.0
27940,2020-04-02,Humphreys,Tennessee,47085.0,2,0.0
29520,2020-04-03,Humphreys,Mississippi,28053.0,4,1.0
30275,2020-04-03,Humphreys,Tennessee,47085.0,3,0.0
31900,2020-04-04,Humphreys,Mississippi,28053.0,4,1.0
32666,2020-04-04,Humphreys,Tennessee,47085.0,3,0.0
34327,2020-04-05,Humphreys,Mississippi,28053.0,4,1.0
35103,2020-04-05,Humphreys,Tennessee,47085.0,3,0.0
36790,2020-04-06,Humphreys,Mississippi,28053.0,4,1.0
37579,2020-04-06,Humphreys,Tennessee,47085.0,3,0.0
39301,2020-04-07,Humphreys,Mississippi,28053.0,5,1.0
40102,2020-04-07,Humphreys,Tennessee,47085.0,4,0.0
41855,2020-04-08,Humphreys,Mississippi,28053.0,6,1.0
42664,2020-04-08,Humphreys,Tennessee,47085.0,4,0.0
44431,2020-04-09,Humphreys,Mississippi,28053.0,7,1.0
45251,2020-04-09,Humphreys,Tennessee,47085.0,4,0.0
47040,2020-04-10,Humphreys,Mississippi,28053.0,9,1.0
47869,2020-04-10,Humphreys,Tennessee,47085.0,4,0.0
49686,2020-04-11,Humphreys,Mississippi,28053.0,9,1.0
50527,2020-04-11,Humphreys,Tennessee,47085.0,4,0.0
52359,2020-04-12,Humphreys,Mississippi,28053.0,9,1.0
53202,2020-04-12,Humphreys,Tennessee,47085.0,4,0.0
55041,2020-04-13,Humphreys,Mississippi,28053.0,11,1.0
55888,2020-04-13,Humphreys,Tennessee,47085.0,4,0.0
57739,2020-04-14,Humphreys,Mississippi,28053.0,11,1.0
58591,2020-04-14,Humphreys,Tennessee,47085.0,4,0.0
60450,2020-04-15,Humphreys,Mississippi,28053.0,12,2.0
61306,2020-04-15,Humphreys,Tennessee,47085.0,4,0.0
63172,2020-04-16,Humphreys,Mississippi,28053.0,12,3.0
64033,2020-04-16,Humphreys,Tennessee,47085.0,4,0.0
65912,2020-04-17,Humphreys,Mississippi,28053.0,12,3.0
66779,2020-04-17,Humphreys,Tennessee,47085.0,4,0.0
68664,2020-04-18,Humphreys,Mississippi,28053.0,12,3.0
69538,2020-04-18,Humphreys,Tennessee,47085.0,4,0.0
71430,2020-04-19,Humphreys,Mississippi,28053.0,12,3.0
72305,2020-04-19,Humphreys,Tennessee,47085.0,7,0.0
74203,2020-04-20,Humphreys,Mississippi,28053.0,12,3.0
75080,2020-04-20,Humphreys,Tennessee,47085.0,7,0.0
76984,2020-04-21,Humphreys,Mississippi,28053.0,13,3.0
77862,2020-04-21,Humphreys,Tennessee,47085.0,6,0.0
79769,2020-04-22,Humphreys,Mississippi,28053.0,14,3.0
80652,2020-04-22,Humphreys,Tennessee,47085.0,7,0.0
82565,2020-04-23,Humphreys,Mississippi,28053.0,14,3.0
83451,2020-04-23,Humphreys,Tennessee,47085.0,7,0.0
85369,2020-04-24,Humphreys,Mississippi,28053.0,14,3.0
86256,2020-04-24,Humphreys,Tennessee,47085.0,7,0.0
88179,2020-04-25,Humphreys,Mississippi,28053.0,14,3.0
89071,2020-04-25,Humphreys,Tennessee,47085.0,9,1.0
90995,2020-04-26,Humphreys,Mississippi,28053.0,14,3.0
91888,2020-04-26,Humphreys,Tennessee,47085.0,9,1.0
93816,2020-04-27,Humphreys,Mississippi,28053.0,18,3.0
94716,2020-04-27,Humphreys,Tennessee,47085.0,10,1.0
96652,2020-04-28,Humphreys,Mississippi,28053.0,18,3.0
97556,2020-04-28,Humphreys,Tennessee,47085.0,10,1.0
99498,2020-04-29,Humphreys,Mississippi,28053.0,22,3.0
100406,2020-04-29,Humphreys,Tennessee,47085.0,10,1.0
102350,2020-04-30,Humphreys,Mississippi,28053.0,23,3.0
103259,2020-04-30,Humphreys,Tennessee,47085.0,10,1.0
105211,2020-05-01,Humphreys,Mississippi,28053.0,24,3.0
106122,2020-05-01,Humphreys,Tennessee,47085.0,11,1.0
108076,2020-05-02,Humphreys,Mississippi,28053.0,25,4.0
108989,2020-05-02,Humphreys,Tennessee,47085.0,11,1.0
110947,2020-05-03,Humphreys,Mississippi,28053.0,24,4.0
111863,2020-05-03,Humphreys,Tennessee,47085.0,11,1.0
113826,2020-05-04,Humphreys,Mississippi,28053.0,25,4.0
114745,2020-05-04,Humphreys,Tennessee,47085.0,11,1.0
116708,2020-05-05,Humphreys,Mississippi,28053.0,26,4.0
117701,2020-05-05,Humphreys,Tennessee,47085.0,11,1.0
119668,2020-05-06,Humphreys,Mississippi,28053.0,27,4.0
120665,2020-05-06,Humphreys,Tennessee,47085.0,11,1.0
122642,2020-05-07,Humphreys,Mississippi,28053.0,28,4.0
123643,2020-05-07,Humphreys,Tennessee,47085.0,11,1.0
125624,2020-05-08,Humphreys,Mississippi,28053.0,28,4.0
126626,2020-05-08,Humphreys,Tennessee,47085.0,11,1.0
128611,2020-05-09,Humphreys,Mississippi,28053.0,30,4.0
129615,2020-05-09,Humphreys,Tennessee,47085.0,11,1.0
131601,2020-05-10,Humphreys,Mississippi,28053.0,30,4.0
132604,2020-05-10,Humphreys,Tennessee,47085.0,12,1.0
134592,2020-05-11,Humphreys,Mississippi,28053.0,34,4.0
135595,2020-05-11,Humphreys,Tennessee,47085.0,12,1.0
137582,2020-05-12,Humphreys,Mississippi,28053.0,38,4.0
138585,2020-05-12,Humphreys,Tennessee,47085.0,12,1.0
140576,2020-05-13,Humphreys,Mississippi,28053.0,39,4.0
141581,2020-05-13,Humphreys,Tennessee,47085.0,12,1.0
143571,2020-05-14,Humphreys,Mississippi,28053.0,39,5.0
144578,2020-05-14,Humphreys,Tennessee,47085.0,12,1.0
146571,2020-05-15,Humphreys,Mississippi,28053.0,42,5.0
147579,2020-05-15,Humphreys,Tennessee,47085.0,12,1.0
149576,2020-05-16,Humphreys,Mississippi,28053.0,44,5.0
150587,2020-05-16,Humphreys,Tennessee,47085.0,12,1.0
152587,2020-05-17,Humphreys,Mississippi,28053.0,45,5.0
153598,2020-05-17,Humphreys,Tennessee,47085.0,12,1.0
155601,2020-05-18,Humphreys,Mississippi,28053.0,46,5.0
156615,2020-05-18,Humphreys,Tennessee,47085.0,12,1.0
158619,2020-05-19,Humphreys,Mississippi,28053.0,49,5.0
159637,2020-05-19,Humphreys,Tennessee,47085.0,12,1.0
161645,2020-05-20,Humphreys,Mississippi,28053.0,49,5.0
162664,2020-05-20,Humphreys,Tennessee,47085.0,12,1.0
164674,2020-05-21,Humphreys,Mississippi,28053.0,49,5.0
165693,2020-05-21,Humphreys,Tennessee,47085.0,12,1.0
167710,2020-05-22,Humphreys,Mississippi,28053.0,50,6.0
168729,2020-05-22,Humphreys,Tennessee,47085.0,12,1.0
170748,2020-05-23,Humphreys,Mississippi,28053.0,52,7.0
171768,2020-05-23,Humphreys,Tennessee,47085.0,12,1.0
173790,2020-05-24,Humphreys,Mississippi,28053.0,53,7.0
174811,2020-05-24,Humphreys,Tennessee,47085.0,12,1.0
176833,2020-05-25,Humphreys,Mississippi,28053.0,53,7.0
177855,2020-05-25,Humphreys,Tennessee,47085.0,13,1.0
179877,2020-05-26,Humphreys,Mississippi,28053.0,52,7.0
180898,2020-05-26,Humphreys,Tennessee,47085.0,13,1.0
182923,2020-05-27,Humphreys,Mississippi,28053.0,53,7.0
183948,2020-05-27,Humphreys,Tennessee,47085.0,13,1.0
185979,2020-05-28,Humphreys,Mississippi,28053.0,58,7.0
187005,2020-05-28,Humphreys,Tennessee,47085.0,13,1.0
