,date,county,state,fips,cases,deaths
9344,2020-03-23,Iron,Utah,49021.0,1,0.0
10688,2020-03-24,Iron,Utah,49021.0,1,0.0
12198,2020-03-25,Iron,Utah,49021.0,1,0.0
13833,2020-03-26,Iron,Utah,49021.0,2,0.0
15598,2020-03-27,Iron,Utah,49021.0,2,0.0
15763,2020-03-27,Iron,Wisconsin,55051.0,1,1.0
17471,2020-03-28,Iron,Utah,49021.0,4,0.0
17643,2020-03-28,Iron,Wisconsin,55051.0,1,1.0
19430,2020-03-29,Iron,Utah,49021.0,4,0.0
19612,2020-03-29,Iron,Wisconsin,55051.0,1,1.0
21493,2020-03-30,Iron,Utah,49021.0,4,0.0
21682,2020-03-30,Iron,Wisconsin,55051.0,1,1.0
23632,2020-03-31,Iron,Utah,49021.0,6,0.0
23834,2020-03-31,Iron,Wisconsin,55051.0,1,1.0
25847,2020-04-01,Iron,Utah,49021.0,6,0.0
26054,2020-04-01,Iron,Wisconsin,55051.0,1,1.0
28135,2020-04-02,Iron,Utah,49021.0,9,0.0
28347,2020-04-02,Iron,Wisconsin,55051.0,1,1.0
30476,2020-04-03,Iron,Utah,49021.0,10,0.0
30702,2020-04-03,Iron,Wisconsin,55051.0,1,1.0
32874,2020-04-04,Iron,Utah,49021.0,10,0.0
33103,2020-04-04,Iron,Wisconsin,55051.0,1,1.0
35312,2020-04-05,Iron,Utah,49021.0,13,0.0
35542,2020-04-05,Iron,Wisconsin,55051.0,1,1.0
37790,2020-04-06,Iron,Utah,49021.0,13,0.0
38028,2020-04-06,Iron,Wisconsin,55051.0,1,1.0
40319,2020-04-07,Iron,Utah,49021.0,13,0.0
40569,2020-04-07,Iron,Wisconsin,55051.0,1,1.0
42887,2020-04-08,Iron,Utah,49021.0,13,0.0
43141,2020-04-08,Iron,Wisconsin,55051.0,1,1.0
45481,2020-04-09,Iron,Utah,49021.0,13,0.0
45738,2020-04-09,Iron,Wisconsin,55051.0,1,1.0
48105,2020-04-10,Iron,Utah,49021.0,13,0.0
48366,2020-04-10,Iron,Wisconsin,55051.0,1,1.0
49777,2020-04-11,Iron,Missouri,29093.0,1,0.0
50763,2020-04-11,Iron,Utah,49021.0,13,0.0
51026,2020-04-11,Iron,Wisconsin,55051.0,2,1.0
