date,county,state,fips,cases,deaths
2020-04-23,Jim Hogg,Texas,48247.0,1,0.0
2020-04-24,Jim Hogg,Texas,48247.0,1,0.0
2020-04-25,Jim Hogg,Texas,48247.0,1,0.0
2020-04-26,Jim Hogg,Texas,48247.0,1,0.0
2020-04-27,Jim Hogg,Texas,48247.0,1,0.0
2020-04-28,Jim Hogg,Texas,48247.0,3,0.0
2020-04-29,Jim Hogg,Texas,48247.0,3,0.0
2020-04-30,Jim Hogg,Texas,48247.0,3,0.0
2020-05-01,Jim Hogg,Texas,48247.0,3,0.0
2020-05-02,Jim Hogg,Texas,48247.0,3,0.0
2020-05-03,Jim Hogg,Texas,48247.0,3,0.0
2020-05-04,Jim Hogg,Texas,48247.0,3,0.0
2020-05-05,Jim Hogg,Texas,48247.0,3,0.0
2020-05-06,Jim Hogg,Texas,48247.0,3,0.0
2020-05-07,Jim Hogg,Texas,48247.0,3,0.0
2020-05-08,Jim Hogg,Texas,48247.0,3,0.0
2020-05-09,Jim Hogg,Texas,48247.0,3,0.0
2020-05-10,Jim Hogg,Texas,48247.0,3,0.0
2020-05-11,Jim Hogg,Texas,48247.0,3,0.0
2020-05-12,Jim Hogg,Texas,48247.0,3,0.0
2020-05-13,Jim Hogg,Texas,48247.0,3,0.0
2020-05-14,Jim Hogg,Texas,48247.0,3,0.0
2020-05-15,Jim Hogg,Texas,48247.0,3,0.0
2020-05-16,Jim Hogg,Texas,48247.0,4,0.0
2020-05-17,Jim Hogg,Texas,48247.0,4,0.0
2020-05-18,Jim Hogg,Texas,48247.0,4,0.0
2020-05-19,Jim Hogg,Texas,48247.0,4,0.0
2020-05-20,Jim Hogg,Texas,48247.0,4,0.0
2020-05-21,Jim Hogg,Texas,48247.0,4,0.0
2020-05-22,Jim Hogg,Texas,48247.0,4,0.0
2020-05-23,Jim Hogg,Texas,48247.0,4,0.0
2020-05-24,Jim Hogg,Texas,48247.0,4,0.0
2020-05-25,Jim Hogg,Texas,48247.0,4,0.0
2020-05-26,Jim Hogg,Texas,48247.0,4,0.0
2020-05-27,Jim Hogg,Texas,48247.0,4,0.0
2020-05-28,Jim Hogg,Texas,48247.0,4,0.0
2020-05-29,Jim Hogg,Texas,48247.0,4,0.0
2020-05-30,Jim Hogg,Texas,48247.0,4,0.0
2020-05-31,Jim Hogg,Texas,48247.0,4,0.0
2020-06-01,Jim Hogg,Texas,48247.0,4,0.0
2020-06-02,Jim Hogg,Texas,48247.0,4,0.0
2020-06-03,Jim Hogg,Texas,48247.0,4,0.0
2020-06-04,Jim Hogg,Texas,48247.0,4,0.0
2020-06-05,Jim Hogg,Texas,48247.0,4,0.0
2020-06-06,Jim Hogg,Texas,48247.0,4,0.0
2020-06-07,Jim Hogg,Texas,48247.0,4,0.0
2020-06-08,Jim Hogg,Texas,48247.0,4,0.0
2020-06-09,Jim Hogg,Texas,48247.0,4,0.0
2020-06-10,Jim Hogg,Texas,48247.0,4,0.0
2020-06-11,Jim Hogg,Texas,48247.0,4,0.0
2020-06-12,Jim Hogg,Texas,48247.0,4,0.0
2020-06-13,Jim Hogg,Texas,48247.0,4,0.0
2020-06-14,Jim Hogg,Texas,48247.0,4,0.0
2020-06-15,Jim Hogg,Texas,48247.0,4,0.0
2020-06-16,Jim Hogg,Texas,48247.0,4,0.0
2020-06-17,Jim Hogg,Texas,48247.0,4,0.0
2020-06-18,Jim Hogg,Texas,48247.0,6,0.0
2020-06-19,Jim Hogg,Texas,48247.0,6,0.0
2020-06-20,Jim Hogg,Texas,48247.0,8,0.0
2020-06-21,Jim Hogg,Texas,48247.0,9,0.0
2020-06-22,Jim Hogg,Texas,48247.0,9,0.0
2020-06-23,Jim Hogg,Texas,48247.0,9,0.0
2020-06-24,Jim Hogg,Texas,48247.0,9,0.0
2020-06-25,Jim Hogg,Texas,48247.0,10,0.0
2020-06-26,Jim Hogg,Texas,48247.0,12,0.0
2020-06-27,Jim Hogg,Texas,48247.0,13,0.0
2020-06-28,Jim Hogg,Texas,48247.0,13,0.0
2020-06-29,Jim Hogg,Texas,48247.0,14,0.0
2020-06-30,Jim Hogg,Texas,48247.0,15,0.0
2020-07-01,Jim Hogg,Texas,48247.0,15,0.0
2020-07-02,Jim Hogg,Texas,48247.0,16,0.0
2020-07-03,Jim Hogg,Texas,48247.0,16,0.0
2020-07-04,Jim Hogg,Texas,48247.0,19,0.0
2020-07-05,Jim Hogg,Texas,48247.0,20,0.0
2020-07-06,Jim Hogg,Texas,48247.0,22,0.0
2020-07-07,Jim Hogg,Texas,48247.0,24,0.0
2020-07-08,Jim Hogg,Texas,48247.0,25,0.0
2020-07-09,Jim Hogg,Texas,48247.0,27,0.0
2020-07-10,Jim Hogg,Texas,48247.0,32,0.0
2020-07-11,Jim Hogg,Texas,48247.0,32,0.0
2020-07-12,Jim Hogg,Texas,48247.0,33,0.0
2020-07-13,Jim Hogg,Texas,48247.0,34,0.0
2020-07-14,Jim Hogg,Texas,48247.0,34,0.0
2020-07-15,Jim Hogg,Texas,48247.0,41,0.0
2020-07-16,Jim Hogg,Texas,48247.0,42,0.0
2020-07-17,Jim Hogg,Texas,48247.0,42,0.0
2020-07-18,Jim Hogg,Texas,48247.0,42,0.0
2020-07-19,Jim Hogg,Texas,48247.0,42,0.0
2020-07-20,Jim Hogg,Texas,48247.0,42,0.0
2020-07-21,Jim Hogg,Texas,48247.0,43,0.0
2020-07-22,Jim Hogg,Texas,48247.0,44,0.0
2020-07-23,Jim Hogg,Texas,48247.0,44,0.0
2020-07-24,Jim Hogg,Texas,48247.0,44,0.0
2020-07-25,Jim Hogg,Texas,48247.0,46,0.0
2020-07-26,Jim Hogg,Texas,48247.0,48,0.0
2020-07-27,Jim Hogg,Texas,48247.0,48,1.0
2020-07-28,Jim Hogg,Texas,48247.0,49,1.0
2020-07-29,Jim Hogg,Texas,48247.0,49,1.0
2020-07-30,Jim Hogg,Texas,48247.0,50,1.0
2020-07-31,Jim Hogg,Texas,48247.0,52,1.0
2020-08-01,Jim Hogg,Texas,48247.0,53,1.0
2020-08-02,Jim Hogg,Texas,48247.0,53,1.0
2020-08-03,Jim Hogg,Texas,48247.0,53,1.0
2020-08-04,Jim Hogg,Texas,48247.0,54,1.0
2020-08-05,Jim Hogg,Texas,48247.0,54,1.0
2020-08-06,Jim Hogg,Texas,48247.0,54,1.0
2020-08-07,Jim Hogg,Texas,48247.0,62,1.0
2020-08-08,Jim Hogg,Texas,48247.0,62,1.0
2020-08-09,Jim Hogg,Texas,48247.0,62,1.0
2020-08-10,Jim Hogg,Texas,48247.0,62,1.0
2020-08-11,Jim Hogg,Texas,48247.0,64,1.0
2020-08-12,Jim Hogg,Texas,48247.0,64,1.0
2020-08-13,Jim Hogg,Texas,48247.0,65,1.0
2020-08-14,Jim Hogg,Texas,48247.0,65,2.0
2020-08-15,Jim Hogg,Texas,48247.0,65,2.0
2020-08-16,Jim Hogg,Texas,48247.0,65,2.0
2020-08-17,Jim Hogg,Texas,48247.0,65,2.0
2020-08-18,Jim Hogg,Texas,48247.0,65,2.0
2020-08-19,Jim Hogg,Texas,48247.0,68,2.0
2020-08-20,Jim Hogg,Texas,48247.0,69,2.0
2020-08-21,Jim Hogg,Texas,48247.0,69,2.0
2020-08-22,Jim Hogg,Texas,48247.0,73,2.0
