,date,county,state,fips,cases,deaths
3747,2020-03-17,Kenosha,Wisconsin,55059.0,4,0.0
4384,2020-03-18,Kenosha,Wisconsin,55059.0,4,0.0
5147,2020-03-19,Kenosha,Wisconsin,55059.0,4,0.0
6058,2020-03-20,Kenosha,Wisconsin,55059.0,4,0.0
7091,2020-03-21,Kenosha,Wisconsin,55059.0,5,0.0
8229,2020-03-22,Kenosha,Wisconsin,55059.0,10,0.0
9455,2020-03-23,Kenosha,Wisconsin,55059.0,12,0.0
10809,2020-03-24,Kenosha,Wisconsin,55059.0,13,0.0
12339,2020-03-25,Kenosha,Wisconsin,55059.0,14,0.0
13993,2020-03-26,Kenosha,Wisconsin,55059.0,19,0.0
15766,2020-03-27,Kenosha,Wisconsin,55059.0,24,0.0
17646,2020-03-28,Kenosha,Wisconsin,55059.0,24,0.0
19615,2020-03-29,Kenosha,Wisconsin,55059.0,30,0.0
21686,2020-03-30,Kenosha,Wisconsin,55059.0,30,0.0
23838,2020-03-31,Kenosha,Wisconsin,55059.0,37,0.0
26058,2020-04-01,Kenosha,Wisconsin,55059.0,54,0.0
28351,2020-04-02,Kenosha,Wisconsin,55059.0,67,0.0
30706,2020-04-03,Kenosha,Wisconsin,55059.0,81,0.0
33107,2020-04-04,Kenosha,Wisconsin,55059.0,93,1.0
35546,2020-04-05,Kenosha,Wisconsin,55059.0,98,1.0
38032,2020-04-06,Kenosha,Wisconsin,55059.0,104,1.0
40573,2020-04-07,Kenosha,Wisconsin,55059.0,112,1.0
43145,2020-04-08,Kenosha,Wisconsin,55059.0,129,1.0
45742,2020-04-09,Kenosha,Wisconsin,55059.0,135,1.0
48370,2020-04-10,Kenosha,Wisconsin,55059.0,147,1.0
51030,2020-04-11,Kenosha,Wisconsin,55059.0,163,1.0
53707,2020-04-12,Kenosha,Wisconsin,55059.0,173,2.0
56398,2020-04-13,Kenosha,Wisconsin,55059.0,182,4.0
59105,2020-04-14,Kenosha,Wisconsin,55059.0,186,3.0
61824,2020-04-15,Kenosha,Wisconsin,55059.0,204,4.0
64557,2020-04-16,Kenosha,Wisconsin,55059.0,208,5.0
67305,2020-04-17,Kenosha,Wisconsin,55059.0,218,5.0
70067,2020-04-18,Kenosha,Wisconsin,55059.0,236,5.0
72836,2020-04-19,Kenosha,Wisconsin,55059.0,248,5.0
75612,2020-04-20,Kenosha,Wisconsin,55059.0,257,5.0
78395,2020-04-21,Kenosha,Wisconsin,55059.0,264,6.0
81188,2020-04-22,Kenosha,Wisconsin,55059.0,278,6.0
83989,2020-04-23,Kenosha,Wisconsin,55059.0,294,6.0
86796,2020-04-24,Kenosha,Wisconsin,55059.0,314,7.0
89612,2020-04-25,Kenosha,Wisconsin,55059.0,329,7.0
92430,2020-04-26,Kenosha,Wisconsin,55059.0,339,7.0
95260,2020-04-27,Kenosha,Wisconsin,55059.0,340,7.0
98105,2020-04-28,Kenosha,Wisconsin,55059.0,348,9.0
100955,2020-04-29,Kenosha,Wisconsin,55059.0,363,11.0
103810,2020-04-30,Kenosha,Wisconsin,55059.0,391,12.0
106674,2020-05-01,Kenosha,Wisconsin,55059.0,477,13.0
109543,2020-05-02,Kenosha,Wisconsin,55059.0,521,13.0
112418,2020-05-03,Kenosha,Wisconsin,55059.0,534,14.0
115301,2020-05-04,Kenosha,Wisconsin,55059.0,546,14.0
118260,2020-05-05,Kenosha,Wisconsin,55059.0,571,14.0
121226,2020-05-06,Kenosha,Wisconsin,55059.0,580,14.0
124206,2020-05-07,Kenosha,Wisconsin,55059.0,610,14.0
127191,2020-05-08,Kenosha,Wisconsin,55059.0,627,15.0
130181,2020-05-09,Kenosha,Wisconsin,55059.0,651,15.0
133171,2020-05-10,Kenosha,Wisconsin,55059.0,682,15.0
136161,2020-05-11,Kenosha,Wisconsin,55059.0,693,16.0
139152,2020-05-12,Kenosha,Wisconsin,55059.0,716,16.0
142148,2020-05-13,Kenosha,Wisconsin,55059.0,736,17.0
145146,2020-05-14,Kenosha,Wisconsin,55059.0,762,17.0
148149,2020-05-15,Kenosha,Wisconsin,55059.0,780,17.0
151158,2020-05-16,Kenosha,Wisconsin,55059.0,820,18.0
154170,2020-05-17,Kenosha,Wisconsin,55059.0,838,18.0
157186,2020-05-18,Kenosha,Wisconsin,55059.0,848,18.0
160210,2020-05-19,Kenosha,Wisconsin,55059.0,866,19.0
163238,2020-05-20,Kenosha,Wisconsin,55059.0,889,21.0
166267,2020-05-21,Kenosha,Wisconsin,55059.0,921,21.0
169303,2020-05-22,Kenosha,Wisconsin,55059.0,948,22.0
172344,2020-05-23,Kenosha,Wisconsin,55059.0,983,22.0
175387,2020-05-24,Kenosha,Wisconsin,55059.0,998,22.0
178432,2020-05-25,Kenosha,Wisconsin,55059.0,1001,22.0
181476,2020-05-26,Kenosha,Wisconsin,55059.0,1008,22.0
184527,2020-05-27,Kenosha,Wisconsin,55059.0,1033,24.0
187584,2020-05-28,Kenosha,Wisconsin,55059.0,1088,25.0
190648,2020-05-29,Kenosha,Wisconsin,55059.0,1131,27.0
193714,2020-05-30,Kenosha,Wisconsin,55059.0,1165,30.0
196784,2020-05-31,Kenosha,Wisconsin,55059.0,1168,30.0
199857,2020-06-01,Kenosha,Wisconsin,55059.0,1178,30.0
202933,2020-06-02,Kenosha,Wisconsin,55059.0,1201,30.0
206012,2020-06-03,Kenosha,Wisconsin,55059.0,1222,30.0
209094,2020-06-04,Kenosha,Wisconsin,55059.0,1252,33.0
212179,2020-06-05,Kenosha,Wisconsin,55059.0,1267,34.0
215266,2020-06-06,Kenosha,Wisconsin,55059.0,1267,34.0
218356,2020-06-07,Kenosha,Wisconsin,55059.0,1274,34.0
221448,2020-06-08,Kenosha,Wisconsin,55059.0,1290,35.0
224544,2020-06-09,Kenosha,Wisconsin,55059.0,1296,36.0
227644,2020-06-10,Kenosha,Wisconsin,55059.0,1310,36.0
230748,2020-06-11,Kenosha,Wisconsin,55059.0,1319,36.0
233853,2020-06-12,Kenosha,Wisconsin,55059.0,1337,36.0
236960,2020-06-13,Kenosha,Wisconsin,55059.0,1343,36.0
240068,2020-06-14,Kenosha,Wisconsin,55059.0,1356,36.0
243179,2020-06-15,Kenosha,Wisconsin,55059.0,1368,36.0
246292,2020-06-16,Kenosha,Wisconsin,55059.0,1376,37.0
249404,2020-06-17,Kenosha,Wisconsin,55059.0,1385,36.0
252519,2020-06-18,Kenosha,Wisconsin,55059.0,1392,36.0
255638,2020-06-19,Kenosha,Wisconsin,55059.0,1400,37.0
258765,2020-06-20,Kenosha,Wisconsin,55059.0,1406,39.0
261892,2020-06-21,Kenosha,Wisconsin,55059.0,1416,39.0
265021,2020-06-22,Kenosha,Wisconsin,55059.0,1421,39.0
268150,2020-06-23,Kenosha,Wisconsin,55059.0,1425,39.0
271284,2020-06-24,Kenosha,Wisconsin,55059.0,1438,41.0
274424,2020-06-25,Kenosha,Wisconsin,55059.0,1442,41.0
277572,2020-06-26,Kenosha,Wisconsin,55059.0,1455,41.0
280720,2020-06-27,Kenosha,Wisconsin,55059.0,1468,43.0
283866,2020-06-28,Kenosha,Wisconsin,55059.0,1478,43.0
287012,2020-06-29,Kenosha,Wisconsin,55059.0,1492,43.0
290162,2020-06-30,Kenosha,Wisconsin,55059.0,1505,43.0
293315,2020-07-01,Kenosha,Wisconsin,55059.0,1527,43.0
296470,2020-07-02,Kenosha,Wisconsin,55059.0,1535,44.0
299632,2020-07-03,Kenosha,Wisconsin,55059.0,1547,44.0
302796,2020-07-04,Kenosha,Wisconsin,55059.0,1574,44.0
305960,2020-07-05,Kenosha,Wisconsin,55059.0,1586,44.0
309129,2020-07-06,Kenosha,Wisconsin,55059.0,1601,44.0
312298,2020-07-07,Kenosha,Wisconsin,55059.0,1626,44.0
315473,2020-07-08,Kenosha,Wisconsin,55059.0,1628,44.0
318646,2020-07-09,Kenosha,Wisconsin,55059.0,1666,44.0
321825,2020-07-10,Kenosha,Wisconsin,55059.0,1703,46.0
325006,2020-07-11,Kenosha,Wisconsin,55059.0,1717,46.0
328192,2020-07-12,Kenosha,Wisconsin,55059.0,1734,46.0
331378,2020-07-13,Kenosha,Wisconsin,55059.0,1782,46.0
334571,2020-07-14,Kenosha,Wisconsin,55059.0,1809,47.0
337766,2020-07-15,Kenosha,Wisconsin,55059.0,1833,47.0
340962,2020-07-16,Kenosha,Wisconsin,55059.0,1879,47.0
344161,2020-07-17,Kenosha,Wisconsin,55059.0,1904,47.0
347361,2020-07-18,Kenosha,Wisconsin,55059.0,1933,47.0
350562,2020-07-19,Kenosha,Wisconsin,55059.0,1986,47.0
353764,2020-07-20,Kenosha,Wisconsin,55059.0,2040,47.0
356967,2020-07-21,Kenosha,Wisconsin,55059.0,2087,47.0
360172,2020-07-22,Kenosha,Wisconsin,55059.0,2102,47.0
363378,2020-07-23,Kenosha,Wisconsin,55059.0,2167,49.0
366585,2020-07-24,Kenosha,Wisconsin,55059.0,2212,49.0
369795,2020-07-25,Kenosha,Wisconsin,55059.0,2229,50.0
373007,2020-07-26,Kenosha,Wisconsin,55059.0,2245,50.0
376221,2020-07-27,Kenosha,Wisconsin,55059.0,2292,50.0
379437,2020-07-28,Kenosha,Wisconsin,55059.0,2305,51.0
382654,2020-07-29,Kenosha,Wisconsin,55059.0,2348,51.0
385872,2020-07-30,Kenosha,Wisconsin,55059.0,2374,51.0
389089,2020-07-31,Kenosha,Wisconsin,55059.0,2427,52.0
392306,2020-08-01,Kenosha,Wisconsin,55059.0,2453,53.0
395522,2020-08-02,Kenosha,Wisconsin,55059.0,2474,53.0
398738,2020-08-03,Kenosha,Wisconsin,55059.0,2506,55.0
401954,2020-08-04,Kenosha,Wisconsin,55059.0,2528,58.0
405172,2020-08-05,Kenosha,Wisconsin,55059.0,2565,58.0
408392,2020-08-06,Kenosha,Wisconsin,55059.0,2603,59.0
411611,2020-08-07,Kenosha,Wisconsin,55059.0,2644,59.0
414831,2020-08-08,Kenosha,Wisconsin,55059.0,2659,60.0
418052,2020-08-09,Kenosha,Wisconsin,55059.0,2667,60.0
421273,2020-08-10,Kenosha,Wisconsin,55059.0,2684,60.0
424494,2020-08-11,Kenosha,Wisconsin,55059.0,2694,60.0
427718,2020-08-12,Kenosha,Wisconsin,55059.0,2699,60.0
430946,2020-08-13,Kenosha,Wisconsin,55059.0,2721,60.0
434171,2020-08-14,Kenosha,Wisconsin,55059.0,2762,60.0
437397,2020-08-15,Kenosha,Wisconsin,55059.0,2771,60.0
440623,2020-08-16,Kenosha,Wisconsin,55059.0,2780,60.0
443849,2020-08-17,Kenosha,Wisconsin,55059.0,2800,60.0
447076,2020-08-18,Kenosha,Wisconsin,55059.0,2811,60.0
450304,2020-08-19,Kenosha,Wisconsin,55059.0,2817,60.0
453532,2020-08-20,Kenosha,Wisconsin,55059.0,2849,60.0
456760,2020-08-21,Kenosha,Wisconsin,55059.0,2856,60.0
459987,2020-08-22,Kenosha,Wisconsin,55059.0,2871,61.0
463216,2020-08-23,Kenosha,Wisconsin,55059.0,2873,61.0
466445,2020-08-24,Kenosha,Wisconsin,55059.0,2899,61.0
469674,2020-08-25,Kenosha,Wisconsin,55059.0,2899,61.0
472906,2020-08-26,Kenosha,Wisconsin,55059.0,2912,61.0
476139,2020-08-27,Kenosha,Wisconsin,55059.0,2920,62.0
479372,2020-08-28,Kenosha,Wisconsin,55059.0,2932,62.0
482606,2020-08-29,Kenosha,Wisconsin,55059.0,2939,62.0
485841,2020-08-30,Kenosha,Wisconsin,55059.0,2961,63.0
489074,2020-08-31,Kenosha,Wisconsin,55059.0,2967,63.0
492307,2020-09-01,Kenosha,Wisconsin,55059.0,2979,63.0
495541,2020-09-02,Kenosha,Wisconsin,55059.0,3004,64.0
498774,2020-09-03,Kenosha,Wisconsin,55059.0,3020,65.0
502008,2020-09-04,Kenosha,Wisconsin,55059.0,3370,65.0
505242,2020-09-05,Kenosha,Wisconsin,55059.0,3389,65.0
508474,2020-09-06,Kenosha,Wisconsin,55059.0,3402,65.0
511707,2020-09-07,Kenosha,Wisconsin,55059.0,3407,65.0
514940,2020-09-08,Kenosha,Wisconsin,55059.0,3416,64.0
518175,2020-09-09,Kenosha,Wisconsin,55059.0,3427,64.0
521412,2020-09-10,Kenosha,Wisconsin,55059.0,3447,64.0
524648,2020-09-11,Kenosha,Wisconsin,55059.0,3460,64.0
527884,2020-09-12,Kenosha,Wisconsin,55059.0,3478,65.0
531121,2020-09-13,Kenosha,Wisconsin,55059.0,3494,65.0
534356,2020-09-14,Kenosha,Wisconsin,55059.0,3509,65.0
