,date,county,state,fips,cases,deaths
16359,2020-03-28,Keokuk,Iowa,19107.0,1,0.0
18264,2020-03-29,Keokuk,Iowa,19107.0,1,0.0
20275,2020-03-30,Keokuk,Iowa,19107.0,1,0.0
22371,2020-03-31,Keokuk,Iowa,19107.0,2,0.0
24543,2020-04-01,Keokuk,Iowa,19107.0,2,0.0
26785,2020-04-02,Keokuk,Iowa,19107.0,1,0.0
29096,2020-04-03,Keokuk,Iowa,19107.0,1,0.0
31466,2020-04-04,Keokuk,Iowa,19107.0,2,0.0
33879,2020-04-05,Keokuk,Iowa,19107.0,2,0.0
36334,2020-04-06,Keokuk,Iowa,19107.0,2,0.0
38835,2020-04-07,Keokuk,Iowa,19107.0,2,0.0
41381,2020-04-08,Keokuk,Iowa,19107.0,2,0.0
43957,2020-04-09,Keokuk,Iowa,19107.0,2,0.0
46562,2020-04-10,Keokuk,Iowa,19107.0,2,0.0
49196,2020-04-11,Keokuk,Iowa,19107.0,2,0.0
51860,2020-04-12,Keokuk,Iowa,19107.0,2,0.0
54542,2020-04-13,Keokuk,Iowa,19107.0,2,0.0
57235,2020-04-14,Keokuk,Iowa,19107.0,2,0.0
59943,2020-04-15,Keokuk,Iowa,19107.0,2,0.0
62664,2020-04-16,Keokuk,Iowa,19107.0,2,0.0
65398,2020-04-17,Keokuk,Iowa,19107.0,2,0.0
68147,2020-04-18,Keokuk,Iowa,19107.0,4,0.0
70909,2020-04-19,Keokuk,Iowa,19107.0,3,0.0
73680,2020-04-20,Keokuk,Iowa,19107.0,3,0.0
76459,2020-04-21,Keokuk,Iowa,19107.0,3,0.0
79243,2020-04-22,Keokuk,Iowa,19107.0,3,0.0
82036,2020-04-23,Keokuk,Iowa,19107.0,3,0.0
84836,2020-04-24,Keokuk,Iowa,19107.0,3,0.0
87646,2020-04-25,Keokuk,Iowa,19107.0,4,0.0
90462,2020-04-26,Keokuk,Iowa,19107.0,2,0.0
93281,2020-04-27,Keokuk,Iowa,19107.0,2,0.0
96113,2020-04-28,Keokuk,Iowa,19107.0,2,0.0
98958,2020-04-29,Keokuk,Iowa,19107.0,2,0.0
101809,2020-04-30,Keokuk,Iowa,19107.0,2,0.0
104667,2020-05-01,Keokuk,Iowa,19107.0,3,0.0
107532,2020-05-02,Keokuk,Iowa,19107.0,3,0.0
110402,2020-05-03,Keokuk,Iowa,19107.0,3,0.0
113277,2020-05-04,Keokuk,Iowa,19107.0,3,0.0
116160,2020-05-05,Keokuk,Iowa,19107.0,3,0.0
119120,2020-05-06,Keokuk,Iowa,19107.0,3,0.0
122090,2020-05-07,Keokuk,Iowa,19107.0,6,0.0
125071,2020-05-08,Keokuk,Iowa,19107.0,7,0.0
128058,2020-05-09,Keokuk,Iowa,19107.0,7,0.0
131049,2020-05-10,Keokuk,Iowa,19107.0,7,0.0
134039,2020-05-11,Keokuk,Iowa,19107.0,9,0.0
137029,2020-05-12,Keokuk,Iowa,19107.0,9,0.0
140022,2020-05-13,Keokuk,Iowa,19107.0,9,0.0
143018,2020-05-14,Keokuk,Iowa,19107.0,9,0.0
146018,2020-05-15,Keokuk,Iowa,19107.0,9,0.0
149022,2020-05-16,Keokuk,Iowa,19107.0,10,0.0
152032,2020-05-17,Keokuk,Iowa,19107.0,11,0.0
155044,2020-05-18,Keokuk,Iowa,19107.0,11,0.0
158060,2020-05-19,Keokuk,Iowa,19107.0,12,0.0
161086,2020-05-20,Keokuk,Iowa,19107.0,13,0.0
164114,2020-05-21,Keokuk,Iowa,19107.0,13,0.0
167147,2020-05-22,Keokuk,Iowa,19107.0,13,0.0
170184,2020-05-23,Keokuk,Iowa,19107.0,13,0.0
173225,2020-05-24,Keokuk,Iowa,19107.0,14,0.0
176269,2020-05-25,Keokuk,Iowa,19107.0,14,0.0
179313,2020-05-26,Keokuk,Iowa,19107.0,14,0.0
182358,2020-05-27,Keokuk,Iowa,19107.0,14,0.0
185412,2020-05-28,Keokuk,Iowa,19107.0,14,0.0
188470,2020-05-29,Keokuk,Iowa,19107.0,14,0.0
191535,2020-05-30,Keokuk,Iowa,19107.0,15,0.0
194602,2020-05-31,Keokuk,Iowa,19107.0,15,0.0
197672,2020-06-01,Keokuk,Iowa,19107.0,14,0.0
200745,2020-06-02,Keokuk,Iowa,19107.0,14,0.0
203821,2020-06-03,Keokuk,Iowa,19107.0,14,0.0
206901,2020-06-04,Keokuk,Iowa,19107.0,14,0.0
209982,2020-06-05,Keokuk,Iowa,19107.0,15,0.0
213067,2020-06-06,Keokuk,Iowa,19107.0,15,0.0
216154,2020-06-07,Keokuk,Iowa,19107.0,15,0.0
219246,2020-06-08,Keokuk,Iowa,19107.0,16,0.0
222341,2020-06-09,Keokuk,Iowa,19107.0,15,0.0
225436,2020-06-10,Keokuk,Iowa,19107.0,17,0.0
228538,2020-06-11,Keokuk,Iowa,19107.0,15,0.0
231641,2020-06-12,Keokuk,Iowa,19107.0,15,0.0
234747,2020-06-13,Keokuk,Iowa,19107.0,15,0.0
237854,2020-06-14,Keokuk,Iowa,19107.0,15,0.0
240962,2020-06-15,Keokuk,Iowa,19107.0,15,0.0
244073,2020-06-16,Keokuk,Iowa,19107.0,16,1.0
247186,2020-06-17,Keokuk,Iowa,19107.0,16,1.0
250298,2020-06-18,Keokuk,Iowa,19107.0,16,1.0
253413,2020-06-19,Keokuk,Iowa,19107.0,16,1.0
256533,2020-06-20,Keokuk,Iowa,19107.0,16,1.0
259659,2020-06-21,Keokuk,Iowa,19107.0,16,1.0
262786,2020-06-22,Keokuk,Iowa,19107.0,16,1.0
265914,2020-06-23,Keokuk,Iowa,19107.0,17,1.0
269044,2020-06-24,Keokuk,Iowa,19107.0,18,1.0
272181,2020-06-25,Keokuk,Iowa,19107.0,19,1.0
275323,2020-06-26,Keokuk,Iowa,19107.0,19,1.0
278471,2020-06-27,Keokuk,Iowa,19107.0,19,1.0
281619,2020-06-28,Keokuk,Iowa,19107.0,19,1.0
284764,2020-06-29,Keokuk,Iowa,19107.0,19,1.0
287913,2020-06-30,Keokuk,Iowa,19107.0,19,1.0
291063,2020-07-01,Keokuk,Iowa,19107.0,19,1.0
294217,2020-07-02,Keokuk,Iowa,19107.0,20,1.0
297375,2020-07-03,Keokuk,Iowa,19107.0,20,1.0
300537,2020-07-04,Keokuk,Iowa,19107.0,20,1.0
303701,2020-07-05,Keokuk,Iowa,19107.0,21,1.0
306866,2020-07-06,Keokuk,Iowa,19107.0,21,1.0
310034,2020-07-07,Keokuk,Iowa,19107.0,21,1.0
313204,2020-07-08,Keokuk,Iowa,19107.0,20,1.0
316378,2020-07-09,Keokuk,Iowa,19107.0,21,1.0
319551,2020-07-10,Keokuk,Iowa,19107.0,23,1.0
322730,2020-07-11,Keokuk,Iowa,19107.0,23,1.0
325911,2020-07-12,Keokuk,Iowa,19107.0,23,1.0
329097,2020-07-13,Keokuk,Iowa,19107.0,24,1.0
332284,2020-07-14,Keokuk,Iowa,19107.0,23,1.0
335477,2020-07-15,Keokuk,Iowa,19107.0,23,1.0
338673,2020-07-16,Keokuk,Iowa,19107.0,23,1.0
341869,2020-07-17,Keokuk,Iowa,19107.0,23,1.0
345069,2020-07-18,Keokuk,Iowa,19107.0,24,1.0
348270,2020-07-19,Keokuk,Iowa,19107.0,24,1.0
351470,2020-07-20,Keokuk,Iowa,19107.0,24,1.0
354672,2020-07-21,Keokuk,Iowa,19107.0,24,1.0
357874,2020-07-22,Keokuk,Iowa,19107.0,24,1.0
361079,2020-07-23,Keokuk,Iowa,19107.0,26,1.0
364286,2020-07-24,Keokuk,Iowa,19107.0,27,1.0
367493,2020-07-25,Keokuk,Iowa,19107.0,27,1.0
370703,2020-07-26,Keokuk,Iowa,19107.0,28,1.0
373915,2020-07-27,Keokuk,Iowa,19107.0,27,1.0
377130,2020-07-28,Keokuk,Iowa,19107.0,27,1.0
380347,2020-07-29,Keokuk,Iowa,19107.0,27,1.0
383564,2020-07-30,Keokuk,Iowa,19107.0,28,1.0
386782,2020-07-31,Keokuk,Iowa,19107.0,28,1.0
389999,2020-08-01,Keokuk,Iowa,19107.0,30,1.0
393216,2020-08-02,Keokuk,Iowa,19107.0,30,1.0
396432,2020-08-03,Keokuk,Iowa,19107.0,30,1.0
399648,2020-08-04,Keokuk,Iowa,19107.0,31,1.0
402864,2020-08-05,Keokuk,Iowa,19107.0,31,1.0
406082,2020-08-06,Keokuk,Iowa,19107.0,33,1.0
409302,2020-08-07,Keokuk,Iowa,19107.0,34,1.0
412521,2020-08-08,Keokuk,Iowa,19107.0,34,1.0
415741,2020-08-09,Keokuk,Iowa,19107.0,35,1.0
418962,2020-08-10,Keokuk,Iowa,19107.0,37,1.0
422185,2020-08-11,Keokuk,Iowa,19107.0,37,1.0
425406,2020-08-12,Keokuk,Iowa,19107.0,39,1.0
428630,2020-08-13,Keokuk,Iowa,19107.0,40,1.0
431858,2020-08-14,Keokuk,Iowa,19107.0,41,1.0
435083,2020-08-15,Keokuk,Iowa,19107.0,42,1.0
438309,2020-08-16,Keokuk,Iowa,19107.0,43,1.0
441535,2020-08-17,Keokuk,Iowa,19107.0,43,1.0
444761,2020-08-18,Keokuk,Iowa,19107.0,44,1.0
447988,2020-08-19,Keokuk,Iowa,19107.0,46,1.0
451216,2020-08-20,Keokuk,Iowa,19107.0,47,1.0
454444,2020-08-21,Keokuk,Iowa,19107.0,46,1.0
457672,2020-08-22,Keokuk,Iowa,19107.0,46,1.0
460899,2020-08-23,Keokuk,Iowa,19107.0,46,1.0
464128,2020-08-24,Keokuk,Iowa,19107.0,48,1.0
467357,2020-08-25,Keokuk,Iowa,19107.0,47,1.0
470586,2020-08-26,Keokuk,Iowa,19107.0,52,1.0
473818,2020-08-27,Keokuk,Iowa,19107.0,55,1.0
477051,2020-08-28,Keokuk,Iowa,19107.0,59,1.0
480284,2020-08-29,Keokuk,Iowa,19107.0,59,1.0
483518,2020-08-30,Keokuk,Iowa,19107.0,60,1.0
486753,2020-08-31,Keokuk,Iowa,19107.0,64,1.0
