,date,county,state,fips,cases,deaths
306958,2020-07-06,Kingman,Kansas,20095.0,1,0.0
310126,2020-07-07,Kingman,Kansas,20095.0,1,0.0
313296,2020-07-08,Kingman,Kansas,20095.0,1,0.0
316470,2020-07-09,Kingman,Kansas,20095.0,1,0.0
319643,2020-07-10,Kingman,Kansas,20095.0,4,0.0
322822,2020-07-11,Kingman,Kansas,20095.0,4,0.0
326005,2020-07-12,Kingman,Kansas,20095.0,4,0.0
329191,2020-07-13,Kingman,Kansas,20095.0,4,0.0
332378,2020-07-14,Kingman,Kansas,20095.0,4,0.0
335571,2020-07-15,Kingman,Kansas,20095.0,5,0.0
338767,2020-07-16,Kingman,Kansas,20095.0,5,0.0
341963,2020-07-17,Kingman,Kansas,20095.0,5,0.0
345163,2020-07-18,Kingman,Kansas,20095.0,5,0.0
348364,2020-07-19,Kingman,Kansas,20095.0,5,0.0
351564,2020-07-20,Kingman,Kansas,20095.0,5,0.0
354766,2020-07-21,Kingman,Kansas,20095.0,5,0.0
357968,2020-07-22,Kingman,Kansas,20095.0,5,0.0
361173,2020-07-23,Kingman,Kansas,20095.0,5,0.0
364380,2020-07-24,Kingman,Kansas,20095.0,6,0.0
367587,2020-07-25,Kingman,Kansas,20095.0,6,0.0
370797,2020-07-26,Kingman,Kansas,20095.0,6,0.0
374009,2020-07-27,Kingman,Kansas,20095.0,7,0.0
377224,2020-07-28,Kingman,Kansas,20095.0,7,0.0
380441,2020-07-29,Kingman,Kansas,20095.0,8,0.0
383658,2020-07-30,Kingman,Kansas,20095.0,8,0.0
386876,2020-07-31,Kingman,Kansas,20095.0,9,0.0
390093,2020-08-01,Kingman,Kansas,20095.0,9,0.0
393310,2020-08-02,Kingman,Kansas,20095.0,9,0.0
396526,2020-08-03,Kingman,Kansas,20095.0,10,0.0
399741,2020-08-04,Kingman,Kansas,20095.0,10,0.0
402958,2020-08-05,Kingman,Kansas,20095.0,12,0.0
406176,2020-08-06,Kingman,Kansas,20095.0,12,0.0
409395,2020-08-07,Kingman,Kansas,20095.0,17,0.0
412615,2020-08-08,Kingman,Kansas,20095.0,17,0.0
415835,2020-08-09,Kingman,Kansas,20095.0,17,0.0
419056,2020-08-10,Kingman,Kansas,20095.0,21,0.0
422279,2020-08-11,Kingman,Kansas,20095.0,21,0.0
425500,2020-08-12,Kingman,Kansas,20095.0,20,0.0
428724,2020-08-13,Kingman,Kansas,20095.0,20,0.0
431952,2020-08-14,Kingman,Kansas,20095.0,25,0.0
435177,2020-08-15,Kingman,Kansas,20095.0,25,0.0
438402,2020-08-16,Kingman,Kansas,20095.0,25,0.0
441629,2020-08-17,Kingman,Kansas,20095.0,27,0.0
444855,2020-08-18,Kingman,Kansas,20095.0,27,0.0
448082,2020-08-19,Kingman,Kansas,20095.0,31,0.0
