,date,county,state,fips,cases,deaths
19369,2020-03-29,Kleberg,Texas,48273.0,1,0.0
21429,2020-03-30,Kleberg,Texas,48273.0,1,0.0
23568,2020-03-31,Kleberg,Texas,48273.0,1,0.0
25779,2020-04-01,Kleberg,Texas,48273.0,1,0.0
28064,2020-04-02,Kleberg,Texas,48273.0,2,0.0
30399,2020-04-03,Kleberg,Texas,48273.0,1,0.0
32794,2020-04-04,Kleberg,Texas,48273.0,2,0.0
35232,2020-04-05,Kleberg,Texas,48273.0,2,0.0
37708,2020-04-06,Kleberg,Texas,48273.0,2,0.0
40235,2020-04-07,Kleberg,Texas,48273.0,2,0.0
42803,2020-04-08,Kleberg,Texas,48273.0,2,0.0
45393,2020-04-09,Kleberg,Texas,48273.0,2,0.0
48014,2020-04-10,Kleberg,Texas,48273.0,2,0.0
50672,2020-04-11,Kleberg,Texas,48273.0,2,0.0
53347,2020-04-12,Kleberg,Texas,48273.0,2,0.0
56035,2020-04-13,Kleberg,Texas,48273.0,2,1.0
58740,2020-04-14,Kleberg,Texas,48273.0,2,1.0
61458,2020-04-15,Kleberg,Texas,48273.0,3,1.0
64185,2020-04-16,Kleberg,Texas,48273.0,3,1.0
66932,2020-04-17,Kleberg,Texas,48273.0,5,1.0
69692,2020-04-18,Kleberg,Texas,48273.0,5,1.0
72461,2020-04-19,Kleberg,Texas,48273.0,6,1.0
75237,2020-04-20,Kleberg,Texas,48273.0,6,1.0
78019,2020-04-21,Kleberg,Texas,48273.0,6,1.0
80810,2020-04-22,Kleberg,Texas,48273.0,7,1.0
83611,2020-04-23,Kleberg,Texas,48273.0,7,1.0
86416,2020-04-24,Kleberg,Texas,48273.0,7,1.0
89231,2020-04-25,Kleberg,Texas,48273.0,8,1.0
92048,2020-04-26,Kleberg,Texas,48273.0,8,1.0
94877,2020-04-27,Kleberg,Texas,48273.0,9,1.0
97717,2020-04-28,Kleberg,Texas,48273.0,9,1.0
100567,2020-04-29,Kleberg,Texas,48273.0,8,1.0
103422,2020-04-30,Kleberg,Texas,48273.0,8,1.0
106286,2020-05-01,Kleberg,Texas,48273.0,8,1.0
109155,2020-05-02,Kleberg,Texas,48273.0,10,1.0
112029,2020-05-03,Kleberg,Texas,48273.0,10,1.0
114911,2020-05-04,Kleberg,Texas,48273.0,10,1.0
117870,2020-05-05,Kleberg,Texas,48273.0,10,1.0
120834,2020-05-06,Kleberg,Texas,48273.0,10,1.0
123813,2020-05-07,Kleberg,Texas,48273.0,10,1.0
126797,2020-05-08,Kleberg,Texas,48273.0,10,1.0
129786,2020-05-09,Kleberg,Texas,48273.0,10,1.0
132776,2020-05-10,Kleberg,Texas,48273.0,11,1.0
135767,2020-05-11,Kleberg,Texas,48273.0,11,1.0
138757,2020-05-12,Kleberg,Texas,48273.0,11,1.0
141753,2020-05-13,Kleberg,Texas,48273.0,11,1.0
144750,2020-05-14,Kleberg,Texas,48273.0,11,1.0
147754,2020-05-15,Kleberg,Texas,48273.0,13,1.0
150762,2020-05-16,Kleberg,Texas,48273.0,14,1.0
153773,2020-05-17,Kleberg,Texas,48273.0,14,1.0
156790,2020-05-18,Kleberg,Texas,48273.0,14,1.0
159812,2020-05-19,Kleberg,Texas,48273.0,14,1.0
162840,2020-05-20,Kleberg,Texas,48273.0,14,1.0
165869,2020-05-21,Kleberg,Texas,48273.0,14,1.0
168905,2020-05-22,Kleberg,Texas,48273.0,14,1.0
171945,2020-05-23,Kleberg,Texas,48273.0,15,1.0
174988,2020-05-24,Kleberg,Texas,48273.0,15,1.0
178032,2020-05-25,Kleberg,Texas,48273.0,15,1.0
181076,2020-05-26,Kleberg,Texas,48273.0,16,1.0
184126,2020-05-27,Kleberg,Texas,48273.0,16,1.0
187183,2020-05-28,Kleberg,Texas,48273.0,16,1.0
190247,2020-05-29,Kleberg,Texas,48273.0,16,1.0
193313,2020-05-30,Kleberg,Texas,48273.0,16,1.0
196383,2020-05-31,Kleberg,Texas,48273.0,16,1.0
199456,2020-06-01,Kleberg,Texas,48273.0,16,1.0
202532,2020-06-02,Kleberg,Texas,48273.0,17,1.0
205611,2020-06-03,Kleberg,Texas,48273.0,17,1.0
208693,2020-06-04,Kleberg,Texas,48273.0,17,1.0
211777,2020-06-05,Kleberg,Texas,48273.0,18,1.0
214864,2020-06-06,Kleberg,Texas,48273.0,18,1.0
217954,2020-06-07,Kleberg,Texas,48273.0,18,1.0
221046,2020-06-08,Kleberg,Texas,48273.0,18,1.0
224141,2020-06-09,Kleberg,Texas,48273.0,20,1.0
227241,2020-06-10,Kleberg,Texas,48273.0,20,1.0
230345,2020-06-11,Kleberg,Texas,48273.0,20,1.0
233449,2020-06-12,Kleberg,Texas,48273.0,20,1.0
236555,2020-06-13,Kleberg,Texas,48273.0,20,1.0
239663,2020-06-14,Kleberg,Texas,48273.0,20,1.0
242773,2020-06-15,Kleberg,Texas,48273.0,20,1.0
245885,2020-06-16,Kleberg,Texas,48273.0,20,1.0
248998,2020-06-17,Kleberg,Texas,48273.0,20,1.0
252113,2020-06-18,Kleberg,Texas,48273.0,23,1.0
255228,2020-06-19,Kleberg,Texas,48273.0,24,1.0
258355,2020-06-20,Kleberg,Texas,48273.0,25,1.0
