,date,county,state,fips,cases,deaths
2290,2020-03-14,Klickitat,Washington,53039.0,1,0.0
2717,2020-03-15,Klickitat,Washington,53039.0,1,0.0
3191,2020-03-16,Klickitat,Washington,53039.0,1,0.0
3732,2020-03-17,Klickitat,Washington,53039.0,1,0.0
4367,2020-03-18,Klickitat,Washington,53039.0,1,0.0
5124,2020-03-19,Klickitat,Washington,53039.0,2,0.0
6026,2020-03-20,Klickitat,Washington,53039.0,2,0.0
7057,2020-03-21,Klickitat,Washington,53039.0,4,0.0
8194,2020-03-22,Klickitat,Washington,53039.0,4,0.0
9419,2020-03-23,Klickitat,Washington,53039.0,4,0.0
10768,2020-03-24,Klickitat,Washington,53039.0,6,0.0
12291,2020-03-25,Klickitat,Washington,53039.0,6,0.0
13941,2020-03-26,Klickitat,Washington,53039.0,7,0.0
15709,2020-03-27,Klickitat,Washington,53039.0,7,0.0
17589,2020-03-28,Klickitat,Washington,53039.0,7,0.0
19554,2020-03-29,Klickitat,Washington,53039.0,7,1.0
21621,2020-03-30,Klickitat,Washington,53039.0,7,1.0
23770,2020-03-31,Klickitat,Washington,53039.0,7,1.0
25988,2020-04-01,Klickitat,Washington,53039.0,9,1.0
28278,2020-04-02,Klickitat,Washington,53039.0,9,1.0
30631,2020-04-03,Klickitat,Washington,53039.0,9,1.0
33031,2020-04-04,Klickitat,Washington,53039.0,9,1.0
35469,2020-04-05,Klickitat,Washington,53039.0,9,1.0
37953,2020-04-06,Klickitat,Washington,53039.0,11,1.0
40488,2020-04-07,Klickitat,Washington,53039.0,11,1.0
43057,2020-04-08,Klickitat,Washington,53039.0,11,1.0
45653,2020-04-09,Klickitat,Washington,53039.0,11,1.0
48280,2020-04-10,Klickitat,Washington,53039.0,12,1.0
50938,2020-04-11,Klickitat,Washington,53039.0,12,1.0
53613,2020-04-12,Klickitat,Washington,53039.0,14,1.0
56303,2020-04-13,Klickitat,Washington,53039.0,14,1.0
59009,2020-04-14,Klickitat,Washington,53039.0,14,2.0
61728,2020-04-15,Klickitat,Washington,53039.0,16,2.0
64461,2020-04-16,Klickitat,Washington,53039.0,16,2.0
67209,2020-04-17,Klickitat,Washington,53039.0,16,3.0
69971,2020-04-18,Klickitat,Washington,53039.0,16,3.0
72741,2020-04-19,Klickitat,Washington,53039.0,16,3.0
75517,2020-04-20,Klickitat,Washington,53039.0,16,3.0
78300,2020-04-21,Klickitat,Washington,53039.0,16,3.0
81093,2020-04-22,Klickitat,Washington,53039.0,16,3.0
83894,2020-04-23,Klickitat,Washington,53039.0,16,3.0
86701,2020-04-24,Klickitat,Washington,53039.0,16,3.0
89516,2020-04-25,Klickitat,Washington,53039.0,16,3.0
92333,2020-04-26,Klickitat,Washington,53039.0,16,3.0
95162,2020-04-27,Klickitat,Washington,53039.0,16,3.0
98007,2020-04-28,Klickitat,Washington,53039.0,16,3.0
100857,2020-04-29,Klickitat,Washington,53039.0,16,3.0
103712,2020-04-30,Klickitat,Washington,53039.0,17,3.0
106576,2020-05-01,Klickitat,Washington,53039.0,17,3.0
109445,2020-05-02,Klickitat,Washington,53039.0,17,3.0
112319,2020-05-03,Klickitat,Washington,53039.0,18,3.0
115202,2020-05-04,Klickitat,Washington,53039.0,18,3.0
118161,2020-05-05,Klickitat,Washington,53039.0,17,3.0
121125,2020-05-06,Klickitat,Washington,53039.0,18,3.0
124105,2020-05-07,Klickitat,Washington,53039.0,19,3.0
127090,2020-05-08,Klickitat,Washington,53039.0,19,3.0
