,date,county,state,fips,cases,deaths
61956,2020-04-16,Kodiak Island Borough,Alaska,2150.0,1,0.0
64689,2020-04-17,Kodiak Island Borough,Alaska,2150.0,1,0.0
67437,2020-04-18,Kodiak Island Borough,Alaska,2150.0,1,0.0
70199,2020-04-19,Kodiak Island Borough,Alaska,2150.0,1,0.0
72968,2020-04-20,Kodiak Island Borough,Alaska,2150.0,1,0.0
75744,2020-04-21,Kodiak Island Borough,Alaska,2150.0,1,0.0
78527,2020-04-22,Kodiak Island Borough,Alaska,2150.0,1,0.0
81320,2020-04-23,Kodiak Island Borough,Alaska,2150.0,1,0.0
84121,2020-04-24,Kodiak Island Borough,Alaska,2150.0,1,0.0
86929,2020-04-25,Kodiak Island Borough,Alaska,2150.0,1,0.0
89745,2020-04-26,Kodiak Island Borough,Alaska,2150.0,1,0.0
92563,2020-04-27,Kodiak Island Borough,Alaska,2150.0,1,0.0
95393,2020-04-28,Kodiak Island Borough,Alaska,2150.0,1,0.0
98238,2020-04-29,Kodiak Island Borough,Alaska,2150.0,1,0.0
101088,2020-04-30,Kodiak Island Borough,Alaska,2150.0,1,0.0
103943,2020-05-01,Kodiak Island Borough,Alaska,2150.0,1,0.0
106808,2020-05-02,Kodiak Island Borough,Alaska,2150.0,1,0.0
109677,2020-05-03,Kodiak Island Borough,Alaska,2150.0,1,0.0
112552,2020-05-04,Kodiak Island Borough,Alaska,2150.0,1,0.0
115435,2020-05-05,Kodiak Island Borough,Alaska,2150.0,1,0.0
118394,2020-05-06,Kodiak Island Borough,Alaska,2150.0,1,0.0
121360,2020-05-07,Kodiak Island Borough,Alaska,2150.0,1,0.0
124340,2020-05-08,Kodiak Island Borough,Alaska,2150.0,1,0.0
127325,2020-05-09,Kodiak Island Borough,Alaska,2150.0,1,0.0
130315,2020-05-10,Kodiak Island Borough,Alaska,2150.0,1,0.0
133305,2020-05-11,Kodiak Island Borough,Alaska,2150.0,1,0.0
136295,2020-05-12,Kodiak Island Borough,Alaska,2150.0,1,0.0
139286,2020-05-13,Kodiak Island Borough,Alaska,2150.0,1,0.0
142282,2020-05-14,Kodiak Island Borough,Alaska,2150.0,1,0.0
145281,2020-05-15,Kodiak Island Borough,Alaska,2150.0,1,0.0
148284,2020-05-16,Kodiak Island Borough,Alaska,2150.0,1,0.0
151293,2020-05-17,Kodiak Island Borough,Alaska,2150.0,1,0.0
154305,2020-05-18,Kodiak Island Borough,Alaska,2150.0,1,0.0
157321,2020-05-19,Kodiak Island Borough,Alaska,2150.0,1,0.0
160346,2020-05-20,Kodiak Island Borough,Alaska,2150.0,1,0.0
163374,2020-05-21,Kodiak Island Borough,Alaska,2150.0,1,0.0
166406,2020-05-22,Kodiak Island Borough,Alaska,2150.0,1,0.0
169442,2020-05-23,Kodiak Island Borough,Alaska,2150.0,1,0.0
172483,2020-05-24,Kodiak Island Borough,Alaska,2150.0,1,0.0
175526,2020-05-25,Kodiak Island Borough,Alaska,2150.0,1,0.0
178571,2020-05-26,Kodiak Island Borough,Alaska,2150.0,1,0.0
181615,2020-05-27,Kodiak Island Borough,Alaska,2150.0,1,0.0
184667,2020-05-28,Kodiak Island Borough,Alaska,2150.0,1,0.0
187724,2020-05-29,Kodiak Island Borough,Alaska,2150.0,1,0.0
190788,2020-05-30,Kodiak Island Borough,Alaska,2150.0,1,0.0
193855,2020-05-31,Kodiak Island Borough,Alaska,2150.0,1,0.0
196925,2020-06-01,Kodiak Island Borough,Alaska,2150.0,1,0.0
199998,2020-06-02,Kodiak Island Borough,Alaska,2150.0,1,0.0
203074,2020-06-03,Kodiak Island Borough,Alaska,2150.0,1,0.0
206154,2020-06-04,Kodiak Island Borough,Alaska,2150.0,2,0.0
209236,2020-06-05,Kodiak Island Borough,Alaska,2150.0,2,0.0
212321,2020-06-06,Kodiak Island Borough,Alaska,2150.0,2,0.0
215408,2020-06-07,Kodiak Island Borough,Alaska,2150.0,2,0.0
218498,2020-06-08,Kodiak Island Borough,Alaska,2150.0,2,0.0
221592,2020-06-09,Kodiak Island Borough,Alaska,2150.0,2,0.0
224688,2020-06-10,Kodiak Island Borough,Alaska,2150.0,2,0.0
227789,2020-06-11,Kodiak Island Borough,Alaska,2150.0,3,0.0
230893,2020-06-12,Kodiak Island Borough,Alaska,2150.0,3,0.0
233998,2020-06-13,Kodiak Island Borough,Alaska,2150.0,4,0.0
237105,2020-06-14,Kodiak Island Borough,Alaska,2150.0,4,0.0
240213,2020-06-15,Kodiak Island Borough,Alaska,2150.0,4,0.0
243324,2020-06-16,Kodiak Island Borough,Alaska,2150.0,4,0.0
246437,2020-06-17,Kodiak Island Borough,Alaska,2150.0,5,0.0
249549,2020-06-18,Kodiak Island Borough,Alaska,2150.0,5,0.0
252664,2020-06-19,Kodiak Island Borough,Alaska,2150.0,5,0.0
255783,2020-06-20,Kodiak Island Borough,Alaska,2150.0,5,0.0
258910,2020-06-21,Kodiak Island Borough,Alaska,2150.0,5,0.0
262037,2020-06-22,Kodiak Island Borough,Alaska,2150.0,5,0.0
265166,2020-06-23,Kodiak Island Borough,Alaska,2150.0,6,0.0
268295,2020-06-24,Kodiak Island Borough,Alaska,2150.0,7,0.0
271430,2020-06-25,Kodiak Island Borough,Alaska,2150.0,7,0.0
274570,2020-06-26,Kodiak Island Borough,Alaska,2150.0,7,0.0
277718,2020-06-27,Kodiak Island Borough,Alaska,2150.0,7,0.0
280866,2020-06-28,Kodiak Island Borough,Alaska,2150.0,7,0.0
284012,2020-06-29,Kodiak Island Borough,Alaska,2150.0,7,0.0
287158,2020-06-30,Kodiak Island Borough,Alaska,2150.0,7,0.0
290308,2020-07-01,Kodiak Island Borough,Alaska,2150.0,7,0.0
293461,2020-07-02,Kodiak Island Borough,Alaska,2150.0,9,0.0
296616,2020-07-03,Kodiak Island Borough,Alaska,2150.0,9,0.0
299778,2020-07-04,Kodiak Island Borough,Alaska,2150.0,9,0.0
302942,2020-07-05,Kodiak Island Borough,Alaska,2150.0,9,0.0
306106,2020-07-06,Kodiak Island Borough,Alaska,2150.0,9,0.0
309275,2020-07-07,Kodiak Island Borough,Alaska,2150.0,9,0.0
312444,2020-07-08,Kodiak Island Borough,Alaska,2150.0,9,0.0
315619,2020-07-09,Kodiak Island Borough,Alaska,2150.0,10,0.0
318792,2020-07-10,Kodiak Island Borough,Alaska,2150.0,10,0.0
321971,2020-07-11,Kodiak Island Borough,Alaska,2150.0,10,0.0
325152,2020-07-12,Kodiak Island Borough,Alaska,2150.0,11,0.0
328338,2020-07-13,Kodiak Island Borough,Alaska,2150.0,12,0.0
331524,2020-07-14,Kodiak Island Borough,Alaska,2150.0,12,0.0
334717,2020-07-15,Kodiak Island Borough,Alaska,2150.0,13,0.0
337912,2020-07-16,Kodiak Island Borough,Alaska,2150.0,13,0.0
341108,2020-07-17,Kodiak Island Borough,Alaska,2150.0,13,0.0
344307,2020-07-18,Kodiak Island Borough,Alaska,2150.0,13,0.0
347507,2020-07-19,Kodiak Island Borough,Alaska,2150.0,13,0.0
350708,2020-07-20,Kodiak Island Borough,Alaska,2150.0,13,0.0
353910,2020-07-21,Kodiak Island Borough,Alaska,2150.0,14,0.0
357113,2020-07-22,Kodiak Island Borough,Alaska,2150.0,14,0.0
360318,2020-07-23,Kodiak Island Borough,Alaska,2150.0,14,0.0
363524,2020-07-24,Kodiak Island Borough,Alaska,2150.0,14,0.0
366731,2020-07-25,Kodiak Island Borough,Alaska,2150.0,14,0.0
369941,2020-07-26,Kodiak Island Borough,Alaska,2150.0,14,0.0
373153,2020-07-27,Kodiak Island Borough,Alaska,2150.0,14,0.0
376367,2020-07-28,Kodiak Island Borough,Alaska,2150.0,14,0.0
379583,2020-07-29,Kodiak Island Borough,Alaska,2150.0,14,0.0
382800,2020-07-30,Kodiak Island Borough,Alaska,2150.0,15,0.0
386018,2020-07-31,Kodiak Island Borough,Alaska,2150.0,15,0.0
389235,2020-08-01,Kodiak Island Borough,Alaska,2150.0,16,0.0
392452,2020-08-02,Kodiak Island Borough,Alaska,2150.0,19,0.0
395668,2020-08-03,Kodiak Island Borough,Alaska,2150.0,26,0.0
398884,2020-08-04,Kodiak Island Borough,Alaska,2150.0,26,0.0
402100,2020-08-05,Kodiak Island Borough,Alaska,2150.0,26,0.0
405318,2020-08-06,Kodiak Island Borough,Alaska,2150.0,26,0.0
408538,2020-08-07,Kodiak Island Borough,Alaska,2150.0,35,0.0
411757,2020-08-08,Kodiak Island Borough,Alaska,2150.0,34,0.0
414977,2020-08-09,Kodiak Island Borough,Alaska,2150.0,34,0.0
418198,2020-08-10,Kodiak Island Borough,Alaska,2150.0,35,0.0
421419,2020-08-11,Kodiak Island Borough,Alaska,2150.0,35,0.0
424640,2020-08-12,Kodiak Island Borough,Alaska,2150.0,35,0.0
427864,2020-08-13,Kodiak Island Borough,Alaska,2150.0,49,0.0
431092,2020-08-14,Kodiak Island Borough,Alaska,2150.0,49,0.0
434317,2020-08-15,Kodiak Island Borough,Alaska,2150.0,49,0.0
437543,2020-08-16,Kodiak Island Borough,Alaska,2150.0,50,0.0
440769,2020-08-17,Kodiak Island Borough,Alaska,2150.0,50,0.0
443995,2020-08-18,Kodiak Island Borough,Alaska,2150.0,53,0.0
447222,2020-08-19,Kodiak Island Borough,Alaska,2150.0,54,0.0
450450,2020-08-20,Kodiak Island Borough,Alaska,2150.0,56,0.0
453678,2020-08-21,Kodiak Island Borough,Alaska,2150.0,56,0.0
456906,2020-08-22,Kodiak Island Borough,Alaska,2150.0,56,0.0
460133,2020-08-23,Kodiak Island Borough,Alaska,2150.0,56,0.0
463362,2020-08-24,Kodiak Island Borough,Alaska,2150.0,56,0.0
466591,2020-08-25,Kodiak Island Borough,Alaska,2150.0,56,0.0
469820,2020-08-26,Kodiak Island Borough,Alaska,2150.0,56,0.0
473052,2020-08-27,Kodiak Island Borough,Alaska,2150.0,56,0.0
476285,2020-08-28,Kodiak Island Borough,Alaska,2150.0,57,0.0
479518,2020-08-29,Kodiak Island Borough,Alaska,2150.0,57,0.0
482752,2020-08-30,Kodiak Island Borough,Alaska,2150.0,57,0.0
485987,2020-08-31,Kodiak Island Borough,Alaska,2150.0,57,0.0
489220,2020-09-01,Kodiak Island Borough,Alaska,2150.0,58,0.0
492453,2020-09-02,Kodiak Island Borough,Alaska,2150.0,58,0.0
495687,2020-09-03,Kodiak Island Borough,Alaska,2150.0,61,0.0
498920,2020-09-04,Kodiak Island Borough,Alaska,2150.0,61,0.0
502154,2020-09-05,Kodiak Island Borough,Alaska,2150.0,61,0.0
505388,2020-09-06,Kodiak Island Borough,Alaska,2150.0,62,0.0
508620,2020-09-07,Kodiak Island Borough,Alaska,2150.0,62,0.0
511853,2020-09-08,Kodiak Island Borough,Alaska,2150.0,62,0.0
515086,2020-09-09,Kodiak Island Borough,Alaska,2150.0,62,0.0
518321,2020-09-10,Kodiak Island Borough,Alaska,2150.0,63,0.0
521558,2020-09-11,Kodiak Island Borough,Alaska,2150.0,63,0.0
524794,2020-09-12,Kodiak Island Borough,Alaska,2150.0,63,0.0
528030,2020-09-13,Kodiak Island Borough,Alaska,2150.0,63,0.0
531267,2020-09-14,Kodiak Island Borough,Alaska,2150.0,63,0.0
534502,2020-09-15,Kodiak Island Borough,Alaska,2150.0,64,0.0
537738,2020-09-16,Kodiak Island Borough,Alaska,2150.0,64,0.0
540975,2020-09-17,Kodiak Island Borough,Alaska,2150.0,64,0.0
544211,2020-09-18,Kodiak Island Borough,Alaska,2150.0,64,0.0
547448,2020-09-19,Kodiak Island Borough,Alaska,2150.0,64,0.0
550687,2020-09-20,Kodiak Island Borough,Alaska,2150.0,64,0.0
553926,2020-09-21,Kodiak Island Borough,Alaska,2150.0,64,0.0
557163,2020-09-22,Kodiak Island Borough,Alaska,2150.0,65,0.0
560399,2020-09-23,Kodiak Island Borough,Alaska,2150.0,65,0.0
563638,2020-09-24,Kodiak Island Borough,Alaska,2150.0,65,0.0
566879,2020-09-25,Kodiak Island Borough,Alaska,2150.0,65,0.0
570120,2020-09-26,Kodiak Island Borough,Alaska,2150.0,66,0.0
573362,2020-09-27,Kodiak Island Borough,Alaska,2150.0,66,0.0
576606,2020-09-28,Kodiak Island Borough,Alaska,2150.0,66,0.0
579847,2020-09-29,Kodiak Island Borough,Alaska,2150.0,66,0.0
583086,2020-09-30,Kodiak Island Borough,Alaska,2150.0,68,0.0
586326,2020-10-01,Kodiak Island Borough,Alaska,2150.0,70,0.0
589567,2020-10-02,Kodiak Island Borough,Alaska,2150.0,72,0.0
592807,2020-10-03,Kodiak Island Borough,Alaska,2150.0,72,0.0
596049,2020-10-04,Kodiak Island Borough,Alaska,2150.0,73,0.0
599292,2020-10-05,Kodiak Island Borough,Alaska,2150.0,75,0.0
602535,2020-10-06,Kodiak Island Borough,Alaska,2150.0,80,0.0
605777,2020-10-07,Kodiak Island Borough,Alaska,2150.0,81,0.0
609020,2020-10-08,Kodiak Island Borough,Alaska,2150.0,83,0.0
612262,2020-10-09,Kodiak Island Borough,Alaska,2150.0,85,0.0
615503,2020-10-10,Kodiak Island Borough,Alaska,2150.0,85,0.0
618745,2020-10-11,Kodiak Island Borough,Alaska,2150.0,85,0.0
621988,2020-10-12,Kodiak Island Borough,Alaska,2150.0,85,0.0
625231,2020-10-13,Kodiak Island Borough,Alaska,2150.0,85,0.0
628474,2020-10-14,Kodiak Island Borough,Alaska,2150.0,85,0.0
631718,2020-10-15,Kodiak Island Borough,Alaska,2150.0,85,0.0
634963,2020-10-16,Kodiak Island Borough,Alaska,2150.0,90,0.0
638208,2020-10-17,Kodiak Island Borough,Alaska,2150.0,91,0.0
641455,2020-10-18,Kodiak Island Borough,Alaska,2150.0,91,0.0
644703,2020-10-19,Kodiak Island Borough,Alaska,2150.0,91,0.0
647948,2020-10-20,Kodiak Island Borough,Alaska,2150.0,92,0.0
651192,2020-10-21,Kodiak Island Borough,Alaska,2150.0,93,0.0
654437,2020-10-22,Kodiak Island Borough,Alaska,2150.0,93,0.0
657682,2020-10-23,Kodiak Island Borough,Alaska,2150.0,94,0.0
660926,2020-10-24,Kodiak Island Borough,Alaska,2150.0,94,0.0
664170,2020-10-25,Kodiak Island Borough,Alaska,2150.0,96,0.0
667415,2020-10-26,Kodiak Island Borough,Alaska,2150.0,97,0.0
670658,2020-10-27,Kodiak Island Borough,Alaska,2150.0,98,0.0
673900,2020-10-28,Kodiak Island Borough,Alaska,2150.0,98,0.0
677143,2020-10-29,Kodiak Island Borough,Alaska,2150.0,111,0.0
680386,2020-10-30,Kodiak Island Borough,Alaska,2150.0,112,0.0
683629,2020-10-31,Kodiak Island Borough,Alaska,2150.0,120,0.0
686873,2020-11-01,Kodiak Island Borough,Alaska,2150.0,124,0.0
690118,2020-11-02,Kodiak Island Borough,Alaska,2150.0,124,0.0
693361,2020-11-03,Kodiak Island Borough,Alaska,2150.0,124,0.0
696603,2020-11-04,Kodiak Island Borough,Alaska,2150.0,130,0.0
699847,2020-11-05,Kodiak Island Borough,Alaska,2150.0,131,0.0
