,date,county,state,fips,cases,deaths
4385,2020-03-18,La Crosse,Wisconsin,55063.0,1,0.0
5148,2020-03-19,La Crosse,Wisconsin,55063.0,2,0.0
6059,2020-03-20,La Crosse,Wisconsin,55063.0,4,0.0
7092,2020-03-21,La Crosse,Wisconsin,55063.0,5,0.0
8230,2020-03-22,La Crosse,Wisconsin,55063.0,5,0.0
9456,2020-03-23,La Crosse,Wisconsin,55063.0,5,0.0
10810,2020-03-24,La Crosse,Wisconsin,55063.0,5,0.0
12340,2020-03-25,La Crosse,Wisconsin,55063.0,12,0.0
13994,2020-03-26,La Crosse,Wisconsin,55063.0,12,0.0
15767,2020-03-27,La Crosse,Wisconsin,55063.0,15,0.0
17647,2020-03-28,La Crosse,Wisconsin,55063.0,15,0.0
19616,2020-03-29,La Crosse,Wisconsin,55063.0,15,0.0
21687,2020-03-30,La Crosse,Wisconsin,55063.0,16,0.0
23839,2020-03-31,La Crosse,Wisconsin,55063.0,19,0.0
26059,2020-04-01,La Crosse,Wisconsin,55063.0,19,0.0
28352,2020-04-02,La Crosse,Wisconsin,55063.0,19,0.0
30707,2020-04-03,La Crosse,Wisconsin,55063.0,19,0.0
33108,2020-04-04,La Crosse,Wisconsin,55063.0,21,0.0
35547,2020-04-05,La Crosse,Wisconsin,55063.0,21,0.0
38034,2020-04-06,La Crosse,Wisconsin,55063.0,22,0.0
40575,2020-04-07,La Crosse,Wisconsin,55063.0,22,0.0
43147,2020-04-08,La Crosse,Wisconsin,55063.0,22,0.0
45744,2020-04-09,La Crosse,Wisconsin,55063.0,23,0.0
48372,2020-04-10,La Crosse,Wisconsin,55063.0,25,0.0
51032,2020-04-11,La Crosse,Wisconsin,55063.0,25,0.0
53709,2020-04-12,La Crosse,Wisconsin,55063.0,25,0.0
56400,2020-04-13,La Crosse,Wisconsin,55063.0,25,0.0
59107,2020-04-14,La Crosse,Wisconsin,55063.0,25,0.0
61826,2020-04-15,La Crosse,Wisconsin,55063.0,25,0.0
64559,2020-04-16,La Crosse,Wisconsin,55063.0,25,0.0
67307,2020-04-17,La Crosse,Wisconsin,55063.0,25,0.0
70069,2020-04-18,La Crosse,Wisconsin,55063.0,25,0.0
72838,2020-04-19,La Crosse,Wisconsin,55063.0,25,0.0
75614,2020-04-20,La Crosse,Wisconsin,55063.0,25,0.0
78397,2020-04-21,La Crosse,Wisconsin,55063.0,25,0.0
81190,2020-04-22,La Crosse,Wisconsin,55063.0,25,0.0
83991,2020-04-23,La Crosse,Wisconsin,55063.0,25,0.0
86798,2020-04-24,La Crosse,Wisconsin,55063.0,25,0.0
89614,2020-04-25,La Crosse,Wisconsin,55063.0,26,0.0
92432,2020-04-26,La Crosse,Wisconsin,55063.0,26,0.0
95262,2020-04-27,La Crosse,Wisconsin,55063.0,26,0.0
98107,2020-04-28,La Crosse,Wisconsin,55063.0,27,0.0
100957,2020-04-29,La Crosse,Wisconsin,55063.0,27,0.0
103812,2020-04-30,La Crosse,Wisconsin,55063.0,28,0.0
106676,2020-05-01,La Crosse,Wisconsin,55063.0,28,0.0
109545,2020-05-02,La Crosse,Wisconsin,55063.0,29,0.0
112420,2020-05-03,La Crosse,Wisconsin,55063.0,29,0.0
115303,2020-05-04,La Crosse,Wisconsin,55063.0,31,0.0
118262,2020-05-05,La Crosse,Wisconsin,55063.0,32,0.0
121228,2020-05-06,La Crosse,Wisconsin,55063.0,32,0.0
124208,2020-05-07,La Crosse,Wisconsin,55063.0,32,0.0
127193,2020-05-08,La Crosse,Wisconsin,55063.0,32,0.0
130183,2020-05-09,La Crosse,Wisconsin,55063.0,32,0.0
133173,2020-05-10,La Crosse,Wisconsin,55063.0,33,0.0
136163,2020-05-11,La Crosse,Wisconsin,55063.0,32,0.0
139154,2020-05-12,La Crosse,Wisconsin,55063.0,34,0.0
142150,2020-05-13,La Crosse,Wisconsin,55063.0,34,0.0
145148,2020-05-14,La Crosse,Wisconsin,55063.0,37,0.0
148151,2020-05-15,La Crosse,Wisconsin,55063.0,42,0.0
151160,2020-05-16,La Crosse,Wisconsin,55063.0,44,0.0
154172,2020-05-17,La Crosse,Wisconsin,55063.0,45,0.0
157188,2020-05-18,La Crosse,Wisconsin,55063.0,45,0.0
160212,2020-05-19,La Crosse,Wisconsin,55063.0,47,0.0
163240,2020-05-20,La Crosse,Wisconsin,55063.0,47,0.0
166269,2020-05-21,La Crosse,Wisconsin,55063.0,47,0.0
169305,2020-05-22,La Crosse,Wisconsin,55063.0,48,0.0
172346,2020-05-23,La Crosse,Wisconsin,55063.0,48,0.0
175389,2020-05-24,La Crosse,Wisconsin,55063.0,47,0.0
178434,2020-05-25,La Crosse,Wisconsin,55063.0,48,0.0
181478,2020-05-26,La Crosse,Wisconsin,55063.0,51,0.0
184529,2020-05-27,La Crosse,Wisconsin,55063.0,51,0.0
187586,2020-05-28,La Crosse,Wisconsin,55063.0,51,0.0
190650,2020-05-29,La Crosse,Wisconsin,55063.0,53,0.0
193716,2020-05-30,La Crosse,Wisconsin,55063.0,53,0.0
196786,2020-05-31,La Crosse,Wisconsin,55063.0,53,0.0
199859,2020-06-01,La Crosse,Wisconsin,55063.0,53,0.0
202935,2020-06-02,La Crosse,Wisconsin,55063.0,55,0.0
206014,2020-06-03,La Crosse,Wisconsin,55063.0,58,0.0
209096,2020-06-04,La Crosse,Wisconsin,55063.0,64,0.0
212181,2020-06-05,La Crosse,Wisconsin,55063.0,68,0.0
215268,2020-06-06,La Crosse,Wisconsin,55063.0,68,0.0
218358,2020-06-07,La Crosse,Wisconsin,55063.0,69,0.0
221450,2020-06-08,La Crosse,Wisconsin,55063.0,70,0.0
224546,2020-06-09,La Crosse,Wisconsin,55063.0,77,0.0
227646,2020-06-10,La Crosse,Wisconsin,55063.0,81,0.0
230750,2020-06-11,La Crosse,Wisconsin,55063.0,94,0.0
233855,2020-06-12,La Crosse,Wisconsin,55063.0,100,0.0
236962,2020-06-13,La Crosse,Wisconsin,55063.0,110,0.0
240070,2020-06-14,La Crosse,Wisconsin,55063.0,116,0.0
243181,2020-06-15,La Crosse,Wisconsin,55063.0,123,0.0
246294,2020-06-16,La Crosse,Wisconsin,55063.0,132,0.0
249406,2020-06-17,La Crosse,Wisconsin,55063.0,152,0.0
252521,2020-06-18,La Crosse,Wisconsin,55063.0,179,0.0
255640,2020-06-19,La Crosse,Wisconsin,55063.0,203,0.0
258767,2020-06-20,La Crosse,Wisconsin,55063.0,229,0.0
261894,2020-06-21,La Crosse,Wisconsin,55063.0,250,0.0
265023,2020-06-22,La Crosse,Wisconsin,55063.0,274,0.0
268152,2020-06-23,La Crosse,Wisconsin,55063.0,294,0.0
271286,2020-06-24,La Crosse,Wisconsin,55063.0,316,0.0
274426,2020-06-25,La Crosse,Wisconsin,55063.0,343,0.0
277574,2020-06-26,La Crosse,Wisconsin,55063.0,371,0.0
280722,2020-06-27,La Crosse,Wisconsin,55063.0,396,0.0
283868,2020-06-28,La Crosse,Wisconsin,55063.0,403,0.0
287014,2020-06-29,La Crosse,Wisconsin,55063.0,404,0.0
290164,2020-06-30,La Crosse,Wisconsin,55063.0,432,0.0
293317,2020-07-01,La Crosse,Wisconsin,55063.0,455,0.0
296472,2020-07-02,La Crosse,Wisconsin,55063.0,492,0.0
299634,2020-07-03,La Crosse,Wisconsin,55063.0,497,0.0
302798,2020-07-04,La Crosse,Wisconsin,55063.0,510,0.0
305962,2020-07-05,La Crosse,Wisconsin,55063.0,515,0.0
309131,2020-07-06,La Crosse,Wisconsin,55063.0,519,0.0
312300,2020-07-07,La Crosse,Wisconsin,55063.0,524,0.0
315475,2020-07-08,La Crosse,Wisconsin,55063.0,540,0.0
318648,2020-07-09,La Crosse,Wisconsin,55063.0,556,0.0
321827,2020-07-10,La Crosse,Wisconsin,55063.0,565,0.0
325008,2020-07-11,La Crosse,Wisconsin,55063.0,582,0.0
328194,2020-07-12,La Crosse,Wisconsin,55063.0,586,0.0
331380,2020-07-13,La Crosse,Wisconsin,55063.0,591,0.0
