date,county,state,fips,cases,deaths
2020-03-18,LaSalle,Illinois,17099.0,1,0.0
2020-03-19,LaSalle,Illinois,17099.0,1,0.0
2020-03-20,LaSalle,Illinois,17099.0,1,0.0
2020-03-21,LaSalle,Illinois,17099.0,1,0.0
2020-03-22,LaSalle,Illinois,17099.0,1,0.0
2020-03-23,LaSalle,Illinois,17099.0,2,0.0
2020-03-24,LaSalle,Illinois,17099.0,3,0.0
2020-03-25,LaSalle,Illinois,17099.0,3,0.0
2020-03-26,LaSalle,Illinois,17099.0,3,0.0
2020-03-26,LaSalle,Louisiana,22059.0,1,0.0
2020-03-27,LaSalle,Illinois,17099.0,3,0.0
2020-03-27,LaSalle,Louisiana,22059.0,1,0.0
2020-03-28,LaSalle,Illinois,17099.0,4,1.0
2020-03-28,LaSalle,Louisiana,22059.0,2,0.0
2020-03-29,LaSalle,Illinois,17099.0,4,2.0
2020-03-29,LaSalle,Louisiana,22059.0,2,0.0
2020-03-30,LaSalle,Illinois,17099.0,5,2.0
2020-03-30,LaSalle,Louisiana,22059.0,2,0.0
2020-03-31,LaSalle,Illinois,17099.0,6,1.0
2020-03-31,LaSalle,Louisiana,22059.0,2,0.0
2020-04-01,LaSalle,Illinois,17099.0,6,1.0
2020-04-01,LaSalle,Louisiana,22059.0,2,0.0
2020-04-02,LaSalle,Illinois,17099.0,6,1.0
2020-04-02,LaSalle,Louisiana,22059.0,2,0.0
2020-04-03,LaSalle,Illinois,17099.0,6,1.0
2020-04-03,LaSalle,Louisiana,22059.0,2,0.0
2020-04-04,LaSalle,Illinois,17099.0,7,1.0
2020-04-04,LaSalle,Louisiana,22059.0,4,0.0
2020-04-05,LaSalle,Illinois,17099.0,8,1.0
2020-04-05,LaSalle,Louisiana,22059.0,4,0.0
2020-04-06,LaSalle,Illinois,17099.0,11,1.0
2020-04-06,LaSalle,Louisiana,22059.0,6,0.0
2020-04-07,LaSalle,Illinois,17099.0,15,1.0
2020-04-07,LaSalle,Louisiana,22059.0,6,0.0
2020-04-08,LaSalle,Illinois,17099.0,17,1.0
2020-04-08,LaSalle,Louisiana,22059.0,8,0.0
2020-04-09,LaSalle,Illinois,17099.0,17,1.0
2020-04-09,LaSalle,Louisiana,22059.0,9,0.0
2020-04-10,LaSalle,Illinois,17099.0,19,1.0
2020-04-10,LaSalle,Louisiana,22059.0,9,0.0
2020-04-11,LaSalle,Illinois,17099.0,18,1.0
2020-04-11,LaSalle,Louisiana,22059.0,10,0.0
2020-04-12,LaSalle,Illinois,17099.0,20,1.0
2020-04-12,LaSalle,Louisiana,22059.0,11,0.0
2020-04-13,LaSalle,Illinois,17099.0,21,1.0
2020-04-13,LaSalle,Louisiana,22059.0,13,0.0
2020-04-14,LaSalle,Illinois,17099.0,23,1.0
2020-04-14,LaSalle,Louisiana,22059.0,13,0.0
2020-04-15,LaSalle,Illinois,17099.0,24,1.0
2020-04-15,LaSalle,Louisiana,22059.0,13,0.0
2020-04-16,LaSalle,Illinois,17099.0,25,1.0
2020-04-16,LaSalle,Louisiana,22059.0,13,0.0
2020-04-17,LaSalle,Illinois,17099.0,27,1.0
2020-04-17,LaSalle,Louisiana,22059.0,13,0.0
2020-04-18,LaSalle,Illinois,17099.0,27,1.0
2020-04-18,LaSalle,Louisiana,22059.0,13,0.0
2020-04-19,LaSalle,Illinois,17099.0,28,1.0
2020-04-19,LaSalle,Louisiana,22059.0,13,0.0
2020-04-20,LaSalle,Illinois,17099.0,30,1.0
2020-04-20,LaSalle,Louisiana,22059.0,14,0.0
2020-04-21,LaSalle,Illinois,17099.0,33,1.0
2020-04-21,LaSalle,Louisiana,22059.0,14,0.0
2020-04-22,LaSalle,Illinois,17099.0,38,1.0
2020-04-22,LaSalle,Louisiana,22059.0,15,0.0
2020-04-23,LaSalle,Illinois,17099.0,39,1.0
2020-04-23,LaSalle,Louisiana,22059.0,15,0.0
2020-04-24,LaSalle,Illinois,17099.0,42,1.0
2020-04-24,LaSalle,Louisiana,22059.0,17,0.0
2020-04-25,LaSalle,Illinois,17099.0,43,1.0
2020-04-25,LaSalle,Louisiana,22059.0,18,0.0
2020-04-26,LaSalle,Illinois,17099.0,44,1.0
2020-04-26,LaSalle,Louisiana,22059.0,19,0.0
2020-04-27,LaSalle,Illinois,17099.0,46,1.0
2020-04-27,LaSalle,Louisiana,22059.0,21,0.0
2020-04-28,LaSalle,Illinois,17099.0,49,1.0
2020-04-28,LaSalle,Louisiana,22059.0,21,0.0
2020-04-29,LaSalle,Illinois,17099.0,49,1.0
2020-04-29,LaSalle,Louisiana,22059.0,22,0.0
2020-04-30,LaSalle,Illinois,17099.0,53,1.0
2020-04-30,LaSalle,Louisiana,22059.0,23,0.0
2020-05-01,LaSalle,Illinois,17099.0,54,1.0
2020-05-01,LaSalle,Louisiana,22059.0,26,0.0
2020-05-02,LaSalle,Illinois,17099.0,65,1.0
2020-05-02,LaSalle,Louisiana,22059.0,26,0.0
2020-05-03,LaSalle,Illinois,17099.0,67,1.0
2020-05-03,LaSalle,Louisiana,22059.0,26,0.0
2020-05-04,LaSalle,Illinois,17099.0,70,1.0
2020-05-04,LaSalle,Louisiana,22059.0,27,0.0
2020-05-05,LaSalle,Illinois,17099.0,69,1.0
2020-05-05,LaSalle,Louisiana,22059.0,27,0.0
2020-05-06,LaSalle,Illinois,17099.0,84,2.0
2020-05-06,LaSalle,Louisiana,22059.0,29,0.0
2020-05-07,LaSalle,Illinois,17099.0,91,2.0
2020-05-07,LaSalle,Louisiana,22059.0,30,0.0
2020-05-08,LaSalle,Illinois,17099.0,93,3.0
2020-05-08,LaSalle,Louisiana,22059.0,31,0.0
2020-05-09,LaSalle,Illinois,17099.0,102,5.0
2020-05-09,LaSalle,Louisiana,22059.0,33,0.0
2020-05-10,LaSalle,Illinois,17099.0,105,5.0
2020-05-10,LaSalle,Louisiana,22059.0,33,0.0
2020-05-11,LaSalle,Illinois,17099.0,105,5.0
2020-05-11,LaSalle,Louisiana,22059.0,33,0.0
2020-05-12,LaSalle,Illinois,17099.0,106,5.0
2020-05-12,LaSalle,Louisiana,22059.0,33,0.0
2020-05-13,LaSalle,Illinois,17099.0,111,5.0
2020-05-13,LaSalle,Louisiana,22059.0,35,0.0
2020-05-14,LaSalle,Illinois,17099.0,113,5.0
2020-05-14,LaSalle,Louisiana,22059.0,35,0.0
2020-05-15,LaSalle,Illinois,17099.0,117,7.0
2020-05-15,LaSalle,Louisiana,22059.0,36,0.0
2020-05-16,LaSalle,Illinois,17099.0,121,8.0
2020-05-16,LaSalle,Louisiana,22059.0,37,0.0
2020-05-17,LaSalle,Illinois,17099.0,120,8.0
2020-05-17,LaSalle,Louisiana,22059.0,40,0.0
2020-05-18,LaSalle,Illinois,17099.0,121,8.0
2020-05-18,LaSalle,Louisiana,22059.0,40,0.0
2020-05-19,LaSalle,Illinois,17099.0,121,8.0
2020-05-19,LaSalle,Louisiana,22059.0,40,0.0
2020-05-20,LaSalle,Illinois,17099.0,130,8.0
2020-05-20,LaSalle,Louisiana,22059.0,40,0.0
2020-05-21,LaSalle,Illinois,17099.0,129,8.0
2020-05-21,LaSalle,Louisiana,22059.0,45,1.0
2020-05-22,LaSalle,Illinois,17099.0,130,10.0
2020-05-22,LaSalle,Louisiana,22059.0,45,1.0
2020-05-23,LaSalle,Illinois,17099.0,134,10.0
2020-05-23,LaSalle,Louisiana,22059.0,45,0.0
2020-05-24,LaSalle,Illinois,17099.0,139,10.0
2020-05-24,LaSalle,Louisiana,22059.0,45,0.0
2020-05-25,LaSalle,Illinois,17099.0,140,12.0
2020-05-25,LaSalle,Louisiana,22059.0,47,0.0
2020-05-26,LaSalle,Illinois,17099.0,140,13.0
2020-05-26,LaSalle,Louisiana,22059.0,47,0.0
2020-05-27,LaSalle,Illinois,17099.0,140,13.0
2020-05-27,LaSalle,Louisiana,22059.0,48,0.0
2020-05-28,LaSalle,Illinois,17099.0,141,13.0
2020-05-28,LaSalle,Louisiana,22059.0,48,0.0
2020-05-29,LaSalle,Illinois,17099.0,147,13.0
2020-05-29,LaSalle,Louisiana,22059.0,48,0.0
2020-05-30,LaSalle,Illinois,17099.0,150,13.0
2020-05-30,LaSalle,Louisiana,22059.0,51,0.0
2020-05-31,LaSalle,Illinois,17099.0,153,13.0
2020-05-31,LaSalle,Louisiana,22059.0,51,0.0
2020-06-01,LaSalle,Illinois,17099.0,153,13.0
2020-06-01,LaSalle,Louisiana,22059.0,52,0.0
2020-06-02,LaSalle,Illinois,17099.0,154,14.0
2020-06-02,LaSalle,Louisiana,22059.0,53,1.0
2020-06-03,LaSalle,Illinois,17099.0,157,14.0
2020-06-03,LaSalle,Louisiana,22059.0,53,0.0
2020-06-04,LaSalle,Illinois,17099.0,159,16.0
2020-06-04,LaSalle,Louisiana,22059.0,56,0.0
2020-06-05,LaSalle,Illinois,17099.0,160,16.0
2020-06-05,LaSalle,Louisiana,22059.0,58,0.0
2020-06-06,LaSalle,Illinois,17099.0,160,16.0
2020-06-06,LaSalle,Louisiana,22059.0,59,0.0
2020-06-07,LaSalle,Illinois,17099.0,164,16.0
2020-06-07,LaSalle,Louisiana,22059.0,61,0.0
2020-06-08,LaSalle,Illinois,17099.0,166,16.0
2020-06-08,LaSalle,Louisiana,22059.0,63,0.0
