,date,county,state,fips,cases,deaths
17416,2020-03-28,Lamb,Texas,48279.0,1,0.0
19371,2020-03-29,Lamb,Texas,48279.0,1,0.0
21431,2020-03-30,Lamb,Texas,48279.0,1,0.0
23570,2020-03-31,Lamb,Texas,48279.0,1,0.0
25781,2020-04-01,Lamb,Texas,48279.0,1,0.0
28066,2020-04-02,Lamb,Texas,48279.0,1,0.0
30401,2020-04-03,Lamb,Texas,48279.0,1,0.0
32796,2020-04-04,Lamb,Texas,48279.0,1,0.0
35234,2020-04-05,Lamb,Texas,48279.0,1,0.0
37710,2020-04-06,Lamb,Texas,48279.0,1,0.0
40238,2020-04-07,Lamb,Texas,48279.0,1,0.0
42806,2020-04-08,Lamb,Texas,48279.0,1,0.0
45396,2020-04-09,Lamb,Texas,48279.0,1,0.0
48017,2020-04-10,Lamb,Texas,48279.0,1,0.0
50675,2020-04-11,Lamb,Texas,48279.0,1,0.0
53350,2020-04-12,Lamb,Texas,48279.0,1,0.0
56038,2020-04-13,Lamb,Texas,48279.0,1,0.0
58743,2020-04-14,Lamb,Texas,48279.0,2,0.0
61461,2020-04-15,Lamb,Texas,48279.0,2,0.0
64189,2020-04-16,Lamb,Texas,48279.0,2,0.0
66936,2020-04-17,Lamb,Texas,48279.0,2,0.0
69696,2020-04-18,Lamb,Texas,48279.0,2,0.0
72465,2020-04-19,Lamb,Texas,48279.0,2,0.0
75241,2020-04-20,Lamb,Texas,48279.0,2,0.0
78023,2020-04-21,Lamb,Texas,48279.0,2,0.0
80814,2020-04-22,Lamb,Texas,48279.0,2,0.0
83615,2020-04-23,Lamb,Texas,48279.0,2,0.0
86420,2020-04-24,Lamb,Texas,48279.0,2,0.0
89235,2020-04-25,Lamb,Texas,48279.0,2,0.0
92052,2020-04-26,Lamb,Texas,48279.0,2,0.0
94881,2020-04-27,Lamb,Texas,48279.0,3,0.0
97721,2020-04-28,Lamb,Texas,48279.0,3,0.0
100571,2020-04-29,Lamb,Texas,48279.0,3,0.0
103426,2020-04-30,Lamb,Texas,48279.0,3,0.0
106290,2020-05-01,Lamb,Texas,48279.0,3,0.0
109159,2020-05-02,Lamb,Texas,48279.0,4,0.0
112033,2020-05-03,Lamb,Texas,48279.0,4,0.0
114915,2020-05-04,Lamb,Texas,48279.0,4,0.0
117874,2020-05-05,Lamb,Texas,48279.0,4,0.0
120838,2020-05-06,Lamb,Texas,48279.0,4,0.0
123817,2020-05-07,Lamb,Texas,48279.0,5,0.0
126801,2020-05-08,Lamb,Texas,48279.0,5,0.0
129790,2020-05-09,Lamb,Texas,48279.0,5,0.0
132780,2020-05-10,Lamb,Texas,48279.0,7,0.0
135771,2020-05-11,Lamb,Texas,48279.0,7,0.0
138761,2020-05-12,Lamb,Texas,48279.0,8,0.0
141757,2020-05-13,Lamb,Texas,48279.0,8,0.0
144754,2020-05-14,Lamb,Texas,48279.0,10,0.0
147758,2020-05-15,Lamb,Texas,48279.0,10,0.0
150766,2020-05-16,Lamb,Texas,48279.0,11,0.0
153777,2020-05-17,Lamb,Texas,48279.0,11,0.0
156794,2020-05-18,Lamb,Texas,48279.0,11,0.0
159816,2020-05-19,Lamb,Texas,48279.0,11,0.0
162844,2020-05-20,Lamb,Texas,48279.0,11,0.0
165873,2020-05-21,Lamb,Texas,48279.0,11,0.0
168909,2020-05-22,Lamb,Texas,48279.0,11,0.0
171949,2020-05-23,Lamb,Texas,48279.0,15,0.0
174992,2020-05-24,Lamb,Texas,48279.0,15,0.0
178036,2020-05-25,Lamb,Texas,48279.0,15,0.0
181080,2020-05-26,Lamb,Texas,48279.0,15,0.0
184130,2020-05-27,Lamb,Texas,48279.0,16,0.0
187187,2020-05-28,Lamb,Texas,48279.0,16,0.0
190251,2020-05-29,Lamb,Texas,48279.0,16,0.0
193317,2020-05-30,Lamb,Texas,48279.0,16,0.0
196387,2020-05-31,Lamb,Texas,48279.0,16,0.0
199460,2020-06-01,Lamb,Texas,48279.0,16,0.0
202536,2020-06-02,Lamb,Texas,48279.0,16,0.0
205615,2020-06-03,Lamb,Texas,48279.0,16,0.0
208697,2020-06-04,Lamb,Texas,48279.0,16,0.0
211781,2020-06-05,Lamb,Texas,48279.0,16,0.0
214868,2020-06-06,Lamb,Texas,48279.0,17,0.0
217958,2020-06-07,Lamb,Texas,48279.0,17,0.0
221050,2020-06-08,Lamb,Texas,48279.0,17,0.0
224145,2020-06-09,Lamb,Texas,48279.0,17,0.0
227245,2020-06-10,Lamb,Texas,48279.0,18,0.0
230349,2020-06-11,Lamb,Texas,48279.0,18,0.0
233453,2020-06-12,Lamb,Texas,48279.0,17,0.0
236559,2020-06-13,Lamb,Texas,48279.0,18,0.0
239667,2020-06-14,Lamb,Texas,48279.0,18,0.0
242777,2020-06-15,Lamb,Texas,48279.0,18,0.0
245889,2020-06-16,Lamb,Texas,48279.0,20,0.0
249002,2020-06-17,Lamb,Texas,48279.0,25,0.0
252117,2020-06-18,Lamb,Texas,48279.0,28,0.0
255232,2020-06-19,Lamb,Texas,48279.0,29,0.0
258359,2020-06-20,Lamb,Texas,48279.0,29,0.0
261486,2020-06-21,Lamb,Texas,48279.0,29,0.0
264614,2020-06-22,Lamb,Texas,48279.0,31,0.0
267742,2020-06-23,Lamb,Texas,48279.0,32,0.0
270876,2020-06-24,Lamb,Texas,48279.0,32,0.0
274016,2020-06-25,Lamb,Texas,48279.0,33,0.0
277164,2020-06-26,Lamb,Texas,48279.0,33,0.0
280312,2020-06-27,Lamb,Texas,48279.0,36,0.0
283458,2020-06-28,Lamb,Texas,48279.0,36,0.0
286604,2020-06-29,Lamb,Texas,48279.0,36,0.0
289754,2020-06-30,Lamb,Texas,48279.0,37,0.0
292907,2020-07-01,Lamb,Texas,48279.0,41,0.0
296062,2020-07-02,Lamb,Texas,48279.0,44,0.0
299223,2020-07-03,Lamb,Texas,48279.0,50,0.0
302387,2020-07-04,Lamb,Texas,48279.0,50,0.0
305551,2020-07-05,Lamb,Texas,48279.0,50,0.0
308719,2020-07-06,Lamb,Texas,48279.0,50,0.0
