date,county,state,fips,cases,deaths
2020-03-17,Lane,Oregon,41039.0,2,1.0
2020-03-18,Lane,Oregon,41039.0,2,1.0
2020-03-19,Lane,Oregon,41039.0,2,1.0
2020-03-20,Lane,Oregon,41039.0,2,1.0
2020-03-21,Lane,Oregon,41039.0,3,1.0
2020-03-22,Lane,Oregon,41039.0,4,1.0
2020-03-23,Lane,Oregon,41039.0,4,1.0
2020-03-24,Lane,Oregon,41039.0,4,1.0
2020-03-25,Lane,Oregon,41039.0,5,1.0
2020-03-26,Lane,Oregon,41039.0,7,1.0
2020-03-27,Lane,Oregon,41039.0,9,1.0
2020-03-28,Lane,Oregon,41039.0,9,1.0
2020-03-29,Lane,Oregon,41039.0,10,1.0
2020-03-30,Lane,Oregon,41039.0,12,1.0
2020-03-31,Lane,Oregon,41039.0,16,1.0
2020-04-01,Lane,Oregon,41039.0,18,1.0
2020-04-02,Lane,Oregon,41039.0,21,1.0
2020-04-03,Lane,Oregon,41039.0,21,1.0
2020-04-04,Lane,Oregon,41039.0,24,1.0
2020-04-05,Lane,Oregon,41039.0,27,1.0
2020-04-06,Lane,Oregon,41039.0,29,1.0
2020-04-07,Lane,Oregon,41039.0,30,1.0
2020-04-08,Lane,Oregon,41039.0,31,1.0
2020-04-09,Lane,Oregon,41039.0,33,1.0
2020-04-10,Lane,Oregon,41039.0,34,1.0
2020-04-11,Lane,Oregon,41039.0,35,1.0
2020-04-12,Lane,Oregon,41039.0,37,1.0
2020-04-13,Lane,Oregon,41039.0,41,1.0
2020-04-14,Lane,Oregon,41039.0,42,1.0
2020-04-15,Lane,Oregon,41039.0,44,1.0
2020-04-16,Lane,Oregon,41039.0,45,1.0
2020-04-17,Lane,Oregon,41039.0,46,1.0
2020-04-18,Lane,Oregon,41039.0,46,1.0
2020-04-19,Lane,Oregon,41039.0,48,1.0
2020-04-20,Lane,Oregon,41039.0,48,1.0
2020-04-21,Lane,Oregon,41039.0,48,1.0
2020-04-22,Lane,Oregon,41039.0,48,1.0
2020-04-23,Lane,Oregon,41039.0,48,1.0
2020-04-24,Lane,Oregon,41039.0,50,1.0
2020-04-25,Lane,Oregon,41039.0,50,2.0
2020-04-26,Lane,Oregon,41039.0,50,2.0
2020-04-27,Lane,Oregon,41039.0,50,2.0
2020-04-28,Lane,Oregon,41039.0,50,2.0
2020-04-29,Lane,Oregon,41039.0,50,2.0
2020-04-30,Lane,Oregon,41039.0,50,2.0
2020-05-01,Lane,Oregon,41039.0,50,2.0
2020-05-02,Lane,Oregon,41039.0,54,2.0
2020-05-03,Lane,Oregon,41039.0,54,2.0
2020-05-04,Lane,Oregon,41039.0,55,2.0
2020-05-05,Lane,Oregon,41039.0,55,2.0
2020-05-06,Lane,Oregon,41039.0,57,2.0
2020-05-07,Lane,Oregon,41039.0,57,2.0
2020-05-08,Lane,Oregon,41039.0,59,2.0
2020-05-09,Lane,Oregon,41039.0,60,2.0
2020-05-10,Lane,Oregon,41039.0,60,2.0
2020-05-11,Lane,Oregon,41039.0,60,2.0
2020-05-12,Lane,Oregon,41039.0,61,2.0
2020-05-13,Lane,Oregon,41039.0,61,2.0
2020-05-14,Lane,Oregon,41039.0,61,2.0
2020-05-15,Lane,Oregon,41039.0,61,2.0
2020-05-16,Lane,Oregon,41039.0,64,2.0
2020-05-17,Lane,Oregon,41039.0,64,2.0
2020-05-18,Lane,Oregon,41039.0,65,2.0
2020-05-19,Lane,Oregon,41039.0,65,2.0
2020-05-20,Lane,Oregon,41039.0,66,2.0
2020-05-21,Lane,Oregon,41039.0,66,2.0
2020-05-22,Lane,Kansas,20101.0,1,0.0
2020-05-22,Lane,Oregon,41039.0,66,2.0
2020-05-23,Lane,Kansas,20101.0,1,0.0
2020-05-23,Lane,Oregon,41039.0,67,2.0
2020-05-24,Lane,Kansas,20101.0,1,0.0
2020-05-24,Lane,Oregon,41039.0,67,2.0
2020-05-25,Lane,Kansas,20101.0,3,0.0
2020-05-25,Lane,Oregon,41039.0,67,2.0
2020-05-26,Lane,Kansas,20101.0,3,0.0
2020-05-26,Lane,Oregon,41039.0,67,2.0
2020-05-27,Lane,Kansas,20101.0,3,0.0
2020-05-27,Lane,Oregon,41039.0,67,2.0
2020-05-28,Lane,Kansas,20101.0,3,0.0
2020-05-28,Lane,Oregon,41039.0,67,2.0
2020-05-29,Lane,Kansas,20101.0,3,0.0
2020-05-29,Lane,Oregon,41039.0,68,2.0
2020-05-30,Lane,Kansas,20101.0,3,0.0
2020-05-30,Lane,Oregon,41039.0,69,3.0
2020-05-31,Lane,Kansas,20101.0,3,0.0
2020-05-31,Lane,Oregon,41039.0,73,3.0
2020-06-01,Lane,Kansas,20101.0,3,0.0
2020-06-01,Lane,Oregon,41039.0,77,3.0
2020-06-02,Lane,Kansas,20101.0,3,0.0
2020-06-02,Lane,Oregon,41039.0,77,3.0
2020-06-03,Lane,Kansas,20101.0,4,0.0
2020-06-03,Lane,Oregon,41039.0,77,3.0
2020-06-04,Lane,Kansas,20101.0,4,0.0
2020-06-04,Lane,Oregon,41039.0,80,3.0
2020-06-05,Lane,Kansas,20101.0,4,0.0
2020-06-05,Lane,Oregon,41039.0,80,3.0
2020-06-06,Lane,Kansas,20101.0,4,0.0
2020-06-06,Lane,Oregon,41039.0,80,3.0
2020-06-07,Lane,Kansas,20101.0,4,0.0
2020-06-07,Lane,Oregon,41039.0,80,3.0
2020-06-08,Lane,Kansas,20101.0,4,0.0
2020-06-08,Lane,Oregon,41039.0,81,3.0
2020-06-09,Lane,Kansas,20101.0,4,0.0
2020-06-09,Lane,Oregon,41039.0,81,3.0
2020-06-10,Lane,Kansas,20101.0,4,0.0
2020-06-10,Lane,Oregon,41039.0,82,3.0
2020-06-11,Lane,Kansas,20101.0,4,0.0
2020-06-11,Lane,Oregon,41039.0,85,3.0
2020-06-12,Lane,Kansas,20101.0,4,0.0
2020-06-12,Lane,Oregon,41039.0,85,3.0
2020-06-13,Lane,Kansas,20101.0,4,0.0
2020-06-13,Lane,Oregon,41039.0,88,3.0
2020-06-14,Lane,Kansas,20101.0,4,0.0
2020-06-14,Lane,Oregon,41039.0,89,3.0
2020-06-15,Lane,Kansas,20101.0,4,0.0
2020-06-15,Lane,Oregon,41039.0,89,3.0
2020-06-16,Lane,Kansas,20101.0,4,0.0
2020-06-16,Lane,Oregon,41039.0,90,3.0
2020-06-17,Lane,Kansas,20101.0,4,0.0
2020-06-17,Lane,Oregon,41039.0,90,3.0
2020-06-18,Lane,Kansas,20101.0,4,0.0
2020-06-18,Lane,Oregon,41039.0,90,3.0
2020-06-19,Lane,Kansas,20101.0,5,0.0
2020-06-19,Lane,Oregon,41039.0,93,3.0
2020-06-20,Lane,Kansas,20101.0,5,0.0
2020-06-20,Lane,Oregon,41039.0,93,3.0
2020-06-21,Lane,Kansas,20101.0,5,0.0
2020-06-21,Lane,Oregon,41039.0,102,3.0
2020-06-22,Lane,Kansas,20101.0,5,0.0
2020-06-22,Lane,Oregon,41039.0,106,3.0
2020-06-23,Lane,Kansas,20101.0,5,0.0
2020-06-23,Lane,Oregon,41039.0,107,3.0
2020-06-24,Lane,Kansas,20101.0,5,0.0
2020-06-24,Lane,Oregon,41039.0,107,3.0
2020-06-25,Lane,Kansas,20101.0,5,0.0
2020-06-25,Lane,Oregon,41039.0,112,3.0
2020-06-26,Lane,Kansas,20101.0,5,0.0
2020-06-26,Lane,Oregon,41039.0,122,3.0
2020-06-27,Lane,Kansas,20101.0,5,0.0
2020-06-27,Lane,Oregon,41039.0,136,3.0
2020-06-28,Lane,Kansas,20101.0,5,0.0
2020-06-28,Lane,Oregon,41039.0,139,3.0
2020-06-29,Lane,Kansas,20101.0,5,0.0
2020-06-29,Lane,Oregon,41039.0,145,3.0
2020-06-30,Lane,Kansas,20101.0,5,0.0
2020-06-30,Lane,Oregon,41039.0,151,3.0
2020-07-01,Lane,Kansas,20101.0,5,0.0
2020-07-01,Lane,Oregon,41039.0,165,3.0
2020-07-02,Lane,Kansas,20101.0,5,0.0
2020-07-02,Lane,Oregon,41039.0,180,3.0
2020-07-03,Lane,Kansas,20101.0,5,0.0
2020-07-03,Lane,Oregon,41039.0,196,3.0
2020-07-04,Lane,Kansas,20101.0,5,0.0
2020-07-04,Lane,Oregon,41039.0,208,3.0
2020-07-05,Lane,Kansas,20101.0,5,0.0
2020-07-05,Lane,Oregon,41039.0,218,3.0
2020-07-06,Lane,Kansas,20101.0,5,0.0
2020-07-06,Lane,Oregon,41039.0,228,3.0
2020-07-07,Lane,Kansas,20101.0,5,0.0
2020-07-07,Lane,Oregon,41039.0,243,3.0
2020-07-08,Lane,Kansas,20101.0,5,0.0
2020-07-08,Lane,Oregon,41039.0,253,3.0
2020-07-09,Lane,Kansas,20101.0,5,0.0
2020-07-09,Lane,Oregon,41039.0,271,3.0
2020-07-10,Lane,Kansas,20101.0,5,0.0
2020-07-10,Lane,Oregon,41039.0,281,3.0
2020-07-11,Lane,Kansas,20101.0,5,0.0
2020-07-11,Lane,Oregon,41039.0,294,3.0
2020-07-12,Lane,Kansas,20101.0,5,0.0
2020-07-12,Lane,Oregon,41039.0,305,3.0
2020-07-13,Lane,Kansas,20101.0,5,0.0
2020-07-13,Lane,Oregon,41039.0,309,3.0
2020-07-14,Lane,Kansas,20101.0,5,0.0
2020-07-14,Lane,Oregon,41039.0,317,3.0
2020-07-15,Lane,Kansas,20101.0,5,0.0
2020-07-15,Lane,Oregon,41039.0,324,3.0
2020-07-16,Lane,Kansas,20101.0,5,0.0
2020-07-16,Lane,Oregon,41039.0,336,3.0
2020-07-17,Lane,Kansas,20101.0,5,0.0
2020-07-17,Lane,Oregon,41039.0,346,3.0
2020-07-18,Lane,Kansas,20101.0,5,0.0
2020-07-18,Lane,Oregon,41039.0,384,3.0
2020-07-19,Lane,Kansas,20101.0,5,0.0
2020-07-19,Lane,Oregon,41039.0,394,3.0
2020-07-20,Lane,Kansas,20101.0,5,0.0
2020-07-20,Lane,Oregon,41039.0,398,3.0
2020-07-21,Lane,Kansas,20101.0,5,0.0
2020-07-21,Lane,Oregon,41039.0,401,3.0
2020-07-22,Lane,Kansas,20101.0,5,0.0
2020-07-22,Lane,Oregon,41039.0,407,3.0
2020-07-23,Lane,Kansas,20101.0,5,0.0
2020-07-23,Lane,Oregon,41039.0,419,3.0
2020-07-24,Lane,Kansas,20101.0,5,0.0
2020-07-24,Lane,Oregon,41039.0,435,3.0
2020-07-25,Lane,Kansas,20101.0,5,0.0
2020-07-25,Lane,Oregon,41039.0,440,3.0
2020-07-26,Lane,Kansas,20101.0,5,0.0
2020-07-26,Lane,Oregon,41039.0,448,3.0
2020-07-27,Lane,Kansas,20101.0,5,0.0
2020-07-27,Lane,Oregon,41039.0,455,3.0
2020-07-28,Lane,Kansas,20101.0,5,0.0
2020-07-28,Lane,Oregon,41039.0,461,3.0
2020-07-29,Lane,Kansas,20101.0,5,0.0
2020-07-29,Lane,Oregon,41039.0,474,3.0
2020-07-30,Lane,Kansas,20101.0,5,0.0
2020-07-30,Lane,Oregon,41039.0,484,3.0
2020-07-31,Lane,Kansas,20101.0,5,0.0
2020-07-31,Lane,Oregon,41039.0,501,3.0
2020-08-01,Lane,Kansas,20101.0,5,0.0
2020-08-01,Lane,Oregon,41039.0,511,3.0
2020-08-02,Lane,Kansas,20101.0,5,0.0
2020-08-02,Lane,Oregon,41039.0,518,3.0
2020-08-03,Lane,Kansas,20101.0,5,0.0
2020-08-03,Lane,Oregon,41039.0,523,3.0
2020-08-04,Lane,Kansas,20101.0,5,0.0
2020-08-04,Lane,Oregon,41039.0,535,3.0
2020-08-05,Lane,Kansas,20101.0,5,0.0
2020-08-05,Lane,Oregon,41039.0,540,3.0
2020-08-06,Lane,Kansas,20101.0,5,0.0
2020-08-06,Lane,Oregon,41039.0,552,3.0
2020-08-07,Lane,Kansas,20101.0,5,0.0
2020-08-07,Lane,Oregon,41039.0,565,3.0
2020-08-08,Lane,Kansas,20101.0,5,0.0
2020-08-08,Lane,Oregon,41039.0,579,3.0
2020-08-09,Lane,Kansas,20101.0,5,0.0
2020-08-09,Lane,Oregon,41039.0,585,3.0
2020-08-10,Lane,Kansas,20101.0,5,0.0
2020-08-10,Lane,Oregon,41039.0,590,3.0
