date,county,state,fips,cases,deaths
2020-04-03,Las Animas,Colorado,8071.0,1,0.0
2020-04-04,Las Animas,Colorado,8071.0,1,0.0
2020-04-05,Las Animas,Colorado,8071.0,1,0.0
2020-04-06,Las Animas,Colorado,8071.0,1,0.0
2020-04-07,Las Animas,Colorado,8071.0,1,0.0
2020-04-08,Las Animas,Colorado,8071.0,1,0.0
2020-04-09,Las Animas,Colorado,8071.0,2,0.0
2020-04-10,Las Animas,Colorado,8071.0,2,0.0
2020-04-11,Las Animas,Colorado,8071.0,2,0.0
2020-04-12,Las Animas,Colorado,8071.0,2,0.0
2020-04-13,Las Animas,Colorado,8071.0,2,0.0
2020-04-14,Las Animas,Colorado,8071.0,2,0.0
2020-04-15,Las Animas,Colorado,8071.0,2,0.0
2020-04-16,Las Animas,Colorado,8071.0,3,0.0
2020-04-17,Las Animas,Colorado,8071.0,3,0.0
2020-04-18,Las Animas,Colorado,8071.0,3,0.0
2020-04-19,Las Animas,Colorado,8071.0,3,0.0
2020-04-20,Las Animas,Colorado,8071.0,3,0.0
2020-04-21,Las Animas,Colorado,8071.0,3,0.0
2020-04-22,Las Animas,Colorado,8071.0,3,0.0
2020-04-23,Las Animas,Colorado,8071.0,3,0.0
2020-04-24,Las Animas,Colorado,8071.0,3,0.0
2020-04-25,Las Animas,Colorado,8071.0,3,0.0
2020-04-26,Las Animas,Colorado,8071.0,3,0.0
2020-04-27,Las Animas,Colorado,8071.0,3,0.0
2020-04-28,Las Animas,Colorado,8071.0,3,0.0
2020-04-29,Las Animas,Colorado,8071.0,3,0.0
2020-04-30,Las Animas,Colorado,8071.0,3,0.0
2020-05-01,Las Animas,Colorado,8071.0,3,0.0
2020-05-02,Las Animas,Colorado,8071.0,3,0.0
2020-05-03,Las Animas,Colorado,8071.0,3,0.0
2020-05-04,Las Animas,Colorado,8071.0,3,0.0
2020-05-05,Las Animas,Colorado,8071.0,4,0.0
2020-05-06,Las Animas,Colorado,8071.0,4,0.0
2020-05-07,Las Animas,Colorado,8071.0,4,0.0
2020-05-08,Las Animas,Colorado,8071.0,4,0.0
2020-05-09,Las Animas,Colorado,8071.0,4,0.0
2020-05-10,Las Animas,Colorado,8071.0,4,0.0
2020-05-11,Las Animas,Colorado,8071.0,4,0.0
2020-05-12,Las Animas,Colorado,8071.0,4,0.0
2020-05-13,Las Animas,Colorado,8071.0,4,0.0
2020-05-14,Las Animas,Colorado,8071.0,4,0.0
2020-05-15,Las Animas,Colorado,8071.0,4,0.0
2020-05-16,Las Animas,Colorado,8071.0,4,0.0
2020-05-17,Las Animas,Colorado,8071.0,4,0.0
2020-05-18,Las Animas,Colorado,8071.0,4,0.0
2020-05-19,Las Animas,Colorado,8071.0,4,0.0
2020-05-20,Las Animas,Colorado,8071.0,4,0.0
2020-05-21,Las Animas,Colorado,8071.0,4,0.0
2020-05-22,Las Animas,Colorado,8071.0,5,0.0
2020-05-23,Las Animas,Colorado,8071.0,5,0.0
2020-05-24,Las Animas,Colorado,8071.0,5,0.0
2020-05-25,Las Animas,Colorado,8071.0,5,0.0
2020-05-26,Las Animas,Colorado,8071.0,5,0.0
2020-05-27,Las Animas,Colorado,8071.0,5,0.0
2020-05-28,Las Animas,Colorado,8071.0,5,0.0
2020-05-29,Las Animas,Colorado,8071.0,5,0.0
2020-05-30,Las Animas,Colorado,8071.0,5,0.0
2020-05-31,Las Animas,Colorado,8071.0,5,0.0
2020-06-01,Las Animas,Colorado,8071.0,5,0.0
2020-06-02,Las Animas,Colorado,8071.0,5,0.0
2020-06-03,Las Animas,Colorado,8071.0,5,0.0
2020-06-04,Las Animas,Colorado,8071.0,5,0.0
2020-06-05,Las Animas,Colorado,8071.0,5,0.0
2020-06-06,Las Animas,Colorado,8071.0,5,0.0
2020-06-07,Las Animas,Colorado,8071.0,5,0.0
2020-06-08,Las Animas,Colorado,8071.0,5,0.0
2020-06-09,Las Animas,Colorado,8071.0,6,0.0
2020-06-10,Las Animas,Colorado,8071.0,6,0.0
2020-06-11,Las Animas,Colorado,8071.0,6,0.0
2020-06-12,Las Animas,Colorado,8071.0,6,0.0
2020-06-13,Las Animas,Colorado,8071.0,6,0.0
2020-06-14,Las Animas,Colorado,8071.0,6,0.0
2020-06-15,Las Animas,Colorado,8071.0,7,0.0
2020-06-16,Las Animas,Colorado,8071.0,7,0.0
2020-06-17,Las Animas,Colorado,8071.0,7,0.0
2020-06-18,Las Animas,Colorado,8071.0,7,0.0
2020-06-19,Las Animas,Colorado,8071.0,7,0.0
2020-06-20,Las Animas,Colorado,8071.0,7,0.0
2020-06-21,Las Animas,Colorado,8071.0,8,0.0
2020-06-22,Las Animas,Colorado,8071.0,8,0.0
2020-06-23,Las Animas,Colorado,8071.0,7,0.0
2020-06-24,Las Animas,Colorado,8071.0,8,0.0
2020-06-25,Las Animas,Colorado,8071.0,7,0.0
2020-06-26,Las Animas,Colorado,8071.0,7,0.0
2020-06-27,Las Animas,Colorado,8071.0,7,0.0
2020-06-28,Las Animas,Colorado,8071.0,7,0.0
2020-06-29,Las Animas,Colorado,8071.0,7,0.0
2020-06-30,Las Animas,Colorado,8071.0,9,0.0
2020-07-01,Las Animas,Colorado,8071.0,9,0.0
2020-07-02,Las Animas,Colorado,8071.0,9,0.0
2020-07-03,Las Animas,Colorado,8071.0,9,0.0
2020-07-04,Las Animas,Colorado,8071.0,9,0.0
2020-07-05,Las Animas,Colorado,8071.0,9,0.0
2020-07-06,Las Animas,Colorado,8071.0,9,0.0
2020-07-07,Las Animas,Colorado,8071.0,9,0.0
2020-07-08,Las Animas,Colorado,8071.0,9,0.0
2020-07-09,Las Animas,Colorado,8071.0,10,0.0
2020-07-10,Las Animas,Colorado,8071.0,9,0.0
2020-07-11,Las Animas,Colorado,8071.0,9,0.0
2020-07-12,Las Animas,Colorado,8071.0,10,0.0
2020-07-13,Las Animas,Colorado,8071.0,10,0.0
2020-07-14,Las Animas,Colorado,8071.0,10,0.0
2020-07-15,Las Animas,Colorado,8071.0,11,0.0
2020-07-16,Las Animas,Colorado,8071.0,11,0.0
2020-07-17,Las Animas,Colorado,8071.0,11,0.0
2020-07-18,Las Animas,Colorado,8071.0,11,0.0
2020-07-19,Las Animas,Colorado,8071.0,11,0.0
2020-07-20,Las Animas,Colorado,8071.0,11,0.0
2020-07-21,Las Animas,Colorado,8071.0,11,0.0
2020-07-22,Las Animas,Colorado,8071.0,11,0.0
2020-07-23,Las Animas,Colorado,8071.0,13,0.0
2020-07-24,Las Animas,Colorado,8071.0,13,0.0
2020-07-25,Las Animas,Colorado,8071.0,13,0.0
2020-07-26,Las Animas,Colorado,8071.0,13,0.0
2020-07-27,Las Animas,Colorado,8071.0,13,0.0
2020-07-28,Las Animas,Colorado,8071.0,14,0.0
2020-07-29,Las Animas,Colorado,8071.0,14,0.0
2020-07-30,Las Animas,Colorado,8071.0,15,0.0
2020-07-31,Las Animas,Colorado,8071.0,15,0.0
2020-08-01,Las Animas,Colorado,8071.0,15,0.0
2020-08-02,Las Animas,Colorado,8071.0,15,0.0
2020-08-03,Las Animas,Colorado,8071.0,15,0.0
2020-08-04,Las Animas,Colorado,8071.0,15,0.0
2020-08-05,Las Animas,Colorado,8071.0,15,0.0
2020-08-06,Las Animas,Colorado,8071.0,15,0.0
2020-08-07,Las Animas,Colorado,8071.0,15,0.0
2020-08-08,Las Animas,Colorado,8071.0,17,0.0
2020-08-09,Las Animas,Colorado,8071.0,17,0.0
2020-08-10,Las Animas,Colorado,8071.0,17,0.0
2020-08-11,Las Animas,Colorado,8071.0,18,0.0
2020-08-12,Las Animas,Colorado,8071.0,18,0.0
2020-08-13,Las Animas,Colorado,8071.0,18,0.0
2020-08-14,Las Animas,Colorado,8071.0,18,0.0
2020-08-15,Las Animas,Colorado,8071.0,18,0.0
2020-08-16,Las Animas,Colorado,8071.0,18,0.0
2020-08-17,Las Animas,Colorado,8071.0,18,0.0
2020-08-18,Las Animas,Colorado,8071.0,19,0.0
2020-08-19,Las Animas,Colorado,8071.0,19,0.0
2020-08-20,Las Animas,Colorado,8071.0,19,0.0
2020-08-21,Las Animas,Colorado,8071.0,19,0.0
2020-08-22,Las Animas,Colorado,8071.0,19,0.0
2020-08-23,Las Animas,Colorado,8071.0,19,0.0
2020-08-24,Las Animas,Colorado,8071.0,19,0.0
2020-08-25,Las Animas,Colorado,8071.0,19,0.0
2020-08-26,Las Animas,Colorado,8071.0,19,0.0
2020-08-27,Las Animas,Colorado,8071.0,20,0.0
2020-08-28,Las Animas,Colorado,8071.0,20,0.0
2020-08-29,Las Animas,Colorado,8071.0,20,0.0
2020-08-30,Las Animas,Colorado,8071.0,20,0.0
2020-08-31,Las Animas,Colorado,8071.0,20,0.0
2020-09-01,Las Animas,Colorado,8071.0,20,0.0
2020-09-02,Las Animas,Colorado,8071.0,20,0.0
2020-09-03,Las Animas,Colorado,8071.0,20,0.0
2020-09-04,Las Animas,Colorado,8071.0,20,0.0
2020-09-05,Las Animas,Colorado,8071.0,20,0.0
2020-09-06,Las Animas,Colorado,8071.0,20,0.0
2020-09-07,Las Animas,Colorado,8071.0,20,0.0
2020-09-08,Las Animas,Colorado,8071.0,20,0.0
2020-09-09,Las Animas,Colorado,8071.0,20,0.0
2020-09-10,Las Animas,Colorado,8071.0,20,0.0
2020-09-11,Las Animas,Colorado,8071.0,21,0.0
2020-09-12,Las Animas,Colorado,8071.0,21,0.0
2020-09-13,Las Animas,Colorado,8071.0,21,0.0
2020-09-14,Las Animas,Colorado,8071.0,21,0.0
2020-09-15,Las Animas,Colorado,8071.0,21,0.0
2020-09-16,Las Animas,Colorado,8071.0,21,0.0
2020-09-17,Las Animas,Colorado,8071.0,21,0.0
2020-09-18,Las Animas,Colorado,8071.0,21,0.0
2020-09-19,Las Animas,Colorado,8071.0,21,0.0
2020-09-20,Las Animas,Colorado,8071.0,21,0.0
2020-09-21,Las Animas,Colorado,8071.0,21,0.0
2020-09-22,Las Animas,Colorado,8071.0,21,0.0
2020-09-23,Las Animas,Colorado,8071.0,21,0.0
2020-09-24,Las Animas,Colorado,8071.0,23,0.0
2020-09-25,Las Animas,Colorado,8071.0,23,0.0
2020-09-26,Las Animas,Colorado,8071.0,24,0.0
2020-09-27,Las Animas,Colorado,8071.0,25,0.0
2020-09-28,Las Animas,Colorado,8071.0,25,0.0
2020-09-29,Las Animas,Colorado,8071.0,25,0.0
2020-09-30,Las Animas,Colorado,8071.0,25,0.0
2020-10-01,Las Animas,Colorado,8071.0,25,0.0
2020-10-02,Las Animas,Colorado,8071.0,25,0.0
2020-10-03,Las Animas,Colorado,8071.0,25,0.0
2020-10-04,Las Animas,Colorado,8071.0,25,0.0
2020-10-05,Las Animas,Colorado,8071.0,25,0.0
2020-10-06,Las Animas,Colorado,8071.0,25,0.0
2020-10-07,Las Animas,Colorado,8071.0,25,0.0
2020-10-08,Las Animas,Colorado,8071.0,27,0.0
2020-10-09,Las Animas,Colorado,8071.0,28,0.0
2020-10-10,Las Animas,Colorado,8071.0,28,0.0
2020-10-11,Las Animas,Colorado,8071.0,28,0.0
2020-10-12,Las Animas,Colorado,8071.0,28,0.0
2020-10-13,Las Animas,Colorado,8071.0,28,0.0
2020-10-14,Las Animas,Colorado,8071.0,30,0.0
2020-10-15,Las Animas,Colorado,8071.0,31,0.0
2020-10-16,Las Animas,Colorado,8071.0,33,1.0
2020-10-17,Las Animas,Colorado,8071.0,37,1.0
2020-10-18,Las Animas,Colorado,8071.0,44,1.0
2020-10-19,Las Animas,Colorado,8071.0,50,1.0
2020-10-20,Las Animas,Colorado,8071.0,57,1.0
2020-10-21,Las Animas,Colorado,8071.0,65,1.0
2020-10-22,Las Animas,Colorado,8071.0,65,1.0
2020-10-23,Las Animas,Colorado,8071.0,66,1.0
2020-10-24,Las Animas,Colorado,8071.0,69,1.0
2020-10-25,Las Animas,Colorado,8071.0,69,1.0
2020-10-26,Las Animas,Colorado,8071.0,70,1.0
2020-10-27,Las Animas,Colorado,8071.0,70,1.0
