date,county,state,fips,cases,deaths
2020-05-05,Las Marias,Puerto Rico,72083.0,5,
2020-05-06,Las Marias,Puerto Rico,72083.0,5,
2020-05-07,Las Marias,Puerto Rico,72083.0,5,
2020-05-08,Las Marias,Puerto Rico,72083.0,5,
2020-05-09,Las Marias,Puerto Rico,72083.0,5,
2020-05-10,Las Marias,Puerto Rico,72083.0,5,
2020-05-11,Las Marias,Puerto Rico,72083.0,6,
2020-05-12,Las Marias,Puerto Rico,72083.0,6,
2020-05-13,Las Marias,Puerto Rico,72083.0,6,
2020-05-14,Las Marias,Puerto Rico,72083.0,6,
2020-05-15,Las Marias,Puerto Rico,72083.0,6,
2020-05-16,Las Marias,Puerto Rico,72083.0,6,
2020-05-17,Las Marias,Puerto Rico,72083.0,6,
2020-05-18,Las Marias,Puerto Rico,72083.0,7,
2020-05-19,Las Marias,Puerto Rico,72083.0,7,
2020-05-20,Las Marias,Puerto Rico,72083.0,9,
2020-05-21,Las Marias,Puerto Rico,72083.0,9,
2020-05-22,Las Marias,Puerto Rico,72083.0,9,
2020-05-23,Las Marias,Puerto Rico,72083.0,10,
2020-05-24,Las Marias,Puerto Rico,72083.0,11,
2020-05-25,Las Marias,Puerto Rico,72083.0,11,
2020-05-26,Las Marias,Puerto Rico,72083.0,11,
2020-05-27,Las Marias,Puerto Rico,72083.0,11,
2020-05-28,Las Marias,Puerto Rico,72083.0,11,
2020-05-29,Las Marias,Puerto Rico,72083.0,12,
2020-05-30,Las Marias,Puerto Rico,72083.0,12,
2020-05-31,Las Marias,Puerto Rico,72083.0,12,
2020-06-01,Las Marias,Puerto Rico,72083.0,11,
2020-06-02,Las Marias,Puerto Rico,72083.0,11,
2020-06-03,Las Marias,Puerto Rico,72083.0,11,
2020-06-04,Las Marias,Puerto Rico,72083.0,11,
2020-06-05,Las Marias,Puerto Rico,72083.0,11,
2020-06-06,Las Marias,Puerto Rico,72083.0,12,
2020-06-07,Las Marias,Puerto Rico,72083.0,13,
2020-06-08,Las Marias,Puerto Rico,72083.0,13,
2020-06-09,Las Marias,Puerto Rico,72083.0,13,
2020-06-10,Las Marias,Puerto Rico,72083.0,13,
2020-06-11,Las Marias,Puerto Rico,72083.0,13,
2020-06-12,Las Marias,Puerto Rico,72083.0,13,
2020-06-13,Las Marias,Puerto Rico,72083.0,13,
2020-06-14,Las Marias,Puerto Rico,72083.0,13,
2020-06-15,Las Marias,Puerto Rico,72083.0,13,
2020-06-16,Las Marias,Puerto Rico,72083.0,13,
2020-06-17,Las Marias,Puerto Rico,72083.0,13,
2020-06-18,Las Marias,Puerto Rico,72083.0,13,
2020-06-19,Las Marias,Puerto Rico,72083.0,13,
2020-06-20,Las Marias,Puerto Rico,72083.0,13,
2020-06-21,Las Marias,Puerto Rico,72083.0,13,
2020-06-22,Las Marias,Puerto Rico,72083.0,13,
2020-06-23,Las Marias,Puerto Rico,72083.0,13,
2020-06-24,Las Marias,Puerto Rico,72083.0,13,
2020-06-25,Las Marias,Puerto Rico,72083.0,18,
2020-06-26,Las Marias,Puerto Rico,72083.0,18,
2020-06-27,Las Marias,Puerto Rico,72083.0,18,
2020-06-28,Las Marias,Puerto Rico,72083.0,18,
2020-06-29,Las Marias,Puerto Rico,72083.0,18,
2020-06-30,Las Marias,Puerto Rico,72083.0,18,
2020-07-01,Las Marias,Puerto Rico,72083.0,18,
2020-07-02,Las Marias,Puerto Rico,72083.0,20,
2020-07-03,Las Marias,Puerto Rico,72083.0,20,
2020-07-04,Las Marias,Puerto Rico,72083.0,20,
2020-07-05,Las Marias,Puerto Rico,72083.0,20,
2020-07-06,Las Marias,Puerto Rico,72083.0,20,
2020-07-07,Las Marias,Puerto Rico,72083.0,20,
2020-07-08,Las Marias,Puerto Rico,72083.0,20,
2020-07-09,Las Marias,Puerto Rico,72083.0,20,
2020-07-10,Las Marias,Puerto Rico,72083.0,26,
2020-07-11,Las Marias,Puerto Rico,72083.0,27,
2020-07-12,Las Marias,Puerto Rico,72083.0,29,
2020-07-13,Las Marias,Puerto Rico,72083.0,29,
2020-07-14,Las Marias,Puerto Rico,72083.0,29,
2020-07-15,Las Marias,Puerto Rico,72083.0,29,
2020-07-16,Las Marias,Puerto Rico,72083.0,29,
2020-07-17,Las Marias,Puerto Rico,72083.0,31,
2020-07-18,Las Marias,Puerto Rico,72083.0,32,
2020-07-19,Las Marias,Puerto Rico,72083.0,33,
2020-07-20,Las Marias,Puerto Rico,72083.0,34,
2020-07-21,Las Marias,Puerto Rico,72083.0,34,
2020-07-22,Las Marias,Puerto Rico,72083.0,34,
2020-07-23,Las Marias,Puerto Rico,72083.0,36,
2020-07-24,Las Marias,Puerto Rico,72083.0,38,
2020-07-25,Las Marias,Puerto Rico,72083.0,42,
2020-07-26,Las Marias,Puerto Rico,72083.0,42,
2020-07-27,Las Marias,Puerto Rico,72083.0,43,
2020-07-28,Las Marias,Puerto Rico,72083.0,43,
2020-07-29,Las Marias,Puerto Rico,72083.0,46,
2020-07-30,Las Marias,Puerto Rico,72083.0,48,
2020-07-31,Las Marias,Puerto Rico,72083.0,48,
2020-08-01,Las Marias,Puerto Rico,72083.0,52,
2020-08-02,Las Marias,Puerto Rico,72083.0,52,
2020-08-03,Las Marias,Puerto Rico,72083.0,54,
2020-08-04,Las Marias,Puerto Rico,72083.0,55,
2020-08-05,Las Marias,Puerto Rico,72083.0,57,
2020-08-06,Las Marias,Puerto Rico,72083.0,58,
2020-08-07,Las Marias,Puerto Rico,72083.0,58,
2020-08-08,Las Marias,Puerto Rico,72083.0,63,
2020-08-09,Las Marias,Puerto Rico,72083.0,70,
2020-08-10,Las Marias,Puerto Rico,72083.0,72,
2020-08-11,Las Marias,Puerto Rico,72083.0,72,
2020-08-12,Las Marias,Puerto Rico,72083.0,72,
2020-08-13,Las Marias,Puerto Rico,72083.0,73,
2020-08-14,Las Marias,Puerto Rico,72083.0,74,
2020-08-15,Las Marias,Puerto Rico,72083.0,76,
2020-08-16,Las Marias,Puerto Rico,72083.0,79,
2020-08-17,Las Marias,Puerto Rico,72083.0,80,
2020-08-18,Las Marias,Puerto Rico,72083.0,80,
2020-08-19,Las Marias,Puerto Rico,72083.0,79,
2020-08-20,Las Marias,Puerto Rico,72083.0,79,
2020-08-21,Las Marias,Puerto Rico,72083.0,80,
2020-08-22,Las Marias,Puerto Rico,72083.0,80,
2020-08-23,Las Marias,Puerto Rico,72083.0,80,
