,date,county,state,fips,cases,deaths
1760,2020-03-13,Leelanau,Michigan,26089.0,1,0.0
2103,2020-03-14,Leelanau,Michigan,26089.0,1,0.0
2506,2020-03-15,Leelanau,Michigan,26089.0,1,0.0
2956,2020-03-16,Leelanau,Michigan,26089.0,1,0.0
3458,2020-03-17,Leelanau,Michigan,26089.0,1,0.0
4041,2020-03-18,Leelanau,Michigan,26089.0,1,0.0
4749,2020-03-19,Leelanau,Michigan,26089.0,1,0.0
5568,2020-03-20,Leelanau,Michigan,26089.0,1,0.0
6533,2020-03-21,Leelanau,Michigan,26089.0,1,0.0
7613,2020-03-22,Leelanau,Michigan,26089.0,1,0.0
8787,2020-03-23,Leelanau,Michigan,26089.0,1,0.0
10080,2020-03-24,Leelanau,Michigan,26089.0,1,0.0
11493,2020-03-25,Leelanau,Michigan,26089.0,1,0.0
13076,2020-03-26,Leelanau,Michigan,26089.0,1,0.0
14788,2020-03-27,Leelanau,Michigan,26089.0,1,0.0
16608,2020-03-28,Leelanau,Michigan,26089.0,1,0.0
18524,2020-03-29,Leelanau,Michigan,26089.0,1,0.0
20543,2020-03-30,Leelanau,Michigan,26089.0,1,0.0
22654,2020-03-31,Leelanau,Michigan,26089.0,1,0.0
24833,2020-04-01,Leelanau,Michigan,26089.0,1,0.0
27086,2020-04-02,Leelanau,Michigan,26089.0,1,0.0
29404,2020-04-03,Leelanau,Michigan,26089.0,1,0.0
31782,2020-04-04,Leelanau,Michigan,26089.0,1,0.0
34207,2020-04-05,Leelanau,Michigan,26089.0,1,0.0
36666,2020-04-06,Leelanau,Michigan,26089.0,2,0.0
39174,2020-04-07,Leelanau,Michigan,26089.0,3,0.0
41726,2020-04-08,Leelanau,Michigan,26089.0,4,0.0
44302,2020-04-09,Leelanau,Michigan,26089.0,4,0.0
46910,2020-04-10,Leelanau,Michigan,26089.0,4,0.0
49554,2020-04-11,Leelanau,Michigan,26089.0,4,0.0
52224,2020-04-12,Leelanau,Michigan,26089.0,4,0.0
54905,2020-04-13,Leelanau,Michigan,26089.0,4,0.0
57603,2020-04-14,Leelanau,Michigan,26089.0,4,0.0
60313,2020-04-15,Leelanau,Michigan,26089.0,5,0.0
63035,2020-04-16,Leelanau,Michigan,26089.0,6,0.0
65773,2020-04-17,Leelanau,Michigan,26089.0,7,0.0
68524,2020-04-18,Leelanau,Michigan,26089.0,7,0.0
71288,2020-04-19,Leelanau,Michigan,26089.0,8,0.0
74060,2020-04-20,Leelanau,Michigan,26089.0,7,0.0
76840,2020-04-21,Leelanau,Michigan,26089.0,7,0.0
79626,2020-04-22,Leelanau,Michigan,26089.0,8,0.0
82421,2020-04-23,Leelanau,Michigan,26089.0,8,0.0
85225,2020-04-24,Leelanau,Michigan,26089.0,8,0.0
88035,2020-04-25,Leelanau,Michigan,26089.0,9,0.0
90851,2020-04-26,Leelanau,Michigan,26089.0,9,0.0
