,date,county,state,fips,cases,deaths
11815,2020-03-25,Lenoir,North Carolina,37107.0,1,0.0
13419,2020-03-26,Lenoir,North Carolina,37107.0,3,0.0
15154,2020-03-27,Lenoir,North Carolina,37107.0,3,0.0
16986,2020-03-28,Lenoir,North Carolina,37107.0,3,0.0
18917,2020-03-29,Lenoir,North Carolina,37107.0,3,0.0
20957,2020-03-30,Lenoir,North Carolina,37107.0,3,0.0
23083,2020-03-31,Lenoir,North Carolina,37107.0,3,0.0
25277,2020-04-01,Lenoir,North Carolina,37107.0,3,0.0
27540,2020-04-02,Lenoir,North Carolina,37107.0,3,0.0
29867,2020-04-03,Lenoir,North Carolina,37107.0,5,0.0
32254,2020-04-04,Lenoir,North Carolina,37107.0,6,0.0
34685,2020-04-05,Lenoir,North Carolina,37107.0,7,0.0
37154,2020-04-06,Lenoir,North Carolina,37107.0,8,0.0
39669,2020-04-07,Lenoir,North Carolina,37107.0,10,0.0
42226,2020-04-08,Lenoir,North Carolina,37107.0,11,0.0
44810,2020-04-09,Lenoir,North Carolina,37107.0,12,0.0
47423,2020-04-10,Lenoir,North Carolina,37107.0,13,0.0
50078,2020-04-11,Lenoir,North Carolina,37107.0,14,0.0
52751,2020-04-12,Lenoir,North Carolina,37107.0,14,0.0
55435,2020-04-13,Lenoir,North Carolina,37107.0,15,0.0
58135,2020-04-14,Lenoir,North Carolina,37107.0,14,0.0
60849,2020-04-15,Lenoir,North Carolina,37107.0,14,0.0
63575,2020-04-16,Lenoir,North Carolina,37107.0,16,0.0
66318,2020-04-17,Lenoir,North Carolina,37107.0,17,0.0
69075,2020-04-18,Lenoir,North Carolina,37107.0,18,0.0
71841,2020-04-19,Lenoir,North Carolina,37107.0,21,0.0
74616,2020-04-20,Lenoir,North Carolina,37107.0,21,0.0
77397,2020-04-21,Lenoir,North Carolina,37107.0,26,0.0
80186,2020-04-22,Lenoir,North Carolina,37107.0,27,0.0
82985,2020-04-23,Lenoir,North Carolina,37107.0,30,1.0
85789,2020-04-24,Lenoir,North Carolina,37107.0,37,1.0
88601,2020-04-25,Lenoir,North Carolina,37107.0,43,3.0
91416,2020-04-26,Lenoir,North Carolina,37107.0,43,3.0
94242,2020-04-27,Lenoir,North Carolina,37107.0,45,3.0
97079,2020-04-28,Lenoir,North Carolina,37107.0,56,3.0
99927,2020-04-29,Lenoir,North Carolina,37107.0,60,3.0
102780,2020-04-30,Lenoir,North Carolina,37107.0,65,3.0
105642,2020-05-01,Lenoir,North Carolina,37107.0,68,4.0
108509,2020-05-02,Lenoir,North Carolina,37107.0,82,4.0
111382,2020-05-03,Lenoir,North Carolina,37107.0,81,4.0
114263,2020-05-04,Lenoir,North Carolina,37107.0,84,4.0
117143,2020-05-05,Lenoir,North Carolina,37107.0,90,4.0
120104,2020-05-06,Lenoir,North Carolina,37107.0,91,4.0
123079,2020-05-07,Lenoir,North Carolina,37107.0,97,4.0
126062,2020-05-08,Lenoir,North Carolina,37107.0,105,4.0
129051,2020-05-09,Lenoir,North Carolina,37107.0,113,4.0
132040,2020-05-10,Lenoir,North Carolina,37107.0,118,4.0
135031,2020-05-11,Lenoir,North Carolina,37107.0,122,4.0
138021,2020-05-12,Lenoir,North Carolina,37107.0,124,4.0
141017,2020-05-13,Lenoir,North Carolina,37107.0,125,5.0
144012,2020-05-14,Lenoir,North Carolina,37107.0,134,5.0
147013,2020-05-15,Lenoir,North Carolina,37107.0,139,5.0
150020,2020-05-16,Lenoir,North Carolina,37107.0,147,5.0
153030,2020-05-17,Lenoir,North Carolina,37107.0,153,5.0
156047,2020-05-18,Lenoir,North Carolina,37107.0,158,5.0
159066,2020-05-19,Lenoir,North Carolina,37107.0,160,5.0
162093,2020-05-20,Lenoir,North Carolina,37107.0,164,7.0
165122,2020-05-21,Lenoir,North Carolina,37107.0,170,7.0
168157,2020-05-22,Lenoir,North Carolina,37107.0,175,7.0
