date,county,state,fips,cases,deaths
2020-03-15,Lincoln,Maine,23015.0,1,0.0
2020-03-15,Lincoln,Washington,53043.0,1,0.0
2020-03-16,Lincoln,Arkansas,5079.0,1,0.0
2020-03-16,Lincoln,Maine,23015.0,2,0.0
2020-03-16,Lincoln,Washington,53043.0,1,0.0
2020-03-17,Lincoln,Arkansas,5079.0,1,0.0
2020-03-17,Lincoln,Maine,23015.0,3,0.0
2020-03-17,Lincoln,Washington,53043.0,1,0.0
2020-03-18,Lincoln,Arkansas,5079.0,1,0.0
2020-03-18,Lincoln,Maine,23015.0,4,0.0
2020-03-18,Lincoln,Nebraska,31111.0,1,0.0
2020-03-18,Lincoln,North Carolina,37109.0,1,0.0
2020-03-18,Lincoln,Washington,53043.0,1,0.0
2020-03-19,Lincoln,Arkansas,5079.0,1,0.0
2020-03-19,Lincoln,Maine,23015.0,4,0.0
2020-03-19,Lincoln,Nebraska,31111.0,3,0.0
2020-03-19,Lincoln,North Carolina,37109.0,1,0.0
2020-03-19,Lincoln,Washington,53043.0,1,0.0
2020-03-20,Lincoln,Arkansas,5079.0,1,0.0
2020-03-20,Lincoln,Georgia,13181.0,1,0.0
2020-03-20,Lincoln,Maine,23015.0,4,0.0
2020-03-20,Lincoln,Nebraska,31111.0,3,0.0
2020-03-20,Lincoln,North Carolina,37109.0,1,0.0
2020-03-20,Lincoln,Washington,53043.0,1,0.0
2020-03-21,Lincoln,Arkansas,5079.0,1,0.0
2020-03-21,Lincoln,Georgia,13181.0,1,0.0
2020-03-21,Lincoln,Maine,23015.0,4,0.0
2020-03-21,Lincoln,Mississippi,28085.0,1,0.0
2020-03-21,Lincoln,Nebraska,31111.0,3,0.0
2020-03-21,Lincoln,North Carolina,37109.0,1,0.0
2020-03-21,Lincoln,Washington,53043.0,1,0.0
2020-03-22,Lincoln,Arkansas,5079.0,1,0.0
2020-03-22,Lincoln,Georgia,13181.0,1,0.0
2020-03-22,Lincoln,Maine,23015.0,4,0.0
2020-03-22,Lincoln,Mississippi,28085.0,4,0.0
2020-03-22,Lincoln,Nebraska,31111.0,3,0.0
2020-03-22,Lincoln,North Carolina,37109.0,1,0.0
2020-03-22,Lincoln,Washington,53043.0,1,0.0
2020-03-23,Lincoln,Arkansas,5079.0,1,0.0
2020-03-23,Lincoln,Georgia,13181.0,1,0.0
2020-03-23,Lincoln,Louisiana,22061.0,2,0.0
2020-03-23,Lincoln,Maine,23015.0,5,0.0
2020-03-23,Lincoln,Mississippi,28085.0,4,0.0
2020-03-23,Lincoln,Nebraska,31111.0,3,0.0
2020-03-23,Lincoln,North Carolina,37109.0,1,0.0
2020-03-23,Lincoln,Washington,53043.0,1,0.0
2020-03-24,Lincoln,Arkansas,5079.0,3,0.0
2020-03-24,Lincoln,Georgia,13181.0,1,0.0
2020-03-24,Lincoln,Louisiana,22061.0,2,0.0
2020-03-24,Lincoln,Maine,23015.0,5,0.0
2020-03-24,Lincoln,Mississippi,28085.0,4,0.0
2020-03-24,Lincoln,Nebraska,31111.0,3,0.0
2020-03-24,Lincoln,North Carolina,37109.0,1,0.0
2020-03-24,Lincoln,Tennessee,47103.0,1,0.0
2020-03-24,Lincoln,Washington,53043.0,1,0.0
2020-03-25,Lincoln,Arkansas,5079.0,4,0.0
2020-03-25,Lincoln,Georgia,13181.0,1,0.0
2020-03-25,Lincoln,Louisiana,22061.0,2,0.0
2020-03-25,Lincoln,Maine,23015.0,5,0.0
2020-03-25,Lincoln,Mississippi,28085.0,4,0.0
2020-03-25,Lincoln,Nebraska,31111.0,3,0.0
2020-03-25,Lincoln,North Carolina,37109.0,1,0.0
2020-03-25,Lincoln,Oregon,41041.0,1,0.0
2020-03-25,Lincoln,South Dakota,46083.0,1,0.0
2020-03-25,Lincoln,Tennessee,47103.0,1,0.0
2020-03-25,Lincoln,Washington,53043.0,1,0.0
2020-03-26,Lincoln,Arkansas,5079.0,5,0.0
2020-03-26,Lincoln,Georgia,13181.0,3,0.0
2020-03-26,Lincoln,Louisiana,22061.0,3,0.0
2020-03-26,Lincoln,Maine,23015.0,5,0.0
2020-03-26,Lincoln,Mississippi,28085.0,6,0.0
2020-03-26,Lincoln,Montana,30053.0,1,0.0
2020-03-26,Lincoln,Nebraska,31111.0,3,0.0
2020-03-26,Lincoln,North Carolina,37109.0,1,0.0
2020-03-26,Lincoln,Oklahoma,40081.0,1,0.0
2020-03-26,Lincoln,Oregon,41041.0,1,0.0
2020-03-26,Lincoln,South Dakota,46083.0,2,0.0
2020-03-26,Lincoln,Tennessee,47103.0,1,0.0
2020-03-26,Lincoln,Washington,53043.0,1,0.0
2020-03-27,Lincoln,Arkansas,5079.0,6,0.0
2020-03-27,Lincoln,Colorado,8073.0,1,0.0
2020-03-27,Lincoln,Georgia,13181.0,3,0.0
2020-03-27,Lincoln,Louisiana,22061.0,7,0.0
2020-03-27,Lincoln,Maine,23015.0,5,0.0
2020-03-27,Lincoln,Minnesota,27081.0,1,0.0
2020-03-27,Lincoln,Mississippi,28085.0,6,0.0
2020-03-27,Lincoln,Missouri,29113.0,2,0.0
2020-03-27,Lincoln,Montana,30053.0,3,1.0
2020-03-27,Lincoln,Nebraska,31111.0,3,0.0
2020-03-27,Lincoln,North Carolina,37109.0,1,0.0
2020-03-27,Lincoln,Oklahoma,40081.0,3,0.0
2020-03-27,Lincoln,Oregon,41041.0,1,0.0
2020-03-27,Lincoln,South Dakota,46083.0,2,0.0
2020-03-27,Lincoln,Tennessee,47103.0,1,0.0
2020-03-27,Lincoln,Washington,53043.0,1,0.0
2020-03-28,Lincoln,Arkansas,5079.0,6,0.0
2020-03-28,Lincoln,Colorado,8073.0,1,0.0
2020-03-28,Lincoln,Georgia,13181.0,3,0.0
2020-03-28,Lincoln,Idaho,16063.0,1,0.0
2020-03-28,Lincoln,Louisiana,22061.0,6,0.0
2020-03-28,Lincoln,Maine,23015.0,5,0.0
2020-03-28,Lincoln,Minnesota,27081.0,1,0.0
2020-03-28,Lincoln,Mississippi,28085.0,8,0.0
2020-03-28,Lincoln,Missouri,29113.0,2,0.0
2020-03-28,Lincoln,Montana,30053.0,3,1.0
