,date,county,state,fips,cases,deaths
1301,2020-03-11,Linn,Oregon,41043.0,2,0.0
1545,2020-03-12,Linn,Oregon,41043.0,8,0.0
1841,2020-03-13,Linn,Oregon,41043.0,8,0.0
2202,2020-03-14,Linn,Oregon,41043.0,9,0.0
2621,2020-03-15,Linn,Oregon,41043.0,10,0.0
3086,2020-03-16,Linn,Oregon,41043.0,10,0.0
3615,2020-03-17,Linn,Oregon,41043.0,15,0.0
4230,2020-03-18,Linn,Oregon,41043.0,15,0.0
4661,2020-03-19,Linn,Kansas,20107.0,1,0.0
4969,2020-03-19,Linn,Oregon,41043.0,17,0.0
5472,2020-03-20,Linn,Kansas,20107.0,1,0.0
5837,2020-03-20,Linn,Oregon,41043.0,19,0.0
6403,2020-03-21,Linn,Iowa,19113.0,3,0.0
6417,2020-03-21,Linn,Kansas,20107.0,1,0.0
6839,2020-03-21,Linn,Oregon,41043.0,19,0.0
7465,2020-03-22,Linn,Iowa,19113.0,4,0.0
7485,2020-03-22,Linn,Kansas,20107.0,1,0.0
7954,2020-03-22,Linn,Oregon,41043.0,19,1.0
8624,2020-03-23,Linn,Iowa,19113.0,6,0.0
8646,2020-03-23,Linn,Kansas,20107.0,2,0.0
9164,2020-03-23,Linn,Oregon,41043.0,20,1.0
9903,2020-03-24,Linn,Iowa,19113.0,6,0.0
9927,2020-03-24,Linn,Kansas,20107.0,2,0.0
10483,2020-03-24,Linn,Oregon,41043.0,20,1.0
11300,2020-03-25,Linn,Iowa,19113.0,7,0.0
11325,2020-03-25,Linn,Kansas,20107.0,2,0.0
11945,2020-03-25,Linn,Oregon,41043.0,25,1.0
12864,2020-03-26,Linn,Iowa,19113.0,12,0.0
12893,2020-03-26,Linn,Kansas,20107.0,4,0.0
13561,2020-03-26,Linn,Oregon,41043.0,26,1.0
14556,2020-03-27,Linn,Iowa,19113.0,22,0.0
14593,2020-03-27,Linn,Kansas,20107.0,4,0.0
15306,2020-03-27,Linn,Oregon,41043.0,28,1.0
16361,2020-03-28,Linn,Iowa,19113.0,36,0.0
16400,2020-03-28,Linn,Kansas,20107.0,4,0.0
17153,2020-03-28,Linn,Oregon,41043.0,32,1.0
18266,2020-03-29,Linn,Iowa,19113.0,42,1.0
18306,2020-03-29,Linn,Kansas,20107.0,5,0.0
19091,2020-03-29,Linn,Oregon,41043.0,36,1.0
20277,2020-03-30,Linn,Iowa,19113.0,71,2.0
20319,2020-03-30,Linn,Kansas,20107.0,5,0.0
21141,2020-03-30,Linn,Oregon,41043.0,36,2.0
22373,2020-03-31,Linn,Iowa,19113.0,90,2.0
22418,2020-03-31,Linn,Kansas,20107.0,5,0.0
23274,2020-03-31,Linn,Oregon,41043.0,37,2.0
24545,2020-04-01,Linn,Iowa,19113.0,94,2.0
24593,2020-04-01,Linn,Kansas,20107.0,5,0.0
25472,2020-04-01,Linn,Oregon,41043.0,37,2.0
26787,2020-04-02,Linn,Iowa,19113.0,105,4.0
26837,2020-04-02,Linn,Kansas,20107.0,5,0.0
27744,2020-04-02,Linn,Oregon,41043.0,37,2.0
29098,2020-04-03,Linn,Iowa,19113.0,118,4.0
29151,2020-04-03,Linn,Kansas,20107.0,5,0.0
