date,county,state,fips,cases,deaths
2020-11-17,Loving,Texas,48301.0,1,0.0
2020-11-18,Loving,Texas,48301.0,1,0.0
2020-11-19,Loving,Texas,48301.0,1,0.0
2020-11-20,Loving,Texas,48301.0,1,0.0
2020-11-21,Loving,Texas,48301.0,1,0.0
2020-11-22,Loving,Texas,48301.0,1,0.0
2020-11-23,Loving,Texas,48301.0,1,0.0
2020-11-24,Loving,Texas,48301.0,1,0.0
2020-11-25,Loving,Texas,48301.0,1,0.0
2020-11-26,Loving,Texas,48301.0,1,0.0
2020-11-27,Loving,Texas,48301.0,1,0.0
2020-11-28,Loving,Texas,48301.0,1,0.0
2020-11-29,Loving,Texas,48301.0,1,0.0
2020-11-30,Loving,Texas,48301.0,1,0.0
2020-12-01,Loving,Texas,48301.0,1,0.0
2020-12-02,Loving,Texas,48301.0,1,0.0
2020-12-03,Loving,Texas,48301.0,1,0.0
2020-12-04,Loving,Texas,48301.0,1,0.0
2020-12-05,Loving,Texas,48301.0,1,0.0
2020-12-06,Loving,Texas,48301.0,1,0.0
2020-12-07,Loving,Texas,48301.0,1,0.0
2020-12-08,Loving,Texas,48301.0,1,0.0
2020-12-09,Loving,Texas,48301.0,1,0.0
2020-12-10,Loving,Texas,48301.0,1,0.0
2020-12-11,Loving,Texas,48301.0,1,0.0
2020-12-12,Loving,Texas,48301.0,1,0.0
2020-12-13,Loving,Texas,48301.0,1,0.0
2020-12-14,Loving,Texas,48301.0,1,0.0
2020-12-15,Loving,Texas,48301.0,1,0.0
2020-12-16,Loving,Texas,48301.0,1,0.0
2020-12-17,Loving,Texas,48301.0,1,0.0
2020-12-18,Loving,Texas,48301.0,1,0.0
2020-12-19,Loving,Texas,48301.0,1,0.0
2020-12-20,Loving,Texas,48301.0,1,0.0
2020-12-21,Loving,Texas,48301.0,1,0.0
2020-12-22,Loving,Texas,48301.0,1,0.0
2020-12-23,Loving,Texas,48301.0,1,0.0
2020-12-24,Loving,Texas,48301.0,1,0.0
2020-12-25,Loving,Texas,48301.0,1,0.0
2020-12-26,Loving,Texas,48301.0,1,0.0
2020-12-27,Loving,Texas,48301.0,1,0.0
2020-12-28,Loving,Texas,48301.0,1,0.0
2020-12-29,Loving,Texas,48301.0,1,0.0
2020-12-30,Loving,Texas,48301.0,1,0.0
2020-12-31,Loving,Texas,48301.0,1,0.0
2021-01-01,Loving,Texas,48301.0,1,0.0
2021-01-02,Loving,Texas,48301.0,1,0.0
2021-01-03,Loving,Texas,48301.0,1,0.0
2021-01-04,Loving,Texas,48301.0,1,0.0
2021-01-05,Loving,Texas,48301.0,1,0.0
2021-01-06,Loving,Texas,48301.0,1,0.0
2021-01-07,Loving,Texas,48301.0,1,0.0
2021-01-08,Loving,Texas,48301.0,1,0.0
2021-01-09,Loving,Texas,48301.0,1,0.0
2021-01-10,Loving,Texas,48301.0,1,0.0
2021-01-11,Loving,Texas,48301.0,1,0.0
2021-01-12,Loving,Texas,48301.0,1,0.0
2021-01-13,Loving,Texas,48301.0,1,0.0
2021-01-14,Loving,Texas,48301.0,1,0.0
2021-01-15,Loving,Texas,48301.0,1,0.0
2021-01-16,Loving,Texas,48301.0,1,0.0
2021-01-17,Loving,Texas,48301.0,1,0.0
2021-01-18,Loving,Texas,48301.0,1,0.0
2021-01-19,Loving,Texas,48301.0,1,0.0
2021-01-20,Loving,Texas,48301.0,1,0.0
2021-01-21,Loving,Texas,48301.0,1,0.0
2021-01-22,Loving,Texas,48301.0,1,0.0
2021-01-23,Loving,Texas,48301.0,1,0.0
2021-01-24,Loving,Texas,48301.0,1,0.0
2021-01-25,Loving,Texas,48301.0,1,0.0
2021-01-26,Loving,Texas,48301.0,1,0.0
2021-01-27,Loving,Texas,48301.0,1,0.0
2021-01-28,Loving,Texas,48301.0,1,0.0
2021-01-29,Loving,Texas,48301.0,1,0.0
2021-01-30,Loving,Texas,48301.0,1,0.0
2021-01-31,Loving,Texas,48301.0,1,0.0
2021-02-01,Loving,Texas,48301.0,1,0.0
2021-02-02,Loving,Texas,48301.0,1,0.0
2021-02-03,Loving,Texas,48301.0,1,0.0
2021-02-04,Loving,Texas,48301.0,1,0.0
2021-02-05,Loving,Texas,48301.0,1,0.0
2021-02-06,Loving,Texas,48301.0,1,0.0
2021-02-07,Loving,Texas,48301.0,1,0.0
2021-02-08,Loving,Texas,48301.0,1,0.0
2021-02-09,Loving,Texas,48301.0,1,0.0
2021-02-10,Loving,Texas,48301.0,1,0.0
2021-02-11,Loving,Texas,48301.0,1,0.0
2021-02-12,Loving,Texas,48301.0,1,0.0
2021-02-13,Loving,Texas,48301.0,1,0.0
2021-02-14,Loving,Texas,48301.0,1,0.0
2021-02-15,Loving,Texas,48301.0,1,0.0
2021-02-16,Loving,Texas,48301.0,1,0.0
2021-02-17,Loving,Texas,48301.0,1,0.0
2021-02-18,Loving,Texas,48301.0,1,0.0
2021-02-19,Loving,Texas,48301.0,1,0.0
2021-02-20,Loving,Texas,48301.0,1,0.0
2021-02-21,Loving,Texas,48301.0,1,0.0
2021-02-22,Loving,Texas,48301.0,1,0.0
2021-02-23,Loving,Texas,48301.0,1,0.0
2021-02-24,Loving,Texas,48301.0,1,0.0
2021-02-25,Loving,Texas,48301.0,1,0.0
2021-02-26,Loving,Texas,48301.0,1,0.0
2021-02-27,Loving,Texas,48301.0,1,0.0
2021-02-28,Loving,Texas,48301.0,1,0.0
2021-03-01,Loving,Texas,48301.0,1,0.0
2021-03-02,Loving,Texas,48301.0,1,0.0
2021-03-03,Loving,Texas,48301.0,1,0.0
2021-03-04,Loving,Texas,48301.0,1,0.0
2021-03-05,Loving,Texas,48301.0,1,0.0
2021-03-06,Loving,Texas,48301.0,1,0.0
2021-03-07,Loving,Texas,48301.0,1,0.0
2021-03-08,Loving,Texas,48301.0,1,0.0
2021-03-09,Loving,Texas,48301.0,1,0.0
2021-03-10,Loving,Texas,48301.0,1,0.0
2021-03-11,Loving,Texas,48301.0,1,0.0
2021-03-12,Loving,Texas,48301.0,1,0.0
2021-03-13,Loving,Texas,48301.0,1,0.0
2021-03-14,Loving,Texas,48301.0,1,0.0
2021-03-15,Loving,Texas,48301.0,1,0.0
2021-03-16,Loving,Texas,48301.0,1,0.0
2021-03-17,Loving,Texas,48301.0,1,0.0
2021-03-18,Loving,Texas,48301.0,1,0.0
2021-03-19,Loving,Texas,48301.0,1,0.0
2021-03-20,Loving,Texas,48301.0,1,0.0
2021-03-21,Loving,Texas,48301.0,1,0.0
2021-03-22,Loving,Texas,48301.0,1,0.0
2021-03-23,Loving,Texas,48301.0,1,0.0
2021-03-24,Loving,Texas,48301.0,1,0.0
2021-03-25,Loving,Texas,48301.0,1,0.0
2021-03-26,Loving,Texas,48301.0,1,0.0
2021-03-27,Loving,Texas,48301.0,1,0.0
2021-03-28,Loving,Texas,48301.0,1,0.0
2021-03-29,Loving,Texas,48301.0,1,0.0
2021-03-30,Loving,Texas,48301.0,1,0.0
2021-03-31,Loving,Texas,48301.0,1,0.0
2021-04-01,Loving,Texas,48301.0,1,0.0
2021-04-02,Loving,Texas,48301.0,1,0.0
2021-04-03,Loving,Texas,48301.0,1,0.0
2021-04-04,Loving,Texas,48301.0,1,0.0
2021-04-05,Loving,Texas,48301.0,1,0.0
2021-04-06,Loving,Texas,48301.0,1,0.0
2021-04-07,Loving,Texas,48301.0,1,0.0
2021-04-08,Loving,Texas,48301.0,1,0.0
2021-04-09,Loving,Texas,48301.0,1,0.0
2021-04-10,Loving,Texas,48301.0,1,0.0
2021-04-11,Loving,Texas,48301.0,1,0.0
2021-04-12,Loving,Texas,48301.0,1,0.0
2021-04-13,Loving,Texas,48301.0,1,0.0
2021-04-14,Loving,Texas,48301.0,1,0.0
2021-04-15,Loving,Texas,48301.0,1,0.0
2021-04-16,Loving,Texas,48301.0,1,0.0
2021-04-17,Loving,Texas,48301.0,1,0.0
2021-04-18,Loving,Texas,48301.0,1,0.0
2021-04-19,Loving,Texas,48301.0,1,0.0
2021-04-20,Loving,Texas,48301.0,1,0.0
2021-04-21,Loving,Texas,48301.0,1,0.0
2021-04-22,Loving,Texas,48301.0,1,0.0
2021-04-23,Loving,Texas,48301.0,1,0.0
2021-04-24,Loving,Texas,48301.0,1,0.0
2021-04-25,Loving,Texas,48301.0,1,0.0
2021-04-26,Loving,Texas,48301.0,1,0.0
2021-04-27,Loving,Texas,48301.0,1,0.0
2021-04-28,Loving,Texas,48301.0,1,0.0
2021-04-29,Loving,Texas,48301.0,1,0.0
2021-04-30,Loving,Texas,48301.0,2,0.0
2021-05-01,Loving,Texas,48301.0,2,0.0
2021-05-02,Loving,Texas,48301.0,2,0.0
2021-05-03,Loving,Texas,48301.0,2,0.0
2021-05-04,Loving,Texas,48301.0,2,0.0
2021-05-05,Loving,Texas,48301.0,2,0.0
2021-05-06,Loving,Texas,48301.0,2,0.0
2021-05-07,Loving,Texas,48301.0,2,0.0
2021-05-08,Loving,Texas,48301.0,2,0.0
2021-05-09,Loving,Texas,48301.0,2,0.0
2021-05-10,Loving,Texas,48301.0,2,0.0
2021-05-11,Loving,Texas,48301.0,2,0.0
2021-05-12,Loving,Texas,48301.0,2,0.0
2021-05-13,Loving,Texas,48301.0,2,0.0
2021-05-14,Loving,Texas,48301.0,2,0.0
2021-05-15,Loving,Texas,48301.0,2,0.0
2021-05-16,Loving,Texas,48301.0,2,0.0
2021-05-17,Loving,Texas,48301.0,2,0.0
2021-05-18,Loving,Texas,48301.0,2,0.0
2021-05-19,Loving,Texas,48301.0,2,0.0
2021-05-20,Loving,Texas,48301.0,2,0.0
2021-05-21,Loving,Texas,48301.0,2,0.0
2021-05-22,Loving,Texas,48301.0,2,0.0
2021-05-23,Loving,Texas,48301.0,2,0.0
2021-05-24,Loving,Texas,48301.0,2,0.0
2021-05-25,Loving,Texas,48301.0,2,0.0
2021-05-26,Loving,Texas,48301.0,2,0.0
2021-05-27,Loving,Texas,48301.0,2,0.0
2021-05-28,Loving,Texas,48301.0,2,0.0
2021-05-29,Loving,Texas,48301.0,2,0.0
2021-05-30,Loving,Texas,48301.0,2,0.0
2021-05-31,Loving,Texas,48301.0,2,0.0
2021-06-01,Loving,Texas,48301.0,2,0.0
2021-06-02,Loving,Texas,48301.0,2,0.0
2021-06-03,Loving,Texas,48301.0,2,0.0
2021-06-04,Loving,Texas,48301.0,2,0.0
2021-06-05,Loving,Texas,48301.0,2,0.0
2021-06-06,Loving,Texas,48301.0,2,0.0
2021-06-07,Loving,Texas,48301.0,2,0.0
2021-06-08,Loving,Texas,48301.0,2,0.0
2021-06-09,Loving,Texas,48301.0,2,0.0
2021-06-10,Loving,Texas,48301.0,2,0.0
2021-06-11,Loving,Texas,48301.0,2,0.0
2021-06-12,Loving,Texas,48301.0,2,0.0
2021-06-13,Loving,Texas,48301.0,2,0.0
2021-06-14,Loving,Texas,48301.0,2,0.0
