date,county,state,fips,cases,deaths
2020-04-03,Luce,Michigan,26095.0,1,0.0
2020-04-04,Luce,Michigan,26095.0,1,0.0
2020-04-05,Luce,Michigan,26095.0,1,0.0
2020-04-06,Luce,Michigan,26095.0,1,0.0
2020-04-07,Luce,Michigan,26095.0,1,0.0
2020-04-08,Luce,Michigan,26095.0,1,0.0
2020-04-09,Luce,Michigan,26095.0,1,0.0
2020-04-10,Luce,Michigan,26095.0,1,0.0
2020-04-11,Luce,Michigan,26095.0,1,0.0
2020-04-12,Luce,Michigan,26095.0,1,0.0
2020-04-13,Luce,Michigan,26095.0,1,0.0
2020-04-14,Luce,Michigan,26095.0,1,0.0
2020-04-15,Luce,Michigan,26095.0,1,0.0
2020-04-16,Luce,Michigan,26095.0,1,0.0
2020-04-17,Luce,Michigan,26095.0,1,0.0
2020-04-18,Luce,Michigan,26095.0,1,0.0
2020-04-19,Luce,Michigan,26095.0,1,0.0
2020-04-20,Luce,Michigan,26095.0,2,0.0
2020-04-21,Luce,Michigan,26095.0,2,0.0
2020-04-22,Luce,Michigan,26095.0,2,0.0
2020-04-23,Luce,Michigan,26095.0,2,0.0
2020-04-24,Luce,Michigan,26095.0,2,0.0
2020-04-25,Luce,Michigan,26095.0,2,0.0
2020-04-26,Luce,Michigan,26095.0,2,0.0
2020-04-27,Luce,Michigan,26095.0,2,0.0
2020-04-28,Luce,Michigan,26095.0,2,0.0
2020-04-29,Luce,Michigan,26095.0,2,0.0
2020-04-30,Luce,Michigan,26095.0,2,0.0
2020-05-01,Luce,Michigan,26095.0,2,0.0
2020-05-02,Luce,Michigan,26095.0,2,0.0
2020-05-03,Luce,Michigan,26095.0,2,0.0
2020-05-04,Luce,Michigan,26095.0,2,0.0
2020-05-05,Luce,Michigan,26095.0,2,0.0
2020-05-06,Luce,Michigan,26095.0,2,0.0
2020-05-07,Luce,Michigan,26095.0,2,0.0
2020-05-08,Luce,Michigan,26095.0,2,0.0
2020-05-09,Luce,Michigan,26095.0,2,0.0
2020-05-10,Luce,Michigan,26095.0,2,0.0
2020-05-11,Luce,Michigan,26095.0,2,0.0
2020-05-12,Luce,Michigan,26095.0,2,0.0
