date,county,state,fips,cases,deaths
2020-05-05,Luquillo,Puerto Rico,72089.0,6,
2020-05-06,Luquillo,Puerto Rico,72089.0,6,
2020-05-07,Luquillo,Puerto Rico,72089.0,6,
2020-05-08,Luquillo,Puerto Rico,72089.0,7,
2020-05-09,Luquillo,Puerto Rico,72089.0,7,
2020-05-10,Luquillo,Puerto Rico,72089.0,7,
2020-05-11,Luquillo,Puerto Rico,72089.0,8,
2020-05-12,Luquillo,Puerto Rico,72089.0,8,
2020-05-13,Luquillo,Puerto Rico,72089.0,8,
2020-05-14,Luquillo,Puerto Rico,72089.0,9,
2020-05-15,Luquillo,Puerto Rico,72089.0,11,
2020-05-16,Luquillo,Puerto Rico,72089.0,11,
2020-05-17,Luquillo,Puerto Rico,72089.0,11,
2020-05-18,Luquillo,Puerto Rico,72089.0,11,
2020-05-19,Luquillo,Puerto Rico,72089.0,12,
2020-05-20,Luquillo,Puerto Rico,72089.0,13,
2020-05-21,Luquillo,Puerto Rico,72089.0,14,
2020-05-22,Luquillo,Puerto Rico,72089.0,15,
2020-05-23,Luquillo,Puerto Rico,72089.0,16,
2020-05-24,Luquillo,Puerto Rico,72089.0,16,
2020-05-25,Luquillo,Puerto Rico,72089.0,18,
2020-05-26,Luquillo,Puerto Rico,72089.0,19,
2020-05-27,Luquillo,Puerto Rico,72089.0,19,
2020-05-28,Luquillo,Puerto Rico,72089.0,19,
2020-05-29,Luquillo,Puerto Rico,72089.0,20,
2020-05-30,Luquillo,Puerto Rico,72089.0,19,
2020-05-31,Luquillo,Puerto Rico,72089.0,19,
2020-06-01,Luquillo,Puerto Rico,72089.0,19,
2020-06-02,Luquillo,Puerto Rico,72089.0,20,
2020-06-03,Luquillo,Puerto Rico,72089.0,20,
2020-06-04,Luquillo,Puerto Rico,72089.0,21,
2020-06-05,Luquillo,Puerto Rico,72089.0,21,
2020-06-06,Luquillo,Puerto Rico,72089.0,25,
2020-06-07,Luquillo,Puerto Rico,72089.0,26,
2020-06-08,Luquillo,Puerto Rico,72089.0,26,
2020-06-09,Luquillo,Puerto Rico,72089.0,26,
2020-06-10,Luquillo,Puerto Rico,72089.0,26,
2020-06-11,Luquillo,Puerto Rico,72089.0,26,
2020-06-12,Luquillo,Puerto Rico,72089.0,30,
2020-06-13,Luquillo,Puerto Rico,72089.0,30,
2020-06-14,Luquillo,Puerto Rico,72089.0,29,
