date,county,state,fips,cases,deaths
2020-03-28,Lynn,Texas,48305.0,1,0.0
2020-03-29,Lynn,Texas,48305.0,1,0.0
2020-03-30,Lynn,Texas,48305.0,2,0.0
2020-03-31,Lynn,Texas,48305.0,2,0.0
2020-04-01,Lynn,Texas,48305.0,2,0.0
2020-04-02,Lynn,Texas,48305.0,3,0.0
2020-04-03,Lynn,Texas,48305.0,3,0.0
2020-04-04,Lynn,Texas,48305.0,3,0.0
2020-04-05,Lynn,Texas,48305.0,3,0.0
2020-04-06,Lynn,Texas,48305.0,3,0.0
2020-04-07,Lynn,Texas,48305.0,3,0.0
2020-04-08,Lynn,Texas,48305.0,3,0.0
2020-04-09,Lynn,Texas,48305.0,3,0.0
2020-04-10,Lynn,Texas,48305.0,5,0.0
2020-04-11,Lynn,Texas,48305.0,5,0.0
2020-04-12,Lynn,Texas,48305.0,5,0.0
2020-04-13,Lynn,Texas,48305.0,5,0.0
2020-04-14,Lynn,Texas,48305.0,5,0.0
2020-04-15,Lynn,Texas,48305.0,5,0.0
2020-04-16,Lynn,Texas,48305.0,5,0.0
2020-04-17,Lynn,Texas,48305.0,5,0.0
2020-04-18,Lynn,Texas,48305.0,5,0.0
2020-04-19,Lynn,Texas,48305.0,5,0.0
2020-04-20,Lynn,Texas,48305.0,5,0.0
2020-04-21,Lynn,Texas,48305.0,5,1.0
2020-04-22,Lynn,Texas,48305.0,5,1.0
2020-04-23,Lynn,Texas,48305.0,5,1.0
2020-04-24,Lynn,Texas,48305.0,5,1.0
2020-04-25,Lynn,Texas,48305.0,5,1.0
2020-04-26,Lynn,Texas,48305.0,5,1.0
2020-04-27,Lynn,Texas,48305.0,5,1.0
2020-04-28,Lynn,Texas,48305.0,5,1.0
2020-04-29,Lynn,Texas,48305.0,5,1.0
2020-04-30,Lynn,Texas,48305.0,5,1.0
2020-05-01,Lynn,Texas,48305.0,5,1.0
2020-05-02,Lynn,Texas,48305.0,5,1.0
2020-05-03,Lynn,Texas,48305.0,5,1.0
2020-05-04,Lynn,Texas,48305.0,5,1.0
2020-05-05,Lynn,Texas,48305.0,5,1.0
2020-05-06,Lynn,Texas,48305.0,5,1.0
2020-05-07,Lynn,Texas,48305.0,5,1.0
2020-05-08,Lynn,Texas,48305.0,5,1.0
2020-05-09,Lynn,Texas,48305.0,5,1.0
2020-05-10,Lynn,Texas,48305.0,5,1.0
2020-05-11,Lynn,Texas,48305.0,5,1.0
2020-05-12,Lynn,Texas,48305.0,5,1.0
2020-05-13,Lynn,Texas,48305.0,5,1.0
2020-05-14,Lynn,Texas,48305.0,5,1.0
2020-05-15,Lynn,Texas,48305.0,5,1.0
2020-05-16,Lynn,Texas,48305.0,5,1.0
2020-05-17,Lynn,Texas,48305.0,5,1.0
2020-05-18,Lynn,Texas,48305.0,5,1.0
2020-05-19,Lynn,Texas,48305.0,5,1.0
2020-05-20,Lynn,Texas,48305.0,5,1.0
2020-05-21,Lynn,Texas,48305.0,5,1.0
2020-05-22,Lynn,Texas,48305.0,5,1.0
2020-05-23,Lynn,Texas,48305.0,5,1.0
2020-05-24,Lynn,Texas,48305.0,5,1.0
2020-05-25,Lynn,Texas,48305.0,5,1.0
2020-05-26,Lynn,Texas,48305.0,5,1.0
2020-05-27,Lynn,Texas,48305.0,6,1.0
2020-05-28,Lynn,Texas,48305.0,6,1.0
2020-05-29,Lynn,Texas,48305.0,7,1.0
2020-05-30,Lynn,Texas,48305.0,7,1.0
2020-05-31,Lynn,Texas,48305.0,7,1.0
2020-06-01,Lynn,Texas,48305.0,7,1.0
2020-06-02,Lynn,Texas,48305.0,7,1.0
2020-06-03,Lynn,Texas,48305.0,7,1.0
2020-06-04,Lynn,Texas,48305.0,8,1.0
2020-06-05,Lynn,Texas,48305.0,8,1.0
2020-06-06,Lynn,Texas,48305.0,8,1.0
2020-06-07,Lynn,Texas,48305.0,8,1.0
2020-06-08,Lynn,Texas,48305.0,8,1.0
2020-06-09,Lynn,Texas,48305.0,8,1.0
2020-06-10,Lynn,Texas,48305.0,10,1.0
2020-06-11,Lynn,Texas,48305.0,14,1.0
2020-06-12,Lynn,Texas,48305.0,14,1.0
2020-06-13,Lynn,Texas,48305.0,19,1.0
2020-06-14,Lynn,Texas,48305.0,19,1.0
