,date,county,state,fips,cases,deaths
1761,2020-03-13,Macomb,Michigan,26099.0,1,0.0
2104,2020-03-14,Macomb,Michigan,26099.0,2,0.0
2507,2020-03-15,Macomb,Michigan,26099.0,5,0.0
2957,2020-03-16,Macomb,Michigan,26099.0,6,0.0
3459,2020-03-17,Macomb,Michigan,26099.0,8,0.0
4042,2020-03-18,Macomb,Michigan,26099.0,10,0.0
4751,2020-03-19,Macomb,Michigan,26099.0,55,0.0
5570,2020-03-20,Macomb,Michigan,26099.0,86,0.0
6535,2020-03-21,Macomb,Michigan,26099.0,101,0.0
7615,2020-03-22,Macomb,Michigan,26099.0,140,1.0
8789,2020-03-23,Macomb,Michigan,26099.0,175,2.0
10082,2020-03-24,Macomb,Michigan,26099.0,225,3.0
11496,2020-03-25,Macomb,Michigan,26099.0,281,7.0
13079,2020-03-26,Macomb,Michigan,26099.0,347,11.0
14791,2020-03-27,Macomb,Michigan,26099.0,404,14.0
16611,2020-03-28,Macomb,Michigan,26099.0,534,17.0
18527,2020-03-29,Macomb,Michigan,26099.0,620,20.0
20546,2020-03-30,Macomb,Michigan,26099.0,728,27.0
22657,2020-03-31,Macomb,Michigan,26099.0,853,38.0
24837,2020-04-01,Macomb,Michigan,26099.0,1088,51.0
27090,2020-04-02,Macomb,Michigan,26099.0,1332,58.0
29409,2020-04-03,Macomb,Michigan,26099.0,1560,65.0
31787,2020-04-04,Macomb,Michigan,26099.0,1838,78.0
34212,2020-04-05,Macomb,Michigan,26099.0,2003,83.0
36671,2020-04-06,Macomb,Michigan,26099.0,2159,100.0
39179,2020-04-07,Macomb,Michigan,26099.0,2414,121.0
41731,2020-04-08,Macomb,Michigan,26099.0,2626,141.0
44307,2020-04-09,Macomb,Michigan,26099.0,2783,165.0
46915,2020-04-10,Macomb,Michigan,26099.0,2973,197.0
49559,2020-04-11,Macomb,Michigan,26099.0,3164,209.0
52229,2020-04-12,Macomb,Michigan,26099.0,3254,217.0
54910,2020-04-13,Macomb,Michigan,26099.0,3418,240.0
57608,2020-04-14,Macomb,Michigan,26099.0,3620,293.0
60318,2020-04-15,Macomb,Michigan,26099.0,3866,330.0
63040,2020-04-16,Macomb,Michigan,26099.0,4069,354.0
65778,2020-04-17,Macomb,Michigan,26099.0,4222,373.0
68529,2020-04-18,Macomb,Michigan,26099.0,4328,384.0
71293,2020-04-19,Macomb,Michigan,26099.0,4439,392.0
74065,2020-04-20,Macomb,Michigan,26099.0,4505,404.0
76845,2020-04-21,Macomb,Michigan,26099.0,4625,446.0
