,date,county,state,fips,cases,deaths
6060,2020-03-20,Marathon,Wisconsin,55073.0,1,0.0
7093,2020-03-21,Marathon,Wisconsin,55073.0,1,0.0
8231,2020-03-22,Marathon,Wisconsin,55073.0,1,0.0
9457,2020-03-23,Marathon,Wisconsin,55073.0,1,0.0
10811,2020-03-24,Marathon,Wisconsin,55073.0,1,0.0
12341,2020-03-25,Marathon,Wisconsin,55073.0,1,0.0
13995,2020-03-26,Marathon,Wisconsin,55073.0,1,0.0
15768,2020-03-27,Marathon,Wisconsin,55073.0,1,0.0
17648,2020-03-28,Marathon,Wisconsin,55073.0,1,0.0
19617,2020-03-29,Marathon,Wisconsin,55073.0,1,0.0
21688,2020-03-30,Marathon,Wisconsin,55073.0,2,0.0
23840,2020-03-31,Marathon,Wisconsin,55073.0,3,0.0
26060,2020-04-01,Marathon,Wisconsin,55073.0,5,0.0
28353,2020-04-02,Marathon,Wisconsin,55073.0,8,0.0
30708,2020-04-03,Marathon,Wisconsin,55073.0,9,0.0
33110,2020-04-04,Marathon,Wisconsin,55073.0,11,0.0
35549,2020-04-05,Marathon,Wisconsin,55073.0,12,0.0
38036,2020-04-06,Marathon,Wisconsin,55073.0,12,0.0
40578,2020-04-07,Marathon,Wisconsin,55073.0,12,0.0
43150,2020-04-08,Marathon,Wisconsin,55073.0,12,0.0
45747,2020-04-09,Marathon,Wisconsin,55073.0,12,0.0
48375,2020-04-10,Marathon,Wisconsin,55073.0,12,0.0
51035,2020-04-11,Marathon,Wisconsin,55073.0,13,1.0
53712,2020-04-12,Marathon,Wisconsin,55073.0,13,1.0
56403,2020-04-13,Marathon,Wisconsin,55073.0,14,1.0
59110,2020-04-14,Marathon,Wisconsin,55073.0,14,1.0
61829,2020-04-15,Marathon,Wisconsin,55073.0,14,1.0
64562,2020-04-16,Marathon,Wisconsin,55073.0,14,1.0
67310,2020-04-17,Marathon,Wisconsin,55073.0,16,1.0
70072,2020-04-18,Marathon,Wisconsin,55073.0,17,1.0
72841,2020-04-19,Marathon,Wisconsin,55073.0,17,1.0
75617,2020-04-20,Marathon,Wisconsin,55073.0,17,1.0
78400,2020-04-21,Marathon,Wisconsin,55073.0,17,1.0
81193,2020-04-22,Marathon,Wisconsin,55073.0,17,1.0
83994,2020-04-23,Marathon,Wisconsin,55073.0,17,1.0
86801,2020-04-24,Marathon,Wisconsin,55073.0,17,1.0
