,date,county,state,fips,cases,deaths
12166,2020-03-25,Maverick,Texas,48323.0,1,0.0
13798,2020-03-26,Maverick,Texas,48323.0,1,0.0
15554,2020-03-27,Maverick,Texas,48323.0,1,0.0
17425,2020-03-28,Maverick,Texas,48323.0,1,0.0
19380,2020-03-29,Maverick,Texas,48323.0,1,0.0
21441,2020-03-30,Maverick,Texas,48323.0,1,0.0
23580,2020-03-31,Maverick,Texas,48323.0,1,0.0
25792,2020-04-01,Maverick,Texas,48323.0,1,0.0
28078,2020-04-02,Maverick,Texas,48323.0,3,0.0
30414,2020-04-03,Maverick,Texas,48323.0,4,0.0
32810,2020-04-04,Maverick,Texas,48323.0,4,0.0
35248,2020-04-05,Maverick,Texas,48323.0,7,0.0
37724,2020-04-06,Maverick,Texas,48323.0,7,0.0
40252,2020-04-07,Maverick,Texas,48323.0,7,0.0
42820,2020-04-08,Maverick,Texas,48323.0,7,0.0
45411,2020-04-09,Maverick,Texas,48323.0,7,0.0
48032,2020-04-10,Maverick,Texas,48323.0,9,0.0
50690,2020-04-11,Maverick,Texas,48323.0,9,0.0
53365,2020-04-12,Maverick,Texas,48323.0,9,0.0
56053,2020-04-13,Maverick,Texas,48323.0,9,0.0
58758,2020-04-14,Maverick,Texas,48323.0,10,0.0
61476,2020-04-15,Maverick,Texas,48323.0,10,0.0
64205,2020-04-16,Maverick,Texas,48323.0,10,0.0
66952,2020-04-17,Maverick,Texas,48323.0,12,0.0
69712,2020-04-18,Maverick,Texas,48323.0,12,0.0
72481,2020-04-19,Maverick,Texas,48323.0,12,0.0
75257,2020-04-20,Maverick,Texas,48323.0,12,0.0
78039,2020-04-21,Maverick,Texas,48323.0,15,0.0
80830,2020-04-22,Maverick,Texas,48323.0,15,0.0
83631,2020-04-23,Maverick,Texas,48323.0,14,0.0
86436,2020-04-24,Maverick,Texas,48323.0,14,0.0
89251,2020-04-25,Maverick,Texas,48323.0,16,0.0
92068,2020-04-26,Maverick,Texas,48323.0,16,0.0
94897,2020-04-27,Maverick,Texas,48323.0,16,0.0
97738,2020-04-28,Maverick,Texas,48323.0,16,0.0
100588,2020-04-29,Maverick,Texas,48323.0,16,0.0
103443,2020-04-30,Maverick,Texas,48323.0,16,0.0
106307,2020-05-01,Maverick,Texas,48323.0,24,0.0
109176,2020-05-02,Maverick,Texas,48323.0,24,0.0
112050,2020-05-03,Maverick,Texas,48323.0,24,0.0
114932,2020-05-04,Maverick,Texas,48323.0,24,0.0
117891,2020-05-05,Maverick,Texas,48323.0,26,0.0
120855,2020-05-06,Maverick,Texas,48323.0,26,0.0
123834,2020-05-07,Maverick,Texas,48323.0,26,0.0
126818,2020-05-08,Maverick,Texas,48323.0,26,0.0
129807,2020-05-09,Maverick,Texas,48323.0,26,0.0
132797,2020-05-10,Maverick,Texas,48323.0,26,0.0
135788,2020-05-11,Maverick,Texas,48323.0,26,0.0
138778,2020-05-12,Maverick,Texas,48323.0,41,0.0
141774,2020-05-13,Maverick,Texas,48323.0,41,0.0
144771,2020-05-14,Maverick,Texas,48323.0,52,0.0
147775,2020-05-15,Maverick,Texas,48323.0,57,0.0
150783,2020-05-16,Maverick,Texas,48323.0,57,0.0
153794,2020-05-17,Maverick,Texas,48323.0,74,0.0
156811,2020-05-18,Maverick,Texas,48323.0,74,0.0
159833,2020-05-19,Maverick,Texas,48323.0,89,0.0
162861,2020-05-20,Maverick,Texas,48323.0,93,1.0
165890,2020-05-21,Maverick,Texas,48323.0,94,1.0
168926,2020-05-22,Maverick,Texas,48323.0,94,1.0
171966,2020-05-23,Maverick,Texas,48323.0,97,1.0
175009,2020-05-24,Maverick,Texas,48323.0,97,1.0
178053,2020-05-25,Maverick,Texas,48323.0,97,1.0
181097,2020-05-26,Maverick,Texas,48323.0,97,1.0
184147,2020-05-27,Maverick,Texas,48323.0,97,1.0
187204,2020-05-28,Maverick,Texas,48323.0,97,1.0
190268,2020-05-29,Maverick,Texas,48323.0,109,1.0
193334,2020-05-30,Maverick,Texas,48323.0,116,1.0
196404,2020-05-31,Maverick,Texas,48323.0,116,1.0
199477,2020-06-01,Maverick,Texas,48323.0,116,1.0
202553,2020-06-02,Maverick,Texas,48323.0,120,1.0
205632,2020-06-03,Maverick,Texas,48323.0,120,1.0
208714,2020-06-04,Maverick,Texas,48323.0,129,1.0
211798,2020-06-05,Maverick,Texas,48323.0,129,1.0
214885,2020-06-06,Maverick,Texas,48323.0,133,2.0
217975,2020-06-07,Maverick,Texas,48323.0,133,2.0
221067,2020-06-08,Maverick,Texas,48323.0,133,2.0
224162,2020-06-09,Maverick,Texas,48323.0,133,2.0
227262,2020-06-10,Maverick,Texas,48323.0,142,2.0
230366,2020-06-11,Maverick,Texas,48323.0,149,2.0
233470,2020-06-12,Maverick,Texas,48323.0,149,2.0
236576,2020-06-13,Maverick,Texas,48323.0,160,2.0
239684,2020-06-14,Maverick,Texas,48323.0,160,2.0
242794,2020-06-15,Maverick,Texas,48323.0,160,2.0
245906,2020-06-16,Maverick,Texas,48323.0,160,2.0
249019,2020-06-17,Maverick,Texas,48323.0,199,2.0
252134,2020-06-18,Maverick,Texas,48323.0,200,2.0
255249,2020-06-19,Maverick,Texas,48323.0,206,2.0
258376,2020-06-20,Maverick,Texas,48323.0,214,2.0
261503,2020-06-21,Maverick,Texas,48323.0,214,2.0
264631,2020-06-22,Maverick,Texas,48323.0,214,2.0
267759,2020-06-23,Maverick,Texas,48323.0,214,2.0
270893,2020-06-24,Maverick,Texas,48323.0,250,2.0
274033,2020-06-25,Maverick,Texas,48323.0,282,2.0
277181,2020-06-26,Maverick,Texas,48323.0,290,2.0
280329,2020-06-27,Maverick,Texas,48323.0,311,2.0
283475,2020-06-28,Maverick,Texas,48323.0,311,2.0
286621,2020-06-29,Maverick,Texas,48323.0,311,2.0
289771,2020-06-30,Maverick,Texas,48323.0,311,2.0
292924,2020-07-01,Maverick,Texas,48323.0,434,3.0
296079,2020-07-02,Maverick,Texas,48323.0,434,3.0
299240,2020-07-03,Maverick,Texas,48323.0,455,5.0
302404,2020-07-04,Maverick,Texas,48323.0,519,5.0
305568,2020-07-05,Maverick,Texas,48323.0,519,5.0
308736,2020-07-06,Maverick,Texas,48323.0,519,5.0
311905,2020-07-07,Maverick,Texas,48323.0,550,5.0
315079,2020-07-08,Maverick,Texas,48323.0,550,5.0
318252,2020-07-09,Maverick,Texas,48323.0,677,6.0
321431,2020-07-10,Maverick,Texas,48323.0,720,7.0
324612,2020-07-11,Maverick,Texas,48323.0,776,7.0
327797,2020-07-12,Maverick,Texas,48323.0,776,7.0
330983,2020-07-13,Maverick,Texas,48323.0,776,7.0
334175,2020-07-14,Maverick,Texas,48323.0,776,7.0
337370,2020-07-15,Maverick,Texas,48323.0,874,12.0
340566,2020-07-16,Maverick,Texas,48323.0,892,13.0
343765,2020-07-17,Maverick,Texas,48323.0,939,13.0
346965,2020-07-18,Maverick,Texas,48323.0,1061,13.0
350165,2020-07-19,Maverick,Texas,48323.0,1169,16.0
353367,2020-07-20,Maverick,Texas,48323.0,1169,16.0
356570,2020-07-21,Maverick,Texas,48323.0,1169,16.0
359775,2020-07-22,Maverick,Texas,48323.0,1283,19.0
362982,2020-07-23,Maverick,Texas,48323.0,1283,19.0
366188,2020-07-24,Maverick,Texas,48323.0,1390,23.0
369397,2020-07-25,Maverick,Texas,48323.0,1390,23.0
372609,2020-07-26,Maverick,Texas,48323.0,1390,23.0
375822,2020-07-27,Maverick,Texas,48323.0,1390,23.0
379038,2020-07-28,Maverick,Texas,48323.0,1390,23.0
382255,2020-07-29,Maverick,Texas,48323.0,1390,26.0
385473,2020-07-30,Maverick,Texas,48323.0,1730,29.0
388690,2020-07-31,Maverick,Texas,48323.0,1802,29.0
391907,2020-08-01,Maverick,Texas,48323.0,1852,29.0
395123,2020-08-02,Maverick,Texas,48323.0,1852,29.0
398339,2020-08-03,Maverick,Texas,48323.0,1852,29.0
401555,2020-08-04,Maverick,Texas,48323.0,1852,29.0
404773,2020-08-05,Maverick,Texas,48323.0,1852,29.0
407993,2020-08-06,Maverick,Texas,48323.0,2210,37.0
411212,2020-08-07,Maverick,Texas,48323.0,2321,38.0
414432,2020-08-08,Maverick,Texas,48323.0,2321,42.0
417653,2020-08-09,Maverick,Texas,48323.0,2321,43.0
420874,2020-08-10,Maverick,Texas,48323.0,2321,43.0
424095,2020-08-11,Maverick,Texas,48323.0,2321,44.0
427319,2020-08-12,Maverick,Texas,48323.0,2321,44.0
430546,2020-08-13,Maverick,Texas,48323.0,2569,45.0
433771,2020-08-14,Maverick,Texas,48323.0,2596,47.0
436997,2020-08-15,Maverick,Texas,48323.0,2596,53.0
440223,2020-08-16,Maverick,Texas,48323.0,2596,54.0
443449,2020-08-17,Maverick,Texas,48323.0,2596,54.0
446676,2020-08-18,Maverick,Texas,48323.0,2596,54.0
449904,2020-08-19,Maverick,Texas,48323.0,2596,57.0
453132,2020-08-20,Maverick,Texas,48323.0,2596,57.0
456360,2020-08-21,Maverick,Texas,48323.0,2596,67.0
459587,2020-08-22,Maverick,Texas,48323.0,3117,67.0
462816,2020-08-23,Maverick,Texas,48323.0,3117,67.0
466045,2020-08-24,Maverick,Texas,48323.0,3117,67.0
469274,2020-08-25,Maverick,Texas,48323.0,3168,67.0
472506,2020-08-26,Maverick,Texas,48323.0,3228,73.0
475739,2020-08-27,Maverick,Texas,48323.0,3248,78.0
478972,2020-08-28,Maverick,Texas,48323.0,3258,78.0
482206,2020-08-29,Maverick,Texas,48323.0,3258,79.0
485441,2020-08-30,Maverick,Texas,48323.0,3258,82.0
488674,2020-08-31,Maverick,Texas,48323.0,3258,82.0
491907,2020-09-01,Maverick,Texas,48323.0,3293,82.0
495141,2020-09-02,Maverick,Texas,48323.0,3335,82.0
498374,2020-09-03,Maverick,Texas,48323.0,3335,84.0
501608,2020-09-04,Maverick,Texas,48323.0,3335,84.0
504842,2020-09-05,Maverick,Texas,48323.0,3335,92.0
508074,2020-09-06,Maverick,Texas,48323.0,3335,92.0
511307,2020-09-07,Maverick,Texas,48323.0,3335,92.0
514540,2020-09-08,Maverick,Texas,48323.0,3335,100.0
517775,2020-09-09,Maverick,Texas,48323.0,3458,101.0
521011,2020-09-10,Maverick,Texas,48323.0,3458,101.0
524247,2020-09-11,Maverick,Texas,48323.0,3499,102.0
527483,2020-09-12,Maverick,Texas,48323.0,3535,102.0
530720,2020-09-13,Maverick,Texas,48323.0,3535,102.0
533955,2020-09-14,Maverick,Texas,48323.0,3535,102.0
537191,2020-09-15,Maverick,Texas,48323.0,3535,102.0
540428,2020-09-16,Maverick,Texas,48323.0,3535,102.0
543664,2020-09-17,Maverick,Texas,48323.0,3535,102.0
546901,2020-09-18,Maverick,Texas,48323.0,3535,110.0
550140,2020-09-19,Maverick,Texas,48323.0,3535,110.0
553379,2020-09-20,Maverick,Texas,48323.0,3535,112.0
556616,2020-09-21,Maverick,Texas,48323.0,3535,112.0
559852,2020-09-22,Maverick,Texas,48323.0,3535,112.0
563091,2020-09-23,Maverick,Texas,48323.0,3652,114.0
566332,2020-09-24,Maverick,Texas,48323.0,3652,119.0
569573,2020-09-25,Maverick,Texas,48323.0,3652,119.0
572815,2020-09-26,Maverick,Texas,48323.0,3712,122.0
576059,2020-09-27,Maverick,Texas,48323.0,3712,123.0
579300,2020-09-28,Maverick,Texas,48323.0,3712,124.0
582539,2020-09-29,Maverick,Texas,48323.0,3712,124.0
585779,2020-09-30,Maverick,Texas,48323.0,3712,124.0
589020,2020-10-01,Maverick,Texas,48323.0,3712,125.0
592260,2020-10-02,Maverick,Texas,48323.0,3712,127.0
595502,2020-10-03,Maverick,Texas,48323.0,3712,127.0
598745,2020-10-04,Maverick,Texas,48323.0,3712,127.0
601988,2020-10-05,Maverick,Texas,48323.0,3712,127.0
605230,2020-10-06,Maverick,Texas,48323.0,3712,129.0
608473,2020-10-07,Maverick,Texas,48323.0,3829,135.0
611715,2020-10-08,Maverick,Texas,48323.0,3838,135.0
614956,2020-10-09,Maverick,Texas,48323.0,3838,135.0
618198,2020-10-10,Maverick,Texas,48323.0,3838,137.0
621441,2020-10-11,Maverick,Texas,48323.0,3838,140.0
624684,2020-10-12,Maverick,Texas,48323.0,3838,140.0
627927,2020-10-13,Maverick,Texas,48323.0,3838,140.0
631171,2020-10-14,Maverick,Texas,48323.0,3838,140.0
634416,2020-10-15,Maverick,Texas,48323.0,3838,140.0
637661,2020-10-16,Maverick,Texas,48323.0,3838,142.0
640908,2020-10-17,Maverick,Texas,48323.0,3838,142.0
644156,2020-10-18,Maverick,Texas,48323.0,3838,142.0
647402,2020-10-19,Maverick,Texas,48323.0,3838,142.0
650646,2020-10-20,Maverick,Texas,48323.0,4027,142.0
653891,2020-10-21,Maverick,Texas,48323.0,4084,142.0
657136,2020-10-22,Maverick,Texas,48323.0,4084,142.0
660380,2020-10-23,Maverick,Texas,48323.0,4110,144.0
663624,2020-10-24,Maverick,Texas,48323.0,4182,145.0
666869,2020-10-25,Maverick,Texas,48323.0,4182,146.0
670112,2020-10-26,Maverick,Texas,48323.0,4182,146.0
673354,2020-10-27,Maverick,Texas,48323.0,4224,146.0
676597,2020-10-28,Maverick,Texas,48323.0,4232,147.0
679840,2020-10-29,Maverick,Texas,48323.0,4273,148.0
683083,2020-10-30,Maverick,Texas,48323.0,4292,148.0
686326,2020-10-31,Maverick,Texas,48323.0,4292,151.0
689571,2020-11-01,Maverick,Texas,48323.0,4322,151.0
692815,2020-11-02,Maverick,Texas,48323.0,4322,151.0
696057,2020-11-03,Maverick,Texas,48323.0,4363,151.0
699301,2020-11-04,Maverick,Texas,48323.0,4365,153.0
702544,2020-11-05,Maverick,Texas,48323.0,4401,158.0
705787,2020-11-06,Maverick,Texas,48323.0,4418,159.0
709031,2020-11-07,Maverick,Texas,48323.0,4447,160.0
712275,2020-11-08,Maverick,Texas,48323.0,4447,160.0
715519,2020-11-09,Maverick,Texas,48323.0,4447,160.0
718762,2020-11-10,Maverick,Texas,48323.0,4494,163.0
722005,2020-11-11,Maverick,Texas,48323.0,4494,164.0
725248,2020-11-12,Maverick,Texas,48323.0,4552,166.0
728491,2020-11-13,Maverick,Texas,48323.0,4584,167.0
731736,2020-11-14,Maverick,Texas,48323.0,4609,167.0
734982,2020-11-15,Maverick,Texas,48323.0,4609,168.0
738226,2020-11-16,Maverick,Texas,48323.0,4609,168.0
741473,2020-11-17,Maverick,Texas,48323.0,4662,168.0
744720,2020-11-18,Maverick,Texas,48323.0,4662,169.0
747966,2020-11-19,Maverick,Texas,48323.0,4690,169.0
751212,2020-11-20,Maverick,Texas,48323.0,4722,169.0
754458,2020-11-21,Maverick,Texas,48323.0,4722,169.0
757705,2020-11-22,Maverick,Texas,48323.0,4740,171.0
760950,2020-11-23,Maverick,Texas,48323.0,4740,171.0
764195,2020-11-24,Maverick,Texas,48323.0,4788,171.0
767440,2020-11-25,Maverick,Texas,48323.0,4788,172.0
770686,2020-11-26,Maverick,Texas,48323.0,4823,173.0
773931,2020-11-27,Maverick,Texas,48323.0,4823,173.0
