,date,county,state,fips,cases,deaths
9957,2020-03-24,McCracken,Kentucky,21145.0,2,0.0
11359,2020-03-25,McCracken,Kentucky,21145.0,2,0.0
12931,2020-03-26,McCracken,Kentucky,21145.0,2,0.0
14637,2020-03-27,McCracken,Kentucky,21145.0,2,0.0
16452,2020-03-28,McCracken,Kentucky,21145.0,3,0.0
18363,2020-03-29,McCracken,Kentucky,21145.0,5,0.0
20379,2020-03-30,McCracken,Kentucky,21145.0,5,0.0
22484,2020-03-31,McCracken,Kentucky,21145.0,6,0.0
24660,2020-04-01,McCracken,Kentucky,21145.0,6,0.0
26908,2020-04-02,McCracken,Kentucky,21145.0,8,0.0
29224,2020-04-03,McCracken,Kentucky,21145.0,8,0.0
31600,2020-04-04,McCracken,Kentucky,21145.0,8,0.0
34022,2020-04-05,McCracken,Kentucky,21145.0,10,0.0
36480,2020-04-06,McCracken,Kentucky,21145.0,10,0.0
38987,2020-04-07,McCracken,Kentucky,21145.0,13,1.0
41537,2020-04-08,McCracken,Kentucky,21145.0,13,1.0
44113,2020-04-09,McCracken,Kentucky,21145.0,13,1.0
46721,2020-04-10,McCracken,Kentucky,21145.0,18,2.0
49361,2020-04-11,McCracken,Kentucky,21145.0,21,2.0
52027,2020-04-12,McCracken,Kentucky,21145.0,21,2.0
54708,2020-04-13,McCracken,Kentucky,21145.0,23,2.0
57406,2020-04-14,McCracken,Kentucky,21145.0,24,2.0
60115,2020-04-15,McCracken,Kentucky,21145.0,25,2.0
62835,2020-04-16,McCracken,Kentucky,21145.0,28,2.0
65574,2020-04-17,McCracken,Kentucky,21145.0,27,2.0
68323,2020-04-18,McCracken,Kentucky,21145.0,29,2.0
71086,2020-04-19,McCracken,Kentucky,21145.0,29,2.0
73858,2020-04-20,McCracken,Kentucky,21145.0,29,2.0
76639,2020-04-21,McCracken,Kentucky,21145.0,30,2.0
79424,2020-04-22,McCracken,Kentucky,21145.0,30,2.0
82221,2020-04-23,McCracken,Kentucky,21145.0,30,2.0
85024,2020-04-24,McCracken,Kentucky,21145.0,31,2.0
87833,2020-04-25,McCracken,Kentucky,21145.0,34,2.0
90649,2020-04-26,McCracken,Kentucky,21145.0,43,2.0
93470,2020-04-27,McCracken,Kentucky,21145.0,44,2.0
96303,2020-04-28,McCracken,Kentucky,21145.0,48,2.0
99149,2020-04-29,McCracken,Kentucky,21145.0,48,2.0
102001,2020-04-30,McCracken,Kentucky,21145.0,55,2.0
104862,2020-05-01,McCracken,Kentucky,21145.0,58,2.0
107727,2020-05-02,McCracken,Kentucky,21145.0,58,2.0
110598,2020-05-03,McCracken,Kentucky,21145.0,59,2.0
113475,2020-05-04,McCracken,Kentucky,21145.0,62,2.0
116357,2020-05-05,McCracken,Kentucky,21145.0,63,2.0
119318,2020-05-06,McCracken,Kentucky,21145.0,65,2.0
122289,2020-05-07,McCracken,Kentucky,21145.0,68,2.0
125271,2020-05-08,McCracken,Kentucky,21145.0,68,2.0
128259,2020-05-09,McCracken,Kentucky,21145.0,69,2.0
131249,2020-05-10,McCracken,Kentucky,21145.0,69,2.0
134240,2020-05-11,McCracken,Kentucky,21145.0,72,2.0
137230,2020-05-12,McCracken,Kentucky,21145.0,73,2.0
140223,2020-05-13,McCracken,Kentucky,21145.0,73,2.0
143219,2020-05-14,McCracken,Kentucky,21145.0,76,2.0
146219,2020-05-15,McCracken,Kentucky,21145.0,80,2.0
149224,2020-05-16,McCracken,Kentucky,21145.0,81,2.0
152235,2020-05-17,McCracken,Kentucky,21145.0,81,2.0
155249,2020-05-18,McCracken,Kentucky,21145.0,85,2.0
158266,2020-05-19,McCracken,Kentucky,21145.0,85,2.0
161292,2020-05-20,McCracken,Kentucky,21145.0,85,2.0
164321,2020-05-21,McCracken,Kentucky,21145.0,85,2.0
167357,2020-05-22,McCracken,Kentucky,21145.0,85,2.0
170395,2020-05-23,McCracken,Kentucky,21145.0,87,2.0
173436,2020-05-24,McCracken,Kentucky,21145.0,87,2.0
176480,2020-05-25,McCracken,Kentucky,21145.0,87,2.0
179524,2020-05-26,McCracken,Kentucky,21145.0,89,2.0
182569,2020-05-27,McCracken,Kentucky,21145.0,89,2.0
185624,2020-05-28,McCracken,Kentucky,21145.0,95,2.0
188682,2020-05-29,McCracken,Kentucky,21145.0,95,2.0
191746,2020-05-30,McCracken,Kentucky,21145.0,95,2.0
194814,2020-05-31,McCracken,Kentucky,21145.0,95,2.0
197885,2020-06-01,McCracken,Kentucky,21145.0,97,2.0
200957,2020-06-02,McCracken,Kentucky,21145.0,97,2.0
204034,2020-06-03,McCracken,Kentucky,21145.0,99,2.0
207115,2020-06-04,McCracken,Kentucky,21145.0,107,2.0
210196,2020-06-05,McCracken,Kentucky,21145.0,111,2.0
213281,2020-06-06,McCracken,Kentucky,21145.0,112,2.0
216368,2020-06-07,McCracken,Kentucky,21145.0,112,2.0
219460,2020-06-08,McCracken,Kentucky,21145.0,112,2.0
222555,2020-06-09,McCracken,Kentucky,21145.0,113,3.0
225651,2020-06-10,McCracken,Kentucky,21145.0,113,3.0
228753,2020-06-11,McCracken,Kentucky,21145.0,113,3.0
231857,2020-06-12,McCracken,Kentucky,21145.0,116,3.0
234962,2020-06-13,McCracken,Kentucky,21145.0,117,3.0
238069,2020-06-14,McCracken,Kentucky,21145.0,117,3.0
241178,2020-06-15,McCracken,Kentucky,21145.0,123,3.0
244289,2020-06-16,McCracken,Kentucky,21145.0,123,3.0
247402,2020-06-17,McCracken,Kentucky,21145.0,126,3.0
250514,2020-06-18,McCracken,Kentucky,21145.0,129,3.0
253629,2020-06-19,McCracken,Kentucky,21145.0,134,3.0
256749,2020-06-20,McCracken,Kentucky,21145.0,134,3.0
259875,2020-06-21,McCracken,Kentucky,21145.0,143,3.0
263004,2020-06-22,McCracken,Kentucky,21145.0,148,3.0
266131,2020-06-23,McCracken,Kentucky,21145.0,149,3.0
269264,2020-06-24,McCracken,Kentucky,21145.0,150,3.0
272400,2020-06-25,McCracken,Kentucky,21145.0,151,3.0
275543,2020-06-26,McCracken,Kentucky,21145.0,153,3.0
278691,2020-06-27,McCracken,Kentucky,21145.0,155,3.0
281839,2020-06-28,McCracken,Kentucky,21145.0,159,3.0
284985,2020-06-29,McCracken,Kentucky,21145.0,161,3.0
288134,2020-06-30,McCracken,Kentucky,21145.0,166,3.0
291284,2020-07-01,McCracken,Kentucky,21145.0,168,3.0
294438,2020-07-02,McCracken,Kentucky,21145.0,170,3.0
297596,2020-07-03,McCracken,Kentucky,21145.0,172,3.0
300758,2020-07-04,McCracken,Kentucky,21145.0,172,3.0
303922,2020-07-05,McCracken,Kentucky,21145.0,172,3.0
307089,2020-07-06,McCracken,Kentucky,21145.0,178,3.0
310257,2020-07-07,McCracken,Kentucky,21145.0,181,3.0
313427,2020-07-08,McCracken,Kentucky,21145.0,181,3.0
316601,2020-07-09,McCracken,Kentucky,21145.0,184,3.0
319776,2020-07-10,McCracken,Kentucky,21145.0,192,3.0
322955,2020-07-11,McCracken,Kentucky,21145.0,193,3.0
326138,2020-07-12,McCracken,Kentucky,21145.0,203,3.0
329324,2020-07-13,McCracken,Kentucky,21145.0,206,3.0
332511,2020-07-14,McCracken,Kentucky,21145.0,210,3.0
335704,2020-07-15,McCracken,Kentucky,21145.0,215,3.0
338900,2020-07-16,McCracken,Kentucky,21145.0,222,3.0
342096,2020-07-17,McCracken,Kentucky,21145.0,227,3.0
345296,2020-07-18,McCracken,Kentucky,21145.0,226,3.0
348497,2020-07-19,McCracken,Kentucky,21145.0,243,3.0
351697,2020-07-20,McCracken,Kentucky,21145.0,245,3.0
354899,2020-07-21,McCracken,Kentucky,21145.0,259,3.0
358102,2020-07-22,McCracken,Kentucky,21145.0,267,3.0
361307,2020-07-23,McCracken,Kentucky,21145.0,270,3.0
364514,2020-07-24,McCracken,Kentucky,21145.0,284,3.0
367721,2020-07-25,McCracken,Kentucky,21145.0,292,3.0
370931,2020-07-26,McCracken,Kentucky,21145.0,294,3.0
374143,2020-07-27,McCracken,Kentucky,21145.0,296,3.0
377358,2020-07-28,McCracken,Kentucky,21145.0,303,3.0
380575,2020-07-29,McCracken,Kentucky,21145.0,306,4.0
383792,2020-07-30,McCracken,Kentucky,21145.0,313,4.0
387010,2020-07-31,McCracken,Kentucky,21145.0,325,4.0
390227,2020-08-01,McCracken,Kentucky,21145.0,328,4.0
393444,2020-08-02,McCracken,Kentucky,21145.0,330,4.0
396660,2020-08-03,McCracken,Kentucky,21145.0,334,4.0
399875,2020-08-04,McCracken,Kentucky,21145.0,344,4.0
403092,2020-08-05,McCracken,Kentucky,21145.0,348,4.0
406310,2020-08-06,McCracken,Kentucky,21145.0,355,4.0
409530,2020-08-07,McCracken,Kentucky,21145.0,365,4.0
412750,2020-08-08,McCracken,Kentucky,21145.0,366,4.0
415970,2020-08-09,McCracken,Kentucky,21145.0,366,4.0
419191,2020-08-10,McCracken,Kentucky,21145.0,367,4.0
422413,2020-08-11,McCracken,Kentucky,21145.0,372,4.0
425634,2020-08-12,McCracken,Kentucky,21145.0,377,4.0
428858,2020-08-13,McCracken,Kentucky,21145.0,391,4.0
432086,2020-08-14,McCracken,Kentucky,21145.0,397,4.0
435311,2020-08-15,McCracken,Kentucky,21145.0,401,5.0
438536,2020-08-16,McCracken,Kentucky,21145.0,401,5.0
441763,2020-08-17,McCracken,Kentucky,21145.0,409,5.0
444989,2020-08-18,McCracken,Kentucky,21145.0,414,5.0
448216,2020-08-19,McCracken,Kentucky,21145.0,425,5.0
451444,2020-08-20,McCracken,Kentucky,21145.0,437,5.0
454672,2020-08-21,McCracken,Kentucky,21145.0,445,5.0
457900,2020-08-22,McCracken,Kentucky,21145.0,453,5.0
461127,2020-08-23,McCracken,Kentucky,21145.0,453,5.0
464358,2020-08-24,McCracken,Kentucky,21145.0,460,5.0
467587,2020-08-25,McCracken,Kentucky,21145.0,469,5.0
470816,2020-08-26,McCracken,Kentucky,21145.0,472,5.0
474048,2020-08-27,McCracken,Kentucky,21145.0,479,6.0
477281,2020-08-28,McCracken,Kentucky,21145.0,486,6.0
480514,2020-08-29,McCracken,Kentucky,21145.0,497,6.0
483748,2020-08-30,McCracken,Kentucky,21145.0,504,6.0
