date,county,state,fips,cases,deaths
2020-04-04,McLeod,Minnesota,27085.0,1,0.0
2020-04-05,McLeod,Minnesota,27085.0,1,0.0
2020-04-06,McLeod,Minnesota,27085.0,1,0.0
2020-04-07,McLeod,Minnesota,27085.0,1,0.0
2020-04-08,McLeod,Minnesota,27085.0,1,0.0
2020-04-09,McLeod,Minnesota,27085.0,2,0.0
2020-04-10,McLeod,Minnesota,27085.0,2,0.0
2020-04-11,McLeod,Minnesota,27085.0,2,0.0
2020-04-12,McLeod,Minnesota,27085.0,2,0.0
2020-04-13,McLeod,Minnesota,27085.0,2,0.0
2020-04-14,McLeod,Minnesota,27085.0,2,0.0
2020-04-15,McLeod,Minnesota,27085.0,2,0.0
2020-04-16,McLeod,Minnesota,27085.0,2,0.0
2020-04-17,McLeod,Minnesota,27085.0,2,0.0
2020-04-18,McLeod,Minnesota,27085.0,3,0.0
2020-04-19,McLeod,Minnesota,27085.0,3,0.0
2020-04-20,McLeod,Minnesota,27085.0,3,0.0
2020-04-21,McLeod,Minnesota,27085.0,3,0.0
2020-04-22,McLeod,Minnesota,27085.0,3,0.0
2020-04-23,McLeod,Minnesota,27085.0,3,0.0
2020-04-24,McLeod,Minnesota,27085.0,3,0.0
2020-04-25,McLeod,Minnesota,27085.0,3,0.0
2020-04-26,McLeod,Minnesota,27085.0,3,0.0
2020-04-27,McLeod,Minnesota,27085.0,4,0.0
2020-04-28,McLeod,Minnesota,27085.0,4,0.0
2020-04-29,McLeod,Minnesota,27085.0,4,0.0
2020-04-30,McLeod,Minnesota,27085.0,4,0.0
2020-05-01,McLeod,Minnesota,27085.0,4,0.0
2020-05-02,McLeod,Minnesota,27085.0,4,0.0
2020-05-03,McLeod,Minnesota,27085.0,4,0.0
2020-05-04,McLeod,Minnesota,27085.0,4,0.0
2020-05-05,McLeod,Minnesota,27085.0,4,0.0
2020-05-06,McLeod,Minnesota,27085.0,6,0.0
2020-05-07,McLeod,Minnesota,27085.0,6,0.0
2020-05-08,McLeod,Minnesota,27085.0,8,0.0
2020-05-09,McLeod,Minnesota,27085.0,8,0.0
2020-05-10,McLeod,Minnesota,27085.0,12,0.0
2020-05-11,McLeod,Minnesota,27085.0,13,0.0
2020-05-12,McLeod,Minnesota,27085.0,14,0.0
2020-05-13,McLeod,Minnesota,27085.0,14,0.0
2020-05-14,McLeod,Minnesota,27085.0,15,0.0
2020-05-15,McLeod,Minnesota,27085.0,15,0.0
2020-05-16,McLeod,Minnesota,27085.0,16,0.0
2020-05-17,McLeod,Minnesota,27085.0,18,0.0
2020-05-18,McLeod,Minnesota,27085.0,18,0.0
2020-05-19,McLeod,Minnesota,27085.0,18,0.0
2020-05-20,McLeod,Minnesota,27085.0,19,0.0
2020-05-21,McLeod,Minnesota,27085.0,21,0.0
2020-05-22,McLeod,Minnesota,27085.0,24,0.0
2020-05-23,McLeod,Minnesota,27085.0,26,0.0
2020-05-24,McLeod,Minnesota,27085.0,26,0.0
2020-05-25,McLeod,Minnesota,27085.0,27,0.0
2020-05-26,McLeod,Minnesota,27085.0,28,0.0
2020-05-27,McLeod,Minnesota,27085.0,29,0.0
2020-05-28,McLeod,Minnesota,27085.0,30,0.0
2020-05-29,McLeod,Minnesota,27085.0,33,0.0
2020-05-30,McLeod,Minnesota,27085.0,34,0.0
2020-05-31,McLeod,Minnesota,27085.0,37,0.0
2020-06-01,McLeod,Minnesota,27085.0,37,0.0
2020-06-02,McLeod,Minnesota,27085.0,37,0.0
2020-06-03,McLeod,Minnesota,27085.0,37,0.0
2020-06-04,McLeod,Minnesota,27085.0,39,0.0
2020-06-05,McLeod,Minnesota,27085.0,41,0.0
2020-06-06,McLeod,Minnesota,27085.0,43,0.0
2020-06-07,McLeod,Minnesota,27085.0,43,0.0
2020-06-08,McLeod,Minnesota,27085.0,44,0.0
2020-06-09,McLeod,Minnesota,27085.0,45,0.0
2020-06-10,McLeod,Minnesota,27085.0,46,0.0
2020-06-11,McLeod,Minnesota,27085.0,52,0.0
2020-06-12,McLeod,Minnesota,27085.0,52,0.0
2020-06-13,McLeod,Minnesota,27085.0,54,0.0
2020-06-14,McLeod,Minnesota,27085.0,54,0.0
2020-06-15,McLeod,Minnesota,27085.0,54,0.0
2020-06-16,McLeod,Minnesota,27085.0,54,0.0
2020-06-17,McLeod,Minnesota,27085.0,56,0.0
2020-06-18,McLeod,Minnesota,27085.0,58,0.0
2020-06-19,McLeod,Minnesota,27085.0,64,0.0
2020-06-20,McLeod,Minnesota,27085.0,66,0.0
2020-06-21,McLeod,Minnesota,27085.0,67,0.0
2020-06-22,McLeod,Minnesota,27085.0,68,0.0
2020-06-23,McLeod,Minnesota,27085.0,69,0.0
2020-06-24,McLeod,Minnesota,27085.0,71,0.0
2020-06-25,McLeod,Minnesota,27085.0,75,0.0
2020-06-26,McLeod,Minnesota,27085.0,80,0.0
2020-06-27,McLeod,Minnesota,27085.0,80,0.0
2020-06-28,McLeod,Minnesota,27085.0,79,0.0
2020-06-29,McLeod,Minnesota,27085.0,81,0.0
2020-06-30,McLeod,Minnesota,27085.0,81,0.0
2020-07-01,McLeod,Minnesota,27085.0,85,0.0
2020-07-02,McLeod,Minnesota,27085.0,85,0.0
2020-07-03,McLeod,Minnesota,27085.0,88,0.0
2020-07-04,McLeod,Minnesota,27085.0,88,0.0
2020-07-05,McLeod,Minnesota,27085.0,91,0.0
2020-07-06,McLeod,Minnesota,27085.0,92,0.0
2020-07-07,McLeod,Minnesota,27085.0,92,0.0
2020-07-08,McLeod,Minnesota,27085.0,94,0.0
2020-07-09,McLeod,Minnesota,27085.0,96,0.0
2020-07-10,McLeod,Minnesota,27085.0,99,0.0
2020-07-11,McLeod,Minnesota,27085.0,100,0.0
2020-07-12,McLeod,Minnesota,27085.0,103,0.0
2020-07-13,McLeod,Minnesota,27085.0,103,0.0
2020-07-14,McLeod,Minnesota,27085.0,102,0.0
2020-07-15,McLeod,Minnesota,27085.0,102,0.0
2020-07-16,McLeod,Minnesota,27085.0,104,0.0
2020-07-17,McLeod,Minnesota,27085.0,107,0.0
2020-07-18,McLeod,Minnesota,27085.0,111,0.0
2020-07-19,McLeod,Minnesota,27085.0,111,0.0
2020-07-20,McLeod,Minnesota,27085.0,111,0.0
2020-07-21,McLeod,Minnesota,27085.0,112,0.0
2020-07-22,McLeod,Minnesota,27085.0,114,0.0
2020-07-23,McLeod,Minnesota,27085.0,115,0.0
2020-07-24,McLeod,Minnesota,27085.0,115,0.0
2020-07-25,McLeod,Minnesota,27085.0,115,0.0
2020-07-26,McLeod,Minnesota,27085.0,116,0.0
2020-07-27,McLeod,Minnesota,27085.0,116,0.0
2020-07-28,McLeod,Minnesota,27085.0,118,0.0
2020-07-29,McLeod,Minnesota,27085.0,119,0.0
2020-07-30,McLeod,Minnesota,27085.0,121,0.0
2020-07-31,McLeod,Minnesota,27085.0,125,0.0
2020-08-01,McLeod,Minnesota,27085.0,132,0.0
2020-08-02,McLeod,Minnesota,27085.0,135,0.0
2020-08-03,McLeod,Minnesota,27085.0,138,0.0
2020-08-04,McLeod,Minnesota,27085.0,140,0.0
2020-08-05,McLeod,Minnesota,27085.0,145,0.0
2020-08-06,McLeod,Minnesota,27085.0,148,0.0
2020-08-07,McLeod,Minnesota,27085.0,173,0.0
2020-08-08,McLeod,Minnesota,27085.0,173,0.0
2020-08-09,McLeod,Minnesota,27085.0,181,0.0
2020-08-10,McLeod,Minnesota,27085.0,197,0.0
2020-08-11,McLeod,Minnesota,27085.0,202,0.0
2020-08-12,McLeod,Minnesota,27085.0,208,0.0
2020-08-13,McLeod,Minnesota,27085.0,224,0.0
2020-08-14,McLeod,Minnesota,27085.0,240,0.0
2020-08-15,McLeod,Minnesota,27085.0,249,0.0
2020-08-16,McLeod,Minnesota,27085.0,260,0.0
2020-08-17,McLeod,Minnesota,27085.0,271,0.0
2020-08-18,McLeod,Minnesota,27085.0,278,0.0
2020-08-19,McLeod,Minnesota,27085.0,279,1.0
2020-08-20,McLeod,Minnesota,27085.0,282,1.0
