,date,county,state,fips,cases,deaths
18144,2020-03-29,Menard,Illinois,17129.0,1,0.0
20147,2020-03-30,Menard,Illinois,17129.0,1,0.0
22239,2020-03-31,Menard,Illinois,17129.0,1,0.0
24408,2020-04-01,Menard,Illinois,17129.0,1,0.0
26643,2020-04-02,Menard,Illinois,17129.0,1,0.0
28953,2020-04-03,Menard,Illinois,17129.0,1,0.0
31318,2020-04-04,Menard,Illinois,17129.0,1,0.0
33728,2020-04-05,Menard,Illinois,17129.0,1,0.0
36180,2020-04-06,Menard,Illinois,17129.0,2,0.0
38676,2020-04-07,Menard,Illinois,17129.0,2,0.0
41221,2020-04-08,Menard,Illinois,17129.0,2,0.0
43795,2020-04-09,Menard,Illinois,17129.0,2,0.0
46399,2020-04-10,Menard,Illinois,17129.0,2,0.0
49031,2020-04-11,Menard,Illinois,17129.0,2,0.0
51693,2020-04-12,Menard,Illinois,17129.0,2,0.0
54374,2020-04-13,Menard,Illinois,17129.0,2,0.0
57067,2020-04-14,Menard,Illinois,17129.0,2,0.0
59774,2020-04-15,Menard,Illinois,17129.0,2,0.0
62495,2020-04-16,Menard,Illinois,17129.0,2,0.0
65228,2020-04-17,Menard,Illinois,17129.0,2,0.0
67977,2020-04-18,Menard,Illinois,17129.0,3,0.0
70739,2020-04-19,Menard,Illinois,17129.0,3,0.0
73509,2020-04-20,Menard,Illinois,17129.0,3,0.0
76286,2020-04-21,Menard,Illinois,17129.0,3,0.0
79070,2020-04-22,Menard,Illinois,17129.0,4,0.0
81863,2020-04-23,Menard,Illinois,17129.0,4,0.0
84663,2020-04-24,Menard,Illinois,17129.0,4,0.0
87473,2020-04-25,Menard,Illinois,17129.0,4,0.0
90289,2020-04-26,Menard,Illinois,17129.0,4,0.0
93108,2020-04-27,Menard,Illinois,17129.0,4,0.0
95940,2020-04-28,Menard,Illinois,17129.0,7,0.0
98784,2020-04-29,Menard,Illinois,17129.0,7,0.0
101635,2020-04-30,Menard,Illinois,17129.0,8,0.0
104491,2020-05-01,Menard,Illinois,17129.0,9,0.0
107356,2020-05-02,Menard,Illinois,17129.0,12,0.0
