,date,county,state,fips,cases,deaths
9958,2020-03-24,Menifee,Kentucky,21165.0,2,0.0
11361,2020-03-25,Menifee,Kentucky,21165.0,2,0.0
12933,2020-03-26,Menifee,Kentucky,21165.0,2,0.0
14639,2020-03-27,Menifee,Kentucky,21165.0,2,0.0
16454,2020-03-28,Menifee,Kentucky,21165.0,2,0.0
18365,2020-03-29,Menifee,Kentucky,21165.0,2,0.0
20381,2020-03-30,Menifee,Kentucky,21165.0,2,0.0
22486,2020-03-31,Menifee,Kentucky,21165.0,2,0.0
24662,2020-04-01,Menifee,Kentucky,21165.0,3,0.0
26911,2020-04-02,Menifee,Kentucky,21165.0,4,0.0
29227,2020-04-03,Menifee,Kentucky,21165.0,4,0.0
31603,2020-04-04,Menifee,Kentucky,21165.0,4,0.0
34026,2020-04-05,Menifee,Kentucky,21165.0,3,0.0
36484,2020-04-06,Menifee,Kentucky,21165.0,3,0.0
38991,2020-04-07,Menifee,Kentucky,21165.0,3,0.0
41541,2020-04-08,Menifee,Kentucky,21165.0,3,0.0
44117,2020-04-09,Menifee,Kentucky,21165.0,3,0.0
46725,2020-04-10,Menifee,Kentucky,21165.0,3,0.0
49365,2020-04-11,Menifee,Kentucky,21165.0,3,0.0
52031,2020-04-12,Menifee,Kentucky,21165.0,3,0.0
54712,2020-04-13,Menifee,Kentucky,21165.0,3,0.0
57410,2020-04-14,Menifee,Kentucky,21165.0,3,0.0
60119,2020-04-15,Menifee,Kentucky,21165.0,3,0.0
62839,2020-04-16,Menifee,Kentucky,21165.0,3,0.0
65578,2020-04-17,Menifee,Kentucky,21165.0,3,0.0
68327,2020-04-18,Menifee,Kentucky,21165.0,3,0.0
71090,2020-04-19,Menifee,Kentucky,21165.0,3,0.0
73862,2020-04-20,Menifee,Kentucky,21165.0,3,0.0
76643,2020-04-21,Menifee,Kentucky,21165.0,3,0.0
79428,2020-04-22,Menifee,Kentucky,21165.0,3,0.0
82225,2020-04-23,Menifee,Kentucky,21165.0,3,0.0
85028,2020-04-24,Menifee,Kentucky,21165.0,3,0.0
87837,2020-04-25,Menifee,Kentucky,21165.0,3,0.0
90653,2020-04-26,Menifee,Kentucky,21165.0,3,0.0
93474,2020-04-27,Menifee,Kentucky,21165.0,3,0.0
96307,2020-04-28,Menifee,Kentucky,21165.0,3,0.0
99153,2020-04-29,Menifee,Kentucky,21165.0,3,0.0
102005,2020-04-30,Menifee,Kentucky,21165.0,3,0.0
104866,2020-05-01,Menifee,Kentucky,21165.0,3,0.0
107731,2020-05-02,Menifee,Kentucky,21165.0,3,0.0
110602,2020-05-03,Menifee,Kentucky,21165.0,3,0.0
113479,2020-05-04,Menifee,Kentucky,21165.0,3,0.0
116361,2020-05-05,Menifee,Kentucky,21165.0,3,0.0
119322,2020-05-06,Menifee,Kentucky,21165.0,3,0.0
122293,2020-05-07,Menifee,Kentucky,21165.0,3,0.0
125275,2020-05-08,Menifee,Kentucky,21165.0,3,0.0
128263,2020-05-09,Menifee,Kentucky,21165.0,3,0.0
131253,2020-05-10,Menifee,Kentucky,21165.0,3,0.0
134244,2020-05-11,Menifee,Kentucky,21165.0,3,0.0
137234,2020-05-12,Menifee,Kentucky,21165.0,3,0.0
140227,2020-05-13,Menifee,Kentucky,21165.0,3,0.0
143223,2020-05-14,Menifee,Kentucky,21165.0,3,0.0
146223,2020-05-15,Menifee,Kentucky,21165.0,3,0.0
149228,2020-05-16,Menifee,Kentucky,21165.0,3,0.0
152239,2020-05-17,Menifee,Kentucky,21165.0,4,0.0
155253,2020-05-18,Menifee,Kentucky,21165.0,4,0.0
158270,2020-05-19,Menifee,Kentucky,21165.0,4,0.0
161296,2020-05-20,Menifee,Kentucky,21165.0,6,0.0
164325,2020-05-21,Menifee,Kentucky,21165.0,6,0.0
167361,2020-05-22,Menifee,Kentucky,21165.0,8,0.0
170399,2020-05-23,Menifee,Kentucky,21165.0,8,0.0
173440,2020-05-24,Menifee,Kentucky,21165.0,8,0.0
176484,2020-05-25,Menifee,Kentucky,21165.0,8,0.0
179528,2020-05-26,Menifee,Kentucky,21165.0,8,0.0
182573,2020-05-27,Menifee,Kentucky,21165.0,10,0.0
185628,2020-05-28,Menifee,Kentucky,21165.0,10,0.0
188686,2020-05-29,Menifee,Kentucky,21165.0,10,0.0
191750,2020-05-30,Menifee,Kentucky,21165.0,10,0.0
194818,2020-05-31,Menifee,Kentucky,21165.0,10,0.0
197889,2020-06-01,Menifee,Kentucky,21165.0,10,0.0
200961,2020-06-02,Menifee,Kentucky,21165.0,10,0.0
204038,2020-06-03,Menifee,Kentucky,21165.0,10,0.0
207119,2020-06-04,Menifee,Kentucky,21165.0,10,0.0
210200,2020-06-05,Menifee,Kentucky,21165.0,10,0.0
213285,2020-06-06,Menifee,Kentucky,21165.0,10,0.0
216372,2020-06-07,Menifee,Kentucky,21165.0,10,0.0
219464,2020-06-08,Menifee,Kentucky,21165.0,10,0.0
222559,2020-06-09,Menifee,Kentucky,21165.0,10,0.0
225655,2020-06-10,Menifee,Kentucky,21165.0,10,0.0
228757,2020-06-11,Menifee,Kentucky,21165.0,10,0.0
231861,2020-06-12,Menifee,Kentucky,21165.0,10,0.0
234966,2020-06-13,Menifee,Kentucky,21165.0,10,0.0
238073,2020-06-14,Menifee,Kentucky,21165.0,11,0.0
241182,2020-06-15,Menifee,Kentucky,21165.0,11,0.0
244293,2020-06-16,Menifee,Kentucky,21165.0,11,0.0
247406,2020-06-17,Menifee,Kentucky,21165.0,11,0.0
