,date,county,state,fips,cases,deaths
9576,2020-03-24,Merced,California,6047.0,1,0.0
10948,2020-03-25,Merced,California,6047.0,1,0.0
12493,2020-03-26,Merced,California,6047.0,4,0.0
14159,2020-03-27,Merced,California,6047.0,7,0.0
15941,2020-03-28,Merced,California,6047.0,7,0.0
17830,2020-03-29,Merced,California,6047.0,8,0.0
19807,2020-03-30,Merced,California,6047.0,9,0.0
21881,2020-03-31,Merced,California,6047.0,10,0.0
24039,2020-04-01,Merced,California,6047.0,10,0.0
26268,2020-04-02,Merced,California,6047.0,16,0.0
28567,2020-04-03,Merced,California,6047.0,16,0.0
30925,2020-04-04,Merced,California,6047.0,16,0.0
33331,2020-04-05,Merced,California,6047.0,29,1.0
35776,2020-04-06,Merced,California,6047.0,29,1.0
38265,2020-04-07,Merced,California,6047.0,34,1.0
40809,2020-04-08,Merced,California,6047.0,40,3.0
43381,2020-04-09,Merced,California,6047.0,40,3.0
45981,2020-04-10,Merced,California,6047.0,59,3.0
48611,2020-04-11,Merced,California,6047.0,64,3.0
51273,2020-04-12,Merced,California,6047.0,65,3.0
53952,2020-04-13,Merced,California,6047.0,69,3.0
56644,2020-04-14,Merced,California,6047.0,74,3.0
59352,2020-04-15,Merced,California,6047.0,78,3.0
62071,2020-04-16,Merced,California,6047.0,82,3.0
64804,2020-04-17,Merced,California,6047.0,85,3.0
67552,2020-04-18,Merced,California,6047.0,87,3.0
70314,2020-04-19,Merced,California,6047.0,90,3.0
73083,2020-04-20,Merced,California,6047.0,90,3.0
75859,2020-04-21,Merced,California,6047.0,92,3.0
78643,2020-04-22,Merced,California,6047.0,94,3.0
81437,2020-04-23,Merced,California,6047.0,100,3.0
84237,2020-04-24,Merced,California,6047.0,102,3.0
87045,2020-04-25,Merced,California,6047.0,102,3.0
89862,2020-04-26,Merced,California,6047.0,105,3.0
92680,2020-04-27,Merced,California,6047.0,110,3.0
95512,2020-04-28,Merced,California,6047.0,116,3.0
98357,2020-04-29,Merced,California,6047.0,118,3.0
101207,2020-04-30,Merced,California,6047.0,125,3.0
104062,2020-05-01,Merced,California,6047.0,134,3.0
106927,2020-05-02,Merced,California,6047.0,140,3.0
109796,2020-05-03,Merced,California,6047.0,142,3.0
112671,2020-05-04,Merced,California,6047.0,146,3.0
115554,2020-05-05,Merced,California,6047.0,146,3.0
118513,2020-05-06,Merced,California,6047.0,152,3.0
121480,2020-05-07,Merced,California,6047.0,155,3.0
124460,2020-05-08,Merced,California,6047.0,163,3.0
127445,2020-05-09,Merced,California,6047.0,163,3.0
130435,2020-05-10,Merced,California,6047.0,163,3.0
133425,2020-05-11,Merced,California,6047.0,173,3.0
136415,2020-05-12,Merced,California,6047.0,177,4.0
139406,2020-05-13,Merced,California,6047.0,180,4.0
142402,2020-05-14,Merced,California,6047.0,189,4.0
145401,2020-05-15,Merced,California,6047.0,200,6.0
148405,2020-05-16,Merced,California,6047.0,200,6.0
151414,2020-05-17,Merced,California,6047.0,201,6.0
154426,2020-05-18,Merced,California,6047.0,220,6.0
157442,2020-05-19,Merced,California,6047.0,222,6.0
160468,2020-05-20,Merced,California,6047.0,222,6.0
163496,2020-05-21,Merced,California,6047.0,234,6.0
166528,2020-05-22,Merced,California,6047.0,251,6.0
169565,2020-05-23,Merced,California,6047.0,251,6.0
172606,2020-05-24,Merced,California,6047.0,251,6.0
175650,2020-05-25,Merced,California,6047.0,258,6.0
178694,2020-05-26,Merced,California,6047.0,273,7.0
181738,2020-05-27,Merced,California,6047.0,278,7.0
184792,2020-05-28,Merced,California,6047.0,280,7.0
187848,2020-05-29,Merced,California,6047.0,283,7.0
190913,2020-05-30,Merced,California,6047.0,285,7.0
193980,2020-05-31,Merced,California,6047.0,285,7.0
197050,2020-06-01,Merced,California,6047.0,301,7.0
200123,2020-06-02,Merced,California,6047.0,308,7.0
203199,2020-06-03,Merced,California,6047.0,310,7.0
206279,2020-06-04,Merced,California,6047.0,320,7.0
209360,2020-06-05,Merced,California,6047.0,334,7.0
212445,2020-06-06,Merced,California,6047.0,334,7.0
215532,2020-06-07,Merced,California,6047.0,334,7.0
218623,2020-06-08,Merced,California,6047.0,367,7.0
221718,2020-06-09,Merced,California,6047.0,372,7.0
