,date,county,state,fips,cases,deaths
29691,2020-04-03,Merrick,Nebraska,31121.0,1,0.0
32074,2020-04-04,Merrick,Nebraska,31121.0,2,0.0
34503,2020-04-05,Merrick,Nebraska,31121.0,2,0.0
36972,2020-04-06,Merrick,Nebraska,31121.0,2,0.0
39488,2020-04-07,Merrick,Nebraska,31121.0,2,0.0
42044,2020-04-08,Merrick,Nebraska,31121.0,2,0.0
44625,2020-04-09,Merrick,Nebraska,31121.0,2,0.0
47237,2020-04-10,Merrick,Nebraska,31121.0,2,0.0
49887,2020-04-11,Merrick,Nebraska,31121.0,2,0.0
52561,2020-04-12,Merrick,Nebraska,31121.0,2,0.0
55242,2020-04-13,Merrick,Nebraska,31121.0,2,0.0
57941,2020-04-14,Merrick,Nebraska,31121.0,3,0.0
60655,2020-04-15,Merrick,Nebraska,31121.0,5,0.0
63379,2020-04-16,Merrick,Nebraska,31121.0,5,0.0
66120,2020-04-17,Merrick,Nebraska,31121.0,6,0.0
68875,2020-04-18,Merrick,Nebraska,31121.0,6,0.0
71642,2020-04-19,Merrick,Nebraska,31121.0,7,0.0
74416,2020-04-20,Merrick,Nebraska,31121.0,9,0.0
77196,2020-04-21,Merrick,Nebraska,31121.0,9,0.0
79985,2020-04-22,Merrick,Nebraska,31121.0,9,0.0
82782,2020-04-23,Merrick,Nebraska,31121.0,9,0.0
85587,2020-04-24,Merrick,Nebraska,31121.0,10,0.0
88397,2020-04-25,Merrick,Nebraska,31121.0,10,0.0
91213,2020-04-26,Merrick,Nebraska,31121.0,10,0.0
94035,2020-04-27,Merrick,Nebraska,31121.0,11,0.0
96871,2020-04-28,Merrick,Nebraska,31121.0,11,0.0
99718,2020-04-29,Merrick,Nebraska,31121.0,12,0.0
102571,2020-04-30,Merrick,Nebraska,31121.0,12,0.0
105432,2020-05-01,Merrick,Nebraska,31121.0,13,0.0
108299,2020-05-02,Merrick,Nebraska,31121.0,16,0.0
111172,2020-05-03,Merrick,Nebraska,31121.0,19,0.0
114052,2020-05-04,Merrick,Nebraska,31121.0,19,0.0
116934,2020-05-05,Merrick,Nebraska,31121.0,19,0.0
119894,2020-05-06,Merrick,Nebraska,31121.0,20,0.0
122868,2020-05-07,Merrick,Nebraska,31121.0,20,0.0
125850,2020-05-08,Merrick,Nebraska,31121.0,21,0.0
128839,2020-05-09,Merrick,Nebraska,31121.0,21,0.0
131829,2020-05-10,Merrick,Nebraska,31121.0,21,0.0
134820,2020-05-11,Merrick,Nebraska,31121.0,23,0.0
137810,2020-05-12,Merrick,Nebraska,31121.0,23,0.0
140804,2020-05-13,Merrick,Nebraska,31121.0,26,0.0
143799,2020-05-14,Merrick,Nebraska,31121.0,26,0.0
146800,2020-05-15,Merrick,Nebraska,31121.0,28,0.0
149806,2020-05-16,Merrick,Nebraska,31121.0,28,0.0
152817,2020-05-17,Merrick,Nebraska,31121.0,29,0.0
155831,2020-05-18,Merrick,Nebraska,31121.0,29,0.0
158849,2020-05-19,Merrick,Nebraska,31121.0,29,0.0
161875,2020-05-20,Merrick,Nebraska,31121.0,30,0.0
164904,2020-05-21,Merrick,Nebraska,31121.0,32,0.0
167940,2020-05-22,Merrick,Nebraska,31121.0,32,0.0
170979,2020-05-23,Merrick,Nebraska,31121.0,32,0.0
174022,2020-05-24,Merrick,Nebraska,31121.0,32,0.0
177065,2020-05-25,Merrick,Nebraska,31121.0,32,0.0
180109,2020-05-26,Merrick,Nebraska,31121.0,32,0.0
183157,2020-05-27,Merrick,Nebraska,31121.0,33,0.0
186213,2020-05-28,Merrick,Nebraska,31121.0,33,0.0
189272,2020-05-29,Merrick,Nebraska,31121.0,33,0.0
