date,county,state,fips,cases,deaths
2020-03-25,Milam,Texas,48331.0,2,0.0
2020-03-26,Milam,Texas,48331.0,2,0.0
2020-03-27,Milam,Texas,48331.0,2,0.0
2020-03-28,Milam,Texas,48331.0,2,0.0
2020-03-29,Milam,Texas,48331.0,2,0.0
2020-03-30,Milam,Texas,48331.0,2,0.0
2020-03-31,Milam,Texas,48331.0,2,0.0
2020-04-01,Milam,Texas,48331.0,2,0.0
2020-04-02,Milam,Texas,48331.0,2,0.0
2020-04-03,Milam,Texas,48331.0,2,0.0
2020-04-04,Milam,Texas,48331.0,2,0.0
2020-04-05,Milam,Texas,48331.0,3,0.0
2020-04-06,Milam,Texas,48331.0,3,0.0
2020-04-07,Milam,Texas,48331.0,3,0.0
2020-04-08,Milam,Texas,48331.0,7,0.0
2020-04-09,Milam,Texas,48331.0,7,0.0
2020-04-10,Milam,Texas,48331.0,7,0.0
2020-04-11,Milam,Texas,48331.0,7,0.0
2020-04-12,Milam,Texas,48331.0,7,0.0
2020-04-13,Milam,Texas,48331.0,8,0.0
2020-04-14,Milam,Texas,48331.0,8,0.0
2020-04-15,Milam,Texas,48331.0,8,0.0
2020-04-16,Milam,Texas,48331.0,8,0.0
2020-04-17,Milam,Texas,48331.0,9,0.0
2020-04-18,Milam,Texas,48331.0,9,0.0
2020-04-19,Milam,Texas,48331.0,11,0.0
2020-04-20,Milam,Texas,48331.0,12,0.0
2020-04-21,Milam,Texas,48331.0,12,0.0
2020-04-22,Milam,Texas,48331.0,12,0.0
2020-04-23,Milam,Texas,48331.0,13,0.0
2020-04-24,Milam,Texas,48331.0,13,1.0
2020-04-25,Milam,Texas,48331.0,13,1.0
2020-04-26,Milam,Texas,48331.0,13,1.0
2020-04-27,Milam,Texas,48331.0,13,1.0
2020-04-28,Milam,Texas,48331.0,14,1.0
2020-04-29,Milam,Texas,48331.0,14,1.0
2020-04-30,Milam,Texas,48331.0,16,1.0
2020-05-01,Milam,Texas,48331.0,16,1.0
2020-05-02,Milam,Texas,48331.0,16,1.0
2020-05-03,Milam,Texas,48331.0,17,1.0
2020-05-04,Milam,Texas,48331.0,18,1.0
2020-05-05,Milam,Texas,48331.0,18,1.0
2020-05-06,Milam,Texas,48331.0,18,1.0
2020-05-07,Milam,Texas,48331.0,18,1.0
2020-05-08,Milam,Texas,48331.0,18,1.0
2020-05-09,Milam,Texas,48331.0,20,1.0
2020-05-10,Milam,Texas,48331.0,20,1.0
2020-05-11,Milam,Texas,48331.0,20,1.0
2020-05-12,Milam,Texas,48331.0,20,1.0
2020-05-13,Milam,Texas,48331.0,20,1.0
2020-05-14,Milam,Texas,48331.0,22,1.0
2020-05-15,Milam,Texas,48331.0,23,1.0
2020-05-16,Milam,Texas,48331.0,23,1.0
2020-05-17,Milam,Texas,48331.0,24,1.0
2020-05-18,Milam,Texas,48331.0,24,1.0
2020-05-19,Milam,Texas,48331.0,25,1.0
2020-05-20,Milam,Texas,48331.0,26,1.0
2020-05-21,Milam,Texas,48331.0,27,1.0
2020-05-22,Milam,Texas,48331.0,27,1.0
2020-05-23,Milam,Texas,48331.0,28,1.0
2020-05-24,Milam,Texas,48331.0,28,1.0
2020-05-25,Milam,Texas,48331.0,28,1.0
2020-05-26,Milam,Texas,48331.0,28,1.0
2020-05-27,Milam,Texas,48331.0,28,1.0
2020-05-28,Milam,Texas,48331.0,28,1.0
2020-05-29,Milam,Texas,48331.0,28,1.0
2020-05-30,Milam,Texas,48331.0,28,1.0
